[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x00000081 0x00000081 5   7            utf8    ?N̫^  blocks=Basic Latin,Combining Diacritical Marks
2     0x000000f0 0x000000f0 4   5            ascii   Rich
3     0x00000208 0x00000208 5   6            ascii   .text
4     0x0000022f 0x0000022f 7   8            ascii   `.rdata
5     0x00000257 0x00000257 6   7            ascii   @.data
6     0x00000280 0x00000280 5   6            ascii   .rsrc
7     0x000002a7 0x000002a7 7   8            ascii   @.reloc
8     0x00000732 0x10001332 4   5    .text   ascii   \fRL+
9     0x0000075e 0x1000135e 4   6    .text   utf8    iȹy7 blocks=Basic Latin,Latin Extended-B
10    0x0000077a 0x1000137a 4   5    .text   ascii   ML<(
11    0x000007d3 0x100013d3 6   7    .text   ascii   T3JyqQ
12    0x000007f6 0x100013f6 4   5    .text   ascii   \vU:}
13    0x00000816 0x10001416 4   5    .text   ascii   Aq8>
14    0x0000081b 0x1000141b 4   5    .text   ascii   B!nv
15    0x0000082d 0x1000142d 5   6    .text   ascii   5O\}J
16    0x00000838 0x10001438 6   7    .text   ascii   P$tG+x
17    0x0000083f 0x1000143f 4   6    .text   utf8    A!DԢ blocks=Basic Latin,Cyrillic Supplement
18    0x0000086f 0x1000146f 4   5    .text   ascii   F7\4
19    0x00000886 0x10001486 5   7    .text   utf8    .w?\bۿ blocks=Basic Latin,Arabic
20    0x000008d5 0x100014d5 4   5    .text   ascii   }%#"
21    0x000008f7 0x100014f7 4   6    .text   utf8    0Ӽr? blocks=Basic Latin,Cyrillic
22    0x00000949 0x10001549 4   5    .text   ascii   k000
23    0x00000954 0x10001554 5   6    .text   ascii   eB\r\r\r
24    0x0000097f 0x1000157f 6   8    .text   utf8    oˌHdd% blocks=Basic Latin,Spacing Modifier Letters
25    0x00000987 0x10001587 10  12   .text   utf8    %XAA2KK7θw blocks=Basic Latin,Greek and Coptic
26    0x000009a2 0x100015a2 4   5    .text   ascii   @u"0
27    0x000009a8 0x100015a8 7   9    .text   utf8    naƶ9`0f blocks=Basic Latin,Latin Extended-B
28    0x000009c9 0x100015c9 5   7    .text   utf8    P\b0M̌ blocks=Basic Latin,Combining Diacritical Marks
29    0x000009e0 0x100015e0 7   10   .text   utf8    ֺȩL*SQ% blocks=Hebrew,Latin Extended-B,Basic Latin
30    0x000009eb 0x100015eb 7   11   .text   utf8    oӰ\bԽkӵe blocks=Basic Latin,Cyrillic,Armenian
31    0x00000a22 0x10001622 4   5    .text   ascii   !gf/
32    0x00000a3c 0x1000163c 4   6    .text   utf8    Ā@AB blocks=Latin Extended-A,Basic Latin
33    0x00000a6a 0x1000166a 5   6    .text   ascii   ;~^c3
34    0x00000a7c 0x1000167c 4   5    .text   ascii   3>>*
35    0x00000ab7 0x100016b7 4   5    .text   ascii   #C7$
36    0x00000b25 0x10001725 5   6    .text   ascii   |\ecou
37    0x00000b2f 0x1000172f 4   5    .text   ascii   >?L-
38    0x00000b45 0x10001745 5   6    .text   ascii   \bQ\a^z
39    0x00000b4e 0x1000174e 4   6    .text   utf8    rſhP blocks=Basic Latin,Latin Extended-A
40    0x00000b68 0x10001768 9   11   .text   utf8    e֕>-*@*@\f blocks=Basic Latin,Hebrew
41    0x00000b9f 0x1000179f 4   5    .text   ascii   =9KO
42    0x00000bb5 0x100017b5 9   12   .text   utf8    ع^\t\fʏ\f;b? blocks=Arabic,Basic Latin,IPA Extensions
43    0x00000bc1 0x100017c1 4   5    .text   ascii   )_P.
44    0x00000bea 0x100017ea 5   6    .text   ascii   d92k.
45    0x00000bf1 0x100017f1 4   5    .text   ascii   w1T1
46    0x00000c0e 0x1000180e 4   5    .text   ascii   JeH*
47    0x00000c85 0x10001885 5   6    .text   ascii   [Q*W'
48    0x00000c92 0x10001892 5   6    .text   ascii   Cab=T
49    0x00000c9f 0x1000189f 6   7    .text   ascii   {9]=bT
50    0x00000cc1 0x100018c1 4   5    .text   ascii   }}}}
51    0x00000cc9 0x100018c9 4   5    .text   ascii   MMMM
52    0x00000cd1 0x100018d1 4   5    .text   ascii   kkkk
53    0x00000ce1 0x100018e1 4   5    .text   ascii   kkkk
54    0x00000ce9 0x100018e9 8   9    .text   ascii   CCCC++++
55    0x00000cf5 0x100018f5 8   9    .text   ascii   ....????
56    0x00000d09 0x10001909 9   10   .text   ascii   5555..../
57    0x00000d61 0x10001961 4   5    .text   ascii     T(
58    0x00000dad 0x100019ad 4   6    .text   utf8     ۜu, blocks=Basic Latin,Arabic
59    0x00000dc9 0x100019c9 4   5    .text   ascii   [`Jb
60    0x00000e07 0x10001a07 7   9    .text   utf8     FҸG+m\n blocks=Basic Latin,Cyrillic
61    0x00000e1e 0x10001a1e 4   5    .text   ascii   P2!b
62    0x00000e52 0x10001a52 5   6    .text   ascii   *-9<<
63    0x00000e65 0x10001a65 4   5    .text   ascii   Euu$
64    0x00000e85 0x10001a85 4   6    .text   utf8    ́I9h blocks=Combining Diacritical Marks,Basic Latin
65    0x00000ed0 0x10001ad0 4   7    .text   utf8    $#˽خ blocks=Basic Latin,Spacing Modifier Letters,Arabic
66    0x00000f53 0x10001b53 6   8    .text   utf8    \np\ti~ƻ blocks=Basic Latin,Latin Extended-B
67    0x00000f62 0x10001b62 4   6    .text   utf8    Mȍ\r} blocks=Basic Latin,Latin Extended-B
68    0x00000f92 0x10001b92 4   8    .text   utf8    \eȗ\r뻁 blocks=Basic Latin,Latin Extended-B,Hangul Syllables
69    0x00000fdb 0x10001bdb 6   8    .text   utf8    n~33\nĬ blocks=Basic Latin,Latin Extended-A
70    0x00000fef 0x10001bef 4   5    .text   ascii   EuYn
71    0x0000101c 0x10001c1c 4   6    .text   utf8    Ҟ'K4 blocks=Cyrillic,Basic Latin
72    0x0000105a 0x10001c5a 6   7    .text   ascii   h%7kkk
73    0x0000106b 0x10001c6b 5   6    .text   ascii   \r|l/S
74    0x00001081 0x10001c81 5   6    .text   ascii   NNNAn
75    0x000010b6 0x10001cb6 4   5    .text   ascii   788a
76    0x000010de 0x10001cde 4   6    .text   utf8    z\rϖq blocks=Basic Latin,Greek and Coptic
77    0x0000114a 0x10001d4a 4   6    .text   utf8    ``ۤM blocks=Basic Latin,Arabic
78    0x00001153 0x10001d53 4   6    .text   utf8    <\fξS blocks=Basic Latin,Greek and Coptic
79    0x000013d3 0x10001fd3 7   8    .text   ascii   VW<\tt#<
80    0x00001401 0x10002001 4   6    .text   utf8    +Ћ|$ blocks=Basic Latin,Cyrillic
81    0x0000141c 0x1000201c 5   8    .text   utf8    *؋É\$ blocks=Basic Latin,Arabic,Latin-1 Supplement
82    0x000014a2 0x100020a2 5   7    .text   utf8    *ȉD$  blocks=Basic Latin,Latin Extended-B
83    0x00001573 0x10002173 6   7    .text   ascii   \$\f<\tt
84    0x000015a1 0x100021a1 5   7    .text   utf8    *Ĉd$\a blocks=Basic Latin,Latin Extended-A
85    0x000015d1 0x100021d1 4   5    .text   ascii   D$\a*
86    0x000015ff 0x100021ff 4   5    .text   ascii   D$\f+
87    0x00001631 0x10002231 5   6    .text   ascii   D$\f[Y
88    0x00001649 0x10002249 4   5    .text   ascii   \$\fU
89    0x000017b7 0x100023b7 4   5    .text   ascii   +M\bf
90    0x000018b1 0x100024b1 4   6    .text   utf8    +ʈ\r` blocks=Basic Latin,IPA Extensions
91    0x000018ea 0x100024ea 4   6    .text   utf8    +Ћ\rd blocks=Basic Latin,Cyrillic
92    0x000018f2 0x100024f2 4   6    .text   utf8    +ʉ\rd blocks=Basic Latin,IPA Extensions
93    0x000019b6 0x100025b6 5   7    .text   utf8    Q+ȉ\rd blocks=Basic Latin,Latin Extended-B
94    0x000019cf 0x100025cf 4   6    .text   utf8    +ʉ\rd blocks=Basic Latin,IPA Extensions
95    0x00001a1a 0x1000261a 5   7    .text   utf8    Q+ʈ\r` blocks=Basic Latin,IPA Extensions
96    0x00001a6f 0x1000266f 4   6    .text   utf8    Q+£d blocks=Basic Latin,Latin-1 Supplement
97    0x00001ad2 0x100026d2 4   6    .text   utf8    Q+b`
98    0x00001d28 0x10002928 4   6    .text   utf8    +ʈ\r` blocks=Basic Latin,IPA Extensions
99    0x00001db9 0x100029b9 4   6    .text   utf8    +ʈ\r` blocks=Basic Latin,IPA Extensions
100   0x00001df2 0x100029f2 4   6    .text   utf8    +Ћ\rd blocks=Basic Latin,Cyrillic
101   0x00001dfa 0x100029fa 4   6    .text   utf8    +ʉ\rd blocks=Basic Latin,IPA Extensions
102   0x00002090 0x10002c90 4   5    .text   ascii   \fRL+
103   0x00002157 0x10002d57 4   5    .text   ascii   \nDf&
104   0x00002181 0x10002d81 11  12   .text   ascii   BX\v%/-08agk
105   0x000021bd 0x10002dbd 4   5    .text   ascii   \e;.c
106   0x000021e1 0x10002de1 4   6    .text   utf8    ʓAe$ blocks=IPA Extensions,Basic Latin
107   0x00002207 0x10002e07 6   8    .text   utf8    WȘ_C/{ blocks=Basic Latin,Latin Extended-B
108   0x00002254 0x10002e54 6   7    .text   ascii   Sbtqb1
109   0x000022ce 0x10002ece 5   6    .text   ascii   4%"$c
110   0x00002311 0x10002f11 6   7    .text   ascii   `\rc%O\b
111   0x0000235d 0x10002f5d 4   8    .text   utf8    \嘐آ) blocks=Basic Latin,CJK Unified Ideographs,Arabic
112   0x000023e2 0x10002fe2 7   8    .text   ascii   [IRr9Xi
113   0x00002413 0x10003013 4   5    .text   ascii   awDt
114   0x0000242e 0x1000302e 5   6    .text   ascii   e$&k.
115   0x000024a3 0x100030a3 4   6    .text   utf8    ٌ#s[ blocks=Arabic,Basic Latin
116   0x000024bd 0x100030bd 4   6    .text   utf8    Nԥx9 blocks=Basic Latin,Cyrillic Supplement
117   0x000024f5 0x100030f5 5   6    .text   ascii   jlMTr
118   0x000026ec 0x100032ec 5   7    .text   utf8    'Ǆ]\vM blocks=Basic Latin,Latin Extended-B
119   0x0000271b 0x1000331b 5   8    .text   utf8    ğsDË blocks=Basic Latin,Combining Diacritical Marks,Latin-1 Supplement
120   0x00002736 0x10003336 4   5    .text   ascii   gi\n,
121   0x00002773 0x10003373 7   9    .text   utf8    Ɲ ]@2`q blocks=Latin Extended-B,Basic Latin
122   0x000027b3 0x100033b3 5   7    .text   utf8    @n\fȹ\n blocks=Basic Latin,Latin Extended-B
123   0x000027dd 0x100033dd 4   5    .text   ascii   M,n~
124   0x000027ff 0x100033ff 4   5    .text   ascii   eT c
125   0x0000285d 0x1000345d 7   8    .text   ascii   ~yqz"\a;
126   0x000028b0 0x100034b0 4   5    .text   ascii   \fRL+
127   0x000029b0 0x100035b0 4   5    .text   ascii   \fRL+
128   0x00002b74 0x10003774 5   6    .text   ascii   9R\e0
129   0x00002ba9 0x100037a9 5   6    .text   ascii   ?HAJu
130   0x00002bc6 0x100037c6 4   5    .text   ascii   k5_}
131   0x00002bfd 0x100037fd 4   5    .text   ascii   >~TJ
132   0x00002c87 0x10003887 4   5    .text   ascii   D>Z|
133   0x00002cee 0x100038ee 7   8    .text   ascii   UIK;ky@
134   0x00002cf9 0x100038f9 5   6    .text   ascii   \bnFIK
135   0x00002d36 0x10003936 7   8    .text   ascii   sT#IFoy
136   0x00002d63 0x10003963 4   5    .text   ascii   0Z\br
137   0x00002dac 0x100039ac 4   5    .text   ascii   M{<m
138   0x00002de9 0x100039e9 4   5    .text   ascii   uA8~
139   0x00002eb0 0x10003ab0 4   5    .text   ascii   \fRL+
140   0x00002f40 0x10003b40 4   5    .text   ascii   \fRL+
141   0x00003000 0x10003c00 4   5    .text   ascii   \fRL+
142   0x000031b5 0x10003db5 4   6    .text   utf8    پ#{2 blocks=Arabic,Basic Latin
143   0x00003399 0x10003f99 5   6    .text   ascii   +iHEe
144   0x000033ec 0x10003fec 4   5    .text   ascii   X2R.
145   0x00003570 0x10004170 4   5    .text   ascii   \fRL+
146   0x0000362c 0x1000422c 4   5    .text   ascii   \fRL+
147   0x000036c3 0x100042c3 5   7    .text   utf8    E߈G(H blocks=Basic Latin,NKo
148   0x00003766 0x10004366 5   7    .text   utf8    FjX/Λ blocks=Basic Latin,Greek and Coptic
149   0x0000377a 0x1000437a 4   5    .text   ascii   \b<Gn
150   0x0000379a 0x1000439a 4   6    .text   utf8    AQ^W
151   0x00003804 0x10004404 5   6    .text   ascii   yNn+`
152   0x0000384e 0x1000444e 4   5    .text   ascii   [>L1
153   0x0000387b 0x1000447b 4   5    .text   ascii   j5:h
154   0x000038d3 0x100044d3 4   6    .text   utf8    yÛ>G blocks=Basic Latin,Latin-1 Supplement
155   0x000038f4 0x100044f4 4   6    .text   utf8    \e.Bп blocks=Basic Latin,Cyrillic
156   0x0000390b 0x1000450b 4   5    .text   ascii   ::he
157   0x00003942 0x10004542 5   6    .text   ascii   B,Ft3
158   0x00003965 0x10004565 5   6    .text   ascii   Nyb\v)
159   0x00003992 0x10004592 4   5    .text   ascii   HA`\v
160   0x000039a4 0x100045a4 4   5    .text   ascii   \aQ\fn
161   0x000039b8 0x100045b8 5   6    .text   ascii   C\nRsK
162   0x000039c0 0x100045c0 5   7    .text   utf8    j]Ò![ blocks=Basic Latin,Latin-1 Supplement
163   0x000039cd 0x100045cd 6   7    .text   ascii   -{ 10,
164   0x00003a0c 0x1000460c 4   5    .text   ascii   B*s\t
165   0x00003a6d 0x1000466d 4   5    .text   ascii   jV=0
166   0x00003aa2 0x100046a2 4   5    .text   ascii   65QZ
167   0x00003ba0 0x100047a0 7   8    .text   ascii   HP3HHhU
168   0x00003bb2 0x100047b2 5   6    .text   ascii   fHH$V
169   0x00003c54 0x10004854 4   5    .text   ascii   3HHX
170   0x00003c75 0x10004875 5   6    .text   ascii   3\bC3A
171   0x00003c97 0x10004897 4   5    .text   ascii   EHHx
172   0x00003cce 0x100048ce 6   8    .text   utf8    >$FHϹ\b blocks=Basic Latin,Greek and Coptic
173   0x00003d66 0x10004966 4   5    .text   ascii   HI`+
174   0x00003d8f 0x1000498f 4   5    .text   ascii   Q\f=\e
175   0x00003ddc 0x100049dc 5   6    .text   ascii   t>3ll
176   0x00003df8 0x100049f8 4   5    .text   ascii   \rA*+
177   0x00003eda 0x10004ada 4   5    .text   ascii   1rC`
178   0x00003ee9 0x10004ae9 5   6    .text   ascii   HbT-R
179   0x00003f01 0x10004b01 7   8    .text   ascii   v?~)6kG
180   0x00003f15 0x10004b15 4   5    .text   ascii   TS(E
181   0x00003f5f 0x10004b5f 4   5    .text   ascii   ^y:d
182   0x00003f9c 0x10004b9c 5   6    .text   ascii   \v)jfc
183   0x00004093 0x10004c93 4   5    .text   ascii   iiRg
184   0x000040eb 0x10004ceb 4   5    .text   ascii   80HL
185   0x000040f0 0x10004cf0 4   5    .text   ascii   I f$
186   0x00004131 0x10004d31 4   5    .text   ascii   T`\rI
187   0x0000417e 0x10004d7e 6   8    .text   utf8    \a$U%\aÍ blocks=Basic Latin,Latin-1 Supplement
188   0x000041a8 0x10004da8 4   6    .text   utf8    ǋHH? blocks=Latin Extended-B,Basic Latin
189   0x0000421f 0x10004e1f 5   6    .text   ascii   +l_.A
190   0x00004225 0x10004e25 4   5    .text   ascii   P\eWK
191   0x00004285 0x10004e85 4   5    .text   ascii   %-Jv
192   0x000042ce 0x10004ece 4   5    .text   ascii   _SoC
193   0x000042f2 0x10004ef2 5   6    .text   ascii   \b;s~0
194   0x0000431b 0x10004f1b 4   5    .text   ascii   H@df
195   0x0000435a 0x10004f5a 4   5    .text   ascii   bP9\b
196   0x000043ac 0x10004fac 4   5    .text   ascii   A7 H
197   0x000043f8 0x10004ff8 4   5    .text   ascii   Ht]A
198   0x00004421 0x10005021 4   6    .text   utf8    H̑eA blocks=Basic Latin,Combining Diacritical Marks
199   0x00004429 0x10005029 5   6    .text   ascii   a\nqO0
200   0x00004550 0x10005150 4   5    .text   ascii   u/W=
201   0x0000457f 0x1000517f 10  11   .text   ascii   ]H0$H@\t\bIY
202   0x000045c6 0x100051c6 4   5    .text   ascii   M+\v\f
203   0x000045dc 0x100051dc 4   5    .text   ascii   \nLH\r
204   0x00004625 0x10005225 5   6    .text   ascii   E\nHhH
205   0x00004652 0x10005252 7   8    .text   ascii   uKHHHDH
206   0x00004665 0x10005265 4   5    .text   ascii   TOGH
207   0x000046da 0x100052da 4   5    .text   ascii   x$7b
208   0x00004724 0x10005324 6   7    .text   ascii   \n\{O\aN
209   0x00004762 0x10005362 6   7    .text   ascii   ?^4+&-
210   0x00004790 0x10005390 5   6    .text   ascii   viM+=
211   0x00004865 0x10005465 4   6    .text   utf8    HHˁu blocks=Basic Latin,Spacing Modifier Letters
212   0x000048e3 0x100054e3 7   10   .text   utf8    ϥHD7[sܺ blocks=Greek and Coptic,Basic Latin,Syriac
213   0x00004976 0x10005576 4   6    .text   utf8    jЖ!w blocks=Basic Latin,Cyrillic
214   0x0000498d 0x1000558d 6   8    .text   utf8    3!FDݠ? blocks=Basic Latin,Arabic Supplement
215   0x000049a2 0x100055a2 5   7    .text   utf8    -BwFQ
216   0x000049f3 0x100055f3 4   5    .text   ascii    h1q
217   0x00004a3c 0x1000563c 5   6    .text   ascii   (wHH~
218   0x00004a9c 0x1000569c 4   5    .text   ascii   $Hn\
219   0x00004aa5 0x100056a5 4   7    .text   utf8    MЋD( blocks=Basic Latin,Cyrillic
220   0x00004bb6 0x100057b6 4   5    .text   ascii   H B\b
221   0x00004bd6 0x100057d6 4   5    .text   ascii   AHL$
222   0x00004bde 0x100057de 4   5    .text   ascii   \fk L
223   0x00004bff 0x100057ff 4   5    .text   ascii   IUDU
224   0x00004c04 0x10005804 5   6    .text   ascii   t$\DE
225   0x00004c47 0x10005847 4   6    .text   utf8    \btHE
226   0x00004d09 0x10005909 4   5    .text   ascii   UQOo
227   0x00004d5c 0x1000595c 4   6    .text   utf8    .Iғ~ blocks=Basic Latin,Cyrillic
228   0x00004d84 0x10005984 8   12   .text   utf8    P|[!θRN blocks=Basic Latin,Private Use Area,Greek and Coptic
229   0x00004d92 0x10005992 4   5    .text   ascii   \tyF5
230   0x00004dac 0x100059ac 4   5    .text   ascii   )/\vO
231   0x00004e0c 0x10005a0c 4   5    .text   ascii   w~=3
232   0x00004e57 0x10005a57 6   9    .text   utf8    24vr, blocks=Private Use Area,Basic Latin
233   0x00004ebd 0x10005abd 5   6    .text   ascii   ?eA4\n
234   0x00004ec4 0x10005ac4 4   5    .text   ascii   /ig2
235   0x00004f5b 0x10005b5b 4   6    .text   utf8    hHσ$ blocks=Basic Latin,Greek and Coptic
236   0x00004faf 0x10005baf 6   7    .text   ascii   \t;A $I
237   0x00005074 0x10005c74 4   5    .text   ascii   \bys$
238   0x00005110 0x10005d10 4   5    .text   ascii   =G8u
239   0x0000512c 0x10005d2c 5   6    .text   ascii   L\aDDD
240   0x0000514e 0x10005d4e 7   8    .text   ascii   jEHH^H 
241   0x00005172 0x10005d72 4   5    .text   ascii   \aSt[
242   0x0000521a 0x10005e1a 4   6    .text   utf8    H̋\fI blocks=Basic Latin,Combining Diacritical Marks
243   0x000052bf 0x10005ebf 5   7    .text   utf8    ]̈́s>` blocks=Basic Latin,Combining Diacritical Marks
244   0x0000536a 0x10005f6a 5   6    .text   ascii   -g.0N
245   0x000053a6 0x10005fa6 5   6    .text   ascii   O\n,D/
246   0x000053fb 0x10005ffb 5   9    .text   utf8    \f~-攰C blocks=Basic Latin,CJK Unified Ideographs
247   0x00005445 0x10006045 6   8    .text   utf8    seh\bx̜ blocks=Basic Latin,Combining Diacritical Marks
248   0x00005487 0x10006087 7   11   .text   utf8    媊Rz ޤ#n blocks=CJK Unified Ideographs,Basic Latin,Thaana
249   0x0000551c 0x1000611c 5   8    .text   utf8    C<(Òʳ blocks=Basic Latin,Latin-1 Supplement,Spacing Modifier Letters
250   0x000055e4 0x100061e4 4   5    .text   ascii   l\eW\
251   0x0000561d 0x1000621d 4   5    .text   ascii   =xS{
252   0x00005673 0x10006273 4   6    .text   utf8    ֣cvh blocks=Hebrew,Basic Latin
253   0x000056df 0x100062df 5   6    .text   ascii   2$(IH
254   0x000056f2 0x100062f2 4   6    .text   utf8    ǝ_HM blocks=Latin Extended-B,Basic Latin
255   0x00005701 0x10006301 4   6    .text   utf8    ̋u$M blocks=Combining Diacritical Marks,Basic Latin
256   0x0000572f 0x1000632f 7   8    .text   ascii   HHEHAHH
257   0x00005752 0x10006352 5   6    .text   ascii   H!L L
258   0x000057d7 0x100063d7 4   5    .text   ascii   w_|L
259   0x000057dc 0x100063dc 5   8    .text   utf8    HˋЅHH blocks=Basic Latin,Spacing Modifier Letters,Cyrillic
260   0x00005831 0x10006431 5   7    .text   utf8    ̌\r$HC blocks=Combining Diacritical Marks,Basic Latin
261   0x0000596b 0x1000656b 4   5    .text   ascii   @tLp
262   0x000059b0 0x100065b0 5   6    .text   ascii   \nu]r&
263   0x000059ec 0x100065ec 6   8    .text   utf8    |Ù`21m blocks=Basic Latin,Latin-1 Supplement
264   0x00005a91 0x10006691 4   6    .text   utf8    {Awǆ blocks=Basic Latin,Latin Extended-B
265   0x00005ad7 0x100066d7 5   6    .text   ascii   oYB&R
266   0x00005b09 0x10006709 5   6    .text   ascii   E%Z.X
267   0x00005b1d 0x1000671d 4   7    .text   utf8    )x{㸾 blocks=Basic Latin,CJK Unified Ideographs Extension A
268   0x00005b50 0x10006750 5   6    .text   ascii   ?=qdU
269   0x00005c45 0x10006845 4   6    .text   utf8    d\Iі blocks=Basic Latin,Cyrillic
270   0x00005c62 0x10006862 4   5    .text   ascii   \e15s
271   0x00005ca5 0x100068a5 4   7    .text   utf8    B\aߨա blocks=Basic Latin,NKo,Armenian
272   0x00005cfc 0x100068fc 4   6    .text   utf8    MȋDH blocks=Basic Latin,Latin Extended-B
273   0x00005d4f 0x1000694f 4   5    .text   ascii   @GHH
274   0x00005d8b 0x1000698b 4   5    .text   ascii   \fAHH
275   0x00005df7 0x100069f7 4   6    .text   utf8    ]ED\n
276   0x00005e04 0x10006a04 4   7    .text   utf8    ɋ\b}̍ blocks=Latin Extended-B,Basic Latin,Combining Diacritical Marks
277   0x00005e46 0x10006a46 4   5    .text   ascii   zALH
278   0x00005e51 0x10006a51 4   5    .text   ascii   08Mc
279   0x00005e96 0x10006a96 4   7    .text   utf8    MM㋋L blocks=Basic Latin,Enclosed CJK Letters and Months
280   0x00005ebf 0x10006abf 4   5    .text   ascii   $AHe
281   0x00005f58 0x10006b58 4   5    .text   ascii   7Ko\a
282   0x00005fd2 0x10006bd2 4   6    .text   utf8    ۹5V\f blocks=Arabic,Basic Latin
283   0x0000602e 0x10006c2e 4   5    .text   ascii   N=Y7
284   0x00006041 0x10006c41 5   7    .text   utf8    .MÒ0V blocks=Basic Latin,Latin-1 Supplement
285   0x0000605b 0x10006c5b 4   5    .text   ascii   Qk}T
286   0x0000608d 0x10006c8d 5   7    .text   utf8    :<]1ج blocks=Basic Latin,Arabic
287   0x000060ad 0x10006cad 4   5    .text   ascii   B2kb
288   0x000060c6 0x10006cc6 7   9    .text   utf8    U492yܪI blocks=Basic Latin,Syriac
289   0x000060df 0x10006cdf 4   6    .text   utf8    ȳg). blocks=Latin Extended-B,Basic Latin
290   0x00006162 0x10006d62 5   6    .text   ascii   Vg$hP
291   0x00006196 0x10006d96 5   6    .text   ascii   (E;HH
292   0x000061f6 0x10006df6 4   5    .text   ascii   pHH+
293   0x00006287 0x10006e87 5   6    .text   ascii   @HttH
294   0x000062cb 0x10006ecb 4   6    .text   utf8    ƹ`G( blocks=Latin Extended-B,Basic Latin
295   0x000062fa 0x10006efa 4   5    .text   ascii   HIL3
296   0x00006347 0x10006f47 4   5    .text   ascii   !e;:
297   0x00006360 0x10006f60 4   5    .text   ascii   -\nhe
298   0x0000639d 0x10006f9d 4   6    .text   utf8    ʚqG: blocks=IPA Extensions,Basic Latin
299   0x00006459 0x10007059 4   5    .text   ascii   ;\9U
300   0x0000653b 0x1000713b 5   6    .text   ascii   I'aNe
301   0x00006552 0x10007152 4   5    .text   ascii   WB%Q
302   0x000065aa 0x100071aa 5   8    .text   utf8    ̋>PH̍ blocks=Combining Diacritical Marks,Basic Latin
303   0x00006676 0x10007276 4   5    .text   ascii   (\bHW
304   0x00006685 0x10007285 5   7    .text   utf8    98HċC blocks=Basic Latin,Latin Extended-A
305   0x000066bc 0x100072bc 5   7    .text   utf8    HH8uЋ blocks=Basic Latin,Cyrillic
306   0x000066ff 0x100072ff 6   8    .text   utf8    +#p \bH
307   0x000067de 0x100073de 4   5    .text   ascii   FHH2
308   0x00006810 0x10007410 5   7    .text   utf8    }T\v:E
309   0x0000685b 0x1000745b 4   5    .text   ascii   I8L\f
310   0x000068e1 0x100074e1 6   8    .text   utf8    \fC\fjgD
311   0x00006943 0x10007543 4   5    .text   ascii   #\bc8
312   0x00006957 0x10007557 5   7    .text   utf8    Ȝ\ao.7 blocks=Latin Extended-B,Basic Latin
313   0x00006987 0x10007587 4   6    .text   utf8    &°%a blocks=Basic Latin,Latin-1 Supplement
314   0x000069ab 0x100075ab 4   5    .text   ascii   ktXj
