[Strings]
nth  paddr      vaddr      len  size section       type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
735  0x0004f9a0 0x004521a0 107  108  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\assign.nim
736  0x0004fa70 0x00452270 15   16   .rdata        ascii   genericResetAux
737  0x0004fa80 0x00452280 16   17   .rdata        ascii   genericAssignAux
738  0x0004fa91 0x00452291 21   22   .rdata        ascii   ObjectAssignmentError
739  0x0004fb0c 0x0045230c 13   14   .rdata        ascii   genericAssign
740  0x0004fb1a 0x0045231a 16   17   .rdata        ascii   genericSeqAssign
741  0x0004fb2b 0x0045232b 6    7    .rdata        ascii   substr
742  0x0004fb32 0x00452332 14   15   .rdata        ascii   addEscapedChar
743  0x0004fd24 0x00452524 9    10   .rdata        ascii   addQuoted
744  0x0004fd30 0x00452530 110  111  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\iterators.nim
745  0x0004fd9f 0x0045259f 14   15   .rdata        ascii   NilAccessError
746  0x0004fdae 0x004525ae 11   12   .rdata        ascii   countBits32
747  0x0004fdc0 0x004525c0 105  106  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\sets.nim
748  0x0004fe2a 0x0045262a 4    5    .rdata        ascii   quit
749  0x0004fe2f 0x0045262f 10   11   .rdata        ascii   hashString
750  0x0004fe3a 0x0045263a 21   22   .rdata        ascii   ObjectConversionError
751  0x0004fe50 0x00452650 8    9    .rdata        ascii   reprEnum
752  0x0004fe60 0x00452660 105  106  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\repr.nim
753  0x0004fecd 0x004526cd 6    7    .rdata        ascii   parent
754  0x0004fed4 0x004526d4 4    5    .rdata        ascii   name
755  0x0004fedd 0x004526dd 8    9    .rdata        ascii   procname
756  0x0004fee6 0x004526e6 4    5    .rdata        ascii   line
757  0x0004feeb 0x004526eb 8    9    .rdata        ascii   filename
758  0x0004fef4 0x004526f4 5    6    .rdata        ascii   trace
759  0x0004fefd 0x004526fd 9    10   .rdata        ascii   errorCode
760  0x0004ff20 0x00452720 7    8    .rdata        ascii   toLower
761  0x0004ff28 0x00452728 109  110  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\parseutils.nim
762  0x0004ff96 0x00452796 14   15   .rdata        ascii   skipIgnoreCase
763  0x0004ffa5 0x004527a5 21   22   .rdata        ascii   parseSaturatedNatural
764  0x0004ffc0 0x004527c0 7    8    .rdata        ascii   runeLen
765  0x0004ffc8 0x004527c8 106  107  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\unicode.nim
766  0x00050033 0x00452833 9    10   .rdata        ascii   runeLenAt
767  0x0005003d 0x0045283d 10   11   .rdata        ascii   runeOffset
768  0x00050048 0x00452848 12   13   .rdata        ascii   validateUtf8
769  0x0005006f 0x0045286f 22   23   .rdata        ascii   @invalid format string
770  0x00050088 0x00452888 12   13   .rdata        ascii   toLowerAscii
771  0x00050098 0x00452898 107  108  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\strutils.nim
772  0x00050104 0x00452904 10   11   .rdata        ascii   startsWith
773  0x0005010f 0x0045290f 7    8    .rdata        ascii   replace
774  0x00050117 0x00452917 9    10   .rdata        ascii   normalize
775  0x00050128 0x00452928 112  113  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\iterators_1.nim
776  0x000501a0 0x004529a0 112  113  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\arithmetics.nim
777  0x00050218 0x00452a18 112  113  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\comparisons.nim
778  0x00050289 0x00452a89 9    10   .rdata        ascii   rtlAddZCT
779  0x00050298 0x00452a98 103  104  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\gc.nim
780  0x00050300 0x00452b00 6    7    .rdata        ascii   decRef
781  0x00050307 0x00452b07 9    10   .rdata        ascii   usrToCell
782  0x00050311 0x00452b11 17   18   .rdata        ascii   nimGCunrefNoCycle
783  0x00050326 0x00452b26 6    7    .rdata        ascii   incRef
784  0x0005032d 0x00452b2d 7    8    .rdata        ascii   asgnRef
785  0x00050335 0x00452b35 19   20   .rdata        ascii   invalidFormatString
786  0x00050349 0x00452b49 10   11   .rdata        ascii   ValueError
787  0x00050354 0x00452b54 14   15   .rdata        ascii   cmpIgnoreStyle
788  0x00050363 0x00452b63 14   15   .rdata        ascii   findNormalized
789  0x00050372 0x00452b72 4    5    .rdata        ascii   addf
790  0x00050379 0x00452b79 6    7    .rdata        ascii   repeat
791  0x00050381 0x00452b81 4    5    .rdata        ascii   find
792  0x00050386 0x00452b86 13   14   .rdata        ascii   initSkipTable
793  0x00050394 0x00452b94 8    9    .rdata        ascii   contains
794  0x0005039d 0x00452b9d 10   11   .rdata        ascii   splitLines
795  0x000503a8 0x00452ba8 13   14   .rdata        ascii   cmpIgnoreCase
796  0x000503d8 0x00452bd8 7    8    .rdata        ascii   hasNext
797  0x000503e0 0x00452be0 107  108  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\pathnorm.nim
798  0x0005044c 0x00452c4c 4    5    .rdata        ascii   next
799  0x00050451 0x00452c51 7    8    .rdata        ascii   isSlash
800  0x00050460 0x00452c60 100  101  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system.nim
801  0x000504c5 0x00452cc5 8    9    .rdata        ascii   isDotDot
802  0x000504ce 0x00452cce 5    6    .rdata        ascii   isDot
803  0x000504d4 0x00452cd4 16   17   .rdata        ascii   addNormalizePath
804  0x000504e5 0x00452ce5 13   14   .rdata        ascii   normalizePath
805  0x00050501 0x00452d01 7    8    .rdata        ascii   loadLib
806  0x00050510 0x00452d10 105  106  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\dynlib.nim
807  0x0005057a 0x00452d7a 7    8    .rdata        ascii   symAddr
808  0x000505af 0x00452daf 11   12   .rdata        ascii   @Ws2_32.dll
809  0x000505cf 0x00452dcf 9    10   .rdata        ascii   @kernel32
810  0x000505ef 0x00452def 9    10   .rdata        ascii   @kernel32
811  0x00050600 0x00452e00 7    8    .rdata        ascii   winlean
812  0x00050608 0x00452e08 109  110  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\windows\winlean.nim
813  0x00050676 0x00452e76 9    10   .rdata        ascii   inet_ntop
814  0x00050680 0x00452e80 14   15   .rdata        ascii   FindFirstFileW
815  0x0005068f 0x00452e8f 14   15   .rdata        ascii   FormatMessageW
816  0x0005069e 0x00452e9e 9    10   .rdata        ascii   LocalFree
817  0x000506a8 0x00452ea8 12   13   .rdata        ascii   GetLastError
818  0x000506b5 0x00452eb5 13   14   .rdata        ascii   FindNextFileW
819  0x000506c3 0x00452ec3 9    10   .rdata        ascii   FindClose
820  0x000506cd 0x00452ecd 18   19   .rdata        ascii   GetModuleFileNameW
821  0x000506e0 0x00452ee0 20   21   .rdata        ascii   GetCurrentDirectoryW
822  0x000506f5 0x00452ef5 20   21   .rdata        ascii   SetCurrentDirectoryW
823  0x0005070a 0x00452f0a 15   16   .rdata        ascii   GetCommandLineW
824  0x0005071a 0x00452f1a 22   23   .rdata        ascii   GetEnvironmentStringsW
825  0x00050731 0x00452f31 23   24   .rdata        ascii   FreeEnvironmentStringsW
826  0x00050749 0x00452f49 18   19   .rdata        ascii   GetFileAttributesW
827  0x0005075c 0x00452f5c 10   11   .rdata        ascii   CreatePipe
828  0x00050767 0x00452f67 20   21   .rdata        ascii   SetHandleInformation
829  0x0005077c 0x00452f7c 16   17   .rdata        ascii   CreateNamedPipeW
830  0x0005078d 0x00452f8d 11   12   .rdata        ascii   CreateFileW
831  0x00050799 0x00452f99 17   18   .rdata        ascii   GetCurrentProcess
832  0x000507ab 0x00452fab 15   16   .rdata        ascii   DuplicateHandle
833  0x000507bb 0x00452fbb 11   12   .rdata        ascii   CloseHandle
834  0x000507c7 0x00452fc7 12   13   .rdata        ascii   GetStdHandle
835  0x000507d4 0x00452fd4 14   15   .rdata        ascii   CreateProcessW
836  0x000507e3 0x00452fe3 8    9    .rdata        ascii   ReadFile
837  0x000507ec 0x00452fec 9    10   .rdata        ascii   WriteFile
838  0x000507f6 0x00452ff6 19   20   .rdata        ascii   WaitForSingleObject
839  0x0005080a 0x0045300a 18   19   .rdata        ascii   GetExitCodeProcess
840  0x0005081d 0x0045301d 23   24   .rdata        ascii   SetEnvironmentVariableW
841  0x00050835 0x00453035 11   12   .rdata        ascii   DeleteFileW
842  0x00050841 0x00453041 18   19   .rdata        ascii   SetFileAttributesW
843  0x00050854 0x00453054 9    10   .rdata        ascii   CopyFileW
844  0x0005085e 0x0045305e 16   17   .rdata        ascii   RemoveDirectoryW
845  0x0005086f 0x0045306f 16   17   .rdata        ascii   CreateDirectoryW
846  0x00050880 0x00453080 22   23   .rdata        ascii   WaitForMultipleObjects
847  0x00050897 0x00453097 16   17   .rdata        ascii   TerminateProcess
848  0x000508a8 0x004530a8 11   12   .rdata        ascii   MoveFileExW
849  0x000508c0 0x004530c0 5    6    .rdata        ascii   times
850  0x000508c8 0x004530c8 104  105  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\times.nim
851  0x00050931 0x00453131 6    7    .rdata        ascii   Field0
852  0x00050938 0x00453138 6    7    .rdata        ascii   Field1
853  0x0005093f 0x0045313f 21   22   .rdata        ascii   zonedTimeFromTimeImpl
854  0x00050955 0x00453155 24   25   .rdata        ascii   zonedTimeFromAdjTimeImpl
855  0x0005096e 0x0045316e 4    5    .rdata        ascii   name
856  0x000509af 0x004531af 18   19   .rdata        ascii   @Additional info: 
857  0x000509ef 0x004531ef 17   18   .rdata        ascii   @unknown OS error
858  0x00050a4f 0x0045324f 132  133  .rdata        ascii   @C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\os.nim(325, 11) `isAbsolute(path1)` 
859  0x00050aef 0x004532ef 132  133  .rdata        ascii   @C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\os.nim(326, 11) `isAbsolute(path2)` 
860  0x00050b8f 0x0045338f 138  139  .rdata        ascii   @C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\os.nim(331, 11) `len1 != 0 and len2 != 0` 
861  0x00050c6f 0x0045346f 44   45   .rdata        ascii   @index out of bounds, the container is empty
862  0x00050caf 0x004534af 7    8    .rdata        ascii   @index 
863  0x00050ccf 0x004534cf 14   15   .rdata        ascii   @ not in 0 .. 
864  0x00050cef 0x004534ef 37   38   .rdata        ascii   @The specified root is not absolute: 
865  0x00050d8f 0x0045358f 191  192  .rdata        ascii   @C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\iterators.nim(207, 11) `len(a) == L` the length of the string changed while iterating over it
866  0x00050eaf 0x004536af 19   20   .rdata        ascii   @Failed to create '
867  0x00050eff 0x004536ff 5    6    .rdata        ascii   @/tmp
868  0x00050f1f 0x0045371f 5    6    .rdata        ascii   @TEMP
869  0x00050f30 0x00453730 100  101  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system.nim
870  0x00050f95 0x00453795 16   17   .rdata        ascii   normalizePathEnd
871  0x00050fa8 0x004537a8 101  102  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\os.nim
872  0x0005100e 0x0045380e 12   13   .rdata        ascii   joinPathImpl
873  0x0005101b 0x0045381b 8    9    .rdata        ascii   joinPath
874  0x00051026 0x00453826 13   14   .rdata        ascii   findFirstFile
875  0x00051034 0x00453834 10   11   .rdata        ascii   osErrorMsg
876  0x00051040 0x00453840 113  114  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\includes\oserr.nim
877  0x000510b8 0x004538b8 112  113  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\arithmetics.nim
878  0x00051129 0x00453929 6    7    .rdata        ascii   incRef
879  0x00051130 0x00453930 103  104  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\gc.nim
880  0x0005119b 0x0045399b 9    10   .rdata        ascii   usrToCell
881  0x000511a8 0x004539a8 112  113  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\comparisons.nim
882  0x00051219 0x00453a19 9    10   .rdata        ascii   rtlAddZCT
883  0x00051223 0x00453a23 6    7    .rdata        ascii   decRef
884  0x0005122a 0x00453a2a 7    8    .rdata        ascii   asgnRef
885  0x00051232 0x00453a32 17   18   .rdata        ascii   nimGCunrefNoCycle
886  0x00051244 0x00453a44 10   11   .rdata        ascii   newOSError
887  0x0005124f 0x00453a4f 7    8    .rdata        ascii   OSError
888  0x00051257 0x00453a57 12   13   .rdata        ascii   raiseOSError
889  0x00051264 0x00453a64 9    10   .rdata        ascii   splitPath
890  0x00051270 0x00453a70 112  113  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\iterators_1.nim
891  0x000512e1 0x00453ae1 15   16   .rdata        ascii   extractFilename
892  0x000512f1 0x00453af1 9    10   .rdata        ascii   splitFile
893  0x000512fb 0x00453afb 9    10   .rdata        ascii   eqStrings
894  0x00051308 0x00453b08 110  111  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\strmantle.nim
895  0x00051377 0x00453b77 13   14   .rdata        ascii   normalizePath
896  0x00051385 0x00453b85 16   17   .rdata        ascii   normalizePathAux
897  0x00051396 0x00453b96 10   11   .rdata        ascii   isAbsolute
898  0x000513a1 0x00453ba1 21   22   .rdata        ascii   isAbsFromCurrentDrive
899  0x000513b7 0x00453bb7 11   12   .rdata        ascii   isUNCPrefix
900  0x000513c3 0x00453bc3 8    9    .rdata        ascii   sameRoot
901  0x000513cc 0x00453bcc 12   13   .rdata        ascii   relativePath
902  0x000513d9 0x00453bd9 12   13   .rdata        ascii   isRelativeTo
903  0x000513e6 0x00453be6 14   15   .rdata        ascii   getAppFilename
904  0x000513f6 0x00453bf6 13   14   .rdata        ascii   getCurrentDir
905  0x00051404 0x00453c04 9    10   .rdata        ascii   getAppDir
906  0x0005140e 0x00453c0e 12   13   .rdata        ascii   parseCmdLine
907  0x0005141b 0x00453c1b 10   11   .rdata        ascii   paramCount
908  0x00051426 0x00453c26 8    9    .rdata        ascii   paramStr
909  0x0005142f 0x00453c2f 10   11   .rdata        ascii   IndexError
910  0x00051440 0x00453c40 112  113  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\indexerrors.nim
911  0x000514b1 0x00453cb1 12   13   .rdata        ascii   absolutePath
912  0x000514be 0x00453cbe 10   11   .rdata        ascii   ValueError
913  0x000514c9 0x00453cc9 12   13   .rdata        ascii   searchExtPos
914  0x000514d6 0x00453cd6 7    8    .rdata        ascii   normExt
915  0x000514de 0x00453cde 10   11   .rdata        ascii   addFileExt
916  0x000514e9 0x00453ce9 11   12   .rdata        ascii   getEnvVarsC
917  0x000514f8 0x00453cf8 113  114  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\includes\osenv.nim
918  0x0005156a 0x00453d6a 10   11   .rdata        ascii   findEnvVar
919  0x00051578 0x00453d78 6    7    .rdata        ascii   getEnv
920  0x0005157f 0x00453d7f 17   18   .rdata        ascii   quoteShellWindows
921  0x00051598 0x00453d98 110  111  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\iterators.nim
922  0x00051607 0x00453e07 10   11   .rdata        ascii   quoteShell
923  0x00051612 0x00453e12 10   11   .rdata        ascii   existsFile
924  0x0005161d 0x00453e1d 19   20   .rdata        ascii   exitStatusLikeShell
925  0x00051631 0x00453e31 12   13   .rdata        ascii   execShellCmd
926  0x0005163e 0x00453e3e 6    7    .rdata        ascii   putEnv
927  0x00051645 0x00453e45 15   16   .rdata        ascii   sameFileContent
928  0x00051655 0x00453e55 13   14   .rdata        ascii   tryRemoveFile
929  0x00051663 0x00453e63 10   11   .rdata        ascii   removeFile
930  0x0005166e 0x00453e6e 8    9    .rdata        ascii   copyFile
931  0x00051677 0x00453e77 18   19   .rdata        ascii   setFilePermissions
932  0x0005168a 0x00453e8a 18   19   .rdata        ascii   getFilePermissions
933  0x0005169d 0x00453e9d 19   20   .rdata        ascii   inclFilePermissions
934  0x000516b1 0x00453eb1 17   18   .rdata        ascii   quoteShellCommand
935  0x000516c3 0x00453ec3 12   13   .rdata        ascii   skipFindData
936  0x000516d0 0x00453ed0 12   13   .rdata        ascii   rawRemoveDir
937  0x000516dd 0x00453edd 9    10   .rdata        ascii   removeDir
938  0x000516e7 0x00453ee7 12   13   .rdata        ascii   rawCreateDir
939  0x000516f4 0x00453ef4 9    10   .rdata        ascii   existsDir
940  0x000516fe 0x00453efe 17   18   .rdata        ascii   existsOrCreateDir
941  0x00051710 0x00453f10 7    8    .rdata        ascii   IOError
942  0x00051718 0x00453f18 9    10   .rdata        ascii   createDir
943  0x00051722 0x00453f22 13   14   .rdata        ascii   changeFileExt
944  0x00051730 0x00453f30 15   16   .rdata        ascii   tryMoveFSObject
945  0x00051740 0x00453f40 8    9    .rdata        ascii   moveFile
946  0x00051749 0x00453f49 9    10   .rdata        ascii   existsEnv
947  0x00051753 0x00453f53 10   11   .rdata        ascii   getTempDir
948  0x0005175e 0x00453f5e 7    8    .rdata        ascii   copyDir
949  0x00051769 0x00453f69 10   11   .rdata        ascii   fpUserExec
950  0x00051774 0x00453f74 11   12   .rdata        ascii   fpUserWrite
951  0x00051780 0x00453f80 10   11   .rdata        ascii   fpUserRead
952  0x0005178b 0x00453f8b 11   12   .rdata        ascii   fpGroupExec
953  0x00051797 0x00453f97 12   13   .rdata        ascii   fpGroupWrite
954  0x000517a4 0x00453fa4 11   12   .rdata        ascii   fpGroupRead
955  0x000517b0 0x00453fb0 12   13   .rdata        ascii   fpOthersExec
956  0x000517bd 0x00453fbd 13   14   .rdata        ascii   fpOthersWrite
957  0x000517cb 0x00453fcb 12   13   .rdata        ascii   fpOthersRead
958  0x00051868 0x00454068 112  113  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\arithmetics.nim
959  0x000518d9 0x004540d9 6    7    .rdata        ascii   incRef
960  0x000518e0 0x004540e0 103  104  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\gc.nim
961  0x0005194b 0x0045414b 9    10   .rdata        ascii   usrToCell
962  0x00051958 0x00454158 112  113  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\comparisons.nim
963  0x000519c9 0x004541c9 9    10   .rdata        ascii   rtlAddZCT
964  0x000519d3 0x004541d3 6    7    .rdata        ascii   decRef
965  0x000519da 0x004541da 7    8    .rdata        ascii   asgnRef
966  0x000519e2 0x004541e2 13   14   .rdata        ascii   initOptParser
967  0x000519f0 0x004541f0 107  108  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\parseopt.nim
968  0x00051a60 0x00454260 112  113  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\iterators_1.nim
969  0x00051ad1 0x004542d1 11   12   .rdata        ascii   countBits64
970  0x00051ae0 0x004542e0 105  106  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\sets.nim
971  0x00051b4a 0x0045434a 7    8    .rdata        ascii   cardSet
972  0x00051b52 0x00454352 17   18   .rdata        ascii   handleShortOption
973  0x00051b64 0x00454364 9    10   .rdata        ascii   parseWord
974  0x00051b6e 0x0045436e 9    10   .rdata        ascii   eqStrings
975  0x00051b78 0x00454378 110  111  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\strmantle.nim
976  0x00051be7 0x004543e7 4    5    .rdata        ascii   find
977  0x00051bf0 0x004543f0 100  101  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system.nim
978  0x00051c58 0x00454458 110  111  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\iterators.nim
979  0x00051cc7 0x004544c7 8    9    .rdata        ascii   contains
980  0x00051cd0 0x004544d0 4    5    .rdata        ascii   next
981  0x00051cd8 0x004544d8 11   12   .rdata        ascii   cmdLineRest
982  0x00051ce8 0x004544e8 12   13   .rdata        ascii   inShortState
983  0x00051cf5 0x004544f5 25   26   .rdata        ascii   allowWhitespaceAfterColon
984  0x00051d0f 0x0045450f 10   11   .rdata        ascii   shortNoVal
985  0x00051d1a 0x0045451a 9    10   .rdata        ascii   longNoVal
986  0x00051d24 0x00454524 4    5    .rdata        ascii   cmds
987  0x00051d2d 0x0045452d 4    5    .rdata        ascii   kind
988  0x00051d3a 0x0045453a 6    7    .rdata        ascii   cmdEnd
989  0x00051d41 0x00454541 11   12   .rdata        ascii   cmdArgument
990  0x00051d4d 0x0045454d 13   14   .rdata        ascii   cmdLongOption
991  0x00051d5b 0x0045455b 14   15   .rdata        ascii   cmdShortOption
992  0x00051da0 0x004545a0 6    7    .rdata        ascii   rotl32
993  0x00051da8 0x004545a8 105  106  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\hashes.nim
994  0x00051e12 0x00454612 10   11   .rdata        ascii   murmurHash
995  0x00051e1d 0x0045461d 4    5    .rdata        ascii   hash
996  0x00051e30 0x00454630 5    6    .rdata        ascii   close
997  0x00051e38 0x00454638 106  107  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\streams.nim
998  0x00051ea3 0x004546a3 8    9    .rdata        ascii   readData
999  0x00051eac 0x004546ac 8    9    .rdata        ascii   readChar
1000 0x00051eb5 0x004546b5 8    9    .rdata        ascii   readLine
1001 0x00051ebe 0x004546be 9    10   .rdata        ascii   closeImpl
1002 0x00051ec8 0x004546c8 9    10   .rdata        ascii   atEndImpl
1003 0x00051ed2 0x004546d2 15   16   .rdata        ascii   setPositionImpl
1004 0x00051ee2 0x004546e2 15   16   .rdata        ascii   getPositionImpl
1005 0x00051ef2 0x004546f2 15   16   .rdata        ascii   readDataStrImpl
1006 0x00051f02 0x00454702 12   13   .rdata        ascii   readLineImpl
1007 0x00051f0f 0x0045470f 12   13   .rdata        ascii   readDataImpl
1008 0x00051f1c 0x0045471c 12   13   .rdata        ascii   peekDataImpl
1009 0x00051f29 0x00454729 13   14   .rdata        ascii   writeDataImpl
1010 0x00051f37 0x00454737 9    10   .rdata        ascii   flushImpl
1011 0x00051f6f 0x0045476f 9    10   .rdata        ascii   @kernel32
1012 0x00051f8f 0x0045478f 9    10   .rdata        ascii   @kernel32
1013 0x00051fa0 0x004547a0 15   16   .rdata        ascii   countProcessors
1014 0x00051fb0 0x004547b0 118  119  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\concurrency\cpuinfo.nim
1015 0x00052027 0x00454827 13   14   .rdata        ascii   GetSystemInfo
1016 0x0005204f 0x0045484f 16   17   .rdata        ascii   @\\.\pipe\stdout
1017 0x0005206f 0x0045486f 15   16   .rdata        ascii   @\\.\pipe\stdin
1018 0x0005208f 0x0045488f 132  133  .rdata        ascii   @C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\osproc.nim(613, 14) `args.len == 0` 
1019 0x0005216f 0x0045496f 45   46   .rdata        ascii   @Requested command not found: '$1'. OS error:
1020 0x000521af 0x004549af 221  222  .rdata        ascii   @C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\osproc.nim(726, 17) `poParentStreams notin p.options` API usage error: stream access not allowed when you use poParentStreams
1021 0x000522af 0x00454aaf 221  222  .rdata        ascii   @C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\osproc.nim(720, 17) `poParentStreams notin p.options` API usage error: stream access not allowed when you use poParentStreams
1022 0x000523cf 0x00454bcf 124  125  .rdata        ascii   @C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\osproc.nim(311, 10) `n > 0` 
1023 0x00052470 0x00454c70 17   18   .rdata        ascii   createPipeHandles
1024 0x00052488 0x00454c88 105  106  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\osproc.nim
1025 0x000524f2 0x00454cf2 5    6    .rdata        ascii   myDup
1026 0x000524f8 0x00454cf8 20   21   .rdata        ascii   createAllPipeHandles
1027 0x0005250e 0x00454d0e 16   17   .rdata        ascii   buildCommandLine
1028 0x00052520 0x00454d20 112  113  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system\iterators_1.nim
1029 0x00052591 0x00454d91 8    9    .rdata        ascii   buildEnv
1030 0x000525a0 0x00454da0 106  107  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\pure\strtabs.nim
1031 0x0005260b 0x00454e0b 9    10   .rdata        ascii   fileClose
1032 0x00052618 0x00454e18 100  101  .rdata        ascii   C:\Users\travis\build\nim-lang\nightlies\nim\be34b5abe23e027b71a3a9da67037aac7afea6bc\lib\system.nim
1033 0x0005267d 0x00454e7d 5    6    .rdata        ascii   close
