[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x00000091 0x00000091 4   5            ascii   L_ns
2     0x00000099 0x00000099 4   5            ascii   )Unf
3     0x000000b9 0x000000b9 4   5            ascii   )Wn]
4     0x000000bf 0x000000bf 6   7            ascii   nV*Kns
5     0x000000c7 0x000000c7 6   7            ascii   nV*Qnp
6     0x000000d7 0x000000d7 6   7            ascii   nV*Tnp
7     0x000000df 0x000000df 6   7            ascii   nRichq
8     0x000001e8 0x000001e8 5   6            ascii   .text
9     0x0000020f 0x0000020f 7   8            ascii   `.rdata
10    0x00000237 0x00000237 6   7            ascii   @.data
11    0x00000260 0x00000260 5   6            ascii   .vmp0
12    0x00000288 0x00000288 5   6            ascii   .vmp1
13    0x000002b0 0x000002b0 6   7            ascii   .reloc
14    0x000002d7 0x000002d7 6   7            ascii   @.rsrc
15    0x00000408 0x004db008 6   10   .vmp1   utf8    UߘJ`䰎b blocks=Basic Latin,NKo,CJK Unified Ideographs Extension A
16    0x0000041f 0x004db01f 4   5    .vmp1   ascii   \t+PS
17    0x00000433 0x004db033 6   7    .vmp1   ascii   oYhb\e(
18    0x00000461 0x004db061 4   5    .vmp1   ascii   b\a@@
19    0x00000466 0x004db066 4   8    .vmp1   utf8    늓wGd blocks=Hangul Syllables,Basic Latin
20    0x0000047e 0x004db07e 5   6    .vmp1   ascii   L/eEJ
21    0x00000498 0x004db098 4   5    .vmp1   ascii   ={.n
22    0x000004aa 0x004db0aa 6   8    .vmp1   utf8    i֔8[y3 blocks=Basic Latin,Hebrew
23    0x000004db 0x004db0db 4   5    .vmp1   ascii   m6x6
24    0x000005ed 0x004db1ed 5   7    .vmp1   utf8    FAӔ(O blocks=Basic Latin,Cyrillic
25    0x00000650 0x004db250 4   5    .vmp1   ascii   \LAh
26    0x0000066e 0x004db26e 4   7    .vmp1   utf8    6[Cق blocks=Basic Latin,Arabic
27    0x0000068e 0x004db28e 5   7    .vmp1   utf8    תK}m, blocks=Hebrew,Basic Latin
28    0x00000698 0x004db298 4   5    .vmp1   ascii   ]hi$
29    0x000006b6 0x004db2b6 4   5    .vmp1   ascii   <'\vp
30    0x000006c9 0x004db2c9 8   9    .vmp1   ascii   :\r9>73Y6
31    0x000006de 0x004db2de 6   7    .vmp1   ascii   W!G.(7
32    0x000006f3 0x004db2f3 6   7    .vmp1   ascii   @[HWlJ
33    0x0000072a 0x004db32a 5   6    .vmp1   ascii   ]Lp~W
34    0x0000073a 0x004db33a 5   6    .vmp1   ascii   Y.G\t1
35    0x00000743 0x004db343 5   6    .vmp1   ascii   lS<N*
36    0x0000075b 0x004db35b 5   6    .vmp1   ascii   "L@YV
37    0x00000769 0x004db369 4   5    .vmp1   ascii   \b&tQ
38    0x000007d3 0x004db3d3 4   5    .vmp1   ascii   k- \n
39    0x000007de 0x004db3de 4   5    .vmp1   ascii   G-\b\e
40    0x000007f1 0x004db3f1 5   7    .vmp1   utf8    ӭ+n5N blocks=Cyrillic,Basic Latin
41    0x00000803 0x004db403 8   9    .vmp1   ascii   2!\rnDpQ1
42    0x00000846 0x004db446 4   6    .vmp1   utf8    M+\nˮ blocks=Basic Latin,Spacing Modifier Letters
43    0x0000084f 0x004db44f 5   6    .vmp1   ascii   ;=QH3
44    0x0000085b 0x004db45b 4   5    .vmp1   ascii   \n[Y0
45    0x000008e2 0x004db4e2 4   5    .vmp1   ascii   a'8-
46    0x000008f1 0x004db4f1 7   8    .vmp1   ascii   *5Mw\va=
47    0x0000091d 0x004db51d 10  12   .vmp1   utf8    xGã\rwA=\epk blocks=Basic Latin,Latin-1 Supplement
48    0x000009a9 0x004db5a9 4   5    .vmp1   ascii   -uPu
49    0x000009c1 0x004db5c1 4   6    .vmp1   utf8    GHŕk blocks=Basic Latin,Latin Extended-A
50    0x000009cf 0x004db5cf 5   6    .vmp1   ascii   %\r\t>-
51    0x000009ef 0x004db5ef 4   5    .vmp1   ascii   'm^?
52    0x00000a26 0x004db626 7   9    .vmp1   utf8    #H9ޗ;\vt blocks=Basic Latin,Thaana
53    0x00000a4a 0x004db64a 5   6    .vmp1   ascii   +s%34
54    0x00000a91 0x004db691 4   5    .vmp1   ascii   U!Y\r
55    0x00000af5 0x004db6f5 5   7    .vmp1   utf8    ֥/-5/ blocks=Hebrew,Basic Latin
