[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000c5 0x000000c5 7   8            ascii   HoQRich
2    0x000001e0 0x000001e0 5   6            ascii   .text
3    0x00000207 0x00000207 7   8            ascii   `.rdata
4    0x00000210 0x00000210 4   20           utf32le 駆뀀騀頀 blocks=CJK Unified Ideographs,Hangul Syllables
5    0x0000022f 0x0000022f 6   7            ascii   @.data
6    0x00000258 0x00000258 5   6            ascii   .rsrc
7    0x0000027f 0x0000027f 7   8            ascii   @.reloc
8    0x00000423 0x00401023 5   6    .text   ascii   V+p>^
9    0x00000466 0x00401066 4   5    .text   ascii   1[1[
10   0x00000471 0x00401071 5   6    .text   ascii   \v1[1[
11   0x00000521 0x00401121 5   7    .text   utf8     ߖ<HV blocks=Basic Latin,NKo
12   0x00000540 0x00401140 4   5    .text   ascii   >\e&\b
13   0x000005a1 0x004011a1 6   7    .text   ascii   2k\v\n:7
14   0x000005e9 0x004011e9 4   5    .text   ascii   &nu 
15   0x00000624 0x00401224 4   5    .text   ascii   a."\r
16   0x000006b3 0x004012b3 4   5    .text   ascii   ~pI|
17   0x000006bc 0x004012bc 4   5    .text   ascii   {6::
18   0x00000713 0x00401313 4   6    .text   utf8    V\b̰M blocks=Basic Latin,Combining Diacritical Marks
19   0x0000078c 0x0040138c 6   7    .text   ascii   p#h~(#
20   0x000007a0 0x004013a0 5   6    .text   ascii   + wa 
21   0x000007e7 0x004013e7 4   5    .text   ascii   ~0CX
22   0x00000809 0x00401409 5   6    .text   ascii   25\fz?
23   0x000008f0 0x004014f0 4   5    .text   ascii   \b\aR~
24   0x00000961 0x00401561 5   7    .text   utf8    \fCtWp
25   0x00000985 0x00401585 4   5    .text   ascii    .b 
26   0x000009a4 0x004015a4 4   7    .text   utf8    `5㋭\e blocks=Basic Latin,Enclosed CJK Letters and Months
27   0x000009c6 0x004015c6 5   6    .text   ascii   L+@DF
28   0x000009f2 0x004015f2 4   5    .text   ascii   i1<0
29   0x00000a75 0x00401675 5   6    .text   ascii   \rt.`%
30   0x00000aa0 0x004016a0 4   5    .text   ascii   P S\r
31   0x00000b16 0x00401716 8   9    .text   ascii   T~`\t9\ah,
32   0x00000b45 0x00401745 4   6    .text   utf8    /[\b́ blocks=Basic Latin,Combining Diacritical Marks
33   0x00000b7b 0x0040177b 9   12   .text   utf8    \fn:蚀;Q~\+ blocks=Basic Latin,CJK Unified Ideographs
34   0x00000b95 0x00401795 4   5    .text   ascii   &pt 
35   0x00000bb0 0x004017b0 4   5    .text   ascii    gE~
36   0x00000bcc 0x004017cc 4   5    .text   ascii    )B\a
37   0x00000c30 0x00401830 4   5    .text   ascii   l_[~
38   0x00000c4d 0x0040184d 6   7    .text   ascii   50\a@Q-
39   0x00000ca2 0x004018a2 5   6    .text   ascii   =~&\rZ
40   0x00000cc9 0x004018c9 4   5    .text   ascii   &9u 
41   0x00000cde 0x004018de 4   5    .text   ascii   B \fe
42   0x00000d09 0x00401909 4   5    .text   ascii   1f%p
43   0x00000d84 0x00401984 6   7    .text   ascii   HQ&\a(#
44   0x00000dbf 0x004019bf 4   5    .text   ascii   }T\v:
45   0x00000de6 0x004019e6 5   6    .text   ascii   d%0<\a
46   0x00000e42 0x00401a42 5   6    .text   ascii   W~d2f
47   0x00000e5a 0x00401a5a 4   5    .text   ascii   |~`\t
48   0x00000e9d 0x00401a9d 4   6    .text   utf8    3ŁC> blocks=Basic Latin,Latin Extended-A
49   0x00000eae 0x00401aae 5   6    .text   ascii   xxx\fb
50   0x00000ed4 0x00401ad4 4   6    .text   utf8    ËD$\f blocks=Latin-1 Supplement,Basic Latin
51   0x00000f33 0x00401b33 4   5    .text   ascii   u=j<
52   0x00000f73 0x00401b73 4   5    .text   ascii   54OB
53   0x00000f93 0x00401b93 4   5    .text   ascii   EeSP
54   0x00000fec 0x00401bec 4   5    .text   ascii   5,OB
55   0x00001010 0x00401c10 4   5    .text   ascii   \r$OB
56   0x0000101a 0x00401c1a 8   9    .text   ascii   j@j4SQPS
57   0x000010a4 0x00401ca4 4   5    .text   ascii   t\rPh
58   0x00001116 0x00401d16 4   5    .text   ascii   v\vhx
59   0x00001149 0x00401d49 4   5    .text   ascii   \fF;u
60   0x0000115d 0x00401d5d 5   7    .text   utf8    u\vhԵ@ blocks=Basic Latin,Armenian
61   0x000011a5 0x00401da5 4   5    .text   ascii   \r$OB
62   0x000011b0 0x00401db0 4   5    .text   ascii   \r OB
63   0x000011fc 0x00401dfc 4   5    .text   ascii   =0OB
64   0x0000125c 0x00401e5c 4   5    .text   ascii   =4OB
65   0x00001281 0x00401e81 5   6    .text   ascii   +\r0OB
66   0x0000128b 0x00401e8b 4   5    .text   ascii   \r$OB
67   0x000012ab 0x00401eab 5   6    .text   ascii   @t09]
68   0x00001305 0x00401f05 4   5    .text   ascii   \r OB
69   0x0000130e 0x00401f0e 4   5    .text   ascii   \r$OB
70   0x00001315 0x00401f15 6   7    .text   ascii   A+\r4OB
71   0x0000134a 0x00401f4a 4   5    .text   ascii   =4OB
72   0x00001367 0x00401f67 4   5    .text   ascii   \r,OB
73   0x00001374 0x00401f74 4   5    .text   ascii   \r0OB
74   0x00001389 0x00401f89 4   5    .text   ascii   \r$OB
75   0x000013de 0x00401fde 4   5    .text   ascii   \r$OB
76   0x000013ff 0x00401fff 4   5    .text   ascii   \r OB
77   0x0000140f 0x0040200f 4   5    .text   ascii   \r$OB
78   0x00001428 0x00402028 4   5    .text   ascii   \r,OB
79   0x0000142d 0x0040202d 5   6    .text   ascii   9\r4OB
80   0x00001443 0x00402043 5   6    .text   ascii   9\r0OB
81   0x0000147b 0x0040207b 4   5    .text   ascii   \r,OB
82   0x00001496 0x00402096 4   5    .text   ascii   ~\f9]
83   0x000014c1 0x004020c1 4   5    .text   ascii   FVSS
84   0x000015ca 0x004021ca 4   5    .text   ascii   54OB
85   0x00001630 0x00402230 6   7    .text   ascii   EHPSj0
86   0x00001641 0x00402241 4   5    .text   ascii   E\bPV
87   0x00001665 0x00402265 4   5    .text   ascii   EHPW
88   0x00001677 0x00402277 4   5    .text   ascii   E\bPW
89   0x000016c0 0x004022c0 4   5    .text   ascii   ;uH}
90   0x000016d8 0x004022d8 4   5    .text   ascii   ;}L}
91   0x000016f5 0x004022f5 5   6    .text   ascii   SSWVS
92   0x00001712 0x00402312 4   5    .text   ascii   M`QP
93   0x0000171d 0x0040231d 4   5    .text   ascii   u`Sh
94   0x0000173f 0x0040233f 4   5    .text   ascii   E PR
95   0x0000176c 0x0040236c 4   5    .text   ascii   \r8OB
96   0x000017af 0x004023af 4   5    .text   ascii   \bh+B
97   0x00001885 0x00402485 4   5    .text   ascii   \r4OB
98   0x00001896 0x00402496 6   7    .text   ascii   B950OB
99   0x000018e1 0x004024e1 4   5    .text   ascii   \r OB
100  0x0000190a 0x0040250a 4   5    .text   ascii   54OB
101  0x00001976 0x00402576 4   5    .text   ascii   54OB
102  0x00001985 0x00402585 4   5    .text   ascii   \r4OB
103  0x000019ca 0x004025ca 7   9    .text   utf8    j0_W3ۍE blocks=Basic Latin,Arabic
104  0x00001ad4 0x004026d4 4   5    .text   ascii   \r0OB
105  0x00001b17 0x00402717 4   5    .text   ascii   u#9}
106  0x00001b1e 0x0040271e 5   6    .text   ascii   9=8OB
107  0x00001b7f 0x0040277f 4   6    .text   utf8    ̋T$\f blocks=Combining Diacritical Marks,Basic Latin
108  0x00001b8a 0x0040278a 7   9    .text   utf8    ti3\nD$\b
109  0x00001b9f 0x0040279f 4   5    .text   ascii   = mB
110  0x00001bb9 0x004027b9 5   7    .text   utf8    t\f+ш\a blocks=Basic Latin,Cyrillic
111  0x00001bf0 0x004027f0 7   9    .text   utf8    D$\b_ËD$ blocks=Basic Latin,Latin-1 Supplement
112  0x00001c00 0x00402800 4   5    .text   ascii   =\bmB
113  0x00001c16 0x00402816 4   5    .text   ascii   u\e95
114  0x00001c54 0x00402854 4   5    .text   ascii   <8=u
115  0x00001c75 0x00402875 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
116  0x00001cfb 0x004028fb 4   5    .text   ascii   j\fhp
117  0x00001d52 0x00402952 4   5    .text   ascii   E\fPV
118  0x00001dbe 0x004029be 4   5    .text   ascii   =HOB
119  0x00001df9 0x004029f9 5   6    .text   ascii   95(mB
120  0x00001dff 0x004029ff 5   6    .text   ascii   u\vVVj
121  0x00001e86 0x00402a86 4   5    .text   ascii   y\bj\e
122  0x00001eac 0x00402aac 4   5    .text   ascii   y\bj\b
123  0x00001ebd 0x00402abd 4   5    .text   ascii   y\bj\t
124  0x00001eeb 0x00402aeb 7   8    .text   ascii   j\nYQPVh
125  0x00001f21 0x00402b21 4   6    .text   utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
126  0x00001f69 0x00402b69 4   5    .text   ascii   \rTPB
127  0x00001f7b 0x00402b7b 4   5    .text   ascii   5HPB
128  0x00001f81 0x00402b81 4   5    .text   ascii   =DPB
129  0x00001f8f 0x00402b8f 4   5    .text   ascii   \rdPB
130  0x00001fa4 0x00402ba4 4   5    .text   ascii   %8PB
131  0x00001fab 0x00402bab 4   5    .text   ascii   -4PB
132  0x0000228b 0x00402e8b 4   5    .text   ascii   5tRB
133  0x000022b4 0x00402eb4 5   6    .text   ascii   PPPPP
134  0x000022f9 0x00402ef9 4   5    .text   ascii   Hpu\a
135  0x00002319 0x00402f19 4   5    .text   ascii   Hpu\b
136  0x00002379 0x00402f79 5   6    .text   ascii   9]\bu&
137  0x000023a4 0x00402fa4 4   5    .text   ascii   9]\ft
138  0x000023c8 0x00402fc8 4   5    .text   ascii   9X\bu
139  0x000024e0 0x004030e0 5   6    .text   ascii   QQSV3
140  0x000024fc 0x004030fc 5   6    .text   ascii   VVVVj
141  0x0000251d 0x0040311d 4   5    .text   ascii   tCVV
142  0x00002616 0x00403216 4   5    .text   ascii   ;u\fr
143  0x0000265d 0x0040325d 8   9    .text   ascii   uTVWhkR@
144  0x00002692 0x00403292 5   6    .text   ascii   _^t\eh
145  0x0000270b 0x0040330b 4   5    .text   ascii   5\fmB
146  0x00002715 0x00403315 5   9    .text   utf8    }ԉ]܉} blocks=Basic Latin,Cyrillic Supplement,Syriac
147  0x0000274e 0x0040334e 4   5    .text   ascii   5\fmB
148  0x00002760 0x00403360 6   10   .text   utf8    ]܉]ЉE؋ blocks=Basic Latin,Syriac,Cyrillic,Arabic
149  0x000027e4 0x004033e4 4   5    .text   ascii   t\bj\b
150  0x00002863 0x00403463 4   5    .text   ascii   U\bVW
151  0x000028b8 0x004034b8 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
152  0x000028dd 0x004034dd 5   7    .text   utf8    j\rX]Ë blocks=Basic Latin,Latin-1 Supplement
153  0x00002943 0x00403543 4   6    .text   utf8    0^]Ë blocks=Basic Latin,Latin-1 Supplement
154  0x00002981 0x00403581 5   7    .text   utf8    @_^Ã$ blocks=Basic Latin,Latin-1 Supplement
155  0x000029f1 0x004035f1 4   6    .text   utf8    4ŐBB blocks=Basic Latin,Latin Extended-A
156  0x00002acb 0x004036cb 4   6    .text   utf8    4ŐBB blocks=Basic Latin,Latin Extended-A
157  0x00002afb 0x004036fb 4   5    .text   ascii   9E\fv
158  0x00002b06 0x00403706 8   9    .text   ascii   t\a@A;E\fr
159  0x00002b6f 0x0040376f 5   6    .text   ascii   Y__^[
160  0x00002b8e 0x0040378e 4   5    .text   ascii   s\b35
161  0x00002c63 0x00403863 4   5    .text   ascii   9csm
162  0x00002c9f 0x0040389f 6   7    .text   ascii   E\f9X\ft
163  0x00002e47 0x00403a47 5   7    .text   utf8    Y]ËE\f blocks=Basic Latin,Latin-1 Supplement
164  0x00002f0b 0x00403b0b 4   5    .text   ascii   uNSW
165  0x00002f95 0x00403b95 4   5    .text   ascii   A\f@t
166  0x00002fce 0x00403bce 4   5    .text   ascii   C\f@V
167  0x000030cb 0x00403ccb 6   7    .text   ascii   F\f@u^V
168  0x000031e9 0x00403de9 6   7    .text   ascii   \bt%HHt
169  0x00003274 0x00403e74 4   7    .text   utf8    ʍD\bЉ blocks=IPA Extensions,Basic Latin,Cyrillic
170  0x000032c5 0x00403ec5 4   7    .text   utf8    ʍD\bЉ blocks=IPA Extensions,Basic Latin,Cyrillic
171  0x00003427 0x00404027 10  11   .text   ascii   HHt$HHt\bHH
172  0x00003643 0x00404243 4   5    .text   ascii    t\ff
173  0x000036db 0x004042db 4   6    .text   utf8    gucǅ blocks=Basic Latin,Latin Extended-B
174  0x000037d4 0x004043d4 4   5    .text   ascii   5\fNB
175  0x0000393c 0x0040453c 4   5    .text   ascii   RPWS
176  0x00003987 0x00404587 4   5    .text   ascii   90tW
177  0x0000399c 0x0040459c 7   8    .text   ascii   ?If90t\a
178  0x00003a9b 0x0040469b 5   6    .text   ascii   \bYYt.
179  0x00003c3c 0x0040483c 4   5    .text   ascii   8csm
180  0x00003c73 0x00404873 4   5    .text   ascii   h1H@
181  0x00003c86 0x00404886 6   8    .text   utf8    3\vM\b;\f
182  0x00003cbf 0x004048bf 4   5    .text   ascii   u\bWV
183  0x00003d67 0x00404967 5   6    .text   ascii   PPPPP
184  0x00003d7b 0x0040497b 4   5    .text   ascii   <v*V
185  0x00003de8 0x004049e8 6   7    .text   ascii   ^SSSSS
186  0x00003e04 0x00404a04 6   8    .text   utf8    tA3\n\fG
187  0x00003e15 0x00404a15 5   6    .text   ascii   Gt\b@=
188  0x00003fba 0x00404bba 4   5    .text   ascii   vdj\b
189  0x00003fd5 0x00404bd5 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
190  0x00003fed 0x00404bed 4   5    .text   ascii   5$mB
191  0x00003ffd 0x00404bfd 4   5    .text   ascii   < w\b
192  0x00004007 0x00404c07 8   10   .text   utf8    t$<"u\t3Ʌ blocks=Basic Latin,Latin Extended-B
193  0x00004028 0x00404c28 5   6    .text   ascii   < w\aF
194  0x00004048 0x00404c48 4   5    .text   ascii   5@OB
195  0x00004087 0x00404c87 6   8    .text   utf8    tˋ5@OB blocks=Basic Latin,Spacing Modifier Letters
196  0x000040af 0x00404caf 5   6    .text   ascii   t?VSP
197  0x000040cb 0x00404ccb 4   5    .text   ascii   5@OB
198  0x000040d6 0x00404cd6 4   5    .text   ascii   %@OB
199  0x000040eb 0x00404ceb 4   5    .text   ascii   Y[_^
200  0x00004109 0x00404d09 5   6    .text   ascii   PPPPP
201  0x0000412e 0x00404d2e 5   6    .text   ascii   9E\bt\t
202  0x000041ee 0x00404dee 4   5    .text   ascii   >"u&
203  0x00004238 0x00404e38 10  11   .text   ascii   u\b< tK<\ttG
204  0x0000429f 0x00404e9f 4   5    .text   ascii   E\b^[
205  0x00004384 0x00404f84 5   6    .text   ascii   wf93t
206  0x0000438d 0x00404f8d 4   5    .text   ascii   f90u
207  0x00004395 0x00404f95 4   5    .text   ascii   f90u
208  0x000043a1 0x00404fa1 4   5    .text   ascii   VVV+
209  0x000043a9 0x00404fa9 5   6    .text   ascii   @PSVV
