[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000090 0x00000090 4   6            utf8    \n,Hƴ blocks=Basic Latin,Latin Extended-B
2    0x000000a0 0x000000a0 4   6            utf8    \n,KƦ blocks=Basic Latin,Latin Extended-B
3    0x000000e8 0x000000e8 4   5            ascii   Rich
4    0x000001f8 0x000001f8 5   6            ascii   .text
5    0x0000021f 0x0000021f 7   8            ascii   `.rdata
6    0x00000247 0x00000247 6   7            ascii   @.data
7    0x00000270 0x00000270 6   7            ascii   .gfids
8    0x00000297 0x00000297 6   7            ascii   @.rsrc
9    0x000002bf 0x000002bf 7   8            ascii   @.reloc
10   0x000005e1 0x004011e1 4   6    .text   utf8    3KM\b
11   0x000006d2 0x004012d2 4   5    .text   ascii   U Rj
12   0x00000996 0x00401596 4   5    .text   ascii   u}%h
13   0x00000ac1 0x004016c1 4   5    .text   ascii   Rj\ah
14   0x00000d06 0x00401906 4   5    .text   ascii   u}%h
15   0x00000e5e 0x00401a5e 4   5    .text   ascii   Rj\ah
16   0x00001238 0x00401e38 4   5    .text   ascii   \fh`\a
17   0x000013d7 0x00401fd7 4   5    .text   ascii   \fh`\a
18   0x00001694 0x00402294 4   5    .text   ascii   \fh`\a
19   0x00001833 0x00402433 4   5    .text   ascii   \fh`\a
20   0x00001976 0x00402576 4   7    .text   utf8    E\bP蚵 blocks=Basic Latin,CJK Unified Ideographs
21   0x00001d60 0x00402960 4   6    .text   utf8    RhؓA blocks=Basic Latin,Arabic
22   0x00002070 0x00402c70 4   7    .text   utf8    U\bR蠮 blocks=Basic Latin,CJK Unified Ideographs
23   0x00002468 0x00403068 4   7    .text   utf8    M\bQ訪 blocks=Basic Latin,CJK Unified Ideographs
24   0x000025ec 0x004031ec 4   5    .text   ascii   t|h 
25   0x000030c5 0x00403cc5 4   5    .text   ascii   t|hp
26   0x0000335e 0x00403f5e 4   5    .text   ascii   !FwE
27   0x00003398 0x00403f98 4   5    .text   ascii   4YWE
28   0x000033ad 0x00403fad 4   5    .text   ascii   C)yq
29   0x000036e8 0x004042e8 5   8    .text   utf8    3\tE܉E blocks=Basic Latin,Syriac
30   0x00003d1e 0x0040491e 4   5    .text   ascii   =TtF
