[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
756  0x00018859 0x00443459 4   5    .text   ascii   j8h 
757  0x0001886f 0x0044346f 4   6    .text   utf8    ̋U\fR blocks=Combining Diacritical Marks,Basic Latin
758  0x00018875 0x00443475 4   5    .text   ascii   E\bPj
759  0x000188c9 0x004434c9 4   5    .text   ascii   jDh 
760  0x000189b8 0x004435b8 5   6    .text   ascii   \fB#M\f
761  0x00018ae6 0x004436e6 4   5    .text   ascii   =<`I
762  0x00018af2 0x004436f2 4   5    .text   ascii   \r\bLI
763  0x00018afa 0x004436fa 4   5    .text   ascii   A#E\f
764  0x00018b33 0x00443733 6   7    .text   ascii   URPQQh
765  0x00018b49 0x00443749 6   8    .text   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
766  0x00018b5e 0x0044375e 4   5    .text   ascii   L$,3
767  0x00018bb0 0x004437b0 6   8    .text   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
768  0x00018c16 0x00443816 4   5    .text   ascii   UVWS
769  0x00018c28 0x00443828 5   7    .text   utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
770  0x00018c49 0x00443849 4   5    .text   ascii   SVWj
771  0x00018c50 0x00443850 4   5    .text   ascii   h[8D
772  0x00018c5b 0x0044385b 4   5    .text   ascii   _^[]
773  0x00018c62 0x00443862 5   6    .text   ascii   l$\bRQ
774  0x00018e1d 0x00443a1d 4   5    .text   ascii   =h`I
775  0x00018ed2 0x00443ad2 4   5    .text   ascii   =x`I
776  0x00018ef8 0x00443af8 4   5    .text   ascii   \rt`I
777  0x00018f1c 0x00443b1c 6   8    .text   utf8    Eԋ\rx`I blocks=Basic Latin,Cyrillic Supplement
778  0x00018f82 0x00443b82 4   5    .text   ascii   \rl`I
779  0x00018fbb 0x00443bbb 4   5    .text   ascii   \rp`I
780  0x00019182 0x00443d82 4   6    .text   utf8    \f3҃} blocks=Basic Latin,Cyrillic
781  0x0001940f 0x0044400f 4   5    .text   ascii   U\f+U
782  0x00019417 0x00444017 5   6    .text   ascii   ;U\fsQ
783  0x0001941d 0x0044401d 4   5    .text   ascii   E\f+E
784  0x0001943e 0x0044403e 4   5    .text   ascii   E\f+E
785  0x00019447 0x00444047 7   10   .text   utf8    M\f+ȉM̋U blocks=Basic Latin,Latin Extended-B,Combining Diacritical Marks
786  0x00019458 0x00444058 4   5    .text   ascii   E\f+E
787  0x000196cd 0x004442cd 4   6    .text   utf8    \f3҃} blocks=Basic Latin,Cyrillic
788  0x00019787 0x00444387 4   5    .text   ascii   ;U\fr
789  0x000198f7 0x004444f7 4   5    .text   ascii   M\f+M
790  0x000198ff 0x004444ff 5   6    .text   ascii   ;M\fsQ
791  0x00019905 0x00444505 4   5    .text   ascii   U\f+U
792  0x00019926 0x00444526 4   5    .text   ascii   U\f+U
793  0x00019940 0x00444540 4   5    .text   ascii   U\f+U
794  0x00019a9e 0x0044469e 5   7    .text   utf8    u"hțH blocks=Basic Latin,Latin Extended-B
795  0x00019aa7 0x004446a7 4   5    .text   ascii   jthP
796  0x00019ad5 0x004446d5 4   5    .text   ascii   jthP
797  0x00019b27 0x00444727 4   5    .text   ascii   jyhP
798  0x00019b55 0x00444755 4   5    .text   ascii   jyhP
799  0x00019c2e 0x0044482e 5   7    .text   utf8    u%hțH blocks=Basic Latin,Latin Extended-B
800  0x00019da2 0x004449a2 4   5    .text   ascii   SVWP
801  0x00019e5e 0x00444a5e 4   5    .text   ascii   hXLI
802  0x00019ef5 0x00444af5 4   5    .text   ascii   hHDH
803  0x00019fc6 0x00444bc6 4   5    .text   ascii   hdrH
804  0x0001a0e1 0x00444ce1 4   5    .text   ascii   hHDH
805  0x0001a13b 0x00444d3b 4   5    .text   ascii   U\fRh
806  0x0001a1c1 0x00444dc1 4   5    .text   ascii   hdrH
807  0x0001a4d8 0x004450d8 4   7    .text   utf8    twƅп blocks=Basic Latin,Latin Extended-B,Cyrillic
808  0x0001a563 0x00445163 6   7    .text   ascii   u\vhXLI
809  0x0001a581 0x00445181 4   5    .text   ascii   Y_^[
810  0x0001a7a7 0x004453a7 4   5    .text   ascii   hH6I
811  0x0001a7d2 0x004453d2 4   5    .text   ascii   SVWP
812  0x0001a892 0x00445492 4   5    .text   ascii   hXLI
813  0x0001a9f0 0x004455f0 4   5    .text   ascii   h0wH
814  0x0001ab65 0x00445765 4   5    .text   ascii   E\fPh
815  0x0001abeb 0x004457eb 4   5    .text   ascii   h0wH
816  0x0001af6d 0x00445b6d 4   5    .text   ascii   Pt5j
817  0x0001b09b 0x00445c9b 6   7    .text   ascii   u\vhXLI
818  0x0001b0b9 0x00445cb9 4   5    .text   ascii   Y_^[
819  0x0001b34e 0x00445f4e 4   5    .text   ascii   j7hh
820  0x0001b378 0x00445f78 4   5    .text   ascii   j7hh
821  0x0001b3a2 0x00445fa2 4   5    .text   ascii   U\f;U
822  0x0001b3ae 0x00445fae 4   5    .text   ascii   E\fPj
823  0x0001b3be 0x00445fbe 4   6    .text   utf8    \f3҃} blocks=Basic Latin,Cyrillic
824  0x0001b3d8 0x00445fd8 4   5    .text   ascii   j=hh
825  0x0001b402 0x00446002 4   5    .text   ascii   j=hh
826  0x0001b423 0x00446023 4   5    .text   ascii   M\f;M
827  0x0001b439 0x00446039 4   5    .text   ascii   j>hh
828  0x0001b463 0x00446063 4   5    .text   ascii   j>hh
829  0x0001b6f7 0x004462f7 6   10   .text   utf8    UȉE血`I blocks=Basic Latin,Latin Extended-B,CJK Unified Ideographs
830  0x0001b7ce 0x004463ce 4   6    .text   utf8    3Ƀ}\f blocks=Basic Latin,Latin Extended-B
831  0x0001b7d6 0x004463d6 4   7    .text   utf8    IMЃ} blocks=Basic Latin,Cyrillic
832  0x0001b840 0x00446440 4   7    .text   utf8    \tẼ} blocks=Basic Latin,Combining Diacritical Marks
833  0x0001b848 0x00446448 4   5    .text   ascii   u!h@
834  0x0001bd5e 0x0044695e 5   7    .text   utf8    3ҋE\bf blocks=Basic Latin,Cyrillic
835  0x0001be68 0x00446a68 5   7    .text   utf8    3\vM\bf
836  0x0001bf4a 0x00446b4a 4   5    .text   ascii   U\f+U
837  0x0001bf52 0x00446b52 5   6    .text   ascii   ;U\fsS
838  0x0001bf58 0x00446b58 4   5    .text   ascii   E\f+E
839  0x0001bf79 0x00446b79 4   5    .text   ascii   E\f+E
840  0x0001bf82 0x00446b82 7   10   .text   utf8    M\f+ȉM؋U blocks=Basic Latin,Latin Extended-B,Arabic
841  0x0001bf95 0x00446b95 4   5    .text   ascii   E\f+E
842  0x0001c094 0x00446c94 4   5    .text   ascii   t\nj\n
843  0x0001c0b9 0x00446cb9 4   5    .text   ascii   \r|LI
844  0x0001c207 0x00446e07 11  13   .text   utf8    U\b#U\f\vʉ\r|LI blocks=Basic Latin,IPA Extensions
845  0x0001c2d7 0x00446ed7 5   6    .text   ascii   \bSVWd
846  0x0001c345 0x00446f45 4   5    .text   ascii   \bSVW
847  0x0001c34d 0x00446f4d 16  34   .text   utf16le jjj䖋僸䶋儔喋刐䖋倌䶋儈峨﹐菿 blocks=Basic Latin,CJK Unified Ideographs Extension A,CJK Unified Ideographs,Small Form Variants
848  0x0001c395 0x00446f95 4   5    .text   ascii   \bSVW
849  0x0001c3e5 0x00446fe5 4   5    .text   ascii   \bSVW
850  0x0001c440 0x00447040 4   5    .text   ascii   B(Pj
851  0x0001c50b 0x0044710b 5   6    .text   ascii   H\b3M\f
852  0x0001c526 0x00447126 4   5    .text   ascii   Q\fRj
853  0x0001c58e 0x0044718e 4   6    .text   utf8    EܐrD blocks=Basic Latin,Syriac
854  0x0001c69c 0x0044729c 5   6    .text   ascii   H\b3M\f
855  0x0001c6d8 0x004472d8 4   5    .text   ascii   B\fPj
856  0x0001c70a 0x0044730a 5   11   .text   utf16le jjjjj
857  0x0001c7ad 0x004473ad 4   5    .text   ascii   ;H\b~
858  0x0001c7c2 0x004473c2 4   6    .text   utf8    }̋E\b blocks=Basic Latin,Combining Diacritical Marks
859  0x0001c7d1 0x004473d1 5   6    .text   ascii   :;x\fw
860  0x0001c865 0x00447465 5   6    .text   ascii   M\b9\bt
861  0x0001cc40 0x00447840 5   7    .text   utf8    P3Ƀ}( blocks=Basic Latin,Latin Extended-B
862  0x0001cc8b 0x0044788b 6   8    .text   utf8    MԍT\t\bR blocks=Basic Latin,Cyrillic Supplement
863  0x0001cd2d 0x0044792d 5   6    .text   ascii   ;U ~\n
864  0x0001cd6e 0x0044796e 5   8    .text   utf8    E܉EЃ} blocks=Basic Latin,Syriac,Cyrillic
865  0x0001cdf2 0x004479f2 4   9    .text   utf16le jjjj
866  0x0001d01f 0x00447c1f 5   7    .text   utf8    u!hЬH blocks=Basic Latin,Cyrillic
867  0x0001d098 0x00447c98 5   7    .text   utf8    ۋE\f+E blocks=Arabic,Basic Latin
868  0x0001d277 0x00447e77 5   7    .text   utf8    P3Ƀ}$ blocks=Basic Latin,Latin Extended-B
869  0x0001d2bf 0x00447ebf 4   5    .text   ascii   T\t\bR
870  0x0001d4a6 0x004480a6 4   5    .text   ascii   =<`I
871  0x0001d586 0x00448186 4   5    .text   ascii   =<`I
872  0x0001d666 0x00448266 4   5    .text   ascii   =<`I
873  0x0001d746 0x00448346 4   5    .text   ascii   =<`I
874  0x0001d836 0x00448436 4   5    .text   ascii   =<`I
875  0x0001d916 0x00448516 4   5    .text   ascii   =<`I
876  0x0001d9f6 0x004485f6 4   5    .text   ascii   =<`I
877  0x0001dae6 0x004486e6 4   5    .text   ascii   =<`I
878  0x0001dbd6 0x004487d6 4   5    .text   ascii   =<`I
879  0x0001dcc6 0x004488c6 4   5    .text   ascii   =<`I
880  0x0001dda6 0x004489a6 4   5    .text   ascii   =<`I
881  0x0001de2b 0x00448a2b 5   6    .text   ascii   }\b_t\t
882  0x0001de77 0x00448a77 5   6    .text   ascii   }\b_t\t
883  0x0001debb 0x00448abb 5   6    .text   ascii   }\b_t\t
884  0x0001e10a 0x00448d0a 4   5    .text   ascii   T\t\bR
885  0x0001e36b 0x00448f6b 4   5    .text   ascii   oV f
886  0x0001e370 0x00448f70 4   5    .text   ascii   o^0f
887  0x0001e388 0x00448f88 4   5    .text   ascii   of@f
888  0x0001e38d 0x00448f8d 4   5    .text   ascii   onPf
889  0x0001e392 0x00448f92 4   5    .text   ascii   ov`f
890  0x0001e397 0x00448f97 4   5    .text   ascii   o~pf
891  0x0001e42b 0x0044902b 7   8    .text   ascii   ^_u\b^_]
892  0x0001e575 0x00449175 4   5    .text   ascii   E\b^_
893  0x0001e581 0x00449181 4   5    .text   ascii   E\b^_
894  0x0001e593 0x00449193 4   5    .text   ascii   E\b^_
895  0x0001e5ad 0x004491ad 4   5    .text   ascii   E\b^_
896  0x0001e711 0x00449311 4   5    .text   ascii   E\b^_
897  0x0001e71f 0x0044931f 4   5    .text   ascii   E\b^_
898  0x0001e735 0x00449335 4   5    .text   ascii   E\b^_
899  0x0001e74f 0x0044934f 4   5    .text   ascii   E\b^_
900  0x0001e868 0x00449468 7   8    .text   ascii   Hp#\r4KI
901  0x0001e8ad 0x004494ad 5   6    .text   ascii   toj@h
902  0x0001ea34 0x00449634 4   5    .text   ascii   \bRj2
903  0x0001ea55 0x00449655 4   5    .text   ascii   \fRj3
904  0x0001ead5 0x004496d5 5   6    .text   ascii   U\bRj7
905  0x0001eaf7 0x004496f7 4   5    .text   ascii    Rj*
906  0x0001eb18 0x00449718 4   5    .text   ascii   $Rj+
907  0x0001eb39 0x00449739 4   5    .text   ascii   (Rj,
908  0x0001eb5a 0x0044975a 4   5    .text   ascii   ,Rj-
909  0x0001eb7b 0x0044977b 4   5    .text   ascii   0Rj.
910  0x0001eb9c 0x0044979c 4   5    .text   ascii   4Rj/
911  0x0001ebde 0x004497de 4   5    .text   ascii   8RjD
912  0x0001ebff 0x004497ff 4   5    .text   ascii   <RjE
913  0x0001ec20 0x00449820 4   5    .text   ascii   @RjF
914  0x0001ec41 0x00449841 4   5    .text   ascii   DRjG
915  0x0001ec62 0x00449862 4   5    .text   ascii   HRjH
916  0x0001ec83 0x00449883 4   5    .text   ascii   LRjI
917  0x0001eca4 0x004498a4 4   5    .text   ascii   PRjJ
918  0x0001ecc5 0x004498c5 4   5    .text   ascii   TRjK
919  0x0001ece6 0x004498e6 4   5    .text   ascii   XRjL
920  0x0001ed07 0x00449907 4   5    .text   ascii   \RjM
921  0x0001ed28 0x00449928 4   5    .text   ascii   `RjN
922  0x0001ed49 0x00449949 4   5    .text   ascii   dRjO
923  0x0001ed6a 0x0044996a 4   5    .text   ascii   hRj8
924  0x0001ed8b 0x0044998b 4   5    .text   ascii   lRj9
925  0x0001edac 0x004499ac 4   5    .text   ascii   pRj:
926  0x0001edcd 0x004499cd 4   5    .text   ascii   tRj;
927  0x0001edee 0x004499ee 4   5    .text   ascii   xRj<
928  0x0001ee0f 0x00449a0f 4   5    .text   ascii   |Rj=
929  0x0001f729 0x0044a329 4   5    .text   ascii   \r|MI
930  0x0001f78a 0x0044a38a 4   5    .text   ascii   w!h`
931  0x0001f991 0x0044a591 6   7    .text   ascii   \b;\rtMI
932  0x0001fbbc 0x0044a7bc 4   5    .text   ascii    RjP
933  0x0001fbdd 0x0044a7dd 4   5    .text   ascii   $RjQ
934  0x0001fc40 0x0044a840 4   5    .text   ascii   *RjT
935  0x0001fc61 0x0044a861 4   5    .text   ascii   +RjU
936  0x0001fc82 0x0044a882 4   5    .text   ascii   ,RjV
937  0x0001fca3 0x0044a8a3 4   5    .text   ascii   -RjW
938  0x0001fcc4 0x0044a8c4 4   5    .text   ascii   .RjR
939  0x0001fce5 0x0044a8e5 4   5    .text   ascii   /RjS
940  0x0001fdf0 0x0044a9f0 4   5    .text   ascii   w!h`
941  0x00020064 0x0044ac64 4   5    .text   ascii   H\f;\r
942  0x0002011e 0x0044ad1e 4   5    .text   ascii   H$;\r
943  0x000201e9 0x0044ade9 4   5    .text   ascii   Q0Rj
944  0x0002030c 0x0044af0c 5   8    .text   utf8    M܉Mă} blocks=Basic Latin,Syriac,Latin Extended-A
945  0x000206c6 0x0044b2c6 4   7    .text   utf8    ̋E\bǀ blocks=Combining Diacritical Marks,Basic Latin,Latin Extended-B
946  0x000208c8 0x0044b4c8 7   8    .text   ascii   Hp#\r4KI
947  0x00020968 0x0044b568 7   8    .text   ascii   Hp#\r4KI
948  0x000209c8 0x0044b5c8 7   8    .text   ascii   Hp#\r4KI
949  0x00020a28 0x0044b628 7   8    .text   ascii   Hp#\r4KI
950  0x00020b91 0x0044b791 5   8    .text   utf8    E܉E܋U blocks=Basic Latin,Syriac
951  0x00020de6 0x0044b9e6 5   8    .text   utf8    E܉E܋U blocks=Basic Latin,Syriac
952  0x000210d2 0x0044bcd2 5   8    .text   utf8    E؋M܉\f blocks=Basic Latin,Arabic,Syriac
953  0x00021135 0x0044bd35 5   8    .text   utf8    M؋U܉T blocks=Basic Latin,Arabic,Syriac
954  0x000211bb 0x0044bdbb 5   8    .text   utf8    U؋E܉D blocks=Basic Latin,Arabic,Syriac
955  0x00021220 0x0044be20 5   8    .text   utf8    U؋E܉D blocks=Basic Latin,Arabic,Syriac
956  0x00021287 0x0044be87 4   7    .text   utf8    M؋U܉ blocks=Basic Latin,Arabic,Syriac
957  0x000212e7 0x0044bee7 6   10   .text   utf8    U܋E؋M܉ blocks=Basic Latin,Syriac,Arabic
958  0x0002134a 0x0044bf4a 6   10   .text   utf8    E܋M؋U܉ blocks=Basic Latin,Syriac,Arabic
959  0x000213ad 0x0044bfad 6   10   .text   utf8    U܋E؋M܉ blocks=Basic Latin,Syriac,Arabic
960  0x00021410 0x0044c010 6   10   .text   utf8    E܋M؋U܉ blocks=Basic Latin,Syriac,Arabic
961  0x000216a1 0x0044c2a1 4   6    .text   utf8    3҃}\b blocks=Basic Latin,Cyrillic
962  0x0002171a 0x0044c31a 4   6    .text   utf8    3Ƀ}\f blocks=Basic Latin,Latin Extended-B
963  0x00021722 0x0044c322 4   7    .text   utf8    IMԃ} blocks=Basic Latin,Cyrillic Supplement
964  0x000217a1 0x0044c3a1 4   7    .text   utf8    IMЃ} blocks=Basic Latin,Cyrillic
965  0x000217a9 0x0044c3a9 4   5    .text   ascii   u!hx
966  0x00021837 0x0044c437 4   6    .text   utf8    E܋M\f blocks=Basic Latin,Syriac
967  0x0002186f 0x0044c46f 4   7    .text   utf8    IM̃} blocks=Basic Latin,Combining Diacritical Marks
968  0x00021877 0x0044c477 4   5    .text   ascii   u!hP
969  0x00021a1a 0x0044c61a 4   5    .text   ascii   M\f+M
970  0x00021db2 0x0044c9b2 4   5    .text   ascii   u!h\b
971  0x00021e5a 0x0044ca5a 4   5    .text   ascii   u!h\b
972  0x0002201c 0x0044cc1c 4   5    .text   ascii   u!hx
973  0x0002222f 0x0044ce2f 4   5    .text   ascii   u!hX
974  0x000222d9 0x0044ced9 4   5    .text   ascii   u!h\b
975  0x000224fa 0x0044d0fa 4   5    .text   ascii   u!hH
976  0x000227a9 0x0044d3a9 4   5    .text   ascii   u!hX
977  0x00022902 0x0044d502 4   5    .text   ascii   u!h\f
978  0x000229c6 0x0044d5c6 4   5    .text   ascii   u!hx
979  0x00022a79 0x0044d679 4   6    .text   utf8    3҃y  blocks=Basic Latin,Cyrillic
980  0x00022ab8 0x0044d6b8 4   5    .text   ascii   u!h 
981  0x00022b9f 0x0044d79f 4   5    .text   ascii   \t\n\v\f
982  0x0002304d 0x0044dc4d 6   7    .text   ascii   M\f;\bsj
983  0x000233db 0x0044dfdb 4   7    .text   utf8    UċEă blocks=Basic Latin,Latin Extended-A
984  0x000237b5 0x0044e3b5 4   5    .text   ascii   u!h@
985  0x000238c1 0x0044e4c1 4   5    .text   ascii   u!h@
986  0x00023981 0x0044e581 25  26   .text   ascii   \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n
987  0x0002399b 0x0044e59b 6   7    .text   ascii   \n\n\n\n\n\n
988  0x000239a2 0x0044e5a2 4   5    .text   ascii   \n\n\n\n
989  0x000239a7 0x0044e5a7 19  20   .text   ascii   \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n
990  0x000239c2 0x0044e5c2 4   5    .text   ascii   \n\n\n\n
991  0x000239c7 0x0044e5c7 12  13   .text   ascii   \n\n\n\n\n\a\b\n\n\n\n\t
992  0x00023c28 0x0044e828 7   8    .text   ascii   Hp#\r4KI
993  0x00023c78 0x0044e878 4   5    .text   ascii   t&:a
994  0x00023d16 0x0044e916 8   9    .text   ascii   PPPPPPPP
995  0x00023f46 0x0044eb46 8   9    .text   ascii   PPPPPPPP
996  0x000240b9 0x0044ecb9 5   8    .text   utf8    E܋M܉M blocks=Basic Latin,Syriac
997  0x00024d7e 0x0044f97e 5   6    .text   ascii   Qj@hP
998  0x00025352 0x0044ff52 4   5    .text   ascii   ;A\fu
999  0x000254ab 0x004500ab 5   6    .text   ascii   ;B\fuP
1000 0x00025ba5 0x004507a5 4   5    .text   ascii   uEj\b
1001 0x00025bff 0x004507ff 4   5    .text   ascii   u#j\b
1002 0x00025d3a 0x0045093a 5   6    .text   ascii   9E\bt,
1003 0x00025ee5 0x00450ae5 4   5    .text   ascii   jdhH
1004 0x00025ffc 0x00450bfc 4   5    .text   ascii   B\f%\f
1005 0x00026054 0x00450c54 7   8    .text   ascii   \n+H\by!h
1006 0x000260ff 0x00450cff 4   5    .text   ascii    t7j
1007 0x0002629c 0x00450e9c 4   6    .text   utf8    3Ƀ}\b blocks=Basic Latin,Latin Extended-B
1008 0x000263fc 0x00450ffc 4   6    .text   utf8    t\fǅ\b blocks=Basic Latin,Latin Extended-B
1009 0x00026427 0x00451027 4   5    .text   ascii   u!h 
1010 0x00026499 0x00451099 4   6    .text   utf8    3Ƀ}\f blocks=Basic Latin,Latin Extended-B
1011 0x00026708 0x00451308 7   11   .text   utf8    UԉU؋E؉E blocks=Basic Latin,Cyrillic Supplement,Arabic
1012 0x000267ea 0x004513ea 4   6    .text   utf8    T\bЉU blocks=Basic Latin,Cyrillic
1013 0x000270e5 0x00451ce5 4   7    .text   utf8    MЋUЃ blocks=Basic Latin,Cyrillic
1014 0x0002721a 0x00451e1a 4   7    .text   utf8    +E䉅D blocks=Basic Latin,CJK Unified Ideographs Extension A
1015 0x00027c1e 0x0045281e 4   6    .text   utf8    3Ƀ}\f blocks=Basic Latin,Latin Extended-B
1016 0x00027c26 0x00452826 4   7    .text   utf8    IMԃ} blocks=Basic Latin,Cyrillic Supplement
1017 0x00027c37 0x00452837 4   5    .text   ascii   jph(
1018 0x00027c61 0x00452861 4   5    .text   ascii   jph(
1019 0x00027c8a 0x0045288a 4   7    .text   utf8    \tEЃ} blocks=Basic Latin,Cyrillic
1020 0x00027c9b 0x0045289b 4   5    .text   ascii   juh(
1021 0x00027cc5 0x004528c5 4   5    .text   ascii   juh(
1022 0x00027e1e 0x00452a1e 4   6    .text   utf8    3Ƀ}\f blocks=Basic Latin,Latin Extended-B
1023 0x00027e26 0x00452a26 4   7    .text   utf8    IMԃ} blocks=Basic Latin,Cyrillic Supplement
1024 0x00027f06 0x00452b06 4   5    .text   ascii   E\fPj
1025 0x00027f0c 0x00452b0c 5   6    .text   ascii   M\bQhD
1026 0x00027f3e 0x00452b3e 5   6    .text   ascii   U\bRhD
1027 0x00027f66 0x00452b66 4   5    .text   ascii   E\fPj
1028 0x00027f6c 0x00452b6c 4   5    .text   ascii   M\bQh
1029 0x00027f9e 0x00452b9e 4   5    .text   ascii   U\bRh
1030 0x00027fd6 0x00452bd6 4   7    .text   utf8    IMԃ} blocks=Basic Latin,Cyrillic Supplement
1031 0x00027fe7 0x00452be7 4   5    .text   ascii   jph(
1032 0x00028011 0x00452c11 4   5    .text   ascii   jph(
1033 0x0002804f 0x00452c4f 5   8    .text   utf8    ẺEЃ} blocks=Basic Latin,Combining Diacritical Marks,Cyrillic
1034 0x00028061 0x00452c61 4   5    .text   ascii   jsh(
1035 0x0002808b 0x00452c8b 4   5    .text   ascii   jsh(
1036 0x00028217 0x00452e17 5   6    .text   ascii   E\bPhD
1037 0x00028279 0x00452e79 5   6    .text   ascii   M\bQhD
1038 0x000283ca 0x00452fca 4   5    .text   ascii   U\bRh
1039 0x0002845c 0x0045305c 4   5    .text   ascii   u!hL
1040 0x000284ce 0x004530ce 5   6    .text   ascii   ;E\fsG
1041 0x000284f7 0x004530f7 5   7    .text   utf8    U\f+щU blocks=Basic Latin,Cyrillic
1042 0x0002870a 0x0045330a 4   5    .text   ascii   M\f;M
1043 0x00028733 0x00453333 4   5    .text   ascii   M\bQh
1044 0x00028761 0x00453361 5   6    .text   ascii   ;U\fsH
1045 0x0002878b 0x0045338b 5   7    .text   utf8    M\f+ȉM blocks=Basic Latin,Latin Extended-B
1046 0x000287b4 0x004533b4 4   5    .text   ascii   8"u\n
1047 0x000287e7 0x004533e7 4   5    .text   ascii   M\bQh
1048 0x00028816 0x00453416 4   5    .text   ascii   8"u\n
1049 0x000288af 0x004534af 4   5    .text   ascii   u!hL
1050 0x00028920 0x00453520 5   6    .text   ascii   ;U\fsH
1051 0x0002894a 0x0045354a 7   10   .text   utf8    M\f+ȉM؋U blocks=Basic Latin,Latin Extended-B,Arabic
1052 0x00028980 0x00453580 4   7    .text   utf8    EԋEԋ blocks=Basic Latin,Cyrillic Supplement
1053 0x00028ab7 0x004536b7 4   5    .text   ascii   E\bPh
1054 0x00028b19 0x00453719 4   5    .text   ascii   M\bQh
1055 0x00028be6 0x004537e6 4   5    .text   ascii   E\fPh
1056 0x00028c36 0x00453836 4   5    .text   ascii   E\fPj
1057 0x00028c3d 0x0045383d 4   7    .text   utf8    M\bQ蔀 blocks=Basic Latin,CJK Unified Ideographs
1058 0x00028c59 0x00453859 4   7    .text   utf8    E\bP螂 blocks=Basic Latin,CJK Unified Ideographs
1059 0x00028c76 0x00453876 4   5    .text   ascii   E\fPj
1060 0x00028cb6 0x004538b6 4   5    .text   ascii   E\fPj
1061 0x00028cf6 0x004538f6 4   5    .text   ascii   E\fPh
1062 0x00028d46 0x00453946 5   6    .text   ascii   E\fPj\b
1063 0x00028d69 0x00453969 4   7    .text   utf8    E\bP莁 blocks=Basic Latin,CJK Unified Ideographs
1064 0x00028d86 0x00453986 4   5    .text   ascii   E\fPj
1065 0x00028dc6 0x004539c6 5   6    .text   ascii   E\fPh\a
1066 0x00028e16 0x00453a16 5   6    .text   ascii   E\fPhW
1067 0x00028e4c 0x00453a4c 4   7    .text   utf8    E\bP諀 blocks=Basic Latin,CJK Unified Ideographs
1068 0x00028e66 0x00453a66 4   5    .text   ascii   E\fPh
1069 0x00028eb6 0x00453ab6 5   6    .text   ascii   E\fPj 
1070 0x00028f17 0x00453b17 5   6    .text   ascii   E\fPh\a
1071 0x00028fb7 0x00453bb7 4   5    .text   ascii   E\fPh
1072 0x0002904f 0x00453c4f 5   6    .text   ascii   SVWUj
1073 0x00029057 0x00453c57 4   5    .text   ascii   hd<E
1074 0x00029064 0x00453c64 4   5    .text   ascii   ]_^[
1075 0x0002906a 0x00453c6a 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
1076 0x000290bc 0x00453cbc 4   5    .text   ascii   hl<E
1077 0x000290f0 0x00453cf0 6   7    .text   ascii   ;t$,v-
1078 0x0002914b 0x00453d4b 6   7    .text   ascii   R\f9Q\bu
1079 0x00029173 0x00453d73 10  11   .text   ascii   k\fUQPXY]Y[
1080 0x000291fc 0x00453dfc 7   9    .text   utf8    v\b3\vM\bf
1081 0x00029206 0x00453e06 4   6    .text   utf8    3҃}\f blocks=Basic Latin,Cyrillic
1082 0x0002921f 0x00453e1f 4   5    .text   ascii   jEhx
1083 0x00029249 0x00453e49 4   5    .text   ascii   jEhx
1084 0x000292db 0x00453edb 4   7    .text   utf8    U\b뱋E blocks=Basic Latin,Hangul Syllables
1085 0x000292ff 0x00453eff 4   5    .text   ascii   U\bRj
1086 0x00029305 0x00453f05 5   6    .text   ascii   E\fPj\t
1087 0x00029356 0x00453f56 5   7    .text   utf8    3ɋU\bf blocks=Basic Latin,Latin Extended-B
1088 0x000293d8 0x00453fd8 5   7    .text   utf8    3ҋE\bf blocks=Basic Latin,Cyrillic
1089 0x0002941d 0x0045401d 4   5    .text   ascii   E\fPj
1090 0x0002944a 0x0045404a 5   7    .text   utf8    3\vM\bf
1091 0x000294b9 0x004540b9 5   6    .text   ascii   U\fRj\t
1092 0x00029636 0x00454236 4   5    .text   ascii   =<`I
1093 0x0002963e 0x0045423e 4   5    .text   ascii   h LI
1094 0x00029731 0x00454331 7   9    .text   utf8    tY3ҋE\ff blocks=Basic Latin,Cyrillic
1095 0x000297d3 0x004543d3 4   5    .text   ascii   u!h@
1096 0x00029866 0x00454466 7   9    .text   utf8    tX3\vM\ff
1097 0x00029903 0x00454503 5   7    .text   utf8    3ɋU\ff blocks=Basic Latin,Latin Extended-B
1098 0x0002996a 0x0045456a 4   5    .text   ascii   u!h\b
1099 0x00029bb1 0x004547b1 4   5    .text   ascii   jfhP
1100 0x00029bdb 0x004547db 4   5    .text   ascii   jfhP
1101 0x00029c13 0x00454813 4   5    .text   ascii   jghP
1102 0x00029c3d 0x0045483d 4   5    .text   ascii   jghP
1103 0x00029cb4 0x004548b4 4   6    .text   utf8    \f3҃} blocks=Basic Latin,Cyrillic
1104 0x00029cd4 0x004548d4 4   5    .text   ascii   jihP
1105 0x00029d3e 0x0045493e 5   8    .text   utf8    UЉU܃} blocks=Basic Latin,Cyrillic,Syriac
1106 0x00029d50 0x00454950 4   5    .text   ascii   jjhP
1107 0x00029d7a 0x0045497a 4   5    .text   ascii   jjhP
