[Strings]
nth  paddr      vaddr      len  size section  type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
347  0x00009a28 0x10009a28 95   96   UPX0     ascii    !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`ABCDEFGHIJKLMNOPQRSTUVWXYZ{|}~
348  0x00009b08 0x10009b08 10   22   UPX0     utf16le USER32.DLL
349  0x00009b20 0x10009b20 11   12   UPX0     ascii   MessageBoxW
350  0x00009b2c 0x10009b2c 15   16   UPX0     ascii   GetActiveWindow
351  0x00009b3c 0x10009b3c 18   19   UPX0     ascii   GetLastActivePopup
352  0x00009b50 0x10009b50 25   26   UPX0     ascii   GetUserObjectInformationW
353  0x00009b6c 0x10009b6c 23   24   UPX0     ascii   GetProcessWindowStation
354  0x0000a9e0 0x1000a9e0 6    14   UPX0     utf16le zh-CHS
355  0x0000abe4 0x1000abe4 5    12   UPX0     utf16le ar-SA
356  0x0000abf0 0x1000abf0 5    12   UPX0     utf16le bg-BG
357  0x0000abfc 0x1000abfc 5    12   UPX0     utf16le ca-ES
358  0x0000ac08 0x1000ac08 5    12   UPX0     utf16le cs-CZ
359  0x0000ac14 0x1000ac14 5    12   UPX0     utf16le da-DK
360  0x0000ac20 0x1000ac20 5    12   UPX0     utf16le de-DE
361  0x0000ac2c 0x1000ac2c 5    12   UPX0     utf16le el-GR
362  0x0000ac38 0x1000ac38 5    12   UPX0     utf16le fi-FI
363  0x0000ac44 0x1000ac44 5    12   UPX0     utf16le fr-FR
364  0x0000ac50 0x1000ac50 5    12   UPX0     utf16le he-IL
365  0x0000ac5c 0x1000ac5c 5    12   UPX0     utf16le hu-HU
366  0x0000ac68 0x1000ac68 5    12   UPX0     utf16le is-IS
367  0x0000ac74 0x1000ac74 5    12   UPX0     utf16le it-IT
368  0x0000ac80 0x1000ac80 5    12   UPX0     utf16le nl-NL
369  0x0000ac8c 0x1000ac8c 5    12   UPX0     utf16le nb-NO
370  0x0000ac98 0x1000ac98 5    12   UPX0     utf16le pl-PL
371  0x0000aca4 0x1000aca4 5    12   UPX0     utf16le pt-BR
372  0x0000acb0 0x1000acb0 5    12   UPX0     utf16le ro-RO
373  0x0000acbc 0x1000acbc 5    12   UPX0     utf16le ru-RU
374  0x0000acc8 0x1000acc8 5    12   UPX0     utf16le hr-HR
375  0x0000acd4 0x1000acd4 5    12   UPX0     utf16le sk-SK
376  0x0000ace0 0x1000ace0 5    12   UPX0     utf16le sq-AL
377  0x0000acec 0x1000acec 5    12   UPX0     utf16le sv-SE
378  0x0000acf8 0x1000acf8 5    12   UPX0     utf16le th-TH
379  0x0000ad04 0x1000ad04 5    12   UPX0     utf16le tr-TR
380  0x0000ad10 0x1000ad10 5    12   UPX0     utf16le ur-PK
381  0x0000ad1c 0x1000ad1c 5    12   UPX0     utf16le id-ID
382  0x0000ad28 0x1000ad28 5    12   UPX0     utf16le uk-UA
383  0x0000ad34 0x1000ad34 5    12   UPX0     utf16le be-BY
384  0x0000ad40 0x1000ad40 5    12   UPX0     utf16le sl-SI
385  0x0000ad4c 0x1000ad4c 5    12   UPX0     utf16le et-EE
386  0x0000ad58 0x1000ad58 5    12   UPX0     utf16le lv-LV
387  0x0000ad64 0x1000ad64 5    12   UPX0     utf16le lt-LT
388  0x0000ad70 0x1000ad70 5    12   UPX0     utf16le fa-IR
389  0x0000ad7c 0x1000ad7c 5    12   UPX0     utf16le vi-VN
390  0x0000ad88 0x1000ad88 5    12   UPX0     utf16le hy-AM
391  0x0000ad94 0x1000ad94 10   22   UPX0     utf16le az-AZ-Latn
392  0x0000adac 0x1000adac 5    12   UPX0     utf16le eu-ES
393  0x0000adb8 0x1000adb8 5    12   UPX0     utf16le mk-MK
394  0x0000adc4 0x1000adc4 5    12   UPX0     utf16le tn-ZA
395  0x0000add0 0x1000add0 5    12   UPX0     utf16le xh-ZA
396  0x0000addc 0x1000addc 5    12   UPX0     utf16le zu-ZA
397  0x0000ade8 0x1000ade8 5    12   UPX0     utf16le af-ZA
398  0x0000adf4 0x1000adf4 5    12   UPX0     utf16le ka-GE
399  0x0000ae00 0x1000ae00 5    12   UPX0     utf16le fo-FO
400  0x0000ae0c 0x1000ae0c 5    12   UPX0     utf16le hi-IN
401  0x0000ae18 0x1000ae18 5    12   UPX0     utf16le mt-MT
402  0x0000ae24 0x1000ae24 5    12   UPX0     utf16le se-NO
403  0x0000ae30 0x1000ae30 5    12   UPX0     utf16le ms-MY
404  0x0000ae3c 0x1000ae3c 5    12   UPX0     utf16le kk-KZ
405  0x0000ae48 0x1000ae48 5    12   UPX0     utf16le ky-KG
406  0x0000ae54 0x1000ae54 5    12   UPX0     utf16le sw-KE
407  0x0000ae60 0x1000ae60 10   22   UPX0     utf16le uz-UZ-Latn
408  0x0000ae78 0x1000ae78 5    12   UPX0     utf16le tt-RU
409  0x0000ae84 0x1000ae84 5    12   UPX0     utf16le bn-IN
410  0x0000ae90 0x1000ae90 5    12   UPX0     utf16le pa-IN
411  0x0000ae9c 0x1000ae9c 5    12   UPX0     utf16le gu-IN
412  0x0000aea8 0x1000aea8 5    12   UPX0     utf16le ta-IN
413  0x0000aeb4 0x1000aeb4 5    12   UPX0     utf16le te-IN
414  0x0000aec0 0x1000aec0 5    12   UPX0     utf16le kn-IN
415  0x0000aecc 0x1000aecc 5    12   UPX0     utf16le ml-IN
416  0x0000aed8 0x1000aed8 5    12   UPX0     utf16le mr-IN
417  0x0000aee4 0x1000aee4 5    12   UPX0     utf16le sa-IN
418  0x0000aef0 0x1000aef0 5    12   UPX0     utf16le mn-MN
419  0x0000aefc 0x1000aefc 5    12   UPX0     utf16le cy-GB
420  0x0000af08 0x1000af08 5    12   UPX0     utf16le gl-ES
421  0x0000af14 0x1000af14 6    14   UPX0     utf16le kok-IN
422  0x0000af24 0x1000af24 6    14   UPX0     utf16le syr-SY
423  0x0000af34 0x1000af34 6    14   UPX0     utf16le div-MV
424  0x0000af44 0x1000af44 6    14   UPX0     utf16le quz-BO
425  0x0000af54 0x1000af54 5    12   UPX0     utf16le ns-ZA
426  0x0000af60 0x1000af60 5    12   UPX0     utf16le mi-NZ
427  0x0000af6c 0x1000af6c 5    12   UPX0     utf16le ar-IQ
428  0x0000af78 0x1000af78 5    12   UPX0     utf16le de-CH
429  0x0000af84 0x1000af84 5    12   UPX0     utf16le en-GB
430  0x0000af90 0x1000af90 5    12   UPX0     utf16le es-MX
431  0x0000af9c 0x1000af9c 5    12   UPX0     utf16le fr-BE
432  0x0000afa8 0x1000afa8 5    12   UPX0     utf16le it-CH
433  0x0000afb4 0x1000afb4 5    12   UPX0     utf16le nl-BE
434  0x0000afc0 0x1000afc0 5    12   UPX0     utf16le nn-NO
435  0x0000afcc 0x1000afcc 5    12   UPX0     utf16le pt-PT
436  0x0000afd8 0x1000afd8 10   22   UPX0     utf16le sr-SP-Latn
437  0x0000aff0 0x1000aff0 5    12   UPX0     utf16le sv-FI
438  0x0000affc 0x1000affc 10   22   UPX0     utf16le az-AZ-Cyrl
439  0x0000b014 0x1000b014 5    12   UPX0     utf16le se-SE
440  0x0000b020 0x1000b020 5    12   UPX0     utf16le ms-BN
441  0x0000b02c 0x1000b02c 10   22   UPX0     utf16le uz-UZ-Cyrl
442  0x0000b044 0x1000b044 6    14   UPX0     utf16le quz-EC
443  0x0000b054 0x1000b054 5    12   UPX0     utf16le ar-EG
444  0x0000b060 0x1000b060 5    12   UPX0     utf16le zh-HK
445  0x0000b06c 0x1000b06c 5    12   UPX0     utf16le de-AT
446  0x0000b078 0x1000b078 5    12   UPX0     utf16le en-AU
447  0x0000b084 0x1000b084 5    12   UPX0     utf16le es-ES
448  0x0000b090 0x1000b090 5    12   UPX0     utf16le fr-CA
449  0x0000b09c 0x1000b09c 10   22   UPX0     utf16le sr-SP-Cyrl
450  0x0000b0b4 0x1000b0b4 5    12   UPX0     utf16le se-FI
451  0x0000b0c0 0x1000b0c0 6    14   UPX0     utf16le quz-PE
452  0x0000b0d0 0x1000b0d0 5    12   UPX0     utf16le ar-LY
453  0x0000b0dc 0x1000b0dc 5    12   UPX0     utf16le zh-SG
454  0x0000b0e8 0x1000b0e8 5    12   UPX0     utf16le de-LU
455  0x0000b0f4 0x1000b0f4 5    12   UPX0     utf16le en-CA
456  0x0000b100 0x1000b100 5    12   UPX0     utf16le es-GT
457  0x0000b10c 0x1000b10c 5    12   UPX0     utf16le fr-CH
458  0x0000b118 0x1000b118 5    12   UPX0     utf16le hr-BA
459  0x0000b124 0x1000b124 6    14   UPX0     utf16le smj-NO
460  0x0000b134 0x1000b134 5    12   UPX0     utf16le ar-DZ
461  0x0000b140 0x1000b140 5    12   UPX0     utf16le zh-MO
462  0x0000b14c 0x1000b14c 5    12   UPX0     utf16le de-LI
463  0x0000b158 0x1000b158 5    12   UPX0     utf16le en-NZ
464  0x0000b164 0x1000b164 5    12   UPX0     utf16le es-CR
465  0x0000b170 0x1000b170 5    12   UPX0     utf16le fr-LU
466  0x0000b17c 0x1000b17c 10   22   UPX0     utf16le bs-BA-Latn
467  0x0000b194 0x1000b194 6    14   UPX0     utf16le smj-SE
468  0x0000b1a4 0x1000b1a4 5    12   UPX0     utf16le ar-MA
469  0x0000b1b0 0x1000b1b0 5    12   UPX0     utf16le en-IE
470  0x0000b1bc 0x1000b1bc 5    12   UPX0     utf16le es-PA
471  0x0000b1c8 0x1000b1c8 5    12   UPX0     utf16le fr-MC
472  0x0000b1d4 0x1000b1d4 10   22   UPX0     utf16le sr-BA-Latn
473  0x0000b1ec 0x1000b1ec 6    14   UPX0     utf16le sma-NO
474  0x0000b1fc 0x1000b1fc 5    12   UPX0     utf16le ar-TN
475  0x0000b208 0x1000b208 5    12   UPX0     utf16le en-ZA
476  0x0000b214 0x1000b214 5    12   UPX0     utf16le es-DO
477  0x0000b220 0x1000b220 10   22   UPX0     utf16le sr-BA-Cyrl
478  0x0000b238 0x1000b238 6    14   UPX0     utf16le sma-SE
479  0x0000b248 0x1000b248 5    12   UPX0     utf16le ar-OM
480  0x0000b254 0x1000b254 5    12   UPX0     utf16le en-JM
481  0x0000b260 0x1000b260 5    12   UPX0     utf16le es-VE
482  0x0000b26c 0x1000b26c 6    14   UPX0     utf16le sms-FI
483  0x0000b27c 0x1000b27c 5    12   UPX0     utf16le ar-YE
484  0x0000b288 0x1000b288 5    12   UPX0     utf16le en-CB
485  0x0000b294 0x1000b294 5    12   UPX0     utf16le es-CO
486  0x0000b2a0 0x1000b2a0 6    14   UPX0     utf16le smn-FI
487  0x0000b2b0 0x1000b2b0 5    12   UPX0     utf16le ar-SY
488  0x0000b2bc 0x1000b2bc 5    12   UPX0     utf16le en-BZ
489  0x0000b2c8 0x1000b2c8 5    12   UPX0     utf16le es-PE
490  0x0000b2d4 0x1000b2d4 5    12   UPX0     utf16le ar-JO
491  0x0000b2e0 0x1000b2e0 5    12   UPX0     utf16le en-TT
492  0x0000b2ec 0x1000b2ec 5    12   UPX0     utf16le es-AR
493  0x0000b2f8 0x1000b2f8 5    12   UPX0     utf16le ar-LB
494  0x0000b304 0x1000b304 5    12   UPX0     utf16le en-ZW
495  0x0000b310 0x1000b310 5    12   UPX0     utf16le es-EC
496  0x0000b31c 0x1000b31c 5    12   UPX0     utf16le ar-KW
497  0x0000b328 0x1000b328 5    12   UPX0     utf16le en-PH
498  0x0000b334 0x1000b334 5    12   UPX0     utf16le es-CL
499  0x0000b340 0x1000b340 5    12   UPX0     utf16le ar-AE
500  0x0000b34c 0x1000b34c 5    12   UPX0     utf16le es-UY
501  0x0000b358 0x1000b358 5    12   UPX0     utf16le ar-BH
502  0x0000b364 0x1000b364 5    12   UPX0     utf16le es-PY
503  0x0000b370 0x1000b370 5    12   UPX0     utf16le ar-QA
504  0x0000b37c 0x1000b37c 5    12   UPX0     utf16le es-BO
505  0x0000b388 0x1000b388 5    12   UPX0     utf16le es-SV
506  0x0000b394 0x1000b394 5    12   UPX0     utf16le es-HN
507  0x0000b3a0 0x1000b3a0 5    12   UPX0     utf16le es-NI
508  0x0000b3ac 0x1000b3ac 5    12   UPX0     utf16le es-PR
509  0x0000b3b8 0x1000b3b8 6    14   UPX0     utf16le zh-CHT
510  0x0000b3d0 0x1000b3d0 5    12   UPX0     utf16le af-za
511  0x0000b3dc 0x1000b3dc 5    12   UPX0     utf16le ar-ae
512  0x0000b3e8 0x1000b3e8 5    12   UPX0     utf16le ar-bh
513  0x0000b3f4 0x1000b3f4 5    12   UPX0     utf16le ar-dz
514  0x0000b400 0x1000b400 5    12   UPX0     utf16le ar-eg
515  0x0000b40c 0x1000b40c 5    12   UPX0     utf16le ar-iq
516  0x0000b418 0x1000b418 5    12   UPX0     utf16le ar-jo
517  0x0000b424 0x1000b424 5    12   UPX0     utf16le ar-kw
518  0x0000b430 0x1000b430 5    12   UPX0     utf16le ar-lb
519  0x0000b43c 0x1000b43c 5    12   UPX0     utf16le ar-ly
520  0x0000b448 0x1000b448 5    12   UPX0     utf16le ar-ma
521  0x0000b454 0x1000b454 5    12   UPX0     utf16le ar-om
522  0x0000b460 0x1000b460 5    12   UPX0     utf16le ar-qa
523  0x0000b46c 0x1000b46c 5    12   UPX0     utf16le ar-sa
524  0x0000b478 0x1000b478 5    12   UPX0     utf16le ar-sy
525  0x0000b484 0x1000b484 5    12   UPX0     utf16le ar-tn
526  0x0000b490 0x1000b490 5    12   UPX0     utf16le ar-ye
527  0x0000b49c 0x1000b49c 10   22   UPX0     utf16le az-az-cyrl
528  0x0000b4b4 0x1000b4b4 10   22   UPX0     utf16le az-az-latn
529  0x0000b4cc 0x1000b4cc 5    12   UPX0     utf16le be-by
530  0x0000b4d8 0x1000b4d8 5    12   UPX0     utf16le bg-bg
531  0x0000b4e4 0x1000b4e4 5    12   UPX0     utf16le bn-in
532  0x0000b4f0 0x1000b4f0 10   22   UPX0     utf16le bs-ba-latn
533  0x0000b508 0x1000b508 5    12   UPX0     utf16le ca-es
534  0x0000b514 0x1000b514 5    12   UPX0     utf16le cs-cz
535  0x0000b520 0x1000b520 5    12   UPX0     utf16le cy-gb
536  0x0000b52c 0x1000b52c 5    12   UPX0     utf16le da-dk
537  0x0000b538 0x1000b538 5    12   UPX0     utf16le de-at
538  0x0000b544 0x1000b544 5    12   UPX0     utf16le de-ch
539  0x0000b550 0x1000b550 5    12   UPX0     utf16le de-de
540  0x0000b55c 0x1000b55c 5    12   UPX0     utf16le de-li
541  0x0000b568 0x1000b568 5    12   UPX0     utf16le de-lu
542  0x0000b574 0x1000b574 6    14   UPX0     utf16le div-mv
543  0x0000b584 0x1000b584 5    12   UPX0     utf16le el-gr
544  0x0000b590 0x1000b590 5    12   UPX0     utf16le en-au
545  0x0000b59c 0x1000b59c 5    12   UPX0     utf16le en-bz
546  0x0000b5a8 0x1000b5a8 5    12   UPX0     utf16le en-ca
547  0x0000b5b4 0x1000b5b4 5    12   UPX0     utf16le en-cb
548  0x0000b5c0 0x1000b5c0 5    12   UPX0     utf16le en-gb
549  0x0000b5cc 0x1000b5cc 5    12   UPX0     utf16le en-ie
550  0x0000b5d8 0x1000b5d8 5    12   UPX0     utf16le en-jm
551  0x0000b5e4 0x1000b5e4 5    12   UPX0     utf16le en-nz
552  0x0000b5f0 0x1000b5f0 5    12   UPX0     utf16le en-ph
553  0x0000b5fc 0x1000b5fc 5    12   UPX0     utf16le en-tt
554  0x0000b608 0x1000b608 5    12   UPX0     utf16le en-us
555  0x0000b614 0x1000b614 5    12   UPX0     utf16le en-za
556  0x0000b620 0x1000b620 5    12   UPX0     utf16le en-zw
557  0x0000b62c 0x1000b62c 5    12   UPX0     utf16le es-ar
558  0x0000b638 0x1000b638 5    12   UPX0     utf16le es-bo
559  0x0000b644 0x1000b644 5    12   UPX0     utf16le es-cl
560  0x0000b650 0x1000b650 5    12   UPX0     utf16le es-co
561  0x0000b65c 0x1000b65c 5    12   UPX0     utf16le es-cr
562  0x0000b668 0x1000b668 5    12   UPX0     utf16le es-do
563  0x0000b674 0x1000b674 5    12   UPX0     utf16le es-ec
564  0x0000b680 0x1000b680 5    12   UPX0     utf16le es-es
565  0x0000b68c 0x1000b68c 5    12   UPX0     utf16le es-gt
566  0x0000b698 0x1000b698 5    12   UPX0     utf16le es-hn
567  0x0000b6a4 0x1000b6a4 5    12   UPX0     utf16le es-mx
568  0x0000b6b0 0x1000b6b0 5    12   UPX0     utf16le es-ni
569  0x0000b6bc 0x1000b6bc 5    12   UPX0     utf16le es-pa
570  0x0000b6c8 0x1000b6c8 5    12   UPX0     utf16le es-pe
571  0x0000b6d4 0x1000b6d4 5    12   UPX0     utf16le es-pr
572  0x0000b6e0 0x1000b6e0 5    12   UPX0     utf16le es-py
573  0x0000b6ec 0x1000b6ec 5    12   UPX0     utf16le es-sv
574  0x0000b6f8 0x1000b6f8 5    12   UPX0     utf16le es-uy
575  0x0000b704 0x1000b704 5    12   UPX0     utf16le es-ve
576  0x0000b710 0x1000b710 5    12   UPX0     utf16le et-ee
577  0x0000b71c 0x1000b71c 5    12   UPX0     utf16le eu-es
578  0x0000b728 0x1000b728 5    12   UPX0     utf16le fa-ir
579  0x0000b734 0x1000b734 5    12   UPX0     utf16le fi-fi
580  0x0000b740 0x1000b740 5    12   UPX0     utf16le fo-fo
581  0x0000b74c 0x1000b74c 5    12   UPX0     utf16le fr-be
582  0x0000b758 0x1000b758 5    12   UPX0     utf16le fr-ca
583  0x0000b764 0x1000b764 5    12   UPX0     utf16le fr-ch
584  0x0000b770 0x1000b770 5    12   UPX0     utf16le fr-fr
585  0x0000b77c 0x1000b77c 5    12   UPX0     utf16le fr-lu
586  0x0000b788 0x1000b788 5    12   UPX0     utf16le fr-mc
587  0x0000b794 0x1000b794 5    12   UPX0     utf16le gl-es
588  0x0000b7a0 0x1000b7a0 5    12   UPX0     utf16le gu-in
589  0x0000b7ac 0x1000b7ac 5    12   UPX0     utf16le he-il
590  0x0000b7b8 0x1000b7b8 5    12   UPX0     utf16le hi-in
591  0x0000b7c4 0x1000b7c4 5    12   UPX0     utf16le hr-ba
592  0x0000b7d0 0x1000b7d0 5    12   UPX0     utf16le hr-hr
593  0x0000b7dc 0x1000b7dc 5    12   UPX0     utf16le hu-hu
594  0x0000b7e8 0x1000b7e8 5    12   UPX0     utf16le hy-am
595  0x0000b7f4 0x1000b7f4 5    12   UPX0     utf16le id-id
596  0x0000b800 0x1000b800 5    12   UPX0     utf16le is-is
597  0x0000b80c 0x1000b80c 5    12   UPX0     utf16le it-ch
598  0x0000b818 0x1000b818 5    12   UPX0     utf16le it-it
599  0x0000b824 0x1000b824 5    12   UPX0     utf16le ja-jp
600  0x0000b830 0x1000b830 5    12   UPX0     utf16le ka-ge
601  0x0000b83c 0x1000b83c 5    12   UPX0     utf16le kk-kz
602  0x0000b848 0x1000b848 5    12   UPX0     utf16le kn-in
603  0x0000b854 0x1000b854 6    14   UPX0     utf16le kok-in
604  0x0000b864 0x1000b864 5    12   UPX0     utf16le ko-kr
605  0x0000b870 0x1000b870 5    12   UPX0     utf16le ky-kg
606  0x0000b87c 0x1000b87c 5    12   UPX0     utf16le lt-lt
607  0x0000b888 0x1000b888 5    12   UPX0     utf16le lv-lv
608  0x0000b894 0x1000b894 5    12   UPX0     utf16le mi-nz
609  0x0000b8a0 0x1000b8a0 5    12   UPX0     utf16le mk-mk
610  0x0000b8ac 0x1000b8ac 5    12   UPX0     utf16le ml-in
611  0x0000b8b8 0x1000b8b8 5    12   UPX0     utf16le mn-mn
612  0x0000b8c4 0x1000b8c4 5    12   UPX0     utf16le mr-in
613  0x0000b8d0 0x1000b8d0 5    12   UPX0     utf16le ms-bn
614  0x0000b8dc 0x1000b8dc 5    12   UPX0     utf16le ms-my
615  0x0000b8e8 0x1000b8e8 5    12   UPX0     utf16le mt-mt
616  0x0000b8f4 0x1000b8f4 5    12   UPX0     utf16le nb-no
617  0x0000b900 0x1000b900 5    12   UPX0     utf16le nl-be
618  0x0000b90c 0x1000b90c 5    12   UPX0     utf16le nl-nl
619  0x0000b918 0x1000b918 5    12   UPX0     utf16le nn-no
620  0x0000b924 0x1000b924 5    12   UPX0     utf16le ns-za
621  0x0000b930 0x1000b930 5    12   UPX0     utf16le pa-in
622  0x0000b93c 0x1000b93c 5    12   UPX0     utf16le pl-pl
623  0x0000b948 0x1000b948 5    12   UPX0     utf16le pt-br
624  0x0000b954 0x1000b954 5    12   UPX0     utf16le pt-pt
625  0x0000b960 0x1000b960 6    14   UPX0     utf16le quz-bo
626  0x0000b970 0x1000b970 6    14   UPX0     utf16le quz-ec
627  0x0000b980 0x1000b980 6    14   UPX0     utf16le quz-pe
628  0x0000b990 0x1000b990 5    12   UPX0     utf16le ro-ro
629  0x0000b99c 0x1000b99c 5    12   UPX0     utf16le ru-ru
630  0x0000b9a8 0x1000b9a8 5    12   UPX0     utf16le sa-in
631  0x0000b9b4 0x1000b9b4 5    12   UPX0     utf16le se-fi
632  0x0000b9c0 0x1000b9c0 5    12   UPX0     utf16le se-no
633  0x0000b9cc 0x1000b9cc 5    12   UPX0     utf16le se-se
634  0x0000b9d8 0x1000b9d8 5    12   UPX0     utf16le sk-sk
635  0x0000b9e4 0x1000b9e4 5    12   UPX0     utf16le sl-si
636  0x0000b9f0 0x1000b9f0 6    14   UPX0     utf16le sma-no
637  0x0000ba00 0x1000ba00 6    14   UPX0     utf16le sma-se
638  0x0000ba10 0x1000ba10 6    14   UPX0     utf16le smj-no
639  0x0000ba20 0x1000ba20 6    14   UPX0     utf16le smj-se
640  0x0000ba30 0x1000ba30 6    14   UPX0     utf16le smn-fi
641  0x0000ba40 0x1000ba40 6    14   UPX0     utf16le sms-fi
642  0x0000ba50 0x1000ba50 5    12   UPX0     utf16le sq-al
643  0x0000ba5c 0x1000ba5c 10   22   UPX0     utf16le sr-ba-cyrl
644  0x0000ba74 0x1000ba74 10   22   UPX0     utf16le sr-ba-latn
645  0x0000ba8c 0x1000ba8c 10   22   UPX0     utf16le sr-sp-cyrl
646  0x0000baa4 0x1000baa4 10   22   UPX0     utf16le sr-sp-latn
647  0x0000babc 0x1000babc 5    12   UPX0     utf16le sv-fi
648  0x0000bac8 0x1000bac8 5    12   UPX0     utf16le sv-se
649  0x0000bad4 0x1000bad4 5    12   UPX0     utf16le sw-ke
650  0x0000bae0 0x1000bae0 6    14   UPX0     utf16le syr-sy
651  0x0000baf0 0x1000baf0 5    12   UPX0     utf16le ta-in
652  0x0000bafc 0x1000bafc 5    12   UPX0     utf16le te-in
653  0x0000bb08 0x1000bb08 5    12   UPX0     utf16le th-th
654  0x0000bb14 0x1000bb14 5    12   UPX0     utf16le tn-za
655  0x0000bb20 0x1000bb20 5    12   UPX0     utf16le tr-tr
656  0x0000bb2c 0x1000bb2c 5    12   UPX0     utf16le tt-ru
657  0x0000bb38 0x1000bb38 5    12   UPX0     utf16le uk-ua
658  0x0000bb44 0x1000bb44 5    12   UPX0     utf16le ur-pk
659  0x0000bb50 0x1000bb50 10   22   UPX0     utf16le uz-uz-cyrl
660  0x0000bb68 0x1000bb68 10   22   UPX0     utf16le uz-uz-latn
661  0x0000bb80 0x1000bb80 5    12   UPX0     utf16le vi-vn
662  0x0000bb8c 0x1000bb8c 5    12   UPX0     utf16le xh-za
663  0x0000bb98 0x1000bb98 6    14   UPX0     utf16le zh-chs
664  0x0000bba8 0x1000bba8 6    14   UPX0     utf16le zh-cht
665  0x0000bbb8 0x1000bbb8 5    12   UPX0     utf16le zh-cn
666  0x0000bbc4 0x1000bbc4 5    12   UPX0     utf16le zh-hk
667  0x0000bbd0 0x1000bbd0 5    12   UPX0     utf16le zh-mo
668  0x0000bbdc 0x1000bbdc 5    12   UPX0     utf16le zh-sg
669  0x0000bbe8 0x1000bbe8 5    12   UPX0     utf16le zh-tw
670  0x0000bbf4 0x1000bbf4 5    12   UPX0     utf16le zu-za
671  0x0000bc06 0x1000bc06 7    8    UPX0     ascii   \a\b\t\n\v\f\r
672  0x0000bc1f 0x1000bc1f 95   96   UPX0     ascii    !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~
673  0x0000bc88 0x1000bc88 7    16   UPX0     utf16le CONOUT$
674  0x0000bc98 0x1000bc98 13   28   UPX0     utf16le wsc_proxy.exe
675  0x0000bcbc 0x1000bcbc 18   38   UPX0     utf16le -action=background
676  0x0000bce8 0x1000bce8 45   92   UPX0     utf16le SOFTWARE\Microsoft\Windows\CurrentVersion\Run
677  0x0000bd44 0x1000bd44 20   42   UPX0     utf16le Avast Security Proxy
678  0x0000bdb8 0x1000bdb8 4    5    UPX0     ascii   RSDS
679  0x0000bdc0 0x1000bdc0 4    5    UPX0     ascii   qouI
680  0x0000bdd0 0x1000bdd0 41   42   UPX0     ascii   D:\CODE\Templates\wsc\Release\x86\wsc.pdb
681  0x0000d003 0x1000d003 4    5    UPX0     ascii   n!Q]
682  0x0000d034 0x1000d034 12   52   UPX0     utf32le \t\a\f\b\f\t\f\n\a\v\b\f
683  0x0000d0b8 0x1000d0b8 5    24   UPX0     utf32le R\rS\rW
684  0x0000d0d0 0x1000d0d0 7    32   UPX0     utf32le Y\vl\rm p
685  0x0000d144 0x1000d144 4    20   UPX0     utf32le \v§\r· blocks=Basic Latin,Latin-1 Supplement
686  0x0000d67a 0x1000d67a 26   27   UPX0     ascii                             
687  0x0000d761 0x1000d761 26   27   UPX0     ascii   abcdefghijklmnopqrstuvwxyz
688  0x0000d781 0x1000d781 26   27   UPX0     ascii   ABCDEFGHIJKLMNOPQRSTUVWXYZ
689  0x0000d89a 0x1000d89a 26   27   UPX0     ascii                             
690  0x0000d97a 0x1000d97a 26   27   UPX0     ascii   abcdefghijklmnopqrstuvwxyz
691  0x0000d99a 0x1000d99a 26   27   UPX0     ascii   ABCDEFGHIJKLMNOPQRSTUVWXYZ
692  0x0000de37 0x1000de37 4    5    UPX0     ascii   SVWQ
693  0x0000de43 0x1000de43 4    5    UPX0     ascii   .com
694  0x0000de4a 0x1000de4a 4    5    UPX0     ascii   .org
695  0x0000de51 0x1000de51 4    5    UPX0     ascii   .inf
696  0x0000def3 0x1000def3 5    6    UPX0     ascii   YY_^[
697  0x0000df9b 0x1000df9b 4    8    UPX0     utf8    ЉE䃤8 blocks=Cyrillic,Basic Latin,CJK Unified Ideographs Extension A
698  0x0000e1a4 0x1000e1a4 5    6    UPX0     ascii   Prox3
699  0x0000e1ad 0x1000e1ad 7    9    UPX0     utf8    ySer!}\v
700  0x0000e1c7 0x1000e1c7 4    5    UPX0     ascii   DEFA
701  0x0000e1d5 0x1000e1d5 4    5    UPX0     ascii   Clas
702  0x0000e1ea 0x1000e1ea 4    5    UPX0     ascii   \Sof
703  0x0000e1f1 0x1000e1f1 4    5    UPX0     ascii   twar
704  0x0000e1f8 0x1000e1f8 4    5    UPX0     ascii   e\Mi
705  0x0000e1ff 0x1000e1ff 4    5    UPX0     ascii   cros
706  0x0000e206 0x1000e206 4    5    UPX0     ascii   oft\
707  0x0000e20d 0x1000e20d 4    5    UPX0     ascii   Wind
708  0x0000e214 0x1000e214 4    5    UPX0     ascii   ows\
709  0x0000e21b 0x1000e21b 4    5    UPX0     ascii   Curr
710  0x0000e222 0x1000e222 4    5    UPX0     ascii   entV
711  0x0000e229 0x1000e229 4    5    UPX0     ascii   ersi
712  0x0000e230 0x1000e230 4    5    UPX0     ascii   on\I
713  0x0000e237 0x1000e237 4    5    UPX0     ascii   nter
714  0x0000e23e 0x1000e23e 4    5    UPX0     ascii   net 
715  0x0000e245 0x1000e245 4    5    UPX0     ascii   Sett
716  0x0000e24c 0x1000e24c 4    5    UPX0     ascii   ings
