[Strings]
nth  paddr      vaddr      len size section  type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45            ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000001b8 0x000001b8 5   6             ascii   .text
2    0x000001df 0x000001df 7   8             ascii   `.rdata
3    0x00000207 0x00000207 6   7             ascii   @.data
4    0x00000230 0x00000230 9   10            ascii   .JiIsysJ\r
5    0x00000280 0x00000280 9   10            ascii   .eh_fram1
6    0x000002a8 0x000002a8 7   8             ascii   .qQIoLO
7    0x000002d0 0x000002d0 4   5             ascii   .CRT
8    0x000002f7 0x000002f7 5   6             ascii   @.tls
9    0x00000320 0x00000320 7   8             ascii   .p59108
10   0x00000370 0x00000370 6   7             ascii   .reloc
11   0x0000117d 0x0040117d 4   7    .text    utf8    UӉu̸ blocks=Basic Latin,Cyrillic,Combining Diacritical Marks
12   0x000016e3 0x004016e3 4   5    .text    ascii   4^_]
13   0x000017a3 0x004017a3 4   7    .text    utf8    U߈ƋE blocks=Basic Latin,NKo,Latin Extended-B
14   0x00001807 0x00401807 7   11   .text    utf8    *M߈MߊM߈ blocks=Basic Latin,NKo
15   0x0000189c 0x0040189c 5   8    .text    utf8    ]ωUԋE blocks=Basic Latin,Greek and Coptic,Cyrillic Supplement
16   0x00001928 0x00401928 6   9    .text    utf8    P*MψMσ blocks=Basic Latin,Greek and Coptic
17   0x00001931 0x00401931 5   6    .text    ascii   |^_[]
18   0x0000196e 0x0040196e 12  13   .text    ascii   ;\f'7R;\rr8R;y
19   0x0000199a 0x0040199a 4   5    .text    ascii   Ntqq
20   0x000019af 0x004019af 7   8    .text    ascii   >'<f\es,
21   0x000019c3 0x004019c3 4   5    .text    ascii   ;$un
22   0x000019df 0x004019df 5   6    .text    ascii   C=T3,
23   0x000019f0 0x004019f0 4   5    .text    ascii   ;$un
24   0x00001a37 0x00401a37 5   6    .text    ascii   qe6 v
25   0x00001a3e 0x00401a3e 5   6    .text    ascii   8_;$u
26   0x00001a61 0x00401a61 4   5    .text    ascii   B\bO%
27   0x00001a93 0x00401a93 4   5    .text    ascii   cR;$
28   0x00001aa3 0x00401aa3 5   6    .text    ascii   Gw;x>
29   0x00001ab9 0x00401ab9 4   5    .text    ascii   ;xCi
30   0x00001acb 0x00401acb 5   8    .text    utf8    0$˙ճP blocks=Basic Latin,Spacing Modifier Letters,Armenian
31   0x00001afa 0x00401afa 4   6    .text    utf8    {<ӎ\e blocks=Basic Latin,Cyrillic
32   0x00001b08 0x00401b08 5   6    .text    ascii   >K%u3
33   0x00001b1a 0x00401b1a 4   5    .text    ascii   wfHv
34   0x00001b2b 0x00401b2b 5   7    .text    utf8    ݸ0sxQ blocks=Arabic Supplement,Basic Latin
35   0x00001b39 0x00401b39 7   8    .text    ascii   @B9#tB\b
36   0x00001b47 0x00401b47 5   6    .text    ascii   _,"t2
37   0x00001b54 0x00401b54 5   6    .text    ascii   z#P:#
38   0x00001b5b 0x00401b5b 5   6    .text    ascii   W,"t2
39   0x00001b91 0x00401b91 5   6    .text    ascii   \e=8#t
40   0x00001b9f 0x00401b9f 4   5    .text    ascii   `#t2
41   0x00001c37 0x00401c37 5   6    .text    ascii   G+u3R
42   0x00001c48 0x00401c48 5   7    .text    utf8    U4ی,8 blocks=Basic Latin,Arabic
43   0x00001c9c 0x00401c9c 5   6    .text    ascii   >v3R#
44   0x00001cdf 0x00401cdf 7   8    .text    ascii   Wf$\fu3R
45   0x00001d0f 0x00401d0f 6   7    .text    ascii   6twvOl
46   0x00001d25 0x00401d25 4   5    .text    ascii   3R;\f
47   0x00001d39 0x00401d39 6   7    .text    ascii   C:N#t2
48   0x00001d5e 0x00401d5e 4   5    .text    ascii   #'`5
49   0x00001d6c 0x00401d6c 5   6    .text    ascii   2C'62
50   0x00001d79 0x00401d79 6   7    .text    ascii   e\e&9#t
51   0x00001d89 0x00401d89 5   6    .text    ascii   1R@$u
52   0x00001db7 0x00401db7 7   8    .text    ascii   vCWky=Q
53   0x00001dca 0x00401dca 4   5    .text    ascii   Wf:h
54   0x00001dd6 0x00401dd6 4   5    .text    ascii   _0uB
55   0x00001e00 0x00401e00 4   6    .text    utf8    Rk$u
56   0x00001e13 0x00401e13 5   7    .text    utf8    2۸ tC blocks=Basic Latin,Arabic
57   0x00001e1b 0x00401e1b 5   6    .text    ascii   \ePN-2
58   0x00001e51 0x00401e51 6   7    .text    ascii   2#Yp2Q
59   0x00001e5d 0x00401e5d 7   8    .text    ascii   i]\ez6#t
60   0x00001ea1 0x00401ea1 4   5    .text    ascii   ucR;
61   0x00001eb5 0x00401eb5 5   7    .text    utf8    ;7ۘ t blocks=Basic Latin,Arabic
62   0x00001ebe 0x00401ebe 10  13   .text    utf8    䄸\a;$uf\etqm blocks=CJK Unified Ideographs Extension A,Basic Latin
63   0x00001ef8 0x00401ef8 5   6    .text    ascii   7'64Z
64   0x00001f24 0x00401f24 5   6    .text    ascii   M:#x&
65   0x00001f4c 0x00401f4c 7   8    .text    ascii   ;7:~ t2
66   0x00001f77 0x00401f77 7   8    .text    ascii   ?bxxN&'
67   0x00001f8c 0x00401f8c 5   6    .text    ascii   (u2"J
68   0x00001f92 0x00401f92 4   5    .text    ascii   pzl\r
69   0x00001fa9 0x00401fa9 5   6    .text    ascii   3/,7J
70   0x00001fbe 0x00401fbe 4   5    .text    ascii   k"WJ
71   0x00001fd5 0x00401fd5 4   5    .text    ascii   jxu3
72   0x00001ff8 0x00401ff8 6   7    .text    ascii   R\em;$u
73   0x00002021 0x00402021 5   6    .text    ascii   ,a\b">
74   0x00002073 0x00402073 5   6    .text    ascii   OO^,f
75   0x0000207d 0x0040207d 5   6    .text    ascii   WO^,1
76   0x0000209b 0x0040209b 4   5    .text    ascii   $\bBa
77   0x000020c0 0x004020c0 4   5    .text    ascii   "?*,
78   0x000020d9 0x004020d9 5   6    .text    ascii   3?*$9
79   0x000020ee 0x004020ee 4   5    .text    ascii   [*,J
80   0x000020fb 0x004020fb 5   6    .text    ascii   \r#7*$
