[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x0000008d 0x0000008d 4   5            ascii   \Dx7
2    0x000000b9 0x000000b9 7   8            ascii   \Ex \Dx
3    0x000000d5 0x000000d5 7   8            ascii   \DxRich
4    0x000001e8 0x000001e8 5   6            ascii   .text
5    0x0000020f 0x0000020f 7   8            ascii   `.rdata
6    0x00000237 0x00000237 6   7            ascii   @.data
7    0x00000260 0x00000260 5   6            ascii   .rsrc
8    0x00000287 0x00000287 7   8            ascii   @.reloc
9    0x0000041c 0x1000101c 5   7    .text   utf8    ϡt\vJN blocks=Greek and Coptic,Basic Latin
10   0x00000427 0x10001027 4   6    .text   utf8    ^[]Ã blocks=Basic Latin,Latin-1 Supplement
11   0x000004a1 0x100010a1 5   6    .text   ascii   tpVWj
12   0x000004c7 0x100010c7 4   5    .text   ascii   PVWS
13   0x000004e9 0x100010e9 4   6    .text   utf8    ]ËM\b blocks=Basic Latin,Latin-1 Supplement
14   0x0000050a 0x1000110a 5   6    .text   ascii   E\v_^[
15   0x000005d2 0x100011d2 5   6    .text   ascii   1f;2u
16   0x00000634 0x10001234 5   6    .text   ascii   t\t_^2
17   0x0000078c 0x1000138c 4   6    .text   utf8    w\b3\v
18   0x0000079a 0x1000139a 4   5    .text   ascii   \bSVW
19   0x0000083b 0x1000143b 5   6    .text   ascii   9U\bt"
20   0x00000924 0x10001524 5   6    .text   ascii   E\bSVW
21   0x000009b8 0x100015b8 5   6    .text   ascii   9M\fvq
22   0x00000a28 0x10001628 5   6    .text   ascii   A;M\fr
23   0x00000b8c 0x1000178c 6   7    .text   ascii   U\bPQRV
24   0x00000c5d 0x1000185d 4   5    .text   ascii   QRPV
25   0x00000ca4 0x100018a4 4   5    .text   ascii   E\bVj
26   0x00000db6 0x100019b6 4   6    .text   utf8    _[3Ͱ blocks=Basic Latin,Greek and Coptic
27   0x00000de0 0x100019e0 5   6    .text   ascii   PQSVW
28   0x00000e5c 0x10001a5c 4   6    .text   utf8    \b3\vM
29   0x00000e69 0x10001a69 4   5    .text   ascii   Y_^[
