Missing bin header main
Missing bin header dwarf
[Sections]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00000400  0xb000 0x00401000  0xb000 -r-x .text
1   0x0000b400  0x2c00 0x0040c000  0x3000 -r-- .rdata
2   0x0000e000  0x1e00 0x0040f000  0x2000 -rw- .data
3   0x0000fe00  0xc800 0x00411000  0xd000 -rw- .0lgfxz
4   0x0001c600   0x800 0x0041e000  0x1000 -r-- .reloc
5   0x0001ce00  0x9a00 0x0041f000  0xa000 -rw- .data1

[Segments]

nth paddr  size vaddr  vsize perm name
――――――――――――――――――――――――――――――――――――――

[Entrypoints]
vaddr=0x00403e9c paddr=0x0000329c haddr=0x00000120 type=program

1 entrypoints
[Constructors]

0 entrypoints
[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0040c000 NONE FUNC KERNEL32.dll lstrlenW
2   0x0040c004 NONE FUNC KERNEL32.dll SetErrorMode
3   0x0040c008 NONE FUNC KERNEL32.dll CloseHandle
4   0x0040c00c NONE FUNC KERNEL32.dll GetExitCodeProcess

[Symbols]

nth paddr      vaddr      bind type size lib          name
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1   0x0000b400 0x0040c000 NONE FUNC 0    KERNEL32.dll imp.lstrlenW
2   0x0000b404 0x0040c004 NONE FUNC 0    KERNEL32.dll imp.SetErrorMode
3   0x0000b408 0x0040c008 NONE FUNC 0    KERNEL32.dll imp.CloseHandle
4   0x0000b40c 0x0040c00c NONE FUNC 0    KERNEL32.dll imp.GetExitCodeProcess
[Strings]
nth paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000b434 0x0040c034 14  30   .rdata  utf16le ServicesActive
1   0x0000b491 0x0040c091 5   6    .rdata  ascii   K.$( 
2   0x0000b4b1 0x0040c0b1 4   5    .rdata  ascii   K.$A
3   0x0000b4c2 0x0040c0c2 8   9    .rdata  ascii   [RL'=-,!
4   0x0000b4ce 0x0040c0ce 9   10   .rdata  ascii   93/$$G)LK
5   0x0000b4de 0x0040c0de 4   5    .rdata  ascii   9N$T
6   0x0000b4e4 0x0040c0e4 5   6    .rdata  ascii   ]^S(;
7   0x0000b4ec 0x0040c0ec 4   5    .rdata  ascii   7#B8
8   0x0000b4f7 0x0040c0f7 14  15   .rdata  ascii   \a\b\t_$&F1/;\n\v\f\r
9   0x0000b50b 0x0040c10b 9   10   .rdata  ascii   S) *)%Y%J
10  0x0000b517 0x0040c117 4   5    .rdata  ascii   =FH0
11  0x0000b520 0x0040c120 5   6    .rdata  ascii   ,\n\v\f\r
12  0x0000b527 0x0040c127 4   5    .rdata  ascii   cM6A
13  0x0000b52c 0x0040c12c 8   9    .rdata  ascii   .[@$M4/6
14  0x0000b535 0x0040c135 4   5    .rdata  ascii   [1*C
15  0x0000b540 0x0040c140 9   10   .rdata  ascii   P9PR:VUJ)
16  0x0000b54a 0x0040c14a 4   5    .rdata  ascii   =;I9
17  0x0000b54f 0x0040c14f 11  12   .rdata  ascii   )%]3\e8=2%#Y
18  0x0000b55b 0x0040c15b 5   6    .rdata  ascii   )3]%]
19  0x0000b561 0x0040c161 5   6    .rdata  ascii    I"8>
20  0x0000b577 0x0040c177 10  11   .rdata  ascii   [@,)(C,4M^
21  0x0000b586 0x0040c186 4   5    .rdata  ascii   6H*H
22  0x0000b58e 0x0040c18e 13  14   .rdata  ascii   GDcUY?0G/24'!
23  0x0000b59d 0x0040c19d 9   10   .rdata  ascii   U(1K`P@\eL
24  0x0000b5a7 0x0040c1a7 6   7    .rdata  ascii   aK!<'A
25  0x0000b5b0 0x0040c1b0 4   5    .rdata  ascii   N,3V
26  0x0000b5b5 0x0040c1b5 6   7    .rdata  ascii   YJa8C5
27  0x0000b5bd 0x0040c1bd 4   5    .rdata  ascii   1Y2.
28  0x0000b5d0 0x0040c1d0 32  33   .rdata  ascii   expand 32-byte kexpand 16-byte k
29  0x0000b5f1 0x0040c1f1 5   7    .rdata  utf8    ccƄ|| blocks=Basic Latin,Latin Extended-B
