[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000000 0x00000000 4   5            ascii   MZER
1    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
2    0x000000a8 0x000000a8 5   6            ascii   RichD
3    0x000001c0 0x000001c0 5   6            ascii   .text
4    0x000001e7 0x000001e7 6   7            ascii   `.rsrc
5    0x00001010 0x00001010 4   5            ascii   E\fPV
6    0x0000101e 0x0000101e 6   8            utf8    ^]ËE\b] blocks=Basic Latin,Latin-1 Supplement
7    0x0000105a 0x0000105a 5   7            utf8    \a\vʊP\v blocks=Basic Latin,IPA Extensions
8    0x000010ab 0x000010ab 5   7            utf8    \a\vʊP\a blocks=Basic Latin,IPA Extensions
9    0x00001100 0x00001100 4   6            utf8    \a\vʊP blocks=Basic Latin,IPA Extensions
10   0x0000117c 0x0000117c 5   6            ascii   >'{CU
11   0x0000119f 0x0000119f 4   5            ascii   I\fSW
12   0x000011d7 0x000011d7 6   7            ascii   1N\b1V\f
13   0x000012aa 0x004010aa 4   5    .text   ascii   t\fPj
14   0x000012c9 0x004010c9 6   7    .text   ascii   1W\b1O\f
15   0x000012f3 0x004010f3 4   5    .text   ascii   W\f^[
16   0x00001340 0x00401140 4   6    .text   utf8    +ʍr\f blocks=Basic Latin,IPA Extensions
17   0x0000136d 0x0040116d 4   5    .text   ascii   W\b1V
18   0x000013fa 0x004011fa 4   5    .text   ascii   \f;G;
19   0x00001408 0x00401208 4   5    .text   ascii   \nH}I
20   0x00001517 0x00401317 5   6    .text   ascii   U\fQRP
21   0x00001548 0x00401348 5   6    .text   ascii   E\bPQV
22   0x00001555 0x00401355 5   6    .text   ascii   U\fSRV
23   0x000015ee 0x004013ee 6   7    .text   ascii   ]\bWPQS
24   0x0000163f 0x0040143f 6   7    .text   ascii   M RVWS
25   0x00001654 0x00401454 4   5    .text   ascii   M$VP
26   0x00001680 0x00401480 4   5    .text   ascii   8^_3
27   0x00001699 0x00401499 5   7    .text   utf8    ;ȇIsP blocks=Basic Latin,Latin Extended-B
28   0x00001701 0x00401501 5   7    .text   utf8    P00`ǅ blocks=Basic Latin,Latin Extended-B
29   0x0000171f 0x0040151f 6   8    .text   utf8    }++Vǅ  blocks=Basic Latin,Latin Extended-B
30   0x0000173d 0x0040153d 4   8    .text   utf8    櫫Mǅ, blocks=CJK Unified Ideographs,Basic Latin,Latin Extended-B
31   0x000017a1 0x004015a1 4   8    .text   utf8    쭭AǅT blocks=Hangul Syllables,Basic Latin,Latin Extended-B
32   0x0000180f 0x0040160f 5   7    .text   utf8    j&&Lǅ blocks=Basic Latin,Latin Extended-B
33   0x00001819 0x00401619 5   7    .text   utf8    Z66lǅ blocks=Basic Latin,Latin Extended-B
34   0x00001823 0x00401623 5   7    .text   utf8    A??~ǅ blocks=Basic Latin,Latin Extended-B
35   0x00001841 0x00401641 5   7    .text   utf8    \44hǅ blocks=Basic Latin,Latin Extended-B
36   0x0000187d 0x0040167d 5   7    .text   utf8    S11bǅ blocks=Basic Latin,Latin Extended-B
37   0x000018a5 0x004016a5 5   7    .text   utf8    e##Fǅ blocks=Basic Latin,Latin Extended-B
38   0x00001913 0x00401713 5   7    .text   utf8    i''Nǅ blocks=Basic Latin,Latin Extended-B
39   0x00001945 0x00401745 5   7    .text   utf8    t,,Xǅ blocks=Basic Latin,Latin Extended-B
40   0x00001959 0x00401759 5   7    .text   utf8    -\e\e6ǅ blocks=Basic Latin,Latin Extended-B
41   0x0000198b 0x0040178b 5   7    .text   utf8    M;;vǅ blocks=Basic Latin,Latin Extended-B
42   0x000019a9 0x004017a9 6   8    .text   utf8    {))Rǅ$ blocks=Basic Latin,Latin Extended-B
43   0x000019bd 0x004017bd 6   8    .text   utf8    q//^ǅ, blocks=Basic Latin,Latin Extended-B
44   0x000019f9 0x004017f9 6   8    .text   utf8    `  @ǅD blocks=Basic Latin,Latin Extended-B
45   0x00001a3f 0x0040183f 6   8    .text   utf8    K99rǅ` blocks=Basic Latin,Latin Extended-B
46   0x00001a85 0x00401885 4   8    .text   utf8    媪Oǅ| blocks=CJK Unified Ideographs,Basic Latin,Latin Extended-B
47   0x00001aad 0x004018ad 5   7    .text   utf8    U33fǅ blocks=Basic Latin,Latin Extended-B
48   0x00001af3 0x004018f3 5   7    .text   utf8    D<<xǅ blocks=Basic Latin,Latin Extended-B
49   0x00001b4d 0x0040194d 5   7    .text   utf8    H88pǅ blocks=Basic Latin,Latin Extended-B
50   0x00001b7f 0x0040197f 5   7    .text   utf8    c!!Bǅ blocks=Basic Latin,Latin Extended-B
51   0x00001c1f 0x00401a1f 6   8    .text   utf8    G==zǅ  blocks=Basic Latin,Latin Extended-B
52   0x00001c79 0x00401a79 6   8    .text   utf8    f""DǅD blocks=Basic Latin,Latin Extended-B
53   0x00001c83 0x00401a83 6   8    .text   utf8    ~**TǅH blocks=Basic Latin,Latin Extended-B
54   0x00001cfb 0x00401afb 6   8    .text   utf8    V22dǅx blocks=Basic Latin,Latin Extended-B
55   0x00001d05 0x00401b05 6   8    .text   utf8    N::tǅ| blocks=Basic Latin,Latin Extended-B
56   0x00001d2d 0x00401b2d 5   7    .text   utf8    l$$Hǅ blocks=Basic Latin,Latin Extended-B
57   0x00001da5 0x00401ba5 5   7    .text   utf8    Y77nǅ blocks=Basic Latin,Latin Extended-B
58   0x00001e45 0x00401c45 5   7    .text   utf8    o%%Jǅ blocks=Basic Latin,Latin Extended-B
59   0x00001e4f 0x00401c4f 5   7    .text   utf8    r..\ǅ blocks=Basic Latin,Latin Extended-B
60   0x00001edb 0x00401cdb 6   8    .text   utf8    B>>|ǅ8 blocks=Basic Latin,Latin Extended-B
61   0x00001f2b 0x00401d2b 6   8    .text   utf8    _55jǅX blocks=Basic Latin,Latin Extended-B
62   0x00001ffd 0x00401dfd 5   7    .text   utf8    x((Pǅ blocks=Basic Latin,Latin Extended-B
63   0x00002075 0x00401e75 5   7    .text   utf8    w--Zǅ blocks=Basic Latin,Latin Extended-B
64   0x000020bb 0x00401ebb 5   7    .text   utf8    SeA~ǅ blocks=Basic Latin,Latin Extended-B
65   0x000020d0 0x00401ed0 4   6    .text   utf8    ^':ǅ blocks=Basic Latin,Latin Extended-B
66   0x0000213e 0x00401f3e 5   7    .text   utf8    D5&ǅ, blocks=Basic Latin,Latin Extended-B
67   0x000021d4 0x00401fd4 5   7    .text   utf8    !tXǅh blocks=Basic Latin,Latin Extended-B
68   0x00002291 0x00402091 5   7    .text   utf8    XhHpǅ blocks=Basic Latin,Latin Extended-B
69   0x00002382 0x00402182 4   6    .text   utf8    S.4ǅ blocks=Basic Latin,Latin Extended-B
70   0x000023b5 0x004021b5 4   6    .text   utf8    `@ǅ( blocks=Basic Latin,Latin Extended-B
71   0x000023bf 0x004021bf 4   6    .text   utf8    q^ǅ, blocks=Basic Latin,Latin Extended-B
72   0x000023d3 0x004021d3 4   6    .text   utf8    !>ǅ4 blocks=Basic Latin,Latin Extended-B
73   0x00002419 0x00402219 4   6    .text   utf8    P`ǅP blocks=Basic Latin,Latin Extended-B
74   0x0000247d 0x0040227d 4   6    .text   utf8    B|ǅx blocks=Basic Latin,Latin Extended-B
75   0x000024b7 0x004022b7 5   7    .text   utf8    NrZlǅ blocks=Basic Latin,Latin Extended-B
76   0x000024df 0x004022df 5   7    .text   utf8    '9-6ǅ blocks=Basic Latin,Latin Extended-B
77   0x00002507 0x00402307 5   7    .text   utf8    :.6$ǅ blocks=Basic Latin,Latin Extended-B
78   0x00002512 0x00402312 4   6    .text   utf8    g\n\fǅ blocks=Basic Latin,Latin Extended-B
79   0x0000254d 0x0040234d 5   7    .text   utf8    iKwZǅ blocks=Basic Latin,Latin Extended-B
80   0x000025e5 0x004023e5 4   6    .text   utf8    r\ǅ\b blocks=Basic Latin,Latin Extended-B
81   0x000025ee 0x004023ee 5   7    .text   utf8    ;fDǅ\f blocks=Basic Latin,Latin Extended-B
82   0x00002635 0x00402435 4   6    .text   utf8    cBǅ( blocks=Basic Latin,Latin Extended-B
83   0x000026de 0x004024de 5   7    .text   utf8    ,}Vǅl blocks=Basic Latin,Latin Extended-B
84   0x000026e9 0x004024e9 4   6    .text   utf8    3"ǅp blocks=Basic Latin,Latin Extended-B
85   0x0000270f 0x0040250f 4   7    .text   utf8    6\vԘǅ blocks=Basic Latin,Cyrillic Supplement,Latin Extended-B
86   0x0000275f 0x0040255f 5   7    .text   utf8    bF~Tǅ blocks=Basic Latin,Latin Extended-B
87   0x0000281d 0x0040261d 4   7    .text   utf8    \bϼ!ǅ blocks=Basic Latin,Greek and Coptic,Latin Extended-B
88   0x0000283c 0x0040263c 4   6    .text   utf8    6oJǅ blocks=Basic Latin,Latin Extended-B
89   0x00002863 0x00402663 6   8    .text   utf8    1#?*ǅ\b blocks=Basic Latin,Latin Extended-B
90   0x000028a0 0x004026a0 4   7    .text   utf8    ا3ǅ  blocks=Arabic,Basic Latin,Latin Extended-B
91   0x000028d3 0x004026d3 4   6    .text   utf8    Mvǅ4 blocks=Basic Latin,Latin Extended-B
92   0x00002905 0x00402705 4   6    .text   utf8    jLǅH blocks=Basic Latin,Latin Extended-B
93   0x00002918 0x00402718 5   7    .text   utf8    QeFǅP blocks=Basic Latin,Latin Extended-B
94   0x00002972 0x00402772 4   7    .text   utf8    aךǅt blocks=Basic Latin,Hebrew,Latin Extended-B
95   0x00002a25 0x00402825 5   7    .text   utf8    ,4$8ǅ blocks=Basic Latin,Latin Extended-B
96   0x00002a4e 0x0040284e 4   6    .text   utf8    I<(ǅ blocks=Basic Latin,Latin Extended-B
97   0x00002a9d 0x0040289d 5   7    .text   utf8    t\lHǅ blocks=Basic Latin,Latin Extended-B
98   0x00002b0d 0x0040290d 4   6    .text   utf8    #=ǅ( blocks=Basic Latin,Latin Extended-B
99   0x00002b79 0x00402979 6   8    .text   utf8    lpHPǅT blocks=Basic Latin,Latin Extended-B
100  0x00002b8f 0x0040298f 4   6    .text   utf8    FWǅ\ blocks=Basic Latin,Latin Extended-B
101  0x00002cde 0x00402ade 5   7    .text   utf8    U!\f}ǅ blocks=Basic Latin,Latin Extended-B
102  0x00002d99 0x00402b99 5   6    .text   ascii   U\fSVW
103  0x00002e8a 0x00402c8a 5   7    .text   utf8    u\b3ۉ] blocks=Basic Latin,Arabic
104  0x00002f03 0x00402d03 4   6    .text   utf8    3ʉP  blocks=Basic Latin,IPA Extensions
105  0x00002f09 0x00402d09 6   8    .text   utf8    P\b3щH$ blocks=Basic Latin,Cyrillic
106  0x00002f78 0x00402d78 4   6    .text   utf8    3щH, blocks=Basic Latin,Cyrillic
107  0x00002f80 0x00402d80 5   7    .text   utf8    3ʉH43 blocks=Basic Latin,IPA Extensions
108  0x00002fec 0x00402dec 6   8    .text   utf8    \vڋV\b3Y blocks=Basic Latin,Arabic
109  0x0000300e 0x00402e0e 7   9    .text   utf8    \vڋV\f3Y\b blocks=Basic Latin,Arabic
110  0x00003068 0x00402e68 4   6    .text   utf8    \b3։] blocks=Basic Latin,Armenian
111  0x000030fd 0x00402efd 4   6    .text   utf8    \b3ߋ} blocks=Basic Latin,NKo
112  0x00003250 0x00403050 4   6    .text   utf8    \b3ߋ} blocks=Basic Latin,NKo
113  0x00003268 0x00403068 4   5    .text   ascii   \b3Y\b
114  0x000033b9 0x004031b9 4   6    .text   utf8    \b3ߋ} blocks=Basic Latin,NKo
115  0x000033cb 0x004031cb 4   6    .text   utf8    \b3ߋ} blocks=Basic Latin,NKo
116  0x0000345d 0x0040325d 4   6    .text   utf8    \vߋ}\f blocks=Basic Latin,NKo
117  0x000034d2 0x004032d2 4   6    .text   utf8    \vߋ}\f blocks=Basic Latin,NKo
118  0x000035e3 0x004033e3 4   6    .text   utf8    ^]ËM blocks=Basic Latin,Latin-1 Supplement
119  0x000035f1 0x004033f1 6   7    .text   ascii   M\fRQVP
120  0x00003729 0x00403529 4   5    .text   ascii   WPQV
121  0x00003801 0x00403601 4   5    .text   ascii   \b_^[
122  0x00003857 0x00403657 4   5    .text   ascii   RPQV
123  0x000038a5 0x004036a5 5   6    .text   ascii   u\fWV3
124  0x000038b9 0x004036b9 4   5    .text   ascii   <F\t
125  0x000038c1 0x004036c1 4   5    .text   ascii   Ht\vf
126  0x000038c6 0x004036c6 4   5    .text   ascii   <F\t
127  0x000038e0 0x004036e0 4   5    .text   ascii   E\bRP
128  0x000038eb 0x004036eb 4   5    .text   ascii   \f_^]
129  0x0000391d 0x0040371d 5   6    .text   ascii   2012f
130  0x0000392a 0x0040372a 5   6    .text   ascii   2016f
131  0x0000393e 0x0040373e 5   6    .text   ascii   2008f
132  0x000039e9 0x004037e9 4   5    .text   ascii   ZAbs
133  0x00003a2e 0x0040382e 5   6    .text   ascii   HTTPf
134  0x00003a39 0x00403839 4   5    .text   ascii   200 
135  0x00003a95 0x00403895 7   8    .text   ascii   <0\r\n\r\nt
136  0x00003aa9 0x004038a9 4   6    .text   utf8    ]Ít0 blocks=Basic Latin,Latin-1 Supplement
137  0x00003ab4 0x004038b4 4   6    .text   utf8    E\f+ƍ blocks=Basic Latin,Latin Extended-B
138  0x00003acd 0x004038cd 4   6    .text   utf8    tӋ}\b blocks=Basic Latin,Cyrillic
139  0x00003af5 0x004038f5 4   6    .text   utf8    3\rX\n
140  0x00003b01 0x00403901 8   9    .text   ascii   <0\ru\n8\0
141  0x00003b14 0x00403914 6   7    .text   ascii   \ru\n8\0
142  0x00003b25 0x00403925 6   7    .text   ascii   \ru\n8\0
143  0x00003b36 0x00403936 6   7    .text   ascii   \ru\n8\0
144  0x00003b47 0x00403947 6   7    .text   ascii   \ru\n8\0
145  0x00003b58 0x00403958 6   7    .text   ascii   \ru\n8\0
146  0x00003b78 0x00403978 9   10   .text   ascii   \f2<\ru.8\2
147  0x00003b9a 0x0040399a 4   5    .text   ascii   t\n@;
148  0x00003bad 0x004039ad 5   6    .text   ascii   \aGB;U
149  0x00003c49 0x00403a49 5   6    .text   ascii   8XLNG
150  0x00003c61 0x00403a61 4   6    .text   utf8    u\bVǃ blocks=Basic Latin,Latin Extended-B
151  0x00003c7d 0x00403a7d 4   5    .text   ascii   M\fQV
152  0x00003d33 0x00403b33 7   8    .text   ascii   <8XLNGu
153  0x00003d4c 0x00403b4c 5   6    .text   ascii   M\bPWQ
154  0x00003d58 0x00403b58 4   5    .text   ascii   \f_^[
155  0x00003d69 0x00403b69 4   5    .text   ascii   9t\n_
156  0x00003d7c 0x00403b7c 5   6    .text   ascii   U\bVWR
157  0x00003d88 0x00403b88 4   5    .text   ascii   \f_^[
158  0x00003dab 0x00403bab 5   6    .text   ascii   M\bVWQ
159  0x00003db7 0x00403bb7 4   5    .text   ascii   \f_^[
160  0x00003dc9 0x00403bc9 5   6    .text   ascii   U\bVWR
161  0x00003dd5 0x00403bd5 4   5    .text   ascii   \f_^[
162  0x00003e74 0x00403c74 7   8    .text   ascii   Qj\aBRSW
163  0x00003ea8 0x00403ca8 4   5    .text   ascii   u\bWj
164  0x00003fb9 0x00403db9 4   5    .text   ascii   SVW3
165  0x0000403b 0x00403e3b 5   7    .text   utf8    QVfǅp blocks=Basic Latin,Latin Extended-B
166  0x00004094 0x00403e94 5   6    .text   ascii   XLNGf
167  0x00004115 0x00403f15 4   5    .text   ascii   N PQ
168  0x00004181 0x00403f81 4   6    .text   utf8    jf3ҍ blocks=Basic Latin,Cyrillic
169  0x00004192 0x00403f92 4   5    .text   ascii    x86
170  0x0000419c 0x00403f9c 4   5    .text   ascii    x64
171  0x0000420b 0x0040400b 4   6    .text   utf8    SQǅ` blocks=Basic Latin,Latin Extended-B
172  0x00004330 0x00404130 4   5    .text   ascii   U\bRV
173  0x0000445a 0x0040425a 6   7    .text   ascii   1S9^ t
174  0x000046e2 0x004044e2 5   7    .text   utf8    [_^]Ð blocks=Basic Latin,Latin-1 Supplement
175  0x00004744 0x00404544 4   6    .text   utf8    ^]ÍZ blocks=Basic Latin,Latin-1 Supplement
176  0x000047dc 0x004045dc 4   5    .text   ascii   M\fVQ
177  0x000047f7 0x004045f7 4   5    .text   ascii   open
178  0x00004865 0x00404665 5   6    .text   ascii   @VWj?
179  0x00004921 0x00404721 4   5    .text   ascii   SSPV
180  0x000049e2 0x004047e2 4   5    .text   ascii   u\b_3
181  0x000049f2 0x004047f2 5   7    .text   utf8    u\nǆt\v blocks=Basic Latin,Latin Extended-B
182  0x00004a52 0x00404852 4   5    .text   ascii   M\bQV
183  0x00004a63 0x00404863 4   5    .text   ascii   U\bWR
