[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000cf 0x000000cf 5   6            ascii   ]Rich
2    0x000001d8 0x000001d8 5   6            ascii   .text
3    0x000001ff 0x000001ff 7   8            ascii   `.rdata
4    0x00000227 0x00000227 6   7            ascii   @.data
5    0x00000250 0x00000250 5   6            ascii   .rsrc
6    0x00000277 0x00000277 7   8            ascii   @.reloc
7    0x0000041a 0x0000041a 6   8            utf8    1qooGί blocks=Basic Latin,Greek and Coptic
8    0x0000044d 0x0000044d 5   6            ascii   \r"qt1
9    0x00000463 0x00000463 6   8            utf8    hӃe\b(x blocks=Basic Latin,Cyrillic
10   0x00000480 0x00000480 5   6            ascii   1C4hV
11   0x00000558 0x00000558 4   5            ascii    ?p&
12   0x0000064f 0x0000064f 6   7            ascii   XRt7\e9
13   0x0000065d 0x0000065d 4   5            ascii   z]G}
14   0x000006a1 0x000006a1 4   6            utf8    fݟP^ blocks=Basic Latin,Arabic Supplement
15   0x000006b5 0x000006b5 6   8            utf8    \fX\t*/\t
16   0x000006fb 0x000006fb 5   8            utf8    zؒ\v[͙ blocks=Basic Latin,Arabic,Combining Diacritical Marks
17   0x000007ba 0x000007ba 4   6            utf8    w|Ο3 blocks=Basic Latin,Greek and Coptic
18   0x000007d5 0x000007d5 4   5            ascii   rDdP
19   0x000007f1 0x000007f1 4   5            ascii   5it5
20   0x0000081a 0x0040101a 4   5    .text   ascii   D$\bj
21   0x0000095b 0x0040115b 5   6    .text   ascii   t\t<Vt
22   0x000009a7 0x004011a7 5   6    .text   ascii   L$!SQ
23   0x00000a28 0x00401228 4   6    .text   utf8    3ĉD$ blocks=Basic Latin,Latin Extended-A
24   0x00000a5f 0x0040125f 4   6    .text   utf8    ƁtGA blocks=Latin Extended-B,Basic Latin
25   0x00000a6f 0x0040126f 5   6    .text   ascii   D$\fht
26   0x00000a8a 0x0040128a 4   5    .text   ascii   L$!f
27   0x00000b9a 0x0040139a 4   5    .text   ascii   SUVj
28   0x00000bcb 0x004013cb 4   5    .text   ascii   5`GA
29   0x00000c0a 0x0040140a 5   6    .text   ascii   ^][_3
30   0x00000c22 0x00401422 4   5    .text   ascii   =`GA
31   0x00000c3d 0x0040143d 4   5    .text   ascii   =`GA
32   0x00000c51 0x00401451 7   8    .text   ascii   |\b9=`GA
33   0x00000c5c 0x0040145c 8   9    .text   ascii   D$\bPhdGA
34   0x00000c88 0x00401488 4   5    .text   ascii   5`GA
35   0x00000ca6 0x004014a6 4   5    .text   ascii   h`DA
36   0x00000cb7 0x004014b7 4   5    .text   ascii   h`EA
37   0x00000cc8 0x004014c8 4   5    .text   ascii   h`FA
38   0x00000cdf 0x004014df 5   7    .text   utf8    É\rdDA blocks=Latin-1 Supplement,Basic Latin
39   0x00000cea 0x004014ea 4   5    .text   ascii   -`DA
40   0x00000e58 0x00401658 5   7    .text   utf8    É-`FA blocks=Latin-1 Supplement,Basic Latin
41   0x00000f36 0x00401736 4   9    .text   utf16le jjjj
42   0x00000f50 0x00401750 5   6    .text   ascii   u\a[_2
43   0x00000f83 0x00401783 4   5    .text   ascii   l$\fV
44   0x00000fd2 0x004017d2 4   9    .text   utf16le @jjj
45   0x00001020 0x00401820 4   5    .text   ascii   SUVW
46   0x00001084 0x00401884 4   9    .text   utf16le @jjj
47   0x000010cb 0x004018cb 5   6    .text   ascii   t\t<Yt
48   0x000010e8 0x004018e8 4   6    .text   utf8    3ĉD$ blocks=Basic Latin,Latin Extended-A
49   0x000010ef 0x004018ef 5   6    .text   ascii   D$\fSU
50   0x0000112d 0x0040192d 7   8    .text   ascii   PUVh`EA
51   0x0000115b 0x0040195b 4   5    .text   ascii   \rdGA
52   0x00001179 0x00401979 4   5    .text   ascii   \rpGA
53   0x000011a5 0x004019a5 5   6    .text   ascii   t\t<Yt
54   0x000011ca 0x004019ca 4   5    .text   ascii   jPRP
55   0x000011fd 0x004019fd 5   6    .text   ascii   tJWVj
56   0x00001243 0x00401a43 4   6    .text   utf8    \bËl$ blocks=Basic Latin,Latin-1 Supplement
57   0x00001285 0x00401a85 5   6    .text   ascii   _^][3
58   0x000012bb 0x00401abb 4   5    .text   ascii   D$\rj
59   0x000012d6 0x00401ad6 7   8    .text   ascii   L$\fh`FA
60   0x00001311 0x00401b11 5   6    .text   ascii   L$\bQh
61   0x0000139b 0x00401b9b 4   5    .text   ascii   D$\rj
62   0x000013b6 0x00401bb6 7   8    .text   ascii   L$\fh`DA
63   0x00001417 0x00401c17 5   6    .text   ascii   L$\bQh
64   0x000014a9 0x00401ca9 4   5    .text   ascii   _^]3
65   0x000015d0 0x00401dd0 4   5    .text   ascii   QSWV
66   0x00001635 0x00401e35 4   5    .text   ascii   T$\fR
67   0x00001673 0x00401e73 4   6    .text   utf8    [YÃ> blocks=Basic Latin,Latin-1 Supplement
68   0x000016c5 0x00401ec5 4   5    .text   ascii   <8\t
69   0x000016d5 0x00401ed5 4   5    .text   ascii   t$\b+
70   0x000017fd 0x00401ffd 4   5    .text   ascii   T$!j
71   0x0000181b 0x0040201b 4   6    .text   utf8    PƄ$8 blocks=Basic Latin,Latin Extended-B
72   0x0000182a 0x0040202a 4   5    .text   ascii   L$4Q
73   0x00001833 0x00402033 4   5    .text   ascii   htGA
74   0x00001839 0x00402039 4   5    .text   ascii   T$<R
75   0x00001915 0x00402115 6   8    .text   utf8    3\tD$,3
76   0x00001923 0x00402123 4   5    .text   ascii   D$(P
77   0x00001928 0x00402128 4   5    .text   ascii   L$(Q
78   0x0000192d 0x0040212d 4   5    .text   ascii   T$(R
79   0x0000193a 0x0040213a 4   5    .text   ascii   D$4\f
80   0x00001955 0x00402155 5   6    .text   ascii   D$HUP
81   0x00001967 0x00402167 4   5    .text   ascii   L$@Q
82   0x00001972 0x00402172 4   5    .text   ascii   D$ h
83   0x00001a21 0x00402221 4   5    .text   ascii   D$0P
84   0x00001a26 0x00402226 8   9    .text   ascii   L$DQUUUj
85   0x00001a92 0x00402292 4   5    .text   ascii   <+WQ
86   0x00001aba 0x004022ba 4   5    .text   ascii   RVWP
87   0x00001b2e 0x0040232e 5   6    .text   ascii   _^][3
88   0x00001c33 0x00402433 5   7    .text   utf8    D$@Ƅ$ blocks=Basic Latin,Latin Extended-B
89   0x00001c54 0x00402454 4   5    .text   ascii   D$\f,
90   0x00001c69 0x00402469 4   5    .text   ascii   L$@Q
91   0x00001c80 0x00402480 5   7    .text   utf8    D$<Ƅ$ blocks=Basic Latin,Latin Extended-B
92   0x00001d1b 0x0040251b 4   5    .text   ascii   L$\fQ
93   0x00001e1b 0x0040261b 4   5    .text   ascii   t}Pj
94   0x00001e76 0x00402676 4   5    .text   ascii   jDPh
95   0x00001ebf 0x004026bf 4   5    .text   ascii   L$$Q
96   0x00001f02 0x00402702 5   6    .text   ascii   T$0Rh
97   0x00001f30 0x00402730 6   7    .text   ascii   UUUWUU
98   0x00001f6b 0x0040276b 6   7    .text   ascii   u\n_][2
99   0x00002050 0x00402850 4   5    .text   ascii   <+WR
100  0x0000208c 0x0040288c 4   5    .text   ascii   PVWQ
101  0x00002118 0x00402918 6   7    .text   ascii   VWt\ah`
102  0x00002235 0x00402a35 4   5    .text   ascii   h,1A
103  0x00002345 0x00402b45 4   5    .text   ascii   D$\bP
104  0x00002430 0x00402c30 4   5    .text   ascii   T$\rj
105  0x00002444 0x00402c44 5   6    .text   ascii   D$\bPh
106  0x00002515 0x00402d15 5   6    .text   ascii   t\t<$t
107  0x00002543 0x00402d43 4   5    .text   ascii   Au\b@
108  0x00002585 0x00402d85 4   5    .text   ascii   D$,P
109  0x0000259d 0x00402d9d 5   6    .text   ascii   _][^3
110  0x000025b7 0x00402db7 4   5    .text   ascii   QVUW
111  0x000025de 0x00402dde 4   6    .text   utf8    RƄ$( blocks=Basic Latin,Latin Extended-B
112  0x000025ed 0x00402ded 4   5    .text   ascii   D$ P
113  0x00002672 0x00402e72 5   6    .text   ascii   l$\fhl
114  0x00002692 0x00402e92 7   9    .text   utf8    ]ËD$\bVh blocks=Basic Latin,Latin-1 Supplement
115  0x0000273a 0x00402f3a 4   5    .text   ascii   D$\rj
