[Strings]
nth  paddr      vaddr      len size section  type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45            ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d8 0x000000d8 5   6             ascii   RichG
2    0x00000100 0x00000100 4   5             ascii   rz U
3    0x000001f0 0x000001f0 5   6             ascii   .text
4    0x00000217 0x00000217 7   8             ascii   `.rdata
5    0x0000023f 0x0000023f 6   7             ascii   @.data
6    0x00000268 0x00000268 5   6             ascii   .rsrc
7    0x0000028f 0x0000028f 7   8             ascii   @.reloc
8    0x000002b7 0x000002b7 9   10            ascii   B.imports
9    0x00001089 0x00401089 4   5    .text    ascii   hPBA
10   0x000010d6 0x004010d6 4   5    .text    ascii   M\bS3
11   0x000010f1 0x004010f1 6   7    .text    ascii   0SSSSS
12   0x00001133 0x00401133 4   5    .text    ascii   _^[]
13   0x00001147 0x00401147 6   7    .text    ascii   URPQQh
14   0x0000115d 0x0040115d 6   8    .text    utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
15   0x00001172 0x00401172 4   5    .text    ascii   L$,3
16   0x000011c4 0x004011c4 6   8    .text    utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
17   0x0000122a 0x0040122a 4   5    .text    ascii   UVWS
18   0x0000123c 0x0040123c 5   7    .text    utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
19   0x0000125d 0x0040125d 4   5    .text    ascii   SVWj
20   0x0000126f 0x0040126f 4   5    .text    ascii   _^[]
21   0x00001276 0x00401276 5   6    .text    ascii   l$\bRQ
22   0x000012a1 0x004012a1 5   6    .text    ascii   s\b30W
23   0x0000136f 0x0040136f 4   5    .text    ascii   8csm
24   0x000013aa 0x004013aa 4   5    .text    ascii   9X\ft
25   0x000013b0 0x004013b0 4   5    .text    ascii   U\bRW
26   0x00001402 0x00401402 4   5    .text    ascii   M\bQW
27   0x0000142e 0x0040142e 4   5    .text    ascii   ;u\fr
28   0x00001433 0x00401433 4   6    .text    utf8    ^]áp blocks=Basic Latin,Latin-1 Supplement
29   0x000014f1 0x004014f1 4   5    .text    ascii   h@BA
30   0x000014f6 0x004014f6 4   5    .text    ascii   h4BA
31   0x00001518 0x00401518 6   7    .text    ascii   u\eh0BA
32   0x00001538 0x00401538 4   5    .text    ascii   u\bSW
33   0x00001557 0x00401557 4   5    .text    ascii   t\nSj
34   0x0000157b 0x0040157b 5   6    .text    ascii    wOf;
35   0x00001593 0x00401593 5   6    .text    ascii    w\a@@
36   0x000015a9 0x004015a9 7   8    .text    ascii   j\nYQPSh
37   0x000015d0 0x004015d0 4   5    .text    ascii   "u\v3
38   0x000015de 0x004015de 4   7    .text    utf8    @@됋E blocks=Basic Latin,Hangul Syllables
39   0x000015f3 0x004015f3 4   6    .text    utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
40   0x000016eb 0x004016eb 4   5    .text    ascii   =(pA
41   0x000016f1 0x004016f1 5   7    .text    utf8    u\fhи@ blocks=Basic Latin,Cyrillic
42   0x0000180e 0x0040180e 4   5    .text    ascii   D$\f3
43   0x00001816 0x00401816 4   6    .text    utf8    ؋D$\b blocks=Arabic,Basic Latin
44   0x0000185f 0x0040185f 7   8    .text    ascii   ;T$\fw\br
45   0x00001867 0x00401867 10  11   .text    ascii   ;D$\bv\tN+D$
46   0x00001878 0x00401878 8   9    .text    ascii   +D$\b\eT$\f
47   0x00001888 0x00401888 4   9    .text    utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
48   0x000018b3 0x004018b3 10  11   .text    ascii   k\fUQPXY]Y[
49   0x000018e4 0x004018e4 4   6    .text    utf8    ]ËA< blocks=Basic Latin,Latin-1 Supplement
50   0x000018ea 0x004018ea 4   6    .text    utf8    A8PE
51   0x0000194f 0x0040194f 4   5    .text    ascii   _^[]
52   0x000019cb 0x004019cb 4   5    .text    ascii   8csm
53   0x00001a63 0x00401a63 5   6    .text    ascii   Y__^[
54   0x00001ab1 0x00401ab1 4   6    .text    utf8    3\vM\b
55   0x00001abd 0x00401abd 4   5    .text    ascii   t?!E
56   0x00001b38 0x00401b38 7   10   .text    utf8    @]ËE\b]Ë blocks=Basic Latin,Latin-1 Supplement
57   0x00001bdf 0x00401bdf 4   6    .text    utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
58   0x00001be8 0x00401be8 7   9    .text    utf8    \vȋL$\fu\t blocks=Basic Latin,Latin Extended-B
59   0x00001bfd 0x00401bfd 4   6    .text    utf8    ؋D$\b blocks=Arabic,Basic Latin
60   0x00001c07 0x00401c07 4   6    .text    utf8    ؋D$\b blocks=Arabic,Basic Latin
61   0x00001c50 0x00401c50 4   5    .text    ascii   h`XA
62   0x00001c70 0x00401c70 4   5    .text    ascii   h|XA
63   0x00001cc9 0x00401cc9 5   6    .text    ascii   u\a_^[
64   0x00001cf9 0x00401cf9 4   6    .text    utf8    \b+ىE blocks=Basic Latin,Arabic
65   0x00001daf 0x00401daf 4   6    .text    utf8    \b+ىE blocks=Basic Latin,Arabic
66   0x00001e48 0x00401e48 4   5    .text    ascii   ;\n_^
67   0x00001e66 0x00401e66 4   5    .text    ascii   QSVW
68   0x00001eb0 0x00401eb0 6   7    .text    ascii   D$\fWVP
69   0x00001f52 0x00401f52 5   6    .text    ascii   tJj#h
70   0x00001ff8 0x00401ff8 4   5    .text    ascii   D$X,
71   0x00002008 0x00402008 5   6    .text    ascii   D$PPW
72   0x00002021 0x00402021 6   7    .text    ascii   t$X9t$
73   0x00002034 0x00402034 4   5    .text    ascii   D$tf
74   0x0000208e 0x0040208e 4   5    .text    ascii   D$tf
75   0x000020cd 0x004020cd 4   5    .text    ascii   L$tf
76   0x0000212d 0x0040212d 5   7    .text    utf8    W\tD$@
77   0x0000213b 0x0040213b 4   5    .text    ascii   D$ f
78   0x00002149 0x00402149 4   5    .text    ascii   L$ Q
79   0x00002152 0x00402152 4   5    .text    ascii   D$ P
