[Strings]
nth  paddr      vaddr      len  size section         type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1236 0x00046d91 0x00449391 16   17   .rdata          ascii   TerminateProcess
1237 0x00046da2 0x004493a2 11   12   .rdata          ascii   MoveFileExW
1238 0x00046db0 0x004493b0 6    7    .rdata          ascii   Field0
1239 0x00046db7 0x004493b7 6    7    .rdata          ascii   Field1
1240 0x00046dbe 0x004493be 21   22   .rdata          ascii   zonedTimeFromTimeImpl
1241 0x00046dd4 0x004493d4 24   25   .rdata          ascii   zonedTimeFromAdjTimeImpl
1242 0x00046ded 0x004493ed 4    5    .rdata          ascii   name
1243 0x00046e13 0x00449413 18   19   .rdata          ascii   @Additional info: 
1244 0x00046e2f 0x0044942f 17   18   .rdata          ascii   @unknown OS error
1245 0x00046e68 0x00449468 81   82   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\os.nim(325, 11) `isAbsolute(path1)` 
1246 0x00046ec8 0x004494c8 81   82   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\os.nim(326, 11) `isAbsolute(path2)` 
1247 0x00046f28 0x00449528 87   88   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\os.nim(331, 11) `len1 != 0 and len2 != 0` 
1248 0x00046fa8 0x004495a8 43   44   .rdata          ascii   index out of bounds, the container is empty
1249 0x00046fdb 0x004495db 7    8    .rdata          ascii   @index 
1250 0x00046fec 0x004495ec 13   14   .rdata          ascii    not in 0 .. 
1251 0x00047008 0x00449608 36   37   .rdata          ascii   The specified root is not absolute: 
1252 0x00047087 0x00449687 141  142  .rdata          ascii   @D:\a\nightlies\nightlies\nim-1.2.16\lib\system\iterators.nim(207, 11) `len(a) == L` the length of the string changed while iterating over it
1253 0x00047137 0x00449737 19   20   .rdata          ascii   @Failed to create '
1254 0x0004715f 0x0044975f 5    6    .rdata          ascii   @/tmp
1255 0x0004716f 0x0044976f 5    6    .rdata          ascii   @TEMP
1256 0x0004717c 0x0044977c 50   51   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system.nim
1257 0x000471af 0x004497af 16   17   .rdata          ascii   normalizePathEnd
1258 0x000471c0 0x004497c0 51   52   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\os.nim
1259 0x000471f4 0x004497f4 12   13   .rdata          ascii   joinPathImpl
1260 0x00047201 0x00449801 8    9    .rdata          ascii   joinPath
1261 0x0004720c 0x0044980c 13   14   .rdata          ascii   findFirstFile
1262 0x0004721a 0x0044981a 10   11   .rdata          ascii   osErrorMsg
1263 0x00047228 0x00449828 63   64   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\includes\oserr.nim
1264 0x0004726c 0x0044986c 62   63   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\arithmetics.nim
1265 0x000472ab 0x004498ab 6    7    .rdata          ascii   incRef
1266 0x000472b4 0x004498b4 53   54   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\gc.nim
1267 0x000472ed 0x004498ed 9    10   .rdata          ascii   usrToCell
1268 0x000472fc 0x004498fc 62   63   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\comparisons.nim
1269 0x0004733b 0x0044993b 9    10   .rdata          ascii   rtlAddZCT
1270 0x00047345 0x00449945 6    7    .rdata          ascii   decRef
1271 0x0004734c 0x0044994c 7    8    .rdata          ascii   asgnRef
1272 0x00047354 0x00449954 17   18   .rdata          ascii   nimGCunrefNoCycle
1273 0x00047366 0x00449966 10   11   .rdata          ascii   newOSError
1274 0x00047371 0x00449971 7    8    .rdata          ascii   OSError
1275 0x00047379 0x00449979 12   13   .rdata          ascii   raiseOSError
1276 0x00047386 0x00449986 9    10   .rdata          ascii   splitPath
1277 0x00047390 0x00449990 62   63   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\iterators_1.nim
1278 0x000473cf 0x004499cf 15   16   .rdata          ascii   extractFilename
1279 0x000473df 0x004499df 9    10   .rdata          ascii   splitFile
1280 0x000473e9 0x004499e9 9    10   .rdata          ascii   eqStrings
1281 0x000473f4 0x004499f4 60   61   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\strmantle.nim
1282 0x00047431 0x00449a31 13   14   .rdata          ascii   normalizePath
1283 0x0004743f 0x00449a3f 16   17   .rdata          ascii   normalizePathAux
1284 0x00047450 0x00449a50 10   11   .rdata          ascii   isAbsolute
1285 0x0004745b 0x00449a5b 21   22   .rdata          ascii   isAbsFromCurrentDrive
1286 0x00047471 0x00449a71 11   12   .rdata          ascii   isUNCPrefix
1287 0x0004747d 0x00449a7d 8    9    .rdata          ascii   sameRoot
1288 0x00047486 0x00449a86 12   13   .rdata          ascii   relativePath
1289 0x00047493 0x00449a93 12   13   .rdata          ascii   isRelativeTo
1290 0x000474a0 0x00449aa0 14   15   .rdata          ascii   getAppFilename
1291 0x000474b0 0x00449ab0 13   14   .rdata          ascii   getCurrentDir
1292 0x000474be 0x00449abe 9    10   .rdata          ascii   getAppDir
1293 0x000474c8 0x00449ac8 12   13   .rdata          ascii   parseCmdLine
1294 0x000474d5 0x00449ad5 10   11   .rdata          ascii   paramCount
1295 0x000474e0 0x00449ae0 8    9    .rdata          ascii   paramStr
1296 0x000474e9 0x00449ae9 10   11   .rdata          ascii   IndexError
1297 0x000474f4 0x00449af4 62   63   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\indexerrors.nim
1298 0x00047533 0x00449b33 12   13   .rdata          ascii   absolutePath
1299 0x00047540 0x00449b40 10   11   .rdata          ascii   ValueError
1300 0x0004754b 0x00449b4b 12   13   .rdata          ascii   searchExtPos
1301 0x00047558 0x00449b58 7    8    .rdata          ascii   normExt
1302 0x00047560 0x00449b60 10   11   .rdata          ascii   addFileExt
1303 0x0004756b 0x00449b6b 11   12   .rdata          ascii   getEnvVarsC
1304 0x00047578 0x00449b78 63   64   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\includes\osenv.nim
1305 0x000475b8 0x00449bb8 10   11   .rdata          ascii   findEnvVar
1306 0x000475c6 0x00449bc6 6    7    .rdata          ascii   getEnv
1307 0x000475cd 0x00449bcd 17   18   .rdata          ascii   quoteShellWindows
1308 0x000475e0 0x00449be0 60   61   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\iterators.nim
1309 0x0004761d 0x00449c1d 10   11   .rdata          ascii   quoteShell
1310 0x00047628 0x00449c28 10   11   .rdata          ascii   existsFile
1311 0x00047633 0x00449c33 19   20   .rdata          ascii   exitStatusLikeShell
1312 0x00047647 0x00449c47 12   13   .rdata          ascii   execShellCmd
1313 0x00047654 0x00449c54 6    7    .rdata          ascii   putEnv
1314 0x0004765b 0x00449c5b 15   16   .rdata          ascii   sameFileContent
1315 0x0004766b 0x00449c6b 13   14   .rdata          ascii   tryRemoveFile
1316 0x00047679 0x00449c79 10   11   .rdata          ascii   removeFile
1317 0x00047684 0x00449c84 8    9    .rdata          ascii   copyFile
1318 0x0004768d 0x00449c8d 18   19   .rdata          ascii   setFilePermissions
1319 0x000476a0 0x00449ca0 18   19   .rdata          ascii   getFilePermissions
1320 0x000476b3 0x00449cb3 19   20   .rdata          ascii   inclFilePermissions
1321 0x000476c7 0x00449cc7 17   18   .rdata          ascii   quoteShellCommand
1322 0x000476d9 0x00449cd9 12   13   .rdata          ascii   skipFindData
1323 0x000476e6 0x00449ce6 12   13   .rdata          ascii   rawRemoveDir
1324 0x000476f3 0x00449cf3 9    10   .rdata          ascii   removeDir
1325 0x000476fd 0x00449cfd 12   13   .rdata          ascii   rawCreateDir
1326 0x0004770a 0x00449d0a 9    10   .rdata          ascii   existsDir
1327 0x00047714 0x00449d14 17   18   .rdata          ascii   existsOrCreateDir
1328 0x00047726 0x00449d26 7    8    .rdata          ascii   IOError
1329 0x0004772e 0x00449d2e 9    10   .rdata          ascii   createDir
1330 0x00047738 0x00449d38 13   14   .rdata          ascii   changeFileExt
1331 0x00047746 0x00449d46 15   16   .rdata          ascii   tryMoveFSObject
1332 0x00047756 0x00449d56 8    9    .rdata          ascii   moveFile
1333 0x0004775f 0x00449d5f 9    10   .rdata          ascii   existsEnv
1334 0x00047769 0x00449d69 10   11   .rdata          ascii   getTempDir
1335 0x00047774 0x00449d74 7    8    .rdata          ascii   copyDir
1336 0x0004777c 0x00449d7c 10   11   .rdata          ascii   fpUserExec
1337 0x00047787 0x00449d87 11   12   .rdata          ascii   fpUserWrite
1338 0x00047793 0x00449d93 10   11   .rdata          ascii   fpUserRead
1339 0x0004779e 0x00449d9e 11   12   .rdata          ascii   fpGroupExec
1340 0x000477aa 0x00449daa 12   13   .rdata          ascii   fpGroupWrite
1341 0x000477b7 0x00449db7 11   12   .rdata          ascii   fpGroupRead
1342 0x000477c3 0x00449dc3 12   13   .rdata          ascii   fpOthersExec
1343 0x000477d0 0x00449dd0 13   14   .rdata          ascii   fpOthersWrite
1344 0x000477de 0x00449dde 12   13   .rdata          ascii   fpOthersRead
1345 0x00047864 0x00449e64 62   63   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\arithmetics.nim
1346 0x000478a3 0x00449ea3 6    7    .rdata          ascii   incRef
1347 0x000478ac 0x00449eac 53   54   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\gc.nim
1348 0x000478e5 0x00449ee5 9    10   .rdata          ascii   usrToCell
1349 0x000478f4 0x00449ef4 62   63   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\comparisons.nim
1350 0x00047933 0x00449f33 9    10   .rdata          ascii   rtlAddZCT
1351 0x0004793d 0x00449f3d 6    7    .rdata          ascii   decRef
1352 0x00047944 0x00449f44 7    8    .rdata          ascii   asgnRef
1353 0x0004794c 0x00449f4c 13   14   .rdata          ascii   initOptParser
1354 0x0004795c 0x00449f5c 57   58   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\parseopt.nim
1355 0x00047998 0x00449f98 62   63   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\iterators_1.nim
1356 0x000479d7 0x00449fd7 11   12   .rdata          ascii   countBits64
1357 0x000479e4 0x00449fe4 55   56   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\sets.nim
1358 0x00047a1c 0x0044a01c 7    8    .rdata          ascii   cardSet
1359 0x00047a24 0x0044a024 17   18   .rdata          ascii   handleShortOption
1360 0x00047a36 0x0044a036 9    10   .rdata          ascii   parseWord
1361 0x00047a40 0x0044a040 9    10   .rdata          ascii   eqStrings
1362 0x00047a4c 0x0044a04c 60   61   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\strmantle.nim
1363 0x00047a89 0x0044a089 4    5    .rdata          ascii   find
1364 0x00047a90 0x0044a090 50   51   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system.nim
1365 0x00047ac4 0x0044a0c4 60   61   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\iterators.nim
1366 0x00047b01 0x0044a101 8    9    .rdata          ascii   contains
1367 0x00047b0a 0x0044a10a 4    5    .rdata          ascii   next
1368 0x00047b12 0x0044a112 11   12   .rdata          ascii   cmdLineRest
1369 0x00047b22 0x0044a122 12   13   .rdata          ascii   inShortState
1370 0x00047b2f 0x0044a12f 25   26   .rdata          ascii   allowWhitespaceAfterColon
1371 0x00047b49 0x0044a149 10   11   .rdata          ascii   shortNoVal
1372 0x00047b54 0x0044a154 9    10   .rdata          ascii   longNoVal
1373 0x00047b5e 0x0044a15e 4    5    .rdata          ascii   cmds
1374 0x00047b67 0x0044a167 4    5    .rdata          ascii   kind
1375 0x00047b74 0x0044a174 6    7    .rdata          ascii   cmdEnd
1376 0x00047b7b 0x0044a17b 11   12   .rdata          ascii   cmdArgument
1377 0x00047b87 0x0044a187 13   14   .rdata          ascii   cmdLongOption
1378 0x00047b95 0x0044a195 14   15   .rdata          ascii   cmdShortOption
1379 0x00047bc0 0x0044a1c0 6    7    .rdata          ascii   rotl32
1380 0x00047bc8 0x0044a1c8 55   56   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\hashes.nim
1381 0x00047c00 0x0044a200 10   11   .rdata          ascii   murmurHash
1382 0x00047c0b 0x0044a20b 4    5    .rdata          ascii   hash
1383 0x00047c10 0x0044a210 5    6    .rdata          ascii   close
1384 0x00047c18 0x0044a218 56   57   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\streams.nim
1385 0x00047c51 0x0044a251 8    9    .rdata          ascii   readData
1386 0x00047c5a 0x0044a25a 8    9    .rdata          ascii   readChar
1387 0x00047c63 0x0044a263 8    9    .rdata          ascii   readLine
1388 0x00047c6c 0x0044a26c 9    10   .rdata          ascii   closeImpl
1389 0x00047c76 0x0044a276 9    10   .rdata          ascii   atEndImpl
1390 0x00047c80 0x0044a280 15   16   .rdata          ascii   setPositionImpl
1391 0x00047c90 0x0044a290 15   16   .rdata          ascii   getPositionImpl
1392 0x00047ca0 0x0044a2a0 15   16   .rdata          ascii   readDataStrImpl
1393 0x00047cb0 0x0044a2b0 12   13   .rdata          ascii   readLineImpl
1394 0x00047cbd 0x0044a2bd 12   13   .rdata          ascii   readDataImpl
1395 0x00047cca 0x0044a2ca 12   13   .rdata          ascii   peekDataImpl
1396 0x00047cd7 0x0044a2d7 13   14   .rdata          ascii   writeDataImpl
1397 0x00047ce5 0x0044a2e5 9    10   .rdata          ascii   flushImpl
1398 0x00047cf8 0x0044a2f8 8    9    .rdata          ascii   kernel32
1399 0x00047d0c 0x0044a30c 8    9    .rdata          ascii   kernel32
1400 0x00047d18 0x0044a318 15   16   .rdata          ascii   countProcessors
1401 0x00047d28 0x0044a328 68   69   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\concurrency\cpuinfo.nim
1402 0x00047d6d 0x0044a36d 13   14   .rdata          ascii   GetSystemInfo
1403 0x00047d87 0x0044a387 16   17   .rdata          ascii   @\\.\pipe\stdout
1404 0x00047d9f 0x0044a39f 15   16   .rdata          ascii   @\\.\pipe\stdin
1405 0x00047dc8 0x0044a3c8 81   82   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\osproc.nim(619, 14) `args.len == 0` 
1406 0x00047e47 0x0044a447 155  156  .rdata          ascii   @D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\osproc.nim(685, 14) `p.outStream == nil or\n    FileHandleStream(p.outStream).handle != INVALID_HANDLE_VALUE` 
1407 0x00047f07 0x0044a507 155  156  .rdata          ascii   @D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\osproc.nim(686, 14) `p.errStream == nil or\n    FileHandleStream(p.errStream).handle != INVALID_HANDLE_VALUE` 
1408 0x00047fc8 0x0044a5c8 44   45   .rdata          ascii   Requested command not found: '$1'. OS error:
1409 0x00048007 0x0044a607 171  172  .rdata          ascii   @D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\osproc.nim(751, 17) `poParentStreams notin p.options` API usage error: stream access not allowed when you use poParentStreams
1410 0x000480c7 0x0044a6c7 171  172  .rdata          ascii   @D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\osproc.nim(745, 17) `poParentStreams notin p.options` API usage error: stream access not allowed when you use poParentStreams
1411 0x00048188 0x0044a788 73   74   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\osproc.nim(311, 10) `n > 0` 
1412 0x000481e4 0x0044a7e4 17   18   .rdata          ascii   createPipeHandles
1413 0x000481f8 0x0044a7f8 55   56   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\osproc.nim
1414 0x00048230 0x0044a830 5    6    .rdata          ascii   myDup
1415 0x00048236 0x0044a836 16   17   .rdata          ascii   closeHandleCheck
1416 0x00048247 0x0044a847 20   21   .rdata          ascii   createAllPipeHandles
1417 0x0004825d 0x0044a85d 16   17   .rdata          ascii   buildCommandLine
1418 0x00048270 0x0044a870 62   63   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\iterators_1.nim
1419 0x000482af 0x0044a8af 8    9    .rdata          ascii   buildEnv
1420 0x000482b8 0x0044a8b8 56   57   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\strtabs.nim
1421 0x000482f1 0x0044a8f1 9    10   .rdata          ascii   fileClose
1422 0x00048300 0x0044a900 50   51   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system.nim
1423 0x00048333 0x0044a933 27   28   .rdata          ascii   closeThreadAndProcessHandle
1424 0x0004834f 0x0044a94f 5    6    .rdata          ascii   close
1425 0x00048355 0x0044a955 12   13   .rdata          ascii   startProcess
1426 0x00048362 0x0044a962 7    8    .rdata          ascii   hsClose
1427 0x0004836a 0x0044a96a 7    8    .rdata          ascii   hsAtEnd
1428 0x00048372 0x0044a972 10   11   .rdata          ascii   hsReadData
1429 0x0004837d 0x0044a97d 11   12   .rdata          ascii   hsWriteData
1430 0x00048389 0x0044a989 19   20   .rdata          ascii   newFileHandleStream
1431 0x000483a0 0x0044a9a0 62   63   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\arithmetics.nim
1432 0x000483df 0x0044a9df 6    7    .rdata          ascii   incRef
1433 0x000483e8 0x0044a9e8 53   54   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\gc.nim
1434 0x00048421 0x0044aa21 9    10   .rdata          ascii   usrToCell
1435 0x00048430 0x0044aa30 62   63   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\comparisons.nim
1436 0x0004846f 0x0044aa6f 9    10   .rdata          ascii   rtlAddZCT
1437 0x00048479 0x0044aa79 6    7    .rdata          ascii   decRef
1438 0x00048480 0x0044aa80 7    8    .rdata          ascii   asgnRef
1439 0x00048488 0x0044aa88 12   13   .rdata          ascii   outputStream
1440 0x00048495 0x0044aa95 11   12   .rdata          ascii   inputStream
1441 0x000484a1 0x0044aaa1 12   13   .rdata          ascii   peekExitCode
1442 0x000484ae 0x0044aaae 9    10   .rdata          ascii   execCmdEx
1443 0x000484b8 0x0044aab8 7    8    .rdata          ascii   running
1444 0x000484c0 0x0044aac0 9    10   .rdata          ascii   terminate
1445 0x000484ca 0x0044aaca 11   12   .rdata          ascii   waitForExit
1446 0x000484d6 0x0044aad6 13   14   .rdata          ascii   execProcesses
1447 0x000484e4 0x0044aae4 15   16   .rdata          ascii   countProcessors
1448 0x000484f4 0x0044aaf4 11   12   .rdata          ascii   execProcess
1449 0x00048500 0x0044ab00 14   15   .rdata          ascii   fProcessHandle
1450 0x0004850f 0x0044ab0f 13   14   .rdata          ascii   fThreadHandle
1451 0x0004851d 0x0044ab1d 8    9    .rdata          ascii   inHandle
1452 0x00048526 0x0044ab26 9    10   .rdata          ascii   outHandle
1453 0x00048530 0x0044ab30 9    10   .rdata          ascii   errHandle
1454 0x0004853d 0x0044ab3d 8    9    .rdata          ascii   inStream
1455 0x00048546 0x0044ab46 9    10   .rdata          ascii   outStream
1456 0x00048550 0x0044ab50 9    10   .rdata          ascii   errStream
1457 0x0004855a 0x0044ab5a 10   11   .rdata          ascii   exitStatus
1458 0x00048565 0x0044ab65 8    9    .rdata          ascii   exitFlag
1459 0x0004856e 0x0044ab6e 7    8    .rdata          ascii   options
1460 0x00048576 0x0044ab76 6    7    .rdata          ascii   handle
1461 0x0004857d 0x0044ab7d 8    9    .rdata          ascii   atTheEnd
1462 0x00048586 0x0044ab86 9    10   .rdata          ascii   poEchoCmd
1463 0x00048590 0x0044ab90 9    10   .rdata          ascii   poUsePath
1464 0x0004859a 0x0044ab9a 13   14   .rdata          ascii   poEvalCommand
1465 0x000485a8 0x0044aba8 16   17   .rdata          ascii   poStdErrToStdOut
1466 0x000485b9 0x0044abb9 15   16   .rdata          ascii   poParentStreams
1467 0x000485c9 0x0044abc9 13   14   .rdata          ascii   poInteractive
1468 0x000485d7 0x0044abd7 8    9    .rdata          ascii   poDaemon
1469 0x00048608 0x0044ac08 112  113  .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\collections\setimpl.nim(19, 10) `isPowerOfTwo(defaultInitialSize)` 
1470 0x00048688 0x0044ac88 104  105  .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\collections\hashcommon.nim(33, 9) `\nt.counter < t.dataLen` 
1471 0x000486f4 0x0044acf4 8    9    .rdata          ascii   isFilled
1472 0x00048700 0x0044ad00 71   72   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\collections\hashcommon.nim
1473 0x00048748 0x0044ad48 9    10   .rdata          ascii   eqStrings
1474 0x00048754 0x0044ad54 60   61   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\strmantle.nim
1475 0x00048791 0x0044ad91 7    8    .rdata          ascii   nextTry
1476 0x00048799 0x0044ad99 6    7    .rdata          ascii   rawGet
1477 0x000487a0 0x0044ada0 10   11   .rdata          ascii   mustRehash
1478 0x000487ab 0x0044adab 13   14   .rdata          ascii   rawGetKnownHC
1479 0x000487bc 0x0044adbc 62   63   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\arithmetics.nim
1480 0x00048800 0x0044ae00 62   63   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\comparisons.nim
1481 0x0004883f 0x0044ae3f 9    10   .rdata          ascii   rtlAddZCT
1482 0x0004884c 0x0044ae4c 53   54   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\gc.nim
1483 0x00048882 0x0044ae82 6    7    .rdata          ascii   decRef
1484 0x00048889 0x0044ae89 9    10   .rdata          ascii   usrToCell
1485 0x00048893 0x0044ae93 17   18   .rdata          ascii   nimGCunrefNoCycle
1486 0x000488a5 0x0044aea5 9    10   .rdata          ascii   rawInsert
1487 0x000488b0 0x0044aeb0 68   69   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\collections\setimpl.nim
1488 0x000488f5 0x0044aef5 7    8    .rdata          ascii   enlarge
1489 0x00048900 0x0044af00 62   63   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\system\iterators_1.nim
1490 0x0004893f 0x0044af3f 4    5    .rdata          ascii   incl
1491 0x00048944 0x0044af44 65   66   .rdata          ascii   D:\a\nightlies\nightlies\nim-1.2.16\lib\pure\collections\sets.nim
1492 0x00048986 0x0044af86 8    9    .rdata          ascii   contains
1493 0x0004898f 0x0044af8f 6    7    .rdata          ascii   Field0
1494 0x00048996 0x0044af96 6    7    .rdata          ascii   Field1
1495 0x000489a7 0x0044afa7 23   24   .rdata          ascii   @lib/system/threads.nim
1496 0x000489c7 0x0044afc7 24   25   .rdata          ascii   @lib/system/channels.nim
1497 0x00048a07 0x0044b007 138  139  .rdata          ascii   @D:\a\nightlies\nightlies\nim-1.2.16\lib\system\iterators.nim(189, 11) `len(a) == L` the length of the seq changed while iterating over it
1498 0x00048aa7 0x0044b0a7 23   24   .rdata          ascii   @lib/wrappers/mysql.nim
1499 0x00048ac7 0x0044b0c7 21   22   .rdata          ascii   @lib/wrappers/iup.nim
1500 0x00048ae7 0x0044b0e7 25   26   .rdata          ascii   @lib/wrappers/sqlite3.nim
1501 0x00048b27 0x0044b127 26   27   .rdata          ascii   @lib/wrappers/postgres.nim
1502 0x00048b67 0x0044b167 23   24   .rdata          ascii   @lib/wrappers/tinyc.nim
1503 0x00048b87 0x0044b187 25   26   .rdata          ascii   @lib/wrappers/odbcsql.nim
1504 0x00048bc7 0x0044b1c7 22   23   .rdata          ascii   @lib/wrappers/pcre.nim
1505 0x00048be7 0x0044b1e7 25   26   .rdata          ascii   @lib/wrappers/openssl.nim
1506 0x00048c0b 0x0044b20b 20   21   .rdata          ascii   @lib/posix/posix.nim
1507 0x00048c27 0x0044b227 20   21   .rdata          ascii   @lib/posix/linux.nim
1508 0x00048c47 0x0044b247 22   23   .rdata          ascii   @lib/posix/termios.nim
1509 0x00048c67 0x0044b267 18   19   .rdata          ascii   @lib/js/jscore.nim
1510 0x00048cbf 0x0044b2bf 16   17   .rdata          ascii   @lib/prelude.nim
1511 0x00048cd7 0x0044b2d7 20   21   .rdata          ascii   @lib/pure/future.nim
1512 0x00048d08 0x0044b308 35   36   .rdata          ascii   lib/pure/collections/hashcommon.nim
1513 0x00048d48 0x0044b348 34   35   .rdata          ascii   lib/pure/collections/tableimpl.nim
1514 0x00048d88 0x0044b388 32   33   .rdata          ascii   lib/pure/collections/setimpl.nim
1515 0x00048dc8 0x0044b3c8 41   42   .rdata          ascii   lib/pure/ioselects/ioselectors_kqueue.nim
1516 0x00048e08 0x0044b408 41   42   .rdata          ascii   lib/pure/ioselects/ioselectors_select.nim
1517 0x00048e48 0x0044b448 39   40   .rdata          ascii   lib/pure/ioselects/ioselectors_poll.nim
1518 0x00048e88 0x0044b488 40   41   .rdata          ascii   lib/pure/ioselects/ioselectors_epoll.nim
1519 0x00048ec7 0x0044b4c7 32   33   .rdata          ascii   @lib/posix/posix_macos_amd64.nim
1520 0x00048f07 0x0044b507 26   27   .rdata          ascii   @lib/posix/posix_other.nim
1521 0x00048f48 0x0044b548 34   35   .rdata          ascii   lib/posix/posix_nintendoswitch.nim
1522 0x00048f88 0x0044b588 41   42   .rdata          ascii   lib/posix/posix_nintendoswitch_consts.nim
1523 0x00048fc7 0x0044b5c7 32   33   .rdata          ascii   @lib/posix/posix_linux_amd64.nim
1524 0x00049008 0x0044b608 38   39   .rdata          ascii   lib/posix/posix_linux_amd64_consts.nim
1525 0x00049048 0x0044b648 32   33   .rdata          ascii   lib/posix/posix_other_consts.nim
1526 0x00049088 0x0044b688 33   34   .rdata          ascii   lib/posix/posix_openbsd_amd64.nim
1527 0x00049113 0x0044b713 4    5    .rdata          ascii   @lib
1528 0x0004912b 0x0044b72b 5    6    .rdata          ascii   @.nim
1529 0x0004913b 0x0044b73b 18   19   .rdata          ascii   @lib/pure/includes
1530 0x00049158 0x0044b758 10   11   .rdata          ascii   lib/genode
1531 0x0004916b 0x0044b76b 15   16   .rdata          ascii   @lib/deprecated
1532 0x00049184 0x0044b784 10   11   .rdata          ascii   lib/system
1533 0x00049197 0x0044b797 18   19   .rdata          ascii   @lib/system/io.nim
1534 0x000491c7 0x0044b7c7 25   26   .rdata          ascii   @lib/system/nimscript.nim
1535 0x00049207 0x0044b807 26   27   .rdata          ascii   @lib/system/assertions.nim
1536 0x00049247 0x0044b847 25   26   .rdata          ascii   @lib/system/iterators.nim
1537 0x00049287 0x0044b887 23   24   .rdata          ascii   @lib/system/dollars.nim
1538 0x000492a7 0x0044b8a7 24   25   .rdata          ascii   @lib/system/widestrs.nim
1539 0x000492e7 0x0044b8e7 20   21   .rdata          ascii   @nimsuggest/sexp.nim
1540 0x00049303 0x0044b903 4    5    .rdata          ascii   @exe
1541 0x0004930f 0x0044b90f 4    5    .rdata          ascii   @nim
1542 0x0004931b 0x0044b91b 4    5    .rdata          ascii   @bin
1543 0x00049327 0x0044b927 5    6    .rdata          ascii   @PATH
1544 0x00049337 0x0044b937 18   19   .rdata          ascii   @Adding to $PATH: 
1545 0x00049354 0x0044b954 7    8    .rdata          ascii   FAILURE
1546 0x00049368 0x0044b968 117  118  .rdata          ascii   --warning[LockLevel]:off --hint[Conf]:off --hint[Path]:off --hint[Processing]:off -d:boot --putenv:nimversion=1.2.16 
1547 0x000493e8 0x0044b9e8 13   14   .rdata          ascii   tools/dochack
