[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000000 0x00000000 4   5            ascii   MZER
1    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
2    0x00000080 0x00000080 17  18           ascii   }f?\e9\aQH9\aQH9\aQH"
3    0x00000093 0x00000093 6   7            ascii   Hu\aQH"
4    0x0000009b 0x0000009b 6   7            ascii   H:\aQH"
5    0x000000a3 0x000000a3 13  14           ascii   H8\aQHRich9\aQH
6    0x000001b0 0x000001b0 5   6            ascii   .text
7    0x00001010 0x00401010 4   5    .text   ascii   E\fPV
8    0x0000101e 0x0040101e 6   8    .text   utf8    ^]ËE\b] blocks=Basic Latin,Latin-1 Supplement
9    0x0000105a 0x0040105a 5   7    .text   utf8    \a\vʊP\v blocks=Basic Latin,IPA Extensions
10   0x000010ab 0x004010ab 5   7    .text   utf8    \a\vʊP\a blocks=Basic Latin,IPA Extensions
11   0x00001100 0x00401100 4   6    .text   utf8    \a\vʊP blocks=Basic Latin,IPA Extensions
12   0x0000119f 0x0040119f 4   5    .text   ascii   I\fSW
13   0x000011d7 0x004011d7 6   7    .text   ascii   1N\b1V\f
14   0x000012aa 0x004012aa 4   5    .text   ascii   t\fPj
15   0x000012c9 0x004012c9 6   7    .text   ascii   1W\b1O\f
16   0x000012f3 0x004012f3 4   5    .text   ascii   W\f^[
17   0x00001340 0x00401340 4   6    .text   utf8    +ʍr\f blocks=Basic Latin,IPA Extensions
18   0x0000136d 0x0040136d 4   5    .text   ascii   W\b1V
19   0x000013fa 0x004013fa 4   5    .text   ascii   \f;G;
20   0x00001517 0x00401517 5   6    .text   ascii   U\fQRP
21   0x00001548 0x00401548 5   6    .text   ascii   E\bPQV
22   0x00001555 0x00401555 5   6    .text   ascii   U\fSRV
23   0x000015ee 0x004015ee 6   7    .text   ascii   ]\bWPQS
24   0x0000163f 0x0040163f 6   7    .text   ascii   M RVWS
25   0x00001654 0x00401654 4   5    .text   ascii   M$VP
26   0x00001680 0x00401680 4   5    .text   ascii   8^_3
27   0x00001701 0x00401701 5   7    .text   utf8    P00`ǅ blocks=Basic Latin,Latin Extended-B
28   0x0000171f 0x0040171f 6   8    .text   utf8    }++Vǅ  blocks=Basic Latin,Latin Extended-B
29   0x0000173d 0x0040173d 4   8    .text   utf8    櫫Mǅ, blocks=CJK Unified Ideographs,Basic Latin,Latin Extended-B
30   0x000017a1 0x004017a1 4   8    .text   utf8    쭭AǅT blocks=Hangul Syllables,Basic Latin,Latin Extended-B
31   0x0000180f 0x0040180f 5   7    .text   utf8    j&&Lǅ blocks=Basic Latin,Latin Extended-B
32   0x00001819 0x00401819 5   7    .text   utf8    Z66lǅ blocks=Basic Latin,Latin Extended-B
33   0x00001823 0x00401823 5   7    .text   utf8    A??~ǅ blocks=Basic Latin,Latin Extended-B
34   0x00001841 0x00401841 5   7    .text   utf8    \44hǅ blocks=Basic Latin,Latin Extended-B
35   0x0000187d 0x0040187d 5   7    .text   utf8    S11bǅ blocks=Basic Latin,Latin Extended-B
36   0x000018a5 0x004018a5 5   7    .text   utf8    e##Fǅ blocks=Basic Latin,Latin Extended-B
37   0x00001913 0x00401913 5   7    .text   utf8    i''Nǅ blocks=Basic Latin,Latin Extended-B
38   0x00001945 0x00401945 5   7    .text   utf8    t,,Xǅ blocks=Basic Latin,Latin Extended-B
39   0x00001959 0x00401959 5   7    .text   utf8    -\e\e6ǅ blocks=Basic Latin,Latin Extended-B
40   0x0000198b 0x0040198b 5   7    .text   utf8    M;;vǅ blocks=Basic Latin,Latin Extended-B
41   0x000019a9 0x004019a9 6   8    .text   utf8    {))Rǅ$ blocks=Basic Latin,Latin Extended-B
42   0x000019bd 0x004019bd 6   8    .text   utf8    q//^ǅ, blocks=Basic Latin,Latin Extended-B
43   0x000019f9 0x004019f9 6   8    .text   utf8    `  @ǅD blocks=Basic Latin,Latin Extended-B
44   0x00001a3f 0x00401a3f 6   8    .text   utf8    K99rǅ` blocks=Basic Latin,Latin Extended-B
45   0x00001a85 0x00401a85 4   8    .text   utf8    媪Oǅ| blocks=CJK Unified Ideographs,Basic Latin,Latin Extended-B
46   0x00001aad 0x00401aad 5   7    .text   utf8    U33fǅ blocks=Basic Latin,Latin Extended-B
47   0x00001af3 0x00401af3 5   7    .text   utf8    D<<xǅ blocks=Basic Latin,Latin Extended-B
48   0x00001b4d 0x00401b4d 5   7    .text   utf8    H88pǅ blocks=Basic Latin,Latin Extended-B
49   0x00001b7f 0x00401b7f 5   7    .text   utf8    c!!Bǅ blocks=Basic Latin,Latin Extended-B
50   0x00001c1f 0x00401c1f 6   8    .text   utf8    G==zǅ  blocks=Basic Latin,Latin Extended-B
51   0x00001c79 0x00401c79 6   8    .text   utf8    f""DǅD blocks=Basic Latin,Latin Extended-B
52   0x00001c83 0x00401c83 6   8    .text   utf8    ~**TǅH blocks=Basic Latin,Latin Extended-B
53   0x00001cfb 0x00401cfb 6   8    .text   utf8    V22dǅx blocks=Basic Latin,Latin Extended-B
54   0x00001d05 0x00401d05 6   8    .text   utf8    N::tǅ| blocks=Basic Latin,Latin Extended-B
55   0x00001d2d 0x00401d2d 5   7    .text   utf8    l$$Hǅ blocks=Basic Latin,Latin Extended-B
56   0x00001da5 0x00401da5 5   7    .text   utf8    Y77nǅ blocks=Basic Latin,Latin Extended-B
57   0x00001e45 0x00401e45 5   7    .text   utf8    o%%Jǅ blocks=Basic Latin,Latin Extended-B
58   0x00001e4f 0x00401e4f 5   7    .text   utf8    r..\ǅ blocks=Basic Latin,Latin Extended-B
59   0x00001edb 0x00401edb 6   8    .text   utf8    B>>|ǅ8 blocks=Basic Latin,Latin Extended-B
60   0x00001f2b 0x00401f2b 6   8    .text   utf8    _55jǅX blocks=Basic Latin,Latin Extended-B
61   0x00001ffd 0x00401ffd 5   7    .text   utf8    x((Pǅ blocks=Basic Latin,Latin Extended-B
62   0x00002075 0x00402075 5   7    .text   utf8    w--Zǅ blocks=Basic Latin,Latin Extended-B
63   0x000020bb 0x004020bb 5   7    .text   utf8    SeA~ǅ blocks=Basic Latin,Latin Extended-B
64   0x000020d0 0x004020d0 4   6    .text   utf8    ^':ǅ blocks=Basic Latin,Latin Extended-B
65   0x0000213e 0x0040213e 5   7    .text   utf8    D5&ǅ, blocks=Basic Latin,Latin Extended-B
66   0x000021d4 0x004021d4 5   7    .text   utf8    !tXǅh blocks=Basic Latin,Latin Extended-B
67   0x00002291 0x00402291 5   7    .text   utf8    XhHpǅ blocks=Basic Latin,Latin Extended-B
68   0x00002382 0x00402382 4   6    .text   utf8    S.4ǅ blocks=Basic Latin,Latin Extended-B
69   0x000023b5 0x004023b5 4   6    .text   utf8    `@ǅ( blocks=Basic Latin,Latin Extended-B
70   0x000023bf 0x004023bf 4   6    .text   utf8    q^ǅ, blocks=Basic Latin,Latin Extended-B
71   0x000023d3 0x004023d3 4   6    .text   utf8    !>ǅ4 blocks=Basic Latin,Latin Extended-B
72   0x00002419 0x00402419 4   6    .text   utf8    P`ǅP blocks=Basic Latin,Latin Extended-B
73   0x0000247d 0x0040247d 4   6    .text   utf8    B|ǅx blocks=Basic Latin,Latin Extended-B
74   0x000024b7 0x004024b7 5   7    .text   utf8    NrZlǅ blocks=Basic Latin,Latin Extended-B
75   0x000024df 0x004024df 5   7    .text   utf8    '9-6ǅ blocks=Basic Latin,Latin Extended-B
76   0x00002507 0x00402507 5   7    .text   utf8    :.6$ǅ blocks=Basic Latin,Latin Extended-B
77   0x00002512 0x00402512 4   6    .text   utf8    g\n\fǅ blocks=Basic Latin,Latin Extended-B
78   0x0000254d 0x0040254d 5   7    .text   utf8    iKwZǅ blocks=Basic Latin,Latin Extended-B
79   0x000025e5 0x004025e5 4   6    .text   utf8    r\ǅ\b blocks=Basic Latin,Latin Extended-B
80   0x000025ee 0x004025ee 5   7    .text   utf8    ;fDǅ\f blocks=Basic Latin,Latin Extended-B
81   0x00002635 0x00402635 4   6    .text   utf8    cBǅ( blocks=Basic Latin,Latin Extended-B
82   0x000026de 0x004026de 5   7    .text   utf8    ,}Vǅl blocks=Basic Latin,Latin Extended-B
83   0x000026e9 0x004026e9 4   6    .text   utf8    3"ǅp blocks=Basic Latin,Latin Extended-B
84   0x0000270f 0x0040270f 4   7    .text   utf8    6\vԘǅ blocks=Basic Latin,Cyrillic Supplement,Latin Extended-B
85   0x0000275f 0x0040275f 5   7    .text   utf8    bF~Tǅ blocks=Basic Latin,Latin Extended-B
86   0x0000281d 0x0040281d 4   7    .text   utf8    \bϼ!ǅ blocks=Basic Latin,Greek and Coptic,Latin Extended-B
87   0x0000283c 0x0040283c 4   6    .text   utf8    6oJǅ blocks=Basic Latin,Latin Extended-B
88   0x00002863 0x00402863 6   8    .text   utf8    1#?*ǅ\b blocks=Basic Latin,Latin Extended-B
89   0x000028a0 0x004028a0 4   7    .text   utf8    ا3ǅ  blocks=Arabic,Basic Latin,Latin Extended-B
90   0x000028d3 0x004028d3 4   6    .text   utf8    Mvǅ4 blocks=Basic Latin,Latin Extended-B
91   0x00002905 0x00402905 4   6    .text   utf8    jLǅH blocks=Basic Latin,Latin Extended-B
92   0x00002918 0x00402918 5   7    .text   utf8    QeFǅP blocks=Basic Latin,Latin Extended-B
93   0x00002972 0x00402972 4   7    .text   utf8    aךǅt blocks=Basic Latin,Hebrew,Latin Extended-B
94   0x00002a25 0x00402a25 5   7    .text   utf8    ,4$8ǅ blocks=Basic Latin,Latin Extended-B
95   0x00002a4e 0x00402a4e 4   6    .text   utf8    I<(ǅ blocks=Basic Latin,Latin Extended-B
96   0x00002a9d 0x00402a9d 5   7    .text   utf8    t\lHǅ blocks=Basic Latin,Latin Extended-B
