[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x000000e0 0x000000e0 4   5            ascii   Rich
2     0x000001e8 0x000001e8 5   6            ascii   .text
3     0x00000210 0x00000210 6   7            ascii   .rdata
4     0x00000237 0x00000237 6   7            ascii   @.data
5     0x00000260 0x00000260 5   6            ascii   .rsrc
6     0x00000287 0x00000287 7   8            ascii   @.reloc
7     0x000004d3 0x100010d3 4   5    .text   ascii   QSVW
8     0x00000a40 0x10001640 5   6    .text   ascii   O\fVPQ
9     0x00000a7d 0x1000167d 4   5    .text   ascii   O8SV
10    0x00000a9d 0x1000169d 4   6    .text   utf8    v\r+ց blocks=Basic Latin,Armenian
11    0x00000ad5 0x100016d5 4   5    .text   ascii   Wt9U
12    0x00000b59 0x10001759 5   6    .text   ascii   A:Z\au
13    0x00000b9d 0x1000179d 5   6    .text   ascii   _4#]\b
14    0x00000baa 0x100017aa 4   5    .text   ascii   ]\b;]
15    0x00000bbb 0x100017bb 5   6    .text   ascii   Ot^[;
16    0x00000be4 0x100017e4 5   6    .text   ascii   ^<+^t
17    0x00000bed 0x100017ed 4   6    .text   utf8    N,+؍ blocks=Basic Latin,Arabic
18    0x00000c04 0x10001804 4   5    .text   ascii   \f8QP
19    0x00000c11 0x10001811 8   9    .text   ascii   FD)~p)~l
20    0x00000c1b 0x1000181b 4   5    .text   ascii   \f)~\
21    0x00000d9a 0x1000199a 5   8    .text   utf8    s0+ϋف blocks=Basic Latin,Greek and Coptic,Arabic
22    0x00000e69 0x10001a69 4   6    .text   utf8    +ЉVt blocks=Basic Latin,Cyrillic
23    0x00000f21 0x10001b21 5   6    .text   ascii   S\fPQR
24    0x0000101a 0x10001c1a 5   6    .text   ascii   S\fPQR
25    0x00001054 0x10001c54 4   6    .text   utf8    ]ËE\f blocks=Basic Latin,Latin-1 Supplement
26    0x0000107a 0x10001c7a 5   7    .text   utf8    3\vVl+
27    0x000010b1 0x10001cb1 4   6    .text   utf8    ]ËFl blocks=Basic Latin,Latin-1 Supplement
28    0x0000116f 0x10001d6f 5   6    .text   ascii   Nl#N4
29    0x00001191 0x10001d91 4   6    .text   utf8    V,+ȁ blocks=Basic Latin,Latin Extended-B
30    0x000011b9 0x10001db9 6   7    .text   ascii   Nlf+Np
31    0x00001297 0x10001e97 6   8    .text   utf8    A#ڋV@f blocks=Basic Latin,Arabic
32    0x0000135e 0x10001f5e 5   7    .text   utf8    3\vVl+
