Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000050 0x00000050 40  41           ascii   This program must be run under Win32\r\n$7
1    0x000001f8 0x000001f8 5   6            ascii   .text
2    0x0000021f 0x0000021f 7   8            ascii   `.itext
3    0x00000247 0x00000247 6   7            ascii   `.data
4    0x00000270 0x00000270 4   5            ascii   .bss
5    0x00000298 0x00000298 6   7            ascii   .idata
6    0x000002c0 0x000002c0 7   8            ascii   .didata
7    0x000002e8 0x000002e8 4   5            ascii   .tls
8    0x00000310 0x00000310 6   7            ascii   .rdata
9    0x00000337 0x00000337 7   8            ascii   @.reloc
10   0x0000035f 0x0000035f 6   7            ascii   B.rsrc
50   0x00000736 0x00401336 16  17   .text   ascii   PInterfaceEntryL
51   0x00000752 0x00401352 15  16   .text   ascii   TInterfaceEntry
52   0x00000787 0x00401387 6   7    .text   ascii   VTable
53   0x00000798 0x00401398 8   9    .text   ascii   \aIOffset
54   0x000007ab 0x004013ab 11  12   .text   ascii   \nImplGetter
55   0x000007c2 0x004013c2 15  16   .text   ascii   PInterfaceTable
56   0x000007de 0x004013de 15  16   .text   ascii   TInterfaceTable
57   0x00000803 0x00401403 11  12   .text   ascii   \nEntryCount
58   0x00000819 0x00401419 8   9    .text   ascii   \aEntries
59   0x0000082d 0x0040142d 9   10   .text   ascii   \aTMethod\b
60   0x0000084c 0x0040144c 4   5    .text   ascii   Code
61   0x0000085c 0x0040145c 4   5    .text   ascii   Data
62   0x000009b8 0x004015b8 9   10   .text   ascii   \aTObject&
63   0x000009c7 0x004015c7 6   7    .text   ascii   Create
64   0x000009de 0x004015de 4   5    .text   ascii   Self
65   0x000009ed 0x004015ed 4   5    .text   ascii   Free
66   0x00000a02 0x00401602 4   5    .text   ascii   Self
67   0x00000a10 0x00401610 13  14   .text   ascii   \fInitInstance
68   0x00000a2e 0x0040162e 4   5    .text   ascii   Self
69   0x00000a3b 0x0040163b 9   10   .text   ascii   \bInstance
70   0x00000a4f 0x0040164f 15  16   .text   ascii   CleanupInstance
71   0x00000a6f 0x0040166f 4   5    .text   ascii   Self
72   0x00000a7d 0x0040167d 10  11   .text   ascii   \tClassType
73   0x00000a98 0x00401698 4   5    .text   ascii   Self
74   0x00000aa6 0x004016a6 10  11   .text   ascii   \tClassName
75   0x00000ac1 0x004016c1 4   5    .text   ascii   Self
76   0x00000ada 0x004016da 12  13   .text   ascii   \vClassNameIs
77   0x00000af7 0x004016f7 4   5    .text   ascii   Self
78   0x00000b05 0x00401705 4   5    .text   ascii   Name
79   0x00000b13 0x00401713 12  13   .text   ascii   \vClassParent
80   0x00000b30 0x00401730 4   5    .text   ascii   Self
81   0x00000b3e 0x0040173e 10  11   .text   ascii   \tClassInfo
82   0x00000b59 0x00401759 4   5    .text   ascii   Self
83   0x00000b67 0x00401767 13  14   .text   ascii   \fInstanceSize
84   0x00000b85 0x00401785 4   5    .text   ascii   Self
85   0x00000b93 0x00401793 13  14   .text   ascii   \fInheritsFrom
86   0x00000bb1 0x004017b1 4   5    .text   ascii   Self
87   0x00000bbf 0x004017bf 6   7    .text   ascii   AClass
88   0x00000bcf 0x004017cf 14  15   .text   ascii   \rMethodAddress
89   0x00000bee 0x004017ee 4   5    .text   ascii   Self
90   0x00000bfc 0x004017fc 4   5    .text   ascii   Name
91   0x00000c0a 0x0040180a 14  15   .text   ascii   \rMethodAddress
92   0x00000c29 0x00401829 4   5    .text   ascii   Self
93   0x00000c37 0x00401837 4   5    .text   ascii   Name
94   0x00000c45 0x00401845 11  12   .text   ascii   \nMethodName
95   0x00000c61 0x00401861 4   5    .text   ascii   Self
96   0x00000c6e 0x0040186e 8   9    .text   ascii   \aAddress
97   0x00000c8b 0x0040188b 13  14   .text   ascii   \fFieldAddress
98   0x00000ca9 0x004018a9 4   5    .text   ascii   Self
99   0x00000cb7 0x004018b7 4   5    .text   ascii   Name
100  0x00000cc5 0x004018c5 13  14   .text   ascii   \fFieldAddress
101  0x00000ce3 0x004018e3 4   5    .text   ascii   Self
102  0x00000cf1 0x004018f1 4   5    .text   ascii   Name
103  0x00000cff 0x004018ff 13  14   .text   ascii   \fGetInterface
104  0x00000d1d 0x0040191d 4   5    .text   ascii   Self
105  0x00000d46 0x00401946 17  18   .text   ascii   GetInterfaceEntry
106  0x00000d68 0x00401968 4   5    .text   ascii   Self
107  0x00000d84 0x00401984 17  18   .text   ascii   GetInterfaceTable
108  0x00000da6 0x004019a6 4   5    .text   ascii   Self
109  0x00000db4 0x004019b4 9   10   .text   ascii   \bUnitName
110  0x00000dce 0x004019ce 4   5    .text   ascii   Self
111  0x00000de8 0x004019e8 6   7    .text   ascii   Equals
112  0x00000dff 0x004019ff 4   5    .text   ascii   Self
113  0x00000e1a 0x00401a1a 12  13   .text   ascii   \vGetHashCode
114  0x00000e37 0x00401a37 4   5    .text   ascii   Self
115  0x00000e45 0x00401a45 9   10   .text   ascii   \bToString
116  0x00000e5f 0x00401a5f 4   5    .text   ascii   Self
117  0x00000e79 0x00401a79 17  18   .text   ascii   SafeCallException
118  0x00000e9b 0x00401a9b 4   5    .text   ascii   Self
119  0x00000ea8 0x00401aa8 13  14   .text   ascii   \fExceptObject
120  0x00000ebe 0x00401abe 11  12   .text   ascii   \nExceptAddr
121  0x00000ed4 0x00401ad4 17  18   .text   ascii   AfterConstruction
122  0x00000ef6 0x00401af6 4   5    .text   ascii   Self
123  0x00000f05 0x00401b05 17  18   .text   ascii   BeforeDestruction
124  0x00000f27 0x00401b27 4   5    .text   ascii   Self
125  0x00000f35 0x00401b35 9   10   .text   ascii   \bDispatch
126  0x00000f4f 0x00401b4f 4   5    .text   ascii   Self
127  0x00000f5c 0x00401b5c 8   9    .text   ascii   \aMessage
128  0x00000f6f 0x00401b6f 14  15   .text   ascii   DefaultHandler
129  0x00000f8e 0x00401b8e 4   5    .text   ascii   Self
130  0x00000f9b 0x00401b9b 8   9    .text   ascii   \aMessage
131  0x00000fad 0x00401bad 12  13   .text   ascii   \vNewInstance
132  0x00000fca 0x00401bca 4   5    .text   ascii   Self
133  0x00000fd8 0x00401bd8 13  14   .text   ascii   \fFreeInstance
134  0x00000ff6 0x00401bf6 4   5    .text   ascii   Self
135  0x00001004 0x00401c04 8   9    .text   ascii   \aDestroy
136  0x0000101d 0x00401c1d 4   5    .text   ascii   Self
137  0x0000102c 0x00401c2c 9   10   .text   ascii   \a\aTObject
138  0x00001040 0x00401c40 6   7    .text   ascii   System
139  0x00001051 0x00401c51 11  12   .text   ascii   \nIInterface
140  0x00001072 0x00401c72 6   7    .text   ascii   System
141  0x00001085 0x00401c85 11  12   .text   ascii   \tIDispatchL
142  0x000010a5 0x00401ca5 6   7    .text   ascii   System
143  0x00001169 0x00401d69 10  11   .text   ascii   \tFRefCount
144  0x00001192 0x00401d92 18  19   .text   ascii   TInterfacedObject1
145  0x000011aa 0x00401daa 17  18   .text   ascii   AfterConstruction
146  0x000011cc 0x00401dcc 4   5    .text   ascii   Self
147  0x000011db 0x00401ddb 17  18   .text   ascii   BeforeDestruction
148  0x000011fd 0x00401dfd 4   5    .text   ascii   Self
149  0x0000120b 0x00401e0b 12  13   .text   ascii   \vNewInstance
150  0x00001228 0x00401e28 4   5    .text   ascii   Self
151  0x00001236 0x00401e36 18  19   .text   ascii   TInterfacedObjectX
152  0x00001252 0x00401e52 6   7    .text   ascii   System
153  0x0000127f 0x00401e7f 9   10   .text   ascii   \bRefCount
154  0x0000128d 0x00401e8d 13  14   .text   ascii   \fPShortString
155  0x000012a5 0x00401ea5 9   10   .text   ascii   \bPLongint
156  0x000012ba 0x00401eba 5   6    .text   ascii   PByte
157  0x000012cd 0x00401ecd 10  11   .text   ascii   \tTDateTime
158  0x000012e2 0x00401ee2 15  16   .text   ascii   TVarArrayBound\b
159  0x00001306 0x00401f06 13  14   .text   ascii   \fElementCount
160  0x0000131e 0x00401f1e 9   10   .text   ascii   \bLowBound
161  0x00001332 0x00401f32 20  21   .text   ascii   TVarArrayBoundArray\b
162  0x0000135d 0x00401f5d 11  12   .text   ascii   \tPVarArrayp
163  0x00001375 0x00401f75 10  11   .text   ascii   \tTVarArray
164  0x00001395 0x00401f95 9   10   .text   ascii   \bDimCount
165  0x000013aa 0x00401faa 5   6    .text   ascii   Flags
166  0x000013ba 0x00401fba 12  13   .text   ascii   \vElementSize
167  0x000013d1 0x00401fd1 10  11   .text   ascii   \tLockCount
168  0x000013e7 0x00401fe7 4   5    .text   ascii   Data
169  0x000013f7 0x00401ff7 6   7    .text   ascii   Bounds
170  0x00001409 0x00402009 9   10           ascii   \bTVarData
171  0x00001429 0x00402029 5   6            ascii   VType
172  0x00001439 0x00402039 10  11           ascii   \tReserved1
173  0x0000144e 0x0040204e 10  11           ascii   \tReserved2
174  0x00001463 0x00402063 10  11           ascii   \tReserved3
175  0x00001478 0x00402078 10  11           ascii   \tVSmallInt
176  0x0000148d 0x0040208d 9   10           ascii   \bVInteger
177  0x000014a1 0x004020a1 8   9            ascii   \aVSingle
178  0x000014b4 0x004020b4 8   9            ascii   \aVDouble
179  0x000014c7 0x004020c7 10  11           ascii   \tVCurrency
180  0x000014dd 0x004020dd 5   6            ascii   VDate
181  0x000014ed 0x004020ed 8   9            ascii   \aVOleStr
182  0x00001500 0x00402100 10  11           ascii   \tVDispatch
183  0x00001516 0x00402116 6   7            ascii   VError
184  0x00001527 0x00402127 9   10           ascii   \bVBoolean
185  0x0000153b 0x0040213b 9   10           ascii   \bVUnknown
186  0x0000154f 0x0040214f 10  11           ascii   \tVShortInt
187  0x00001565 0x00402165 5   6            ascii   VByte
188  0x00001576 0x00402176 5   6            ascii   VWord
189  0x00001586 0x00402186 10  11           ascii   \tVLongWord
190  0x0000159c 0x0040219c 6   7            ascii   VInt64
191  0x000015ad 0x004021ad 8   9            ascii   \aVUInt64
192  0x000015c0 0x004021c0 8   9            ascii   \aVString
193  0x000015d4 0x004021d4 4   5            ascii   VAny
194  0x000015e4 0x004021e4 6   7            ascii   VArray
195  0x000015f5 0x004021f5 9   10           ascii   \bVPointer
196  0x00001609 0x00402209 9   10           ascii   \bVUString
197  0x0000161e 0x0040221e 6   7            ascii   VLongs
198  0x00001630 0x00402230 6   7            ascii   VWords
199  0x00001642 0x00402242 6   7            ascii   VBytes
200  0x00001653 0x00402253 8   9            ascii   \aRawData
201  0x00001664 0x00402264 12  13           ascii   \r\nTTypeTable
202  0x00001689 0x00402289 14  15           ascii   \nPTypeTable`"@
203  0x000016a2 0x004022a2 16  17           ascii   PPackageTypeInfo
204  0x000016be 0x004022be 16  17           ascii   TPackageTypeInfo
205  0x000016e4 0x004022e4 10  11           ascii   \tTypeCount
206  0x000016f9 0x004022f9 10  11           ascii   \tTypeTable
207  0x0000170e 0x0040230e 10  11           ascii   \tUnitCount
208  0x00001723 0x00402323 10  11           ascii   \tUnitNames
209  0x00001739 0x00402339 14  15           ascii   \nPLibModuleL#@
210  0x00001751 0x00402351 11  12           ascii   \nTLibModule
211  0x00001773 0x00402373 4   5            ascii   Next
212  0x00001782 0x00402382 9   10           ascii   \bInstance
213  0x00001796 0x00402396 13  14           ascii   \fCodeInstance
214  0x000017ae 0x004023ae 13  14           ascii   \fDataInstance
215  0x000017c6 0x004023c6 12  13           ascii   \vResInstance
216  0x000017dd 0x004023dd 9   10           ascii   \bTypeInfo
217  0x000017f1 0x004023f1 9   10           ascii   \bReserved
218  0x00001805 0x00402405 14  15           ascii   \rPResStringRec
219  0x00001821 0x00402421 15  16           ascii   \rTResStringRec\b
220  0x00001846 0x00402446 6   7            ascii   Module
221  0x00001857 0x00402457 11  12           ascii   \nIdentifier
222  0x00001881 0x00402481 4   5            ascii   %0zR
223  0x00001889 0x00402489 4   5            ascii   %,zR
224  0x00001891 0x00402491 4   5            ascii   %(zR
225  0x00001899 0x00402499 4   5            ascii   %$zR
226  0x000018a1 0x004024a1 4   5            ascii   % zR
227  0x000018c9 0x004024c9 4   5            ascii   %\fzR
228  0x000018d1 0x004024d1 4   5            ascii   %tyR
229  0x000018d9 0x004024d9 4   5            ascii   %\bzR
230  0x000018e1 0x004024e1 4   5            ascii   %\bzR
231  0x00001901 0x00402501 4   5            ascii   %pyR
232  0x00001979 0x00402579 4   5            ascii   %lyR
233  0x00001999 0x00402599 4   5            ascii   %dyR
234  0x000019a1 0x004025a1 4   5            ascii   %`yR
235  0x000019a9 0x004025a9 4   5            ascii   %\yR
236  0x000019c1 0x004025c1 4   5            ascii   %TyR
237  0x000019c9 0x004025c9 4   5            ascii   %PyR
238  0x000019d1 0x004025d1 4   5            ascii   %LyR
239  0x00001a26 0x00402626 4   6            utf8    D[Í@ blocks=Basic Latin,Latin-1 Supplement
240  0x00001a50 0x00402650 90  91           ascii   FastMM Borland Edition (c) 2004 - 2008 Pierre le Riche / Professional Software Development
241  0x00001aac 0x004026ac 40  41           ascii   An unexpected memory leak has occurred. 
242  0x00001ad8 0x004026d8 39  40           ascii   The unexpected small block leaks are:\r\n
243  0x00001b00 0x00402700 60  61           ascii   The sizes of unexpected leaked medium and large blocks are: 
244  0x00001b40 0x00402740 8   9            ascii    bytes: 
245  0x00001b4c 0x0040274c 7   8            ascii   Unknown
246  0x00001b54 0x00402754 10  11           ascii   AnsiString
247  0x00001b60 0x00402760 13  14           ascii   UnicodeString
248  0x00001b74 0x00402774 22  23           ascii   Unexpected Memory Leak
249  0x00001ba2 0x004027a2 4   6            utf8    B\bÍ@ blocks=Basic Latin,Latin-1 Supplement
250  0x00001e73 0x00402a73 4   6            utf8    +ˉ\rD blocks=Basic Latin,Spacing Modifier Letters
251  0x00001e7b 0x00402a7b 4   7            utf8    +Ӌ£@ blocks=Basic Latin,Cyrillic,Latin-1 Supplement
252  0x00001ee2 0x00402ae2 5   7            utf8    ÐSVWU blocks=Latin-1 Supplement,Basic Latin
253  0x00001f41 0x00402b41 5   7            utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
254  0x00001f48 0x00402b48 4   5            ascii   SVWU
255  0x00001f95 0x00402b95 5   6            ascii   D$\fPS
256  0x00001fe5 0x00402be5 10  12           utf8    $]_^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
257  0x0000202f 0x00402c2f 4   5            ascii   D$\bP
258  0x00002034 0x00402c34 4   5            ascii   D$\bP
259  0x00002051 0x00402c51 4   6            utf8    +ӋD$ blocks=Basic Latin,Cyrillic
260  0x0000207d 0x00402c7d 4   5            ascii   D$\fP
261  0x00002093 0x00402c93 4   5            ascii   D$\fP
262  0x00002132 0x00402d32 7   9            utf8     ]_^[ÍP blocks=Basic Latin,Latin-1 Supplement
263  0x00002191 0x00402d91 5   6            ascii   ;C\fwv
264  0x00002245 0x00402e45 4   5            ascii   t\tj\n
265  0x00002318 0x00402f18 6   8            utf8    _^[Àd7 blocks=Basic Latin,Latin-1 Supplement
266  0x0000234c 0x00402f4c 4   6            utf8    )ω{\f blocks=Basic Latin,Greek and Coptic
267  0x00002357 0x00402f57 4   6            utf8    _^[Ð blocks=Basic Latin,Latin-1 Supplement
268  0x0000238a 0x00402f8a 4   5            ascii   t*j\n
269  0x000024dc 0x004030dc 4   5            ascii   B\bt,
270  0x000024eb 0x004030eb 4   6            utf8    t\a1\b
271  0x00002568 0x00403168 4   5            ascii   QRj\n
272  0x000025a6 0x004031a6 4   5            ascii   t!j\n
273  0x00002709 0x00403309 4   5            ascii   L\t W
274  0x00002747 0x00403347 4   6            utf8    _^[Ð blocks=Basic Latin,Latin-1 Supplement
275  0x00002772 0x00403372 7   9            utf8    r\b]_^[Ð blocks=Basic Latin,Latin-1 Supplement
276  0x000027e6 0x004033e6 5   6            ascii   t\fQj\n
277  0x0000284f 0x0040344f 5   8            utf8    ]_^[É blocks=Basic Latin,Latin-1 Supplement
278  0x00002877 0x00403477 6   8            utf8    ]_^[ËG blocks=Basic Latin,Latin-1 Supplement
279  0x000028d2 0x004034d2 4   5            ascii   QRj\n
280  0x000028f7 0x004034f7 5   6            ascii   wt=0\v
281  0x00002966 0x00403566 5   7            utf8    ]_^[Ð blocks=Basic Latin,Latin-1 Supplement
282  0x000029b6 0x004035b6 7   9            utf8    ]_^[Ð^[ blocks=Basic Latin,Latin-1 Supplement
283  0x000029fc 0x004035fc 5   10           utf8    [Ë\vȋу blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B,Cyrillic
284  0x00002a75 0x00403675 6   7            ascii   Z\b;Z\fv
285  0x00002a92 0x00403692 6   8            utf8    ^[ËB\bH blocks=Basic Latin,Latin-1 Supplement
286  0x00002c38 0x00403838 5   7            utf8    U\b3ɉJ blocks=Basic Latin,Latin Extended-B
287  0x00002c80 0x00403880 4   6            utf8    []ÐU blocks=Basic Latin,Latin-1 Supplement
288  0x00002cfd 0x004038fd 5   7            utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
289  0x00002e01 0x00403a01 5   7            utf8    |&B3\v
290  0x00002e32 0x00403a32 4   6            utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
291  0x00002e60 0x00403a60 5   8            utf8    M؍U܋E blocks=Basic Latin,Arabic,Syriac
292  0x00002ec0 0x00403ac0 4   6            utf8    E܋@\b blocks=Basic Latin,Syriac
293  0x00003263 0x00403e63 7   8            ascii   r\at!Ht:
294  0x0000335e 0x00403f5e 4   5            ascii   rAF3
295  0x0000339e 0x00403f9e 4   6            utf8    NuΡx blocks=Basic Latin,Greek and Coptic
296  0x00003467 0x00404067 4   5            ascii   0=0\v
297  0x00003541 0x00404141 5   7            utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
298  0x00003548 0x00404148 4   5            ascii   SVWU
299  0x0000358c 0x0040418c 4   6            utf8    3ɉH\f blocks=Basic Latin,Latin Extended-B
300  0x000035d3 0x004041d3 6   8            utf8    ]_^[Ã= blocks=Basic Latin,Latin-1 Supplement
301  0x00003719 0x00404319 6   8            utf8    X\b3҉P\b blocks=Basic Latin,Cyrillic
302  0x0000379a 0x0040439a 4   6            utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
303  0x000037bb 0x004043bb 4   5            ascii   YZXu
304  0x0000386c 0x0040446c 4   5            ascii   L\n\bZ
305  0x000038fc 0x004044fc 4   5            ascii   SVWU
306  0x00003917 0x00404517 5   6            ascii   8"u\ff
307  0x0000395f 0x0040455f 4   7            utf8     wˋË blocks=Basic Latin,Spacing Modifier Letters,Latin-1 Supplement
308  0x000039b0 0x004045b0 6   8            utf8    ]_^[Í@ blocks=Basic Latin,Latin-1 Supplement
309  0x00003a14 0x00404614 4   6            utf8    _^[Ã blocks=Basic Latin,Latin-1 Supplement
310  0x00003a3a 0x0040463a 4   6            utf8    YZÍ@ blocks=Basic Latin,Latin-1 Supplement
311  0x00003a53 0x00404653 4   6            utf8    <$XÐ blocks=Basic Latin,Latin-1 Supplement
312  0x00003a80 0x00404680 6   9            utf8    ,$YXZË blocks=Basic Latin,Latin-1 Supplement
313  0x00003b06 0x00404706 4   5            ascii   r/f=
314  0x00003b0c 0x0040470c 4   5            ascii   w)f%
315  0x00003b59 0x00404759 4   6            utf8    ˈ\bB@ blocks=Spacing Modifier Letters,Basic Latin
316  0x00003b7c 0x0040477c 4   5            ascii   uENt
317  0x00003ba3 0x004047a3 7   8            ascii   \b:\nu0Nt
318  0x00003bb1 0x004047b1 5   6            ascii   u%Nt\b
319  0x00003c31 0x00404831 4   5            ascii   UvH@
320  0x00003c76 0x00404876 4   6            utf8    ÐSVW blocks=Latin-1 Supplement,Basic Latin
321  0x00003ca0 0x004048a0 4   5            ascii   -tvf
322  0x00003ca6 0x004048a6 4   5            ascii   +trf
323  0x00003cac 0x004048ac 4   5            ascii   $ttf
324  0x00003cb2 0x004048b2 4   5            ascii   xtnf
325  0x00003cb8 0x004048b8 4   5            ascii   Xthf
326  0x00003cca 0x004048ca 4   5            ascii   xtVf
327  0x00003cd0 0x004048d0 4   5            ascii   XtPf
328  0x00003ce6 0x004048e6 4   5            ascii   \tw+9
329  0x00003d10 0x00404910 6   7            ascii   ~]x[[)
330  0x00003d75 0x00404975 5   7            utf8    2_^[Ë blocks=Basic Latin,Latin-1 Supplement
331  0x00003d9a 0x0040499a 4   6            utf8    9_[Ë blocks=Basic Latin,Latin-1 Supplement
332  0x00003dd5 0x004049d5 5   6            ascii   *B\b(@
333  0x00003e31 0x00404a31 5   7            utf8    ۬CgL@ blocks=Arabic,Basic Latin
334  0x00003e76 0x00404a76 5   7            utf8    ۬CgL@ blocks=Arabic,Basic Latin
335  0x00003f21 0x00404b21 4   7            utf8    *焑*@ blocks=Basic Latin,CJK Unified Ideographs
336  0x00003f51 0x00404b51 5   6            ascii   @v:k\v
337  0x00003f5e 0x00404b5e 4   6            utf8    #Ǌ>@ blocks=Basic Latin,Latin Extended-B
338  0x00003f98 0x00404b98 4   5            ascii   @aQY
339  0x00003fd4 0x00404bd4 4   5            ascii   E@|o
340  0x00003fe1 0x00404be1 4   7            utf8    ŝi@զ blocks=Latin Extended-A,Basic Latin,Armenian
341  0x0000400c 0x00404c0c 5   6            ascii   BkU'9
342  0x00004031 0x00404c31 4   6            utf8    &һCv blocks=Basic Latin,Cyrillic
343  0x00004083 0x00404c83 6   9            utf8    HM䧓9;5 blocks=Basic Latin,CJK Unified Ideographs Extension A
344  0x00004102 0x00404d02 4   6            utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
345  0x0000410e 0x00404d0e 4   6            utf8    S3ɉM blocks=Basic Latin,Latin Extended-B
346  0x0000417c 0x00404d7c 4   5            ascii   ZYYd
347  0x0000419e 0x00404d9e 5   7            utf8    [YY]Ð blocks=Basic Latin,Latin-1 Supplement
348  0x00004276 0x00404e76 4   6            utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
349  0x000042e6 0x00404ee6 6   8            utf8    SVW3ۉ] blocks=Basic Latin,Arabic
350  0x00004362 0x00404f62 5   6            ascii   $ZXu\e
351  0x0000438c 0x00404f8c 4   5            ascii   ZYYd
352  0x000043c1 0x00404fc1 4   5            ascii   2;0u
353  0x000043cf 0x00404fcf 7   8            ascii   r\b;p\bu\b
354  0x000043d7 0x00404fd7 6   7            ascii   r\f;p\ft
355  0x000043e1 0x00404fe1 5   8            utf8    Iu܋[Ѕ blocks=Basic Latin,Syriac,Cyrillic
356  0x00004426 0x00405026 4   6            utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
357  0x0000444a 0x0040504a 4   6            utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
358  0x00004492 0x00405092 4   6            utf8    )ȋtG blocks=Basic Latin,Latin Extended-B
359  0x0000454f 0x0040514f 4   5            ascii   R@Pj
360  0x0000458e 0x0040518e 5   6            ascii   D$\fPj
361  0x000045c4 0x004051c4 4   5            ascii   SVW1
362  0x00004658 0x00405258 6   8            utf8    ^[ÐSVW blocks=Basic Latin,Latin-1 Supplement
363  0x000046a6 0x004052a6 5   7            utf8    ÐSVW1 blocks=Latin-1 Supplement,Basic Latin
364  0x000046cd 0x004052cd 5   6            ascii   t1\aOu
365  0x00004716 0x00405316 4   6            utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
366  0x00004740 0x00405340 6   8            utf8    ^[ÐRQS blocks=Basic Latin,Latin-1 Supplement
367  0x0000474e 0x0040534e 4   6            utf8    1ҍL$ blocks=Basic Latin,Cyrillic
368  0x00004768 0x00405368 4   5            ascii   \n[YZ
369  0x0000479f 0x0040539f 4   5            ascii   QSVW
370  0x000047e4 0x004053e4 6   9            utf8    _^[Y]Ë blocks=Basic Latin,Latin-1 Supplement
371  0x00004805 0x00405405 5   7            utf8    t\v3ɉ\b blocks=Basic Latin,Latin Extended-B
372  0x00004875 0x00405475 5   6            ascii   PPRTj
373  0x0000488a 0x0040548a 4   6            utf8    \bXÍ@ blocks=Basic Latin,Latin-1 Supplement
374  0x000048c3 0x004054c3 4   5            ascii   v\aPS
375  0x00004912 0x00405512 5   7            utf8    YYZXÐ blocks=Basic Latin,Latin-1 Supplement
376  0x0000494f 0x0040554f 6   9            utf8    ZXË\vD$ blocks=Basic Latin,Latin-1 Supplement
377  0x000049f5 0x004055f5 6   7            ascii   D$\bRQP
378  0x00004a03 0x00405603 5   6            ascii   YZXtp
379  0x00004a0f 0x0040560f 4   5            ascii   VWUd
380  0x00004a14 0x00405614 5   6            ascii   \eSPRQ
381  0x00004a1a 0x0040561a 4   5            ascii   T$(j
382  0x00004a1f 0x0040561f 5   6            ascii   Ph,V@
