[Imports]
nth vaddr       bind type lib                                  name
9   0x140038fb8 NONE FUNC VCRUNTIME140.dll                     memcpy
10  0x140038fc0 NONE FUNC VCRUNTIME140.dll                     memmove
11  0x140038fc8 NONE FUNC VCRUNTIME140.dll                     memset
1   0x140038fd8 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      __p__commode
2   0x140038fe0 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      _fseeki64
3   0x140038fe8 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      _get_stream_buffer_pointers
4   0x140038ff0 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      _set_fmode
5   0x140038ff8 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fclose
6   0x140039000 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fflush
7   0x140039008 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fgetc
8   0x140039010 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fgetpos
9   0x140039018 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fputc
10  0x140039020 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fread
11  0x140039028 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fsetpos
12  0x140039030 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      fwrite
13  0x140039038 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      setvbuf
14  0x140039040 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll      ungetc
1   0x140039050 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _c_exit
2   0x140039058 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _cexit
3   0x140039060 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _configure_narrow_argv
4   0x140039068 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _crt_atexit
5   0x140039070 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _exit
6   0x140039078 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _get_narrow_winmain_command_line
7   0x140039080 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _initialize_narrow_environment
8   0x140039088 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _initialize_onexit_table
9   0x140039090 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _initterm
10  0x140039098 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _initterm_e
11  0x1400390a0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _invalid_parameter_noinfo_noreturn
12  0x1400390a8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _register_onexit_function
13  0x1400390b0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _register_thread_local_exe_atexit_callback
14  0x1400390b8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _seh_filter_exe
15  0x1400390c0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    _set_app_type
16  0x1400390c8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    exit
17  0x1400390d0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll    terminate
1   0x1400390e0 NONE FUNC api-ms-win-crt-filesystem-l1-1-0.dll _lock_file
2   0x1400390e8 NONE FUNC api-ms-win-crt-filesystem-l1-1-0.dll _unlock_file
1   0x1400390f8 NONE FUNC api-ms-win-crt-math-l1-1-0.dll       __setusermatherr
1   0x140039108 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll       _callnewh
2   0x140039110 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll       _set_new_mode
3   0x140039118 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll       free
4   0x140039120 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll       malloc
1   0x140039130 NONE FUNC api-ms-win-crt-locale-l1-1-0.dll     _configthreadlocale
1   0x140039140 NONE FUNC api-ms-win-crt-string-l1-1-0.dll     strlen


