[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 21  22           ascii   !Require Windows\r\n$PE
1     0x00000158 0x00000158 5   6            ascii   .text
2     0x0000017f 0x0000017f 7   8            ascii   `.rdata
3     0x000001a7 0x000001a7 6   7            ascii   @.data
4     0x000001d0 0x000001d0 5   6            ascii   .rsrc
5     0x00000215 0x00401015 4   5    .text   ascii   t"f9
6     0x00000221 0x00401021 4   6    .text   utf8    У@'B blocks=Cyrillic,Basic Latin
7     0x0000034c 0x0040114c 4   5    .text   ascii   w6r\b
8     0x00000353 0x00401153 7   8    .text   ascii   ;E\fs,j*
9     0x00000385 0x00401185 4   5    .text   ascii   E\fPj
10    0x00000390 0x00401190 4   5    .text   ascii   5P(B
11    0x000003b2 0x004011b2 5   6    .text   ascii   9D$\bt
12    0x000003b9 0x004011b9 5   6    .text   ascii   t$\bPh
13    0x000003c3 0x004011c3 4   5    .text   ascii   5P(B
14    0x000003f2 0x004011f2 4   5    .text   ascii   F\b;F
15    0x00000405 0x00401205 4   5    .text   ascii   T$\bf
16    0x0000042e 0x0040122e 4   5    .text   ascii   u\bu\a
17    0x0000043a 0x0040123a 4   5    .text   ascii   }\fiu
18    0x00000490 0x00401290 4   5    .text   ascii   %@'B
19    0x00000501 0x00401301 5   7    .text   utf8    ^ËD$\b blocks=Basic Latin,Latin-1 Supplement
20    0x0000056e 0x0040136e 4   5    .text   ascii   =P(B
21    0x0000057f 0x0040137f 8   10   .text   utf8    WQ3Ƀ=d(B blocks=Basic Latin,Latin Extended-B
22    0x000005c9 0x004013c9 4   5    .text   ascii   5P(B
23    0x0000060f 0x0040140f 4   5    .text   ascii   =P'B
24    0x0000062c 0x0040142c 4   5    .text   ascii   5T'B
25    0x0000068f 0x0040148f 5   6    .text   ascii   PWVhZ
26    0x0000069a 0x0040149a 4   5    .text   ascii   5D'B
27    0x000006a0 0x004014a0 4   5    .text   ascii   =L'B
28    0x000006d6 0x004014d6 4   5    .text   ascii   \rL'B
29    0x000006dc 0x004014dc 4   5    .text   ascii   =P(B
30    0x0000071c 0x0040151c 7   8    .text   ascii   }\b9=X(B
31    0x0000072b 0x0040152b 4   5    .text   ascii   M\bQP
32    0x00000737 0x00401537 6   7    .text   ascii   t\t9}\bu
33    0x00000751 0x00401551 5   6    .text   ascii   u\bj!W
34    0x00000776 0x00401576 5   6    .text   ascii   u\bj"j
35    0x00000790 0x00401590 4   5    .text   ascii   =P'B
36    0x000007a9 0x004015a9 4   5    .text   ascii   \bjkP
37    0x000007b7 0x004015b7 4   5    .text   ascii   5T'B
38    0x000007dc 0x004015dc 4   6    .text   utf8    @ËL$ blocks=Basic Latin,Latin-1 Supplement
39    0x000007f4 0x004015f4 6   9    .text   utf8    A\bu\tQ趡 blocks=Basic Latin,CJK Unified Ideographs
40    0x000008e6 0x004016e6 6   7    .text   ascii   \aSSSSW
41    0x00000aee 0x004018ee 4   6    .text   utf8    EʋF\f blocks=Basic Latin,IPA Extensions
42    0x00000af4 0x004018f4 4   6    .text   utf8    ]Ћ\bP blocks=Basic Latin,Cyrillic
43    0x00000b7a 0x0040197a 4   6    .text   utf8    EڋF\f blocks=Basic Latin,Arabic
44    0x00000bb6 0x004019b6 4   5    .text   ascii   t je
45    0x00000c2b 0x00401a2b 4   7    .text   utf8    jf닋E blocks=Basic Latin,Hangul Syllables
46    0x00000c57 0x00401a57 4   5    .text   ascii   9^<t
47    0x00000c75 0x00401a75 4   5    .text   ascii   F(WP
48    0x00000d83 0x00401b83 5   6    .text   ascii   E\fjjV
49    0x00000dc3 0x00401bc3 4   5    .text   ascii   PjiV
50    0x00000e10 0x00401c10 6   7    .text   ascii   QSVWh`
51    0x00000e41 0x00401c41 5   6    .text   ascii   SSSSV
52    0x00000e5c 0x00401c5c 4   5    .text   ascii   u=j\f
53    0x00000ed5 0x00401cd5 4   5    .text   ascii   =d(B
54    0x00000edc 0x00401cdc 4   5    .text   ascii   u\ft\f
55    0x00000f3d 0x00401d3d 4   5    .text   ascii   t\b@f
56    0x00000f71 0x00401d71 4   5    .text   ascii   F\b;F
57    0x00000ff4 0x00401df4 5   6    .text   ascii   SSSSW
58    0x0000106b 0x00401e6b 4   5    .text   ascii   t=+E
59    0x0000111f 0x00401f1f 4   5    .text   ascii   <\nu\t
60    0x00001130 0x00401f30 4   5    .text   ascii   <\rt\v
61    0x00001136 0x00401f36 5   6    .text   ascii   t\a<\tt
62    0x00001156 0x00401f56 4   5    .text   ascii   E\bPj
63    0x0000115d 0x00401f5d 4   5    .text   ascii   E\t\r\n
64    0x000011e5 0x00401fe5 5   6    .text   ascii   t$\fW3
65    0x00001291 0x00402091 5   6    .text   ascii   QSVW3
66    0x000012a0 0x004020a0 5   7    .text   utf8    E\b+ƉE blocks=Basic Latin,Latin Extended-B
67    0x000012cd 0x004020cd 4   5    .text   ascii   YYf;
68    0x00001322 0x00402122 5   6    .text   ascii   L$\bj/
69    0x0000133d 0x0040213d 4   5    .text   ascii   ,VW3
70    0x0000134a 0x0040214a 10  11   .text   ascii   PVVVVVVVhP
71    0x000013a0 0x004021a0 4   5    .text   ascii   t2Vj
72    0x000013cf 0x004021cf 4   5    .text   ascii   =`'B
73    0x00001419 0x00402219 5   6    .text   ascii   DSVWj
74    0x00001427 0x00402227 4   5    .text   ascii   \rd'B
75    0x00001487 0x00402287 4   5    .text   ascii   =t'B
76    0x0000149b 0x0040229b 4   5    .text   ascii   5x'B
77    0x000014d7 0x004022d7 4   5    .text   ascii   5x'B
78    0x000014fa 0x004022fa 5   6    .text   ascii   ,SVW3
79    0x00001521 0x00402321 5   6    .text   ascii   j`jdP
