Metadata Signature: 0x2f78 0x10001424a5342 12
.NET Version: v4.0.30319
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 11e0
Stream name: #~ 4
DirectoryAddress: 124c Size: 16f0
Stream name: #Strings 12
DirectoryAddress: 293c Size: 1f20
Stream name: #US 4
DirectoryAddress: 485c Size: 10
Stream name: #GUID 8
DirectoryAddress: 486c Size: 788
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1   0x00000178 0x00000178 5   6            ascii   .text
2   0x0000019f 0x0000019f 6   7            ascii   `.rsrc
3   0x000001c7 0x000001c7 7   8            ascii   @.reloc
4   0x00000284 0x00402084 4   5    .text   ascii   -"r!
5   0x000002c7 0x004020c7 4   5    .text   ascii   ?_b(
6   0x000002ef 0x004020ef 4   5    .text   ascii   X\n\a 
7   0x00000300 0x00402100 4   5    .text   ascii   \n\vr!
8   0x000004a9 0x004022a9 4   5    .text   ascii   :\n~\a
9   0x00000508 0x00402308 4   5    .text   ascii   p\nrg
10  0x00000546 0x00402346 4   5    .text   ascii   \n\v~\a
11  0x000005bc 0x004023bc 4   5    .text   ascii   p\nrg
12  0x000005c2 0x004023c2 4   5    .text   ascii   p\vrS
13  0x000005f0 0x004023f0 4   5    .text   ascii   \n%((
14  0x000005fb 0x004023fb 4   5    .text   ascii   \n%((
15  0x00000606 0x00402406 4   5    .text   ascii   \n%ri
16  0x0000061c 0x0040241c 4   5    .text   ascii   \n%o>
17  0x00000622 0x00402422 5   6    .text   ascii   \n\f%o?
18  0x00000629 0x00402429 4   5    .text   ascii   \n%o@
19  0x00000634 0x00402434 5   6    .text   ascii   \n\n\bo@
20  0x00000640 0x00402440 5   6    .text   ascii   \n\v\boB
21  0x00000653 0x00402453 5   6    .text   ascii   )\r\to5
22  0x0000065a 0x0040245a 5   6    .text   ascii   \n\v\to7
23  0x00000669 0x00402469 4   5    .text   ascii   p\to7
24  0x000006c2 0x004024c2 4   5    .text   ascii   \n\aoG
25  0x000006c8 0x004024c8 4   5    .text   ascii   \n\fsH
26  0x000006d1 0x004024d1 4   5    .text   ascii   ,\f\tr
27  0x000006ed 0x004024ed 4   5    .text   ascii   ,\f\tr
28  0x00000701 0x00402501 4   5    .text   ascii   ,\f\tr
29  0x0000070d 0x0040250d 4   5    .text   ascii   \n&\t\b
30  0x0000071f 0x0040251f 4   5    .text   ascii   ,\f\tr
31  0x0000072b 0x0040252b 4   5    .text   ascii   \n&\tr
32  0x0000074a 0x0040254a 4   5    .text   ascii   ,\f\tr
33  0x00000756 0x00402556 5   6    .text   ascii   \n&\t(;
34  0x0000076b 0x0040256b 4   5    .text   ascii   ,\f\tr
35  0x0000077f 0x0040257f 4   5    .text   ascii   ,\f\tr
36  0x000007a3 0x004025a3 5   6    .text   ascii   \n,*\t\b
37  0x000007e0 0x004025e0 4   5    .text   ascii   ,\f\tr
38  0x000007ff 0x004025ff 4   5    .text   ascii   ,\f\tr
39  0x0000080b 0x0040260b 5   6    .text   ascii   \n&\t(;
40  0x00000817 0x00402617 5   6    .text   ascii   \n&\boR
41  0x00000825 0x00402625 5   6    .text   ascii   ,\f\tr\v
42  0x00000838 0x00402638 4   5    .text   ascii   \n\toM
43  0x000008a1 0x004026a1 4   5    .text   ascii   \n%oV
44  0x000008b3 0x004026b3 4   5    .text   ascii   \n\vsH
45  0x000008b9 0x004026b9 5   6    .text   ascii   \n\f\br!
46  0x000008c5 0x004026c5 4   5    .text   ascii   \n&\br
47  0x00000993 0x00402793 4   5    .text   ascii   \n&\br
48  0x00000a3d 0x0040283d 4   5    .text   ascii   \n&\br
49  0x00000a55 0x00402855 4   5    .text   ascii   \n&\br
50  0x00000af1 0x004028f1 4   5    .text   ascii   \n%r?
51  0x00000b01 0x00402901 4   5    .text   ascii   \n%rg
52  0x00000b11 0x00402911 4   5    .text   ascii   \n%rq
53  0x00000b41 0x00402941 4   5    .text   ascii   \n%r\t
54  0x00000b51 0x00402951 4   5    .text   ascii   \n%rI
55  0x00000b61 0x00402961 4   5    .text   ascii   \n%re
56  0x00000b71 0x00402971 4   5    .text   ascii   \n%ro
57  0x00000b81 0x00402981 4   5    .text   ascii   \n%ry
58  0x00000bc1 0x004029c1 5   6    .text   ascii   \n%r+\a
59  0x00000bc7 0x004029c7 4   5    .text   ascii   pr7\a
60  0x00000be1 0x004029e1 5   6    .text   ascii   \n%re\b
61  0x00000be7 0x004029e7 4   5    .text   ascii   prq\b
62  0x00000c21 0x00402a21 5   6    .text   ascii   \n%r#\t
63  0x00000c27 0x00402a27 4   5    .text   ascii   pr-\t
64  0x00000c31 0x00402a31 5   6    .text   ascii   \n%rE\t
65  0x00000c37 0x00402a37 4   5    .text   ascii   prO\t
66  0x00000c41 0x00402a41 5   6    .text   ascii   \n%rc\t
67  0x00000c47 0x00402a47 4   5    .text   ascii   prm\t
68  0x00000ca1 0x00402aa1 5   6    .text   ascii   \n%r#\n
69  0x00000cb1 0x00402ab1 5   6    .text   ascii   \n%r-\n
70  0x00000cc1 0x00402ac1 5   6    .text   ascii   \n%r7\n
71  0x00000cc7 0x00402ac7 4   5    .text   ascii   prI\n
72  0x00000d17 0x00402b17 4   5    .text   ascii   pr%\v
73  0x00000d21 0x00402b21 5   6    .text   ascii   \n%rW\v
74  0x00000d27 0x00402b27 4   5    .text   ascii   prc\v
75  0x00000d81 0x00402b81 5   6    .text   ascii   \n%r5\f
76  0x00000d91 0x00402b91 5   6    .text   ascii   \n%r?\f
77  0x00000da1 0x00402ba1 5   6    .text   ascii   \n%rI\f
78  0x00000db1 0x00402bb1 5   6    .text   ascii   \n%rS\f
79  0x00000dc1 0x00402bc1 5   6    .text   ascii   \n%r]\f
80  0x00000dc7 0x00402bc7 4   5    .text   ascii   prg\f
81  0x00000e27 0x00402c27 4   5    .text   ascii   pr#\r
82  0x00000e41 0x00402c41 4   5    .text   ascii   \n%r*
