[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000a7 0x000000a7 7   8            ascii   ve]Kvo%
2    0x000000ba 0x000000ba 4   5            ascii   \vvh%
3    0x000000cf 0x000000cf 7   8            ascii   vRichl%
4    0x000001e0 0x000001e0 5   6            ascii   .text
5    0x00000207 0x00000207 7   8            ascii   `.rdata
6    0x0000022f 0x0000022f 6   7            ascii   @.data
7    0x00000258 0x00000258 5   6            ascii   .rsrc
8    0x0000027f 0x0000027f 7   8            ascii   @.reloc
9    0x00000494 0x00401094 4   5    .text   ascii   E\b;H
10   0x0000049d 0x0040109d 4   5    .text   ascii   ;E\fu
11   0x000006df 0x004012df 4   6    .text   utf8    ̋Q\bV blocks=Combining Diacritical Marks,Basic Latin
12   0x000006f1 0x004012f1 5   6    .text   ascii   sC+1W
13   0x00000808 0x00401408 5   6    .text   ascii   t\vWSP
14   0x000008da 0x004014da 4   5    .text   ascii   E\bSV
15   0x00000948 0x00401548 4   5    .text   ascii   ;Q\bu
16   0x0000096b 0x0040156b 4   5    .text   ascii   U\f;U
17   0x00000985 0x00401585 4   5    .text   ascii   ]\bVW
18   0x00000be5 0x004017e5 4   5    .text   ascii   9\bu%
19   0x00000c10 0x00401810 5   6    .text   ascii   9H\buy
20   0x00000c39 0x00401839 4   5    .text   ascii   ;Q\bu
21   0x00000ee3 0x00401ae3 4   5    .text   ascii   \fSVW
22   0x00000fd3 0x00401bd3 5   6    .text   ascii   t\vSQP
23   0x00001013 0x00401c13 4   5    .text   ascii   Y_^[
24   0x00001050 0x00401c50 4   5    .text   ascii   _^[]
25   0x000010f8 0x00401cf8 4   5    .text   ascii   ;P\bu
26   0x00001179 0x00401d79 6   7    .text   ascii   \n;H\bu\v
27   0x00001194 0x00401d94 4   6    .text   utf8    E\b3Ʌ blocks=Basic Latin,Latin Extended-B
28   0x0000127e 0x00401e7e 4   5    .text   ascii   SVWP
29   0x000012d6 0x00401ed6 5   6    .text   ascii   t,;3u
30   0x00001339 0x00401f39 4   5    .text   ascii   Y_^[
31   0x00001425 0x00402025 4   5    .text   ascii   ;A\bu
32   0x00001439 0x00402039 4   6    .text   utf8    IE\b;
33   0x00001491 0x00402091 4   5    .text   ascii   \a;\bu
34   0x0000149e 0x0040209e 5   6    .text   ascii   \a;H\bu
35   0x000014d4 0x004020d4 5   6    .text   ascii   ;A\bu:
36   0x00001558 0x00402158 5   6    .text   ascii   ;Q\bu\v
37   0x000015c3 0x004021c3 4   5    .text   ascii   ;A\bu
38   0x00001646 0x00402246 4   5    .text   ascii   h(\aB
39   0x000016dc 0x004022dc 6   8    .text   utf8    L$\bǄ$\b blocks=Basic Latin,Latin Extended-B
40   0x000017a6 0x004023a6 4   5    .text   ascii    SVW
41   0x000017b3 0x004023b3 4   5    .text   ascii   D$0d
42   0x0000184e 0x0040244e 4   5    .text   ascii   L$0d
43   0x00001858 0x00402458 4   5    .text   ascii   Y_^[
44   0x000018c3 0x004024c3 4   5    .text   ascii   h<\aB
45   0x000018e0 0x004024e0 4   5    .text   ascii   hT\aB
46   0x000018f9 0x004024f9 4   5    .text   ascii   hl\aB
47   0x00001925 0x00402525 4   5    .text   ascii   u\bWV
48   0x00001955 0x00402555 4   5    .text   ascii   u\bWV
49   0x00001a5c 0x0040265c 5   6    .text   ascii   Sh )@
50   0x00001aab 0x004026ab 5   6    .text   ascii   E\bSVW
51   0x00001ad6 0x004026d6 4   5    .text   ascii   D$4j
52   0x00001ae5 0x004026e5 4   5    .text   ascii   D$0,
53   0x00001b07 0x00402707 6   8    .text   utf8    ȍL$0QP blocks=Latin Extended-B,Basic Latin
54   0x00001b26 0x00402726 4   5    .text   ascii   D$XP
55   0x00001b47 0x00402747 6   7    .text   ascii   |$8;|$
56   0x00001bd7 0x004027d7 4   6    .text   utf8    ӋD$\f blocks=Cyrillic,Basic Latin
57   0x00001bed 0x004027ed 4   5    .text   ascii   t$8j
58   0x00001c31 0x00402831 4   5    .text   ascii   L$(;
59   0x00001c3b 0x0040283b 4   5    .text   ascii   T$(;
60   0x00001c49 0x00402849 6   7    .text   ascii   ;F\bu\bQ
61   0x00001c6d 0x0040286d 6   7    .text   ascii   ;F\bu\bQ
62   0x00001cb4 0x004028b4 4   5    .text   ascii   D$,P
63   0x00001cf8 0x004028f8 5   6    .text   ascii   D$0PV
64   0x00001d6b 0x0040296b 4   6    .text   utf8    u\nǆ  blocks=Basic Latin,Latin Extended-B
65   0x00001eb8 0x00402ab8 4   5    .text   ascii   X\bVW
66   0x00001f76 0x00402b76 5   6    .text   ascii   <=u"j
67   0x00001f9b 0x00402b9b 4   5    .text   ascii   8<^u
68   0x00001fc8 0x00402bc8 11  12   .text   ascii   <9~\v<=t\a<^t
69   0x000020be 0x00402cbe 5   7    .text   utf8    ]̍K\bQ blocks=Basic Latin,Combining Diacritical Marks
70   0x000020f7 0x00402cf7 6   9    .text   utf8    tߋ]̀~\r blocks=Basic Latin,NKo,Combining Diacritical Marks
71   0x0000218f 0x00402d8f 8   10   .text   utf8    3ĉD$xSVW blocks=Basic Latin,Latin Extended-A
72   0x000021b5 0x00402db5 4   5    .text   ascii   }\fjc
73   0x000021c0 0x00402dc0 4   5    .text   ascii   D$!j
74   0x000021f6 0x00402df6 4   5    .text   ascii   <9~G
75   0x00002234 0x00402e34 4   5    .text   ascii   D$ P
76   0x0000223f 0x00402e3f 4   6    .text   utf8    u83\v
77   0x00002251 0x00402e51 4   5    .text   ascii   Y_^[
78   0x00002256 0x00402e56 4   5    .text   ascii   L$x3
79   0x0000226c 0x00402e6c 4   5    .text   ascii   D$ P
80   0x00002277 0x00402e77 4   6    .text   utf8    tȋD$ blocks=Basic Latin,Latin Extended-B
81   0x000022a7 0x00402ea7 6   7    .text   ascii   <0|$<9
82   0x000022db 0x00402edb 4   5    .text   ascii   D$ j
83   0x000022ec 0x00402eec 7   9    .text   utf8    \f3ɀ8;u\n blocks=Basic Latin,Latin Extended-B
84   0x00002438 0x00403038 4   5    .text   ascii   }\fjc
85   0x0000243d 0x0040303d 4   5    .text   ascii   D$)j
86   0x00002458 0x00403058 4   6    .text   utf8    +߉\$ blocks=Basic Latin,NKo
87   0x0000247d 0x0040307d 4   5    .text   ascii   <9~`
88   0x000024c4 0x004030c4 5   6    .text   ascii   uC+T$
89   0x000024d4 0x004030d4 4   5    .text   ascii   D$(P
90   0x000024df 0x004030df 4   6    .text   utf8    u=3\v
91   0x000024f1 0x004030f1 4   5    .text   ascii   Y_^[
92   0x00002510 0x00403110 5   6    .text   ascii   D$$RP
93   0x0000253f 0x0040313f 4   6    .text   utf8    3\n\f>
94   0x00002567 0x00403167 4   5    .text   ascii   D$(j
95   0x00002592 0x00403192 4   5    .text   ascii   D$$P
96   0x000026c2 0x004032c2 5   6    .text   ascii   90u5S
97   0x000027a7 0x004033a7 4   5    .text   ascii   M\fV3
98   0x00002822 0x00403422 4   5    .text   ascii   gfff
99   0x0000295e 0x0040355e 6   8    .text   utf8    A\f\vǃy8 blocks=Basic Latin,Latin Extended-B
