[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
341  0x0000617d 0x00406d7d 6   7    .text   ascii   _^[YY]
342  0x0000618d 0x00406d8d 10  11   .text   ascii   QQQQQQSVW3
343  0x00006282 0x00406e82 4   5    .text   ascii   ZYYd
344  0x000062f1 0x00406ef1 5   6    .text   ascii   UhMo@
345  0x00006308 0x00406f08 4   5    .text   ascii   \at,C
346  0x00006339 0x00406f39 4   5    .text   ascii   ZYYd
347  0x0000633f 0x00406f3f 4   5    .text   ascii   hTo@
348  0x00006356 0x00406f56 4   5    .text   ascii   ^[Y]
349  0x000063e3 0x00406fe3 4   5    .text   ascii   ZYYd
350  0x00006419 0x00407019 9   10   .text   ascii   QQQQQQSVW
351  0x00006431 0x00407031 5   6    .text   ascii   UhGr@
352  0x0000656d 0x0040716d 4   6    .text   utf8    Ǻ|r@ blocks=Latin Extended-B,Basic Latin
353  0x00006626 0x00407226 4   5    .text   ascii   ZYYd
354  0x0000662c 0x0040722c 4   5    .text   ascii   hNr@
355  0x00006684 0x00407284 4   10   .text   utf16le yyyy
356  0x0000669c 0x0040729c 4   10   .text   utf16le eeee
357  0x000066d9 0x004072d9 11  12   .text   ascii   \tTErrorRec\b
358  0x00006702 0x00407302 4   5    .text   ascii   Code
359  0x00006712 0x00407312 5   6    .text   ascii   Ident
360  0x00006721 0x00407321 12  13   .text   ascii   \vTExceptType
361  0x0000673a 0x0040733a 101 102  .text   ascii   \vetDivByZero\fetRangeError\retIntOverflow\vetInvalidOp\fetZeroDivide\netOverflow\vetUnderflow\retInvalidCast
362  0x000067a0 0x004073a0 40  41   .text   ascii   etAccessViolation\vetPrivilege\netControlC
363  0x000067c9 0x004073c9 15  16   .text   ascii   etStackOverflow
364  0x000067d9 0x004073d9 14  15   .text   ascii   etVariantError
365  0x000067e8 0x004073e8 17  18   .text   ascii   etAssertionFailed
366  0x000067fa 0x004073fa 19  20   .text   ascii   etExternalException
367  0x0000680e 0x0040740e 15  16   .text   ascii   etIntfCastError
368  0x0000681e 0x0040741e 19  20   .text   ascii   etSafeCallException
369  0x00006832 0x00407432 59  60   .text   ascii   etMonitorLockException\eetNoMonitorSupportException\bSysUtils
370  0x00006875 0x00407475 12  13   .text   ascii   \nTExceptRec\b
371  0x0000689f 0x0040749f 6   7    .text   ascii   EClass
372  0x000068b1 0x004074b1 6   7    .text   ascii   EIdent
373  0x000068d6 0x004074d6 4   6    .text   utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
374  0x000068fc 0x004074fc 4   5    .text   ascii   SVW3
375  0x00006924 0x00407524 4   9    .text   utf16le jjjj
376  0x0000693b 0x0040753b 4   6    .text   utf8    \bNu̅ blocks=Basic Latin,Combining Diacritical Marks
377  0x00006943 0x00407543 4   9    .text   utf16le jjjj
378  0x0000695a 0x0040755a 6   9    .text   utf8    _^[Ë9  blocks=Basic Latin,Latin-1 Supplement
379  0x000069ac 0x004075ac 4   9    .text   utf16le jjjj
380  0x00006a0d 0x0040760d 4   5    .text   ascii   u\vQR
381  0x00006a28 0x00407628 4   7    .text   utf8    [Ë!| blocks=Basic Latin,Latin-1 Supplement
382  0x00006a90 0x00407690 4   6    .text   utf8    ^[ÐS blocks=Basic Latin,Latin-1 Supplement
383  0x00006b08 0x00407708 4   5    .text   ascii   D$\f%
384  0x00006bdc 0x004077dc 4   5    .text   ascii   ZYYd
385  0x00006bf9 0x004077f9 5   7    .text   utf8    ^[Y]Ë blocks=Basic Latin,Latin-1 Supplement
386  0x00006c03 0x00407803 4   5    .text   ascii   QSVW
387  0x00006c20 0x00407820 4   5    .text   ascii   \7\a*
388  0x00006c4d 0x0040784d 5   6    .text   ascii   \nD7\au
389  0x00006c53 0x00407853 7   9    .text   utf8    _^[Y]Í@ blocks=Basic Latin,Latin-1 Supplement
390  0x00006ceb 0x004078eb 4   5    .text   ascii   Y_^[
391  0x00006fd9 0x00407bd9 4   5    .text   ascii   ZYYd
392  0x0000701c 0x00407c1c 6   14   .text   utf16le m/d/yy
393  0x0000703c 0x00407c3c 10  22   .text   utf16le mm d, yyyy
394  0x000070ac 0x00407cac 5   12   .text   utf16le  AMPM
395  0x000070c4 0x00407cc4 5   12   .text   utf16le AMPM 
396  0x000070f0 0x00407cf0 6   14   .text   utf16le :mm:ss
397  0x00007106 0x00407d06 14  15   .text   ascii   PUnitHashEntry
398  0x00007122 0x00407d22 14  15   .text   ascii   TUnitHashEntry
399  0x00007147 0x00407d47 4   5    .text   ascii   Next
400  0x00007157 0x00407d57 4   5    .text   ascii   Prev
401  0x00007166 0x00407d66 10  11   .text   ascii   \tLibModule
402  0x0000717b 0x00407d7b 9   10   .text   ascii   \bUnitName
403  0x0000718f 0x00407d8f 12  13   .text   ascii   \vDupsAllowed
404  0x000071a6 0x00407da6 9   10   .text   ascii   \bFullHash
405  0x000071ba 0x00407dba 14  15   .text   ascii   TUnitHashArray
406  0x000071d8 0x00407dd8 9   10   .text   ascii   \bSysUtils
407  0x000071ed 0x00407ded 13  14   .text   ascii   \vTModuleInfo\b
408  0x00007217 0x00407e17 10  11   .text   ascii   \tValidated
409  0x0000722c 0x00407e2c 14  15   .text   ascii   \rUnitHashArray
410  0x00007240 0x00407e40 4   5    .text   ascii   SVWU
411  0x00007280 0x00407e80 5   6    .text   ascii   WVUSj
412  0x000072ce 0x00407ece 7   9    .text   utf8    ]_^[ÐVS blocks=Basic Latin,Latin-1 Supplement
413  0x0000730c 0x00407f0c 4   5    .text   ascii   SVWU
414  0x0000731d 0x00407f1d 4   5    .text   ascii   t\v;B
415  0x00007350 0x00407f50 4   5    .text   ascii   D$\bP
416  0x0000735a 0x00407f5a 4   5    .text   ascii   D$\bD
417  0x00007416 0x00408016 4   6    .text   utf8    $3҉P blocks=Basic Latin,Cyrillic
418  0x0000741e 0x0040801e 5   6    .text   ascii   \f]_^[
419  0x00007444 0x00408044 5   7    .text   utf8    ^[ÐSh blocks=Basic Latin,Latin-1 Supplement
420  0x00007480 0x00408080 12  26   .text   utf16le kernel32.dll
421  0x0000749c 0x0040809c 19  40   .text   utf16le GetDiskFreeSpaceExW
422  0x000074fa 0x004080fa 14  15   .text   ascii   TLanguageArray
423  0x00007518 0x00408118 9   10   .text   ascii   \bSysUtils
424  0x00007a16 0x00408616 4   5    .text   ascii   ZYYd
425  0x00007a51 0x00408651 4   5    .text   ascii   ZYYd
426  0x00008ff8 0x00409bf8 8   9    .text   ascii   \aWindows
427  0x00009001 0x00409c01 13  14   .text   ascii   Types\aSysInit
428  0x0000900f 0x00409c0f 44  45   .text   ascii   System\bShellAPI\bSysUtils\tCharacter\tRTLConsts
429  0x0000903c 0x00409c3c 31  32   .text   ascii   Math\bSysConst\bStrUtils\bImageHlp
430  0x00009336 0x0040a136 4   5    .itext  ascii   ZYYd
431  0x000093e3 0x0040a1e3 4   5    .itext  ascii   ZYYd
432  0x00009418 0x0040a218 9   20   .itext  utf16le p\TOWeb7\
433  0x00009440 0x0040a240 7   16   .itext  utf16le Web.exe
434  0x00009450 0x0040a250 4   10   .itext  utf16le open
435  0x00009d64 0x0040b764 5   6    .data   ascii   Error
436  0x00009d6c 0x0040b76c 29  30   .data   ascii   Runtime error     at 00000000
437  0x00009d8c 0x0040b78c 16  17   .data   ascii   0123456789ABCDEF
438  0x0000a744 0x00411344 12  13   .idata  ascii   oleaut32.dll
439  0x0000a754 0x00411354 13  14   .idata  ascii   SysFreeString
440  0x0000a764 0x00411364 17  18   .idata  ascii   SysAllocStringLen
441  0x0000a776 0x00411376 12  13   .idata  ascii   advapi32.dll
442  0x0000a786 0x00411386 16  17   .idata  ascii   RegQueryValueExW
443  0x0000a79a 0x0041139a 13  14   .idata  ascii   RegOpenKeyExW
444  0x0000a7aa 0x004113aa 11  12   .idata  ascii   RegCloseKey
445  0x0000a7b6 0x004113b6 10  11   .idata  ascii   user32.dll
446  0x0000a7c4 0x004113c4 11  12   .idata  ascii   LoadStringW
447  0x0000a7d2 0x004113d2 11  12   .idata  ascii   MessageBoxA
448  0x0000a7e0 0x004113e0 9   10   .idata  ascii   CharNextW
449  0x0000a7ea 0x004113ea 12  13   .idata  ascii   kernel32.dll
450  0x0000a7fa 0x004113fa 9   10   .idata  ascii   lstrcmpiA
451  0x0000a806 0x00411406 12  13   .idata  ascii   LoadLibraryA
452  0x0000a816 0x00411416 9   10   .idata  ascii   LocalFree
453  0x0000a822 0x00411422 10  11   .idata  ascii   LocalAlloc
454  0x0000a830 0x00411430 6   7    .idata  ascii   GetACP
455  0x0000a83a 0x0041143a 5   6    .idata  ascii   Sleep
456  0x0000a842 0x00411442 11  12   .idata  ascii   VirtualFree
457  0x0000a850 0x00411450 12  13   .idata  ascii   VirtualAlloc
458  0x0000a860 0x00411460 13  14   .idata  ascii   GetSystemInfo
459  0x0000a870 0x00411470 10  11   .idata  ascii   GetVersion
460  0x0000a87e 0x0041147e 18  19   .idata  ascii   GetCurrentThreadId
461  0x0000a894 0x00411494 12  13   .idata  ascii   VirtualQuery
462  0x0000a8a4 0x004114a4 19  20   .idata  ascii   WideCharToMultiByte
463  0x0000a8ba 0x004114ba 19  20   .idata  ascii   MultiByteToWideChar
464  0x0000a8d0 0x004114d0 8   9    .idata  ascii   lstrlenW
465  0x0000a8dc 0x004114dc 9   10   .idata  ascii   lstrcpynW
466  0x0000a8e8 0x004114e8 14  15   .idata  ascii   LoadLibraryExW
467  0x0000a8fa 0x004114fa 13  14   .idata  ascii   IsValidLocale
468  0x0000a90a 0x0041150a 26  27   .idata  ascii   GetSystemDefaultUILanguage
469  0x0000a928 0x00411528 15  16   .idata  ascii   GetStartupInfoA
470  0x0000a93a 0x0041153a 14  15   .idata  ascii   GetProcAddress
471  0x0000a94c 0x0041154c 16  17   .idata  ascii   GetModuleHandleW
472  0x0000a960 0x00411560 18  19   .idata  ascii   GetModuleFileNameW
473  0x0000a976 0x00411576 24  25   .idata  ascii   GetUserDefaultUILanguage
474  0x0000a992 0x00411592 14  15   .idata  ascii   GetLocaleInfoW
475  0x0000a9a4 0x004115a4 12  13   .idata  ascii   GetLastError
476  0x0000a9b4 0x004115b4 15  16   .idata  ascii   GetCommandLineW
477  0x0000a9c6 0x004115c6 11  12   .idata  ascii   FreeLibrary
478  0x0000a9d4 0x004115d4 14  15   .idata  ascii   FindFirstFileW
479  0x0000a9e6 0x004115e6 9   10   .idata  ascii   FindClose
480  0x0000a9f2 0x004115f2 11  12   .idata  ascii   ExitProcess
481  0x0000aa00 0x00411600 9   10   .idata  ascii   WriteFile
482  0x0000aa0c 0x0041160c 24  25   .idata  ascii   UnhandledExceptionFilter
483  0x0000aa28 0x00411628 9   10   .idata  ascii   RtlUnwind
484  0x0000aa34 0x00411634 14  15   .idata  ascii   RaiseException
485  0x0000aa46 0x00411646 12  13   .idata  ascii   GetStdHandle
486  0x0000aa56 0x00411656 21  22   .idata  ascii   DeleteCriticalSection
487  0x0000aa6e 0x0041166e 20  21   .idata  ascii   LeaveCriticalSection
488  0x0000aa86 0x00411686 20  21   .idata  ascii   EnterCriticalSection
489  0x0000aa9e 0x0041169e 25  26   .idata  ascii   InitializeCriticalSection
490  0x0000aaba 0x004116ba 11  12   .idata  ascii   CloseHandle
491  0x0000aac6 0x004116c6 12  13   .idata  ascii   kernel32.dll
492  0x0000aad6 0x004116d6 11  12   .idata  ascii   TlsSetValue
493  0x0000aae4 0x004116e4 11  12   .idata  ascii   TlsGetValue
494  0x0000aaf2 0x004116f2 10  11   .idata  ascii   LocalAlloc
495  0x0000ab00 0x00411700 16  17   .idata  ascii   GetModuleHandleW
496  0x0000ab12 0x00411712 10  11   .idata  ascii   user32.dll
497  0x0000ab20 0x00411720 16  17   .idata  ascii   GetSystemMetrics
498  0x0000ab34 0x00411734 14  15   .idata  ascii   CharUpperBuffW
499  0x0000ab44 0x00411744 12  13   .idata  ascii   kernel32.dll
500  0x0000ab54 0x00411754 19  20   .idata  ascii   WaitForSingleObject
501  0x0000ab6a 0x0041176a 19  20   .idata  ascii   SignalObjectAndWait
502  0x0000ab80 0x00411780 8   9    .idata  ascii   SetEvent
503  0x0000ab8c 0x0041178c 10  11   .idata  ascii   ResetEvent
504  0x0000ab9a 0x0041179a 19  20   .idata  ascii   MultiByteToWideChar
505  0x0000abb0 0x004117b0 13  14   .idata  ascii   GetVersionExW
506  0x0000abc0 0x004117c0 15  16   .idata  ascii   GetThreadLocale
507  0x0000abd2 0x004117d2 14  15   .idata  ascii   GetProcAddress
508  0x0000abe4 0x004117e4 16  17   .idata  ascii   GetModuleHandleW
509  0x0000abf8 0x004117f8 14  15   .idata  ascii   GetLocaleInfoW
510  0x0000ac0a 0x0041180a 17  18   .idata  ascii   GetDiskFreeSpaceW
511  0x0000ac1e 0x0041181e 9   10   .idata  ascii   GetCPInfo
512  0x0000ac2a 0x0041182a 19  20   .idata  ascii   InterlockedExchange
513  0x0000ac40 0x00411840 26  27   .idata  ascii   InterlockedCompareExchange
514  0x0000ac5e 0x0041185e 11  12   .idata  ascii   FreeLibrary
515  0x0000ac6c 0x0041186c 17  18   .idata  ascii   EnumCalendarInfoW
516  0x0000ac80 0x00411880 12  13   .idata  ascii   CreateEventW
517  0x0000ac90 0x00411890 11  12   .idata  ascii   CloseHandle
518  0x0000ac9c 0x0041189c 11  12   .idata  ascii   shell32.dll
519  0x0000acaa 0x004118aa 13  14   .idata  ascii   ShellExecuteW
520  0x0000b00b 0x0041400b 9   10   .reloc  ascii   000L0d0x0
521  0x0000b027 0x00414027 11  12   .reloc  ascii   1$1:1@1c1x1
522  0x0000b041 0x00414041 9   10   .reloc  ascii   2-2E2\2p2
523  0x0000b06f 0x0041406f 25  26   .reloc  ascii   3"3*323:3B3J3R3Z3b3j3r3z3
524  0x0000b0a5 0x004140a5 9   10   .reloc  ascii   7!7D7^7t7
525  0x0000b0bd 0x004140bd 13  14   .reloc  ascii   8"8G8P8c8n8y8
526  0x0000b0d9 0x004140d9 5   6    .reloc  ascii   ;%;,;
527  0x0000b0e7 0x004140e7 11  12   .reloc  ascii   <&<9<F<c<l<
528  0x0000b0fd 0x004140fd 7   8    .reloc  ascii   <5=?=V=
529  0x0000b115 0x00414115 7   8    .reloc  ascii   >.>7>u>
530  0x0000b121 0x00414121 7   8    .reloc  ascii   ?Q?[?r?
531  0x0000b135 0x00414135 9   10   .reloc  ascii   0'0X0b0h0
532  0x0000b147 0x00414147 5   6    .reloc  ascii   2g2w2
533  0x0000b14f 0x0041414f 5   6    .reloc  ascii   2/3?3
534  0x0000b167 0x00414167 11  12   .reloc  ascii   717D7_7e7}7
535  0x0000b187 0x00414187 7   8    .reloc  ascii   :#;5;P;
536  0x0000b195 0x00414195 11  12   .reloc  ascii   <=<K<Y<g<u<
537  0x0000b1c3 0x004141c3 5   6    .reloc  ascii   ?\t?\r?
538  0x0000b1c9 0x004141c9 7   8    .reloc  ascii   ?"?G?r?
539  0x0000b1eb 0x004141eb 7   8    .reloc  ascii   0?0X0q0
540  0x0000b1fb 0x004141fb 21  22   .reloc  ascii   1,1014181<1@1D1H1L1Q3
541  0x0000b211 0x00414211 13  14   .reloc  ascii   3\r5*5>5F5\5t5
542  0x0000b22b 0x0041422b 7   8    .reloc  ascii   6?6l6u6
543  0x0000b241 0x00414241 5   6    .reloc  ascii   8+8[9
544  0x0000b24f 0x0041424f 9   10   .reloc  ascii   97:A:L:]:
545  0x0000b267 0x00414267 13  14   .reloc  ascii   ; ;&;.;3;>;[;
546  0x0000b279 0x00414279 5   6    .reloc  ascii   ;p<x<
547  0x0000b289 0x00414289 15  16   .reloc  ascii   =\e=!=/=J=_=i=n=
548  0x0000b2ab 0x004142ab 7   8    .reloc  ascii   >g>p>u>
549  0x0000b2c4 0x004142c4 4   5    .reloc  ascii   O031
550  0x0000b2cd 0x004142cd 7   8    .reloc  ascii   4r9\f:X:
551  0x0000b2dd 0x004142dd 21  22   .reloc  ascii   ?/?5?=?B?R?W?\?l?q?v?
552  0x0000b30f 0x0041430f 7   8    .reloc  ascii   2!202B2
553  0x0000b333 0x00414333 7   8    .reloc  ascii   5%5H5u5
554  0x0000b343 0x00414343 7   8    .reloc  ascii   596L678
555  0x0000b377 0x00414377 7   8    .reloc  ascii   ?^?e?w?
556  0x0000b39d 0x0041439d 11  12   .reloc  ascii   0*121A1_2n2
557  0x0000b3b3 0x004143b3 5   6    .reloc  ascii   3%343
558  0x0000b3bf 0x004143bf 5   6    .reloc  ascii   3S4X4
559  0x0000b3d1 0x004143d1 17  18   .reloc  ascii   5\n5#5-5?5R5Z5b5j5
560  0x0000b3f1 0x004143f1 23  24   .reloc  ascii   6&6+60676>6F6P6`6h6p6x6
561  0x0000b42f 0x0041442f 25  26   .reloc  ascii   7 7(70787@7H7P7X7`7h7p7x7
562  0x0000b46f 0x0041446f 25  26   .reloc  ascii   8 8(80888@8H8P8X8`8h8p8x8
563  0x0000b49f 0x0041449f 11  12   .reloc  ascii   8\t9N9n9v9~9
564  0x0000b4c5 0x004144c5 17  18   .reloc  ascii   : :-:5:B:H:U:]:j:
565  0x0000b4e9 0x004144e9 5   6    .reloc  ascii   >2>W>
566  0x0000b4f7 0x004144f7 9   10   .reloc  ascii   ?.?@?j?~?
567  0x0000b510 0x00414510 10  11   .reloc  ascii   30U0}0S1o1
568  0x0000b52f 0x0041452f 5   6    .reloc  ascii   363p4
569  0x0000b539 0x00414539 5   6    .reloc  ascii   4\a5f5
570  0x0000b545 0x00414545 5   6    .reloc  ascii   5-636
571  0x0000b561 0x00414561 5   6    .reloc  ascii   758f8
572  0x0000b56d 0x0041456d 9   10   .reloc  ascii   8(9>9g9u9
573  0x0000b585 0x00414585 9   10   .reloc  ascii   :#:B:P:o:
574  0x0000b59d 0x0041459d 9   10   .reloc  ascii   ;*;M;o;~;
575  0x0000b5b7 0x004145b7 9   10   .reloc  ascii   ===M=]=r=
576  0x0000b5d3 0x004145d3 5   6    .reloc  ascii   ?S?]?
577  0x0000b5e0 0x004145e0 16  17   .reloc  ascii   \t0'0J0Z0e0k0s0x0
578  0x0000b5f9 0x004145f9 31  32   .reloc  ascii   1!1,10181<1D1H1P1T1\1`1h1l1t1x1
579  0x0000b64d 0x0041464d 33  34   .reloc  ascii   2 2(2,24282@2D2L2P2X2\2d2h2p2t2|2
580  0x0000b6a1 0x004146a1 33  34   .reloc  ascii   3 3(3,34383@3D3L3P3X3\3d3h3p3t3|3
581  0x0000b6f7 0x004146f7 33  34   .reloc  ascii   4$4(40444<4@4H4L4T4X4`4d4l4p4x4|4
582  0x0000b733 0x00414733 19  20   .reloc  ascii   5)545>5I5S5^5h5s5}5
583  0x0000b765 0x00414765 15  16   .reloc  ascii   6.6;6F6X6l6t6|6
584  0x0000b791 0x00414791 5   6    .reloc  ascii   7\b7\f7
585  0x0000b79d 0x0041479d 49  50   .reloc  ascii   7 7$7(7,7074787<7@7D7H7L7P7T7X7\7`7d7h7l7p7t7x7|7
586  0x0000b811 0x00414811 5   6    .reloc  ascii   8\b8\f8
587  0x0000b81d 0x0041481d 49  50   .reloc  ascii   8 8$8(8,8084888<8@8D8H8L8P8T8X8\8`8d8h8l8p8t8x8|8
588  0x0000b891 0x00414891 5   6    .reloc  ascii   9\b9\f9
589  0x0000b89d 0x0041489d 49  50   .reloc  ascii   9 9$9(9,9094989<9@9D9H9L9P9T9X9\9`9d9h9l9p9t9x9|9
590  0x0000b911 0x00414911 5   6    .reloc  ascii   :\b:\f:
591  0x0000b91d 0x0041491d 49  50   .reloc  ascii   : :$:(:,:0:4:8:<:@:D:H:L:P:T:X:\:`:d:h:l:p:t:x:|:
592  0x0000b991 0x00414991 5   6    .reloc  ascii   ;\b;\f;
593  0x0000b99d 0x0041499d 49  50   .reloc  ascii   ; ;$;(;,;0;4;8;<;@;D;H;L;P;T;X;\;`;d;h;l;p;t;x;|;
594  0x0000ba11 0x00414a11 5   6    .reloc  ascii   <\b<\f<
595  0x0000ba1d 0x00414a1d 49  50   .reloc  ascii   < <$<(<,<0<4<8<<<@<D<H<L<P<T<X<\<`<d<h<l<p<t<x<|<
596  0x0000ba91 0x00414a91 5   6    .reloc  ascii   =\b=\f=
597  0x0000ba9d 0x00414a9d 49  50   .reloc  ascii   = =$=(=,=0=4=8=<=@=D=H=L=P=T=X=\=`=d=h=l=p=t=x=|=
598  0x0000bb11 0x00414b11 5   6    .reloc  ascii   >\b>\f>
599  0x0000bb1d 0x00414b1d 49  50   .reloc  ascii   > >$>(>,>0>4>8><>@>D>H>L>P>T>X>\>`>d>h>l>p>t>x>|>
600  0x0000bb91 0x00414b91 5   6    .reloc  ascii   ?\b?\f?
601  0x0000bb9d 0x00414b9d 49  50   .reloc  ascii   ? ?$?(?,?0?4?8?<?@?D?H?L?P?T?X?\?`?d?h?l?p?t?x?|?
602  0x0000bc1b 0x00414c1b 5   6    .reloc  ascii   0\b0\f0
603  0x0000bc27 0x00414c27 49  50   .reloc  ascii   0 0$0(0,0004080<0@0D0H0L0P0T0X0\0`0d0h0l0p0t0x0|0
604  0x0000bc9b 0x00414c9b 5   6    .reloc  ascii   1\b1\f1
605  0x0000bca7 0x00414ca7 49  50   .reloc  ascii   1 1$1(1,1014181<1@1D1H1L1P1T1X1\1`1d1h1l1p1t1x1|1
606  0x0000bd1b 0x00414d1b 5   6    .reloc  ascii   2\b2\f2
607  0x0000bd27 0x00414d27 49  50   .reloc  ascii   2 2$2(2,2024282<2@2D2H2L2P2T2X2\2`2d2h2l2p2t2x2|2
608  0x0000bd9b 0x00414d9b 5   6    .reloc  ascii   3\b3\f3
609  0x0000bda7 0x00414da7 49  50   .reloc  ascii   3 3$3(3,3034383<3@3D3H3L3P3T3X3\3`3d3h3l3p3t3x3|3
610  0x0000be1b 0x00414e1b 5   6    .reloc  ascii   4\b4\f4
611  0x0000be27 0x00414e27 49  50   .reloc  ascii   4 4$4(4,4044484<4@4D4H4L4P4T4X4\4`4d4h4l4p4t4x4|4
612  0x0000be9b 0x00414e9b 5   6    .reloc  ascii   5\b5\f5
613  0x0000bea7 0x00414ea7 47  48   .reloc  ascii   5 5$5(5,5054585<5@5H5L5P5T5X5\5`5d5h5l5p5t5x5|5
614  0x0000bf15 0x00414f15 5   6    .reloc  ascii   6\b6\f6
615  0x0000bf21 0x00414f21 49  50   .reloc  ascii   6 6$6(6,6064686<6@6D6H6L6P6T6X6\6`6d6h6l6p6t6x6|6
616  0x0000bf95 0x00414f95 5   6    .reloc  ascii   7\b7\f7
617  0x0000bfa1 0x00414fa1 49  50   .reloc  ascii   7 7$7(7,7074787<7@7D7H7L7P7T7X7\7`7d7h7l7p7t7x7|7
618  0x0000c015 0x00415015 5   6    .reloc  ascii   8\b8\f8
619  0x0000c021 0x00415021 49  50   .reloc  ascii   8 8$8(8,8084888<8@8D8H8L8P8T8X8\8`8d8h8l8p8t8x8|8
620  0x0000c093 0x00415093 5   6    .reloc  ascii   9\b9\f9
621  0x0000c09f 0x0041509f 49  50   .reloc  ascii   9 9$9(9,9094989<9@9D9H9L9P9T9X9\9`9d9h9l9p9t9x9|9
622  0x0000c111 0x00415111 5   6    .reloc  ascii   :\b:\f:
623  0x0000c11d 0x0041511d 49  50   .reloc  ascii   : :$:(:,:0:4:8:<:@:D:H:L:P:T:X:\:`:d:h:l:p:t:x:|:
624  0x0000c191 0x00415191 5   6    .reloc  ascii   ;\b;\f;
625  0x0000c19b 0x0041519b 39  40   .reloc  ascii   ; ;,;0;4;8;<;@;D;H;L;X;\;`;d;h;p;t;x;|;
626  0x0000c207 0x00415207 25  26   .reloc  ascii   0%0)0/03090D0J0N0Z0c0l0x0
627  0x0000c23b 0x0041523b 7   8    .reloc  ascii   1$1=1r1
628  0x0000c25c 0x0041525c 22  23   .reloc  ascii   (0,0004080<0@0D0H0L0l0
629  0x0000c279 0x00415279 19  20   .reloc  ascii   0\f1,1L1074787<7@7D7
630  0x0000c2a7 0x004152a7 25  26   .reloc  ascii   8 8(80888@8H8P8X8`8h8p8x8
631  0x0000c2e7 0x004152e7 25  26   .reloc  ascii   9 9(90989@9H9P9X9`9h9p9x9
632  0x0000c30f 0x0041530f 37  38   .reloc  ascii   94:<:@:D:H:L:P:T:X:\:`:d:h:l:p:t:x:|:
633  0x0000c377 0x00415377 5   6    .reloc  ascii   <\b<\f<
634  0x0000c383 0x00415383 49  50   .reloc  ascii   < <$<(<,<0<4<8<<<@<D<H<L<P<T<X<\<`<d<h<l<p<t<x<|<
635  0x0000c3f7 0x004153f7 5   6    .reloc  ascii   =\b=\f=
636  0x0000c40f 0x0041540f 5   6    .reloc  ascii   0\b0\f0
637  0x0000c604 0x00416004 4   5    .rsrc   ascii   #c\L
638  0x0000c634 0x00416034 4   5    .rsrc   ascii   #c\L
639  0x0000c65c 0x0041605c 4   5    .rsrc   ascii   #c\L
640  0x0000c694 0x00416094 4   5    .rsrc   ascii   #c\L
641  0x0000c6bc 0x004160bc 4   5    .rsrc   ascii   #c\L
642  0x0000c6d4 0x004160d4 4   5    .rsrc   ascii   #c\L
643  0x0000c6ec 0x004160ec 4   5    .rsrc   ascii   #c\L
644  0x0000c704 0x00416104 4   5    .rsrc   ascii   #c\L
645  0x0000c71c 0x0041611c 4   5    .rsrc   ascii   #c\L
646  0x0000c734 0x00416134 4   5    .rsrc   ascii   #c\L
647  0x0000c74c 0x0041614c 4   5    .rsrc   ascii   #c\L
648  0x0000c764 0x00416164 4   5    .rsrc   ascii   #c\L
649  0x0000c77c 0x0041617c 4   5    .rsrc   ascii   #c\L
650  0x0000c794 0x00416194 4   5    .rsrc   ascii   #c\L
651  0x0000c7ac 0x004161ac 4   5    .rsrc   ascii   #c\L
652  0x0000c7c4 0x004161c4 4   5    .rsrc   ascii   #c\L
653  0x0000c7dc 0x004161dc 4   5    .rsrc   ascii   #c\L
654  0x0000c8b0 0x004162b0 10  22   .rsrc   utf16le \tCHARTABLE
655  0x0000c8c6 0x004162c6 18  38   .rsrc   utf16le DVCLAL\vPACKAGEINFO
656  0x0000ce72 0x00416872 4   7    .rsrc   utf8    t頎sd blocks=Basic Latin,CJK Unified Ideographs
657  0x0000cef6 0x004168f6 4   7    .rsrc   utf8    t蠏sI blocks=Basic Latin,CJK Unified Ideographs
658  0x0000defe 0x004178fe 4   8    .rsrc   utf8    ttΠ blocks=Basic Latin,Private Use Area,Greek and Coptic
659  0x0000e216 0x00417c16 4   7    .rsrc   utf8    s柎sO blocks=Basic Latin,CJK Unified Ideographs
660  0x0000e51e 0x00417f1e 4   7    .rsrc   utf8    tꠏsB blocks=Basic Latin,Syloti Nagri
661  0x00011d53 0x0041b753 12  52   .rsrc   utf8    󶣄󶣄󶣄󷣅󷣅󷣅󷣆󸤆󸤆󸥇󹥇󹥇 blocks=Supplementary Private Use Area-A
662  0x00011dcb 0x0041b7cb 12  52   .rsrc   utf8    󸥇󸤆󸤆󷣆󷣅󷣅󷣅󶣄󶣄󶣄󶣃󶣃 blocks=Supplementary Private Use Area-A
663  0x00012026 0x0041ba26 14  30   .rsrc   utf16le Mardi\bMercredi
664  0x00012044 0x0041ba44 14  30   .rsrc   utf16le Jeudi\bVendredi
665  0x00012062 0x0041ba62 6   14   .rsrc   utf16le Samedi
666  0x00012070 0x0041ba70 65  131  .rsrc   utf16le Nom de fichier incorrect - %s)Impossible de trouver le fichier sp
667  0x000120f4 0x0041baf4 4   9    .rsrc   utf16le cifi
668  0x00012112 0x0041bb12 12  26   .rsrc   utf16le Juin\aJuillet
669  0x00012132 0x0041bb32 30  61   .rsrc   utf16le t\tSeptembre\aOctobre\bNovembre\bD
670  0x00012170 0x0041bb70 6   14   .rsrc   utf16le cembre
671  0x000121ae 0x0041bbae 12  26   .rsrc   utf16le Sam\bDimanche
