[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000138 0x00000138 5   6            ascii   drws1
1    0x0000015f 0x0000015f 6   7            ascii   `drws2
2    0x00000188 0x00000188 5   6            ascii   drws3
3    0x000001af 0x000001af 6   7            ascii   @drws4
4    0x000010ab 0x004010ab 4   6    drws1   utf8    wV¨w blocks=Basic Latin,Latin-1 Supplement
5    0x00001137 0x00401137 7   10   drws1   utf8    |g̀|&̀| blocks=Basic Latin,Combining Diacritical Marks
6    0x000011d7 0x004011d7 5   7    drws1   utf8    |)ǀ|y blocks=Basic Latin,Latin Extended-B
7    0x0000122b 0x0040122b 5   8    drws1   utf8    |뎃|I( blocks=Basic Latin,Hangul Syllables
8    0x00001263 0x00401263 6   8    drws1   utf8    |X̀|v\t blocks=Basic Latin,Combining Diacritical Marks
9    0x0000135b 0x0040135b 4   6    drws1   utf8    |k`|
10   0x0000156d 0x0040156d 11  12   drws1   ascii   HUw\t`RwL Ow
11   0x00001579 0x00401579 4   5    drws1   ascii   MTwJ
12   0x000015d6 0x004015d6 4   5    drws1   ascii   qswN
13   0x000015fa 0x004015fa 4   5    drws1   ascii   3)6{
14   0x0000161a 0x0040161a 4   5    drws1   ascii   3)6{
15   0x0000168a 0x0040168a 4   5    drws1   ascii   L09n
16   0x00001697 0x00401697 6   8    drws1   utf8    Ԛ<5IkQ blocks=Cyrillic Supplement,Basic Latin
17   0x000016f9 0x004016f9 5   6    drws1   ascii   <5IkQ
18   0x000017ba 0x004017ba 4   5    drws1   ascii   s1q4
19   0x00001849 0x00401849 5   6    drws1   ascii   <5IkQ
20   0x00001881 0x00401881 5   7    drws1   utf8    $%'%֗ blocks=Basic Latin,Hebrew
21   0x00002278 0x00402278 14  60   drws1   utf32le \a\a\b\b\t\t\n\n\v\v\f\f\r\r
22   0x00002702 0x00402702 7   16   drws1   utf16le \a@\a \a`\a
23   0x00002712 0x00402712 15  32   drws1   utf16le \aP\a0\ap\a\b\aH\a(\ah\a
24   0x00002732 0x00402732 7   16   drws1   utf16le \aX\a8\ax\a
25   0x00002742 0x00402742 7   16   drws1   utf16le \aD\a$\ad\a
26   0x00002752 0x00402752 7   16   drws1   utf16le \aT\a4\at\a
27   0x00002804 0x00402804 116 117  drws1   ascii   \a\a\a\a\b\b\b\b\b\b\b\b\t\t\t\t\t\t\t\t\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r
28   0x00002958 0x00402958 32  33   drws1   ascii   \e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e
29   0x000029ff 0x004029ff 17  18   drws1   ascii   \a\b\b\t\t\n\n\v\v\f\f\f\f\r\r\r\r
30   0x00002ad8 0x00402ad8 31  32   drws1   ascii   \e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e
31   0x00002b14 0x00402b14 4   20   drws1   utf32le \a\b\n\f
32   0x00002b38 0x00402b38 8   36   drws1   utf32le  (08@P`p
33   0x00002b98 0x00402b98 4   20   drws1   utf32le  0@`
34   0x00002bed 0x00402bed 5   6    drws1   ascii   0\aw,a
35   0x00002c4c 0x00402c4c 4   6    drws1   utf8    (kdz
36   0x00002c69 0x00402c69 4   5    drws1   ascii    n;^
37   0x00002cbb 0x00402cbb 4   6    drws1   utf8    !#ĳV blocks=Basic Latin,Latin Extended-A
38   0x00002d1c 0x00402d1c 4   5    drws1   ascii   -=m\b
39   0x00002d29 0x00402d29 6   7    drws1   ascii   Qkkbal
40   0x00002d61 0x00402d61 4   6    drws1   utf8    |ӌeL blocks=Basic Latin,Cyrillic
41   0x00002d9f 0x00402d9f 4   5    drws1   ascii   3_L\n
42   0x00002df5 0x00402df5 4   6    drws1   utf8    ұt9G blocks=Cyrillic,Basic Latin
43   0x00002e10 0x00402e10 4   5    drws1   ascii   >jm\r
44   0x00002e15 0x00402e15 4   5    drws1   ascii   Zjz\v
45   0x00002e37 0x00402e37 4   5    drws1   ascii   i]Wb
46   0x00002e46 0x00402e46 4   5    drws1   ascii   knv\e
47   0x00002e4d 0x00402e4d 4   6    drws1   utf8    +ӉZz blocks=Basic Latin,Cyrillic
48   0x00002eee 0x00402eee 5   8    drws1   utf8    c윣ju\n blocks=Basic Latin,Hangul Syllables
49   0x00002f77 0x00402f77 4   5    drws1   ascii   9a&g
50   0x00002f80 0x00402f80 4   5    drws1   ascii   MGiI
51   0x00002f85 0x00402f85 6   8    drws1   utf8    wn>JjѮ blocks=Basic Latin,Cyrillic
52   0x00002fc7 0x00402fc7 4   5    drws1   ascii   #.zf
53   0x00002fd5 0x00402fd5 4   5    drws1   ascii   +o*7
54   0x00003002 0x00403002 6   8    drws1   utf8    ZVǖAO\b blocks=Basic Latin,Latin Extended-B
55   0x0000309d 0x0040309d 9   10   drws1   ascii   Z* ,\t\a\vm8
56   0x000030a9 0x004030a9 5   7    drws1   utf8    6F߲\a] blocks=Basic Latin,NKo
57   0x000030d0 0x004030d0 4   6    drws1   utf8    yީ%8 blocks=Basic Latin,Thaana
58   0x00003108 0x00403108 4   6    drws1   utf8    \rŠ8L blocks=Basic Latin,Latin Extended-A
59   0x00003180 0x00403180 4   6    drws1   utf8    !̧3` blocks=Basic Latin,Combining Diacritical Marks
60   0x000031ad 0x004031ad 6   7    drws1   ascii   H$6t\e\t
61   0x00003211 0x00403211 5   7    drws1   utf8    pl@Aw
62   0x0000323c 0x0040323c 4   5    drws1   ascii   _~6\f
63   0x00003279 0x00403279 5   7    drws1   utf8    ykʬHp blocks=Basic Latin,IPA Extensions
64   0x000032ce 0x004032ce 5   6    drws1   ascii   \a52F*
65   0x000032d4 0x004032d4 4   5    drws1   ascii   sw1\a
66   0x0000337d 0x0040337d 10  11   drws1   ascii   \a\t#jT$\b+e?
67   0x00003423 0x00403423 6   7    drws1   ascii   \n=G\\vp
68   0x0000348a 0x0040348a 4   5    drws1   ascii   ^6o}
69   0x000034b5 0x004034b5 9   10   drws1   ascii   [-&LMb#{'
70   0x000034d3 0x004034d3 5   6    drws1   ascii   )q\n>(
71   0x000034fb 0x004034fb 6   7    drws1   ascii   w+OQvr
72   0x00003507 0x00403507 5   7    drws1   utf8    ux܉~O blocks=Basic Latin,Syriac
73   0x00003511 0x00403511 5   6    drws1   ascii   \b\r}!b
74   0x00003541 0x00403541 5   6    drws1   ascii   R1h58
75   0x00003572 0x00403572 4   5    drws1   ascii   SKyu
76   0x000035b2 0x004035b2 5   7    drws1   utf8    uW\tַV blocks=Basic Latin,Hebrew
77   0x000035de 0x004035de 8   9    drws1   ascii   )\ZEo^m/
78   0x0000380b 0x0040380b 5   7    drws1   utf8    ŊO\b}d blocks=Latin Extended-A,Basic Latin
79   0x0000383f 0x0040383f 7   8    drws1   ascii   gC\bru&o
80   0x00003865 0x00403865 4   5    drws1   ascii   Gz\b>
81   0x00003878 0x00403878 6   7    drws1   ascii   i8P/\f_
82   0x00003894 0x00403894 4   5    drws1   ascii   ?(3w
83   0x0000389d 0x0040389d 4   5    drws1   ascii   wXR\r
84   0x000038af 0x004038af 7   8    drws1   ascii   H*0"ZOW
85   0x000038c7 0x004038c7 5   7    drws1   utf8    mNП5+ blocks=Basic Latin,Cyrillic
86   0x00003923 0x00403923 5   7    drws1   utf8    {kHwâ blocks=Basic Latin,Latin-1 Supplement
87   0x00003977 0x00403977 4   5    drws1   ascii   )T`D
88   0x000039db 0x004039db 4   5    drws1   ascii   !AxU
89   0x000039e4 0x004039e4 4   6    drws1   utf8    ʰ\3; blocks=Spacing Modifier Letters,Basic Latin
90   0x000039f8 0x004039f8 6   7    drws1   ascii   l!;b\tF
91   0x00003a14 0x00403a14 4   5    drws1   ascii   :1X:
92   0x00003a20 0x00403a20 4   6    drws1   utf8    \bF\rm
93   0x00003a53 0x00403a53 4   6    drws1   utf8    ҥfAj blocks=Cyrillic,Basic Latin
94   0x00003a5c 0x00403a5c 4   5    drws1   ascii   y9*O
95   0x00003a6a 0x00403a6a 4   5    drws1   ascii   kM`~
96   0x00003a8d 0x00403a8d 4   5    drws1   ascii   Vc0a
97   0x00003af7 0x00403af7 4   5    drws1   ascii   dQy/
98   0x00003aff 0x00403aff 4   6    drws1   utf8    Aڱ&S blocks=Basic Latin,Arabic
99   0x00003b5b 0x00403b5b 4   6    drws1   utf8    lDa>
100  0x00003b64 0x00403b64 5   7    drws1   utf8    ϩ7~8A blocks=Greek and Coptic,Basic Latin
101  0x00003bbd 0x00403bbd 4   7    drws1   utf8    渱{I\r blocks=CJK Unified Ideographs,Basic Latin
102  0x00003bcb 0x00403bcb 4   5    drws1   ascii   C-Yn
103  0x00003c09 0x00403c09 4   7    drws1   utf8    ۈ2yܸ blocks=Arabic,Basic Latin,Syriac
104  0x00003c75 0x00403c75 4   5    drws1   ascii   gqr<
105  0x00003cd7 0x00403cd7 4   5    drws1   ascii   $/o|
106  0x00003ce5 0x00403ce5 4   5    drws1   ascii   f-=v
107  0x00003d07 0x00403d07 4   6    drws1   utf8    3x\aɢ blocks=Basic Latin,IPA Extensions
108  0x00003d1c 0x00403d1c 4   5    drws1   ascii   \bm=-
109  0x00003d78 0x00403d78 6   10   drws1   utf8    JߥA=ؕפ blocks=Basic Latin,NKo,Arabic,Hebrew
110  0x00003de2 0x00403de2 4   6    drws1   utf8    \;:l
111  0x00003e10 0x00403e10 7   8    drws1   ascii   \rmj>zjZ
112  0x00003e41 0x00403e41 5   6    drws1   ascii   l6qnk
