Metadata Signature: 0x1eb0 0x10001424a5342 12
.NET Version: v4.0.30319
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 864
Stream name: #~ 4
DirectoryAddress: 8d0 Size: 1544
Stream name: #Strings 12
DirectoryAddress: 1e14 Size: 1d4
Stream name: #US 4
DirectoryAddress: 1fe8 Size: 10
Stream name: #GUID 8
DirectoryAddress: 1ff8 Size: 39c
Stream name: #Blob 8
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000178 0x00000178 5   6            ascii   .text
2    0x0000019f 0x0000019f 6   7            ascii   `.rsrc
3    0x000001c7 0x000001c7 7   8            ascii   @.reloc
4    0x000003c5 0x004021c5 4   5    .text   ascii   \e\e:@
5    0x00000696 0x00402496 4   5    .text   ascii   \n*&~
6    0x00001115 0x00402f15 6   8    .text   utf8    a vi\aa
7    0x0000114b 0x00402f4b 4   5    .text   ascii   b  8
8    0x00001165 0x00402f65 4   5    .text   ascii   Rae 
9    0x0000119a 0x00402f9a 4   5    .text   ascii   z*qa
10   0x000011ca 0x00402fca 5   6    .text   ascii   W\byY 
11   0x000011eb 0x00402feb 4   5    .text   ascii   g1a 
12   0x00001216 0x00403016 6   7    .text   ascii   \f\fe _H
13   0x0000129d 0x0040309d 4   5    .text   ascii   y]e 
14   0x000012ba 0x004030ba 6   8    .text   utf8    e Hٌ8a blocks=Basic Latin,Arabic
15   0x000012d9 0x004030d9 4   5    .text   ascii   cYe 
16   0x00001301 0x00403101 4   6    .text   utf8    * ;j
17   0x0000130b 0x0040310b 4   5    .text   ascii   bX K
18   0x00001356 0x00403156 5   6    .text   ascii   pG \rm
19   0x00001360 0x00403160 4   5    .text   ascii   7~>a
20   0x000013e1 0x004031e1 6   7    .text   ascii   )5^a b
21   0x00001414 0x00403214 4   6    .text   utf8    a \eǂ blocks=Basic Latin,Latin Extended-B
22   0x00001456 0x00403256 7   8    .text   ascii   b  2{/a
23   0x0000146c 0x0040326c 4   5    .text   ascii    /YT
24   0x00001476 0x00403276 5   6    .text   ascii   c v|y
25   0x000014a2 0x004032a2 4   5    .text   ascii   a \f=
26   0x000014b8 0x004032b8 4   5    .text   ascii    b<\n
27   0x000014d3 0x004032d3 8   9    .text   ascii    IXW\nf B
28   0x000014ed 0x004032ed 4   5    .text   ascii   Ve =
29   0x00001545 0x00403345 4   5    .text   ascii    b<\n
30   0x000015a4 0x004033a4 6   7    .text   ascii   [Y 'Eh
31   0x000015c3 0x004033c3 4   5    .text   ascii   MnKa
32   0x00001604 0x00403404 4   5    .text   ascii   X B#
33   0x00001647 0x00403447 4   5    .text   ascii   \a4a 
34   0x0000166a 0x0040346a 9   11   .text   utf8    O8<Y J¨Wa blocks=Basic Latin,Latin-1 Supplement
35   0x00001693 0x00403493 7   8    .text   ascii    IXW\nf 
36   0x000016de 0x004034de 7   8    .text   ascii    IXW\nf 
37   0x00001700 0x00403500 7   8    .text   ascii   EQ+Xf v
38   0x00001773 0x00403573 4   5    .text   ascii    pZ\t
39   0x000017aa 0x004035aa 5   6    .text   ascii   O8<Y 
40   0x000017b0 0x004035b0 4   5    .text   ascii   \fCxa
41   0x00001872 0x00403672 4   5    .text   ascii   b  8
42   0x000018c7 0x004036c7 5   6    .text   ascii   J rmO
43   0x00001906 0x00403706 5   6    .text   ascii   pG \rm
44   0x00001910 0x00403710 4   5    .text   ascii   7~>a
45   0x0000196e 0x0040376e 4   5    .text   ascii    /YT
46   0x00001978 0x00403778 5   6    .text   ascii   c v|y
47   0x00001996 0x00403796 4   5    .text   ascii   k]$ 
48   0x000019bc 0x004037bc 5   6    .text   ascii   "Taf 
49   0x000019f6 0x004037f6 4   5    .text   ascii   a \a[
50   0x00001a7f 0x0040387f 5   6    .text   ascii   O8<Y 
51   0x00001a85 0x00403885 4   5    .text   ascii   \fCxa
52   0x00001b62 0x00403962 5   6    .text   ascii   \a4a W
53   0x00001bb3 0x004039b3 4   5    .text   ascii   cYe 
54   0x00001bfb 0x004039fb 5   6    .text   ascii   X OE'
55   0x00001c11 0x00403a11 7   8    .text   ascii    IXW\nf 
56   0x00001ca5 0x00403aa5 4   5    .text   ascii   cYe 
57   0x00001cc0 0x00403ac0 6   7    .text   ascii   [ta G~
58   0x00001ce2 0x00403ae2 4   5    .text   ascii   Xe \e
59   0x00001d2b 0x00403b2b 4   5    .text   ascii   IJ[ 
60   0x00001d54 0x00403b54 4   6    .text   utf8    f "ӟ blocks=Basic Latin,Cyrillic
61   0x00001d65 0x00403b65 4   5    .text   ascii    b<\n
62   0x00001dc4 0x00403bc4 5   6    .text   ascii   .oe C
63   0x00001de2 0x00403be2 4   5    .text   ascii    /YT
64   0x00001dec 0x00403bec 5   6    .text   ascii   c v|y
65   0x00001df2 0x00403bf2 7   8    .text   ascii   Y `u{\aa
66   0x00001e23 0x00403c23 5   6    .text   ascii   a CQ2
67   0x00001e52 0x00403c52 4   5    .text   ascii   \rX 1
68   0x00001e64 0x00403c64 7   8    .text   ascii    IXW\nf 
69   0x00001e86 0x00403c86 5   6    .text   ascii   O8<Y 
70   0x00001e8c 0x00403c8c 4   5    .text   ascii   \fCxa
71   0x00001eb0 0x00403cb0 4   5    .text   ascii   BSJB
72   0x00001ec0 0x00403cc0 10  11   .text   ascii   v4.0.30319
73   0x00001ee4 0x00403ce4 8   9    .text   ascii   #Strings
74   0x00001f04 0x00403d04 5   6    .text   ascii   #GUID
75   0x00001f14 0x00403d14 5   6    .text   ascii   #Blob
76   0x00001f38 0x00403d38 4   20   .text   utf32le *\am(
77   0x00001f74 0x00403d74 4   10   .text   utf16le #*\ny
78   0x000020b8 0x00403eb8 4   10   .text   utf16le S\\t\a
79   0x00002781 0x00404581 6   7    .text   ascii   Tbopbh
80   0x00002788 0x00404588 10  11   .text   ascii   Tbopbh.exe
81   0x00002793 0x00404593 8   9    .text   ascii   <Module>
82   0x0000279c 0x0040459c 6   7    .text   ascii   Facade
83   0x000027a3 0x004045a3 6   7    .text   ascii   Object
84   0x000027aa 0x004045aa 6   7    .text   ascii   System
85   0x000027b1 0x004045b1 8   9    .text   ascii   mscorlib
86   0x000027bc 0x004045bc 14  15   .text   ascii   MockParamsStub
87   0x000027cb 0x004045cb 7   8    .text   ascii   Manager
88   0x000027d3 0x004045d3 8   9    .text   ascii   Settings
89   0x000027dc 0x004045dc 28  29   .text   ascii   WindowsFormsApp12.Properties
90   0x000027f9 0x004045f9 23  24   .text   ascii   ApplicationSettingsBase
91   0x00002811 0x00404611 20  21   .text   ascii   System.Configuration
92   0x00002826 0x00404626 46  47   .text   ascii   <Module>{89a366a7-2270-4665-8440-cb5a27ea74fd}
93   0x00002855 0x00404655 10  11   .text   ascii   ForgotItem
94   0x00002860 0x00404660 12  13   .text   ascii   ChangeFacade
95   0x0000286d 0x0040466d 4   5    .text   ascii   Byte
96   0x00002872 0x00404672 5   6    .text   ascii   Int32
97   0x00002878 0x00404678 7   8    .text   ascii   Boolean
98   0x00002880 0x00404680 19  20   .text   ascii   ServicePointManager
99   0x00002894 0x00404694 10  11   .text   ascii   System.Net
100  0x0000289f 0x0040469f 20  21   .text   ascii   set_SecurityProtocol
101  0x000028b4 0x004046b4 4   5    .text   ascii   Void
102  0x000028b9 0x004046b9 20  21   .text   ascii   SecurityProtocolType
103  0x000028ce 0x004046ce 9   10   .text   ascii   WebClient
104  0x000028d8 0x004046d8 4   5    .text   ascii   Type
105  0x000028dd 0x004046dd 17  18   .text   ascii   GetTypeFromHandle
106  0x000028ef 0x004046ef 17  18   .text   ascii   RuntimeTypeHandle
107  0x00002901 0x00404701 6   7    .text   ascii   String
108  0x00002908 0x00404708 7   8    .text   ascii   Replace
109  0x00002910 0x00404710 9   10   .text   ascii   GetMethod
110  0x0000291a 0x0040471a 10  11   .text   ascii   MethodInfo
111  0x00002925 0x00404725 17  18   .text   ascii   System.Reflection
112  0x00002937 0x00404737 5   6    .text   ascii   .ctor
113  0x0000293d 0x0040473d 11  12   .text   ascii   PrintFacade
114  0x00002949 0x00404749 8   9    .text   ascii   Assembly
115  0x00002952 0x00404752 13  14   .text   ascii   ReflectFacade
116  0x00002960 0x00404760 16  17   .text   ascii   ProcessStartInfo
117  0x00002971 0x00404771 18  19   .text   ascii   System.Diagnostics
118  0x00002984 0x00404784 12  13   .text   ascii   set_FileName
119  0x00002991 0x00404791 13  14   .text   ascii   set_Arguments
120  0x0000299f 0x0040479f 15  16   .text   ascii   set_WindowStyle
121  0x000029af 0x004047af 18  19   .text   ascii   ProcessWindowStyle
122  0x000029c2 0x004047c2 12  13   .text   ascii   ValidateItem
123  0x000029cf 0x004047cf 8   9    .text   ascii   MoveItem
124  0x000029d8 0x004047d8 10  11   .text   ascii   UpdateItem
125  0x000029e3 0x004047e3 10  11   .text   ascii   MethodBase
126  0x000029ee 0x004047ee 6   7    .text   ascii   Invoke
127  0x000029f5 0x004047f5 10  11   .text   ascii   InsertItem
128  0x00002a00 0x00404800 5   6    .text   ascii   Array
129  0x00002a06 0x00404806 7   8    .text   ascii   Reverse
