[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000e0 0x000000e0 5   6            ascii   RichY
2    0x000001e8 0x000001e8 5   6            ascii   .text
3    0x0000020f 0x0000020f 7   8            ascii   `.rdata
4    0x00000237 0x00000237 6   7            ascii   @.data
5    0x00000260 0x00000260 5   6            ascii   .rsrc
6    0x00000287 0x00000287 7   8            ascii   @.reloc
7    0x00000452 0x10001052 4   6    .text   utf8    t"3\n
8    0x0000049c 0x1000109c 5   7    .text   utf8    ϡt\vJN blocks=Greek and Coptic,Basic Latin
9    0x000004a7 0x100010a7 4   6    .text   utf8    ^[]Ã blocks=Basic Latin,Latin-1 Supplement
10   0x00000521 0x10001121 5   6    .text   ascii   tpVWj
11   0x00000547 0x10001147 4   5    .text   ascii   PVWS
12   0x00000569 0x10001169 4   6    .text   utf8    ]ËM\b blocks=Basic Latin,Latin-1 Supplement
13   0x0000058a 0x1000118a 5   6    .text   ascii   E\v_^[
14   0x00000652 0x10001252 5   6    .text   ascii   1f;2u
15   0x000006b4 0x100012b4 5   6    .text   ascii   t\t_^2
16   0x0000080c 0x1000140c 4   6    .text   utf8    w\b3\v
17   0x0000081a 0x1000141a 4   5    .text   ascii   \bSVW
18   0x000008bb 0x100014bb 5   6    .text   ascii   9U\bt"
19   0x000009a4 0x100015a4 5   6    .text   ascii   E\bSVW
20   0x00000a38 0x10001638 5   6    .text   ascii   9M\fvq
21   0x00000aa8 0x100016a8 5   6    .text   ascii   A;M\fr
22   0x00000c0c 0x1000180c 6   7    .text   ascii   U\bPQRV
23   0x00000cdd 0x100018dd 4   5    .text   ascii   QRPV
24   0x00000d24 0x10001924 4   5    .text   ascii   E\bVj
25   0x00000e36 0x10001a36 4   6    .text   utf8    _[3Ͱ blocks=Basic Latin,Greek and Coptic
26   0x00000e60 0x10001a60 5   6    .text   ascii   PQSVW
27   0x00000edc 0x10001adc 4   6    .text   utf8    \b3\vM
28   0x00000ee9 0x10001ae9 4   5    .text   ascii   Y_^[
29   0x00000efe 0x10001afe 7   8    .text   ascii   t9SSSSj
30   0x00000f85 0x10001b85 4   5    .text   ascii   Y_^[
31   0x00001243 0x10001e43 4   5    .text   ascii   \fSVW
32   0x000012eb 0x10001eeb 4   7    .text   utf8    G\bP謖 blocks=Basic Latin,CJK Unified Ideographs
33   0x000012fb 0x10001efb 4   6    .text   utf8    \b3\vM
34   0x00001308 0x10001f08 4   5    .text   ascii   Y_^[
35   0x00001326 0x10001f26 7   8    .text   ascii   t<SSSSj
36   0x000013ad 0x10001fad 4   5    .text   ascii   Y_^[
37   0x00001467 0x10002067 4   5    .text   ascii   -LC\b
38   0x00001772 0x10002372 4   5    .text   ascii   y\aH\r
39   0x000017ff 0x100023ff 5   6    .text   ascii   RPj@h
40   0x0000192f 0x1000252f 7   9    .text   utf8    E\bSVW3ۋ blocks=Basic Latin,Arabic
41   0x000019bb 0x100025bb 5   6    .text   ascii   T$HSR
42   0x00001a2b 0x1000262b 4   5    .text   ascii   T$<V
43   0x00001a9b 0x1000269b 4   5    .text   ascii   +\$<
44   0x00001aa0 0x100026a0 4   5    .text   ascii   L$dQ
45   0x00001af8 0x100026f8 4   5    .text   ascii   D$(P
46   0x00001c09 0x10002809 5   7    .text   utf8    ]Ít$, blocks=Basic Latin,Latin-1 Supplement
47   0x00001c38 0x10002838 4   5    .text   ascii   _^[3
48   0x00001c79 0x10002879 4   5    .text   ascii   SVWP
49   0x00001cb5 0x100028b5 4   5    .text   ascii   M\bQV
50   0x00001dc3 0x100029c3 4   5    .text   ascii   Y_^[
51   0x00001e08 0x10002a08 4   5    .text   ascii   \bSVW
52   0x00001e49 0x10002a49 4   5    .text   ascii   Y_^[
53   0x00001e6d 0x10002a6d 4   5    .text   ascii   Y_^[
54   0x00001ee2 0x10002ae2 4   5    .text   ascii   E\bPQ
55   0x00001f54 0x10002b54 4   5    .text   ascii   Y_^[
56   0x0000207a 0x10002c7a 4   5    .text   ascii   QRSV
57   0x000020a9 0x10002ca9 7   8    .text   ascii   Dj\nhDC\b
58   0x00002139 0x10002d39 4   5    .text   ascii   SVWP
59   0x00002208 0x10002e08 4   6    .text   utf8    оLC\b blocks=Cyrillic,Basic Latin
60   0x00002246 0x10002e46 4   5    .text   ascii   Y_^[
61   0x00002283 0x10002e83 4   5    .text   ascii   SVWh
62   0x00002390 0x10002f90 4   5    .text   ascii   hLC\b
63   0x00002595 0x10003195 4   5    .text   ascii   5xC\b
64   0x000025ba 0x100031ba 4   6    .text   utf8    3ɍd$ blocks=Basic Latin,Latin Extended-B
65   0x000025d1 0x100031d1 4   5    .text   ascii   5xC\b
66   0x000025f1 0x100031f1 4   5    .text   ascii   5xC\b
67   0x0000260f 0x1000320f 6   7    .text   ascii   BB<=u\t
68   0x00002641 0x10003241 4   5    .text   ascii   B<=u
69   0x00002673 0x10003273 5   6    .text   ascii   7G;8s
70   0x00002680 0x10003280 5   6    .text   ascii   7G;8s
71   0x00002687 0x10003287 6   7    .text   ascii   \f7G;U\f
72   0x000026c6 0x100032c6 4   5    .text   ascii   SVWP
73   0x00002742 0x10003342 4   5    .text   ascii   P\bRh
74   0x0000286c 0x1000346c 4   5    .text   ascii   Y_^[
75   0x000028ae 0x100034ae 4   5    .text   ascii   5tC\b
76   0x00002910 0x10003510 4   5    .text   ascii   \rpC\b
77   0x00002946 0x10003546 4   7    .text   utf8    +KЋE blocks=Basic Latin,Cyrillic
78   0x00002965 0x10003565 4   7    .text   utf8    +Kȸ$ blocks=Basic Latin,Latin Extended-B
79   0x00002998 0x10003598 4   5    .text   ascii   hDC\b
80   0x000029a2 0x100035a2 4   5    .text   ascii   hLC\b
81   0x00002b0d 0x1000370d 4   5    .text   ascii   Y_^[
82   0x00002b46 0x10003746 4   5    .text   ascii   SVWP
83   0x00002d4d 0x1000394d 4   5    .text   ascii   Y_^[
84   0x00002e93 0x10003a93 4   5    .text   ascii   VWhD
85   0x00002f2f 0x10003b2f 5   11   .text   utf16le jjjjj
86   0x00002fc9 0x10003bc9 6   8    .text   utf8    RjDWǅp blocks=Basic Latin,Latin Extended-B
87   0x00002ffd 0x10003bfd 4   5    .text   ascii   jPRQ
88   0x00003053 0x10003c53 5   6    .text   ascii   juj-h
89   0x0000306b 0x10003c6b 7   8    .text   ascii   j/jnjoh
90   0x00003082 0x10003c82 5   6    .text   ascii   jejph
91   0x000030d7 0x10003cd7 4   9    .text   utf16le jjjj
92   0x00003104 0x10003d04 4   6    .text   utf8     Pǅp blocks=Basic Latin,Latin Extended-B
93   0x00003125 0x10003d25 4   5    .text   ascii   rC=,
94   0x00003200 0x10003e00 4   5    .text   ascii   SVWP
95   0x00003489 0x10004089 4   5    .text   ascii   Y_^[
96   0x000034f8 0x100040f8 4   5    .text   ascii   \bSVW
97   0x0000351b 0x1000411b 4   5    .text   ascii   E\bPQ
98   0x0000353b 0x1000413b 4   5    .text   ascii   Y_^[
99   0x0000355f 0x1000415f 4   5    .text   ascii   Y_^[
100  0x00003660 0x10004260 4   5    .text   ascii   Y_^[
101  0x00003666 0x10004266 4   6    .text   utf8    ]øVB blocks=Basic Latin,Latin-1 Supplement
102  0x00003674 0x10004274 5   6    .text   ascii   E\fHu\b
103  0x000036a4 0x100042a4 4   5    .text   ascii   E\bHu
104  0x000036c0 0x100042c0 4   5    .text   ascii   \r$C\b
105  0x000036c5 0x100042c5 4   5    .text   ascii   h\bC\b
106  0x00003743 0x10004343 4   5    .text   ascii   WVVj
107  0x000037a9 0x100043a9 4   5    .text   ascii   RPSW
108  0x000037d1 0x100043d1 4   5    .text   ascii   \r<C\b
109  0x000037fd 0x100043fd 4   5    .text   ascii   h\bC\b
110  0x00003814 0x10004414 4   5    .text   ascii   5 C\b
111  0x0000386e 0x1000446e 4   5    .text   ascii   SVWP
112  0x000038a3 0x100044a3 4   5    .text   ascii   h\bC\b
113  0x000038c8 0x100044c8 4   5    .text   ascii   \r$C\b
114  0x000038f2 0x100044f2 4   5    .text   ascii   t j\f
115  0x0000391e 0x1000451e 4   5    .text   ascii   5tC\b
116  0x00003942 0x10004542 4   5    .text   ascii   t6j\n
117  0x000039c2 0x100045c2 4   5    .text   ascii   h\bC\b
118  0x000039e0 0x100045e0 4   5    .text   ascii   \rpC\b
119  0x00003a02 0x10004602 4   5    .text   ascii   Y_^[
120  0x00003bfb 0x100047fb 4   5    .text   ascii   U\bSR
121  0x00003c4c 0x1000484c 4   5    .text   ascii   M\bWQ
122  0x00003c84 0x10004884 4   6    .text   utf8    W3ɍF blocks=Basic Latin,Latin Extended-B
123  0x00003d31 0x10004931 4   5    .text   ascii   F\bj@
124  0x00003d47 0x10004947 4   5    .text   ascii   \f_^3
125  0x00003d71 0x10004971 5   6    .text   ascii   E\bSVW
126  0x00003fa0 0x10004ba0 4   5    .text   ascii   QZ^&
127  0x0000406d 0x10004c6d 4   6    .text   utf8    \a7ËE blocks=Basic Latin,Latin-1 Supplement
128  0x000041c1 0x10004dc1 4   7    .text   utf8    M䍌1p blocks=Basic Latin,CJK Unified Ideographs Extension A
129  0x0000427e 0x10004e7e 4   5    .text   ascii   \aD")
130  0x00004304 0x10004f04 4   7    .text   utf8    }䍴7} blocks=Basic Latin,CJK Unified Ideographs Extension A
131  0x00004468 0x10005068 5   6    .text   ascii   \bSVW3
132  0x0000450c 0x1000510c 4   5    .text   ascii   SVWj
133  0x00004674 0x10005274 4   5    .text   ascii   \r|C\b
134  0x000046ac 0x100052ac 4   5    .text   ascii   \r|C\b
135  0x000046e4 0x100052e4 4   5    .text   ascii   \r|C\b
136  0x00004704 0x10005304 4   5    .text   ascii   t^9=
137  0x0000470c 0x1000530c 4   5    .text   ascii   tV9=
138  0x00004714 0x10005314 4   5    .text   ascii   tN9=
139  0x0000471c 0x1000531c 4   5    .text   ascii   tF9=
140  0x00004724 0x10005324 4   5    .text   ascii   t>9=
141  0x0000472c 0x1000532c 4   5    .text   ascii   t69=
142  0x00004734 0x10005334 4   5    .text   ascii   t.9=
143  0x00004785 0x10005385 4   6    .text   utf8    ѡ|C\b blocks=Cyrillic,Basic Latin
144  0x00004797 0x10005397 4   5    .text   ascii   =|C\b
145  0x000047c7 0x100053c7 7   9    .text   utf8    E\bSV3ۍM blocks=Basic Latin,Arabic
146  0x000049e2 0x100055e2 6   13   .text   utf16le jjjjjj
147  0x00004b4e 0x1000574e 4   6    .text   utf8    u\nǅh blocks=Basic Latin,Latin Extended-B
148  0x00004bbe 0x100057be 4   5    .text   ascii   HuyP
149  0x00004bda 0x100057da 4   5    .text   ascii   ]\bVh
150  0x00004bff 0x100057ff 4   5    .text   ascii   x7j<
151  0x00004cb9 0x100058b9 4   6    .text   utf8    ѡ|C\b blocks=Cyrillic,Basic Latin
152  0x00004ccb 0x100058cb 4   5    .text   ascii   5|C\b
153  0x00004d31 0x10005931 4   5    .text   ascii   tfVj
154  0x00004d38 0x10005938 4   5    .text   ascii   Ph@U
155  0x00004d5d 0x1000595d 4   5    .text   ascii   E\bPV
156  0x00004d7a 0x1000597a 4   5    .text   ascii   M\bQV
157  0x00004d8d 0x1000598d 4   5    .text   ascii   9E\b_
158  0x00004df8 0x100059f8 4   5    .text   ascii   \r<C\b
159  0x00004e04 0x10005a04 4   5    .text   ascii   PjgQ
160  0x00004f25 0x10005b25 15  16   .text   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
161  0x00004f35 0x10005b35 15  16   .text   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
162  0x00004f45 0x10005b45 31  32   .text   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
163  0x00004f65 0x10005b65 15  16   .text   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
164  0x00004f75 0x10005b75 15  16   .text   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
165  0x00004f85 0x10005b85 15  16   .text   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
166  0x00005393 0x10005f93 6   7    .text   ascii   t/Ht%-
167  0x00005658 0x10006258 4   5    .text   ascii   \ah\f 
168  0x000057ef 0x100063ef 6   7    .text   ascii   t Ph@ 
169  0x00005835 0x10006435 5   7    .text   utf8    ]\b2Ɉ\b blocks=Basic Latin,Latin Extended-B
170  0x000058a5 0x100064a5 4   5    .text   ascii   \b[tK
171  0x00005911 0x10006511 4   5    .text   ascii   E\bSV
172  0x00005939 0x10006539 5   6    .text   ascii   u5h\$
173  0x00005946 0x10006546 4   5    .text   ascii   #hH$
174  0x0000598c 0x1000658c 4   5    .text   ascii   Q$;V
175  0x000059fe 0x100065fe 4   5    .text   ascii   Qhx$
176  0x00005a1c 0x1000661c 4   5    .text   ascii   A0t5
177  0x00005a7d 0x1000667d 6   7    .text   ascii   u\n9G\bu
178  0x00005a84 0x10006684 5   6    .text   ascii   9G\ft%
179  0x00005afe 0x100066fe 6   7    .text   ascii   }\fPh\%
180  0x00005c19 0x10006819 4   5    .text   ascii   G0_^
181  0x00005c31 0x10006831 4   5    .text   ascii   G0_^
182  0x00005ca7 0x100068a7 4   5    .text   ascii   WWPh
183  0x00005ccb 0x100068cb 6   7    .text   ascii   QRPh &
184  0x00005cf3 0x100068f3 4   5    .text   ascii   \b_^]
185  0x00005da2 0x100069a2 4   5    .text   ascii   S\bSV
186  0x00005e57 0x10006a57 4   5    .text   ascii   G\bWV
187  0x00005e7b 0x10006a7b 8   10   .text   utf8    G0\bt43\tF
188  0x00005e92 0x10006a92 4   5    .text   ascii   O\bWV
189  0x00005ea4 0x10006aa4 4   5    .text   ascii   PQRh
190  0x00005ecf 0x10006acf 4   5    .text   ascii   G\bWV
191  0x00005eff 0x10006aff 5   6    .text   ascii   $[^_]
192  0x00005f74 0x10006b74 4   6    .text   utf8    W3\tF
193  0x00005f8a 0x10006b8a 4   5    .text   ascii   K\bSV
194  0x00005f9e 0x10006b9e 8   9    .text   ascii   9V\bu\t9V\f
195  0x00005fcc 0x10006bcc 4   6    .text   utf8    KN\bA
196  0x0000602d 0x10006c2d 4   5    .text   ascii   KPWh
197  0x0000606f 0x10006c6f 5   6    .text   ascii   AQhL(
198  0x0000607f 0x10006c7f 4   6    .text   utf8    }ܸt' blocks=Basic Latin,Syriac
199  0x0000608d 0x10006c8d 4   5    .text   ascii   Phl(
200  0x000060d2 0x10006cd2 6   7    .text   ascii   RAQhx(
201  0x0000612e 0x10006d2e 5   6    .text   ascii   G\bWV3
202  0x00006135 0x10006d35 4   6    .text   utf8    ЋO\fj blocks=Cyrillic,Basic Latin
203  0x00006145 0x10006d45 5   7    .text   utf8    t*3\tF
204  0x0000615a 0x10006d5a 4   5    .text   ascii   W\bWV
205  0x0000615f 0x10006d5f 4   6    .text   utf8    ҋG\fj blocks=Cyrillic,Basic Latin
206  0x00006171 0x10006d71 4   5    .text   ascii   _^[]
207  0x000061b0 0x10006db0 5   6    .text   ascii   \aPh()
208  0x000061c0 0x10006dc0 4   5    .text   ascii   QhP)
209  0x000061d7 0x10006dd7 5   6    .text   ascii   t\rhx)
210  0x000061ea 0x10006dea 4   5    .text   ascii   t8S3
211  0x000061fa 0x10006dfa 4   5    .text   ascii   #G\f%
212  0x0000628b 0x10006e8b 5   6    .text   ascii   t\rh8*
213  0x0000629d 0x10006e9d 5   6    .text   ascii   t\rhX*
214  0x000062af 0x10006eaf 5   6    .text   ascii   t\rhx*
215  0x000062c0 0x10006ec0 4   5    .text   ascii    t\rh
216  0x000062d2 0x10006ed2 4   5    .text   ascii   @t\rh
217  0x0000630e 0x10006f0e 5   6    .text   ascii   t\rh8+
218  0x0000631e 0x10006f1e 8   9    .text   ascii   F\b\bt\rhh+
219  0x0000637a 0x10006f7a 8   9    .text   ascii   9C\bu\t9C\f
220  0x000063ab 0x10006fab 4   5    .text   ascii   O\bWS
221  0x000063d1 0x10006fd1 5   6    .text   ascii   u2h\$
222  0x000063de 0x10006fde 4   5    .text   ascii   #hH$
223  0x00006421 0x10007021 4   5    .text   ascii   Q$;V
224  0x0000648d 0x1000708d 4   5    .text   ascii   Qhx$
225  0x000064ad 0x100070ad 4   5    .text   ascii   A0t<
226  0x00006517 0x10007117 6   7    .text   ascii   u\n9C\bu
227  0x0000651e 0x1000711e 5   6    .text   ascii   9C\ft"
228  0x0000652f 0x1000712f 4   5    .text   ascii   W$QP
229  0x00006571 0x10007171 4   6    .text   utf8    ]Ð<p blocks=Basic Latin,Latin-1 Supplement
230  0x0000659c 0x1000719c 9   12   .text   utf8    }\f3ۉE\b3\tF blocks=Basic Latin,Arabic
231  0x000065b5 0x100071b5 4   5    .text   ascii   O\bWV
232  0x000065ba 0x100071ba 4   6    .text   utf8    ыW\fj blocks=Cyrillic,Basic Latin
233  0x000065c8 0x100071c8 4   5    .text   ascii   ;]\bv
234  0x000065cd 0x100071cd 4   5    .text   ascii   _^[]
235  0x0000667a 0x1000727a 4   5    .text   ascii   VhL,
236  0x00006688 0x10007288 4   5    .text   ascii   Qht,
237  0x00006708 0x10007308 4   5    .text   ascii   PhD-
238  0x0000676b 0x1000736b 4   5    .text   ascii   u\t9^
239  0x00006788 0x10007388 5   8    .text   utf8    ]ԉ]؉] blocks=Basic Latin,Cyrillic Supplement,Arabic
240  0x000067cc 0x100073cc 6   7    .text   ascii   u\n9N\bu
241  0x000067d3 0x100073d3 5   6    .text   ascii   9N\ft]
242  0x00006817 0x10007417 4   6    .text   utf8    \tU܈E blocks=Basic Latin,Syriac
243  0x000068c0 0x100074c0 5   6    .text   ascii   M\ft\rA
244  0x00006961 0x10007561 6   7    .text   ascii   WPRh\f.
245  0x00006970 0x10007570 4   5    .text   ascii   8_^[
246  0x0000698a 0x1000758a 4   6    .text   utf8    }\f3ۋ blocks=Basic Latin,Arabic
247  0x000069a2 0x100075a2 4   5    .text   ascii   G\bWV
248  0x000069a7 0x100075a7 4   6    .text   utf8    ЋO\fj blocks=Cyrillic,Basic Latin
249  0x000069c2 0x100075c2 4   5    .text   ascii   _^[]
250  0x00006a38 0x10007638 4   5    .text   ascii   ]\fW3
251  0x00006a4c 0x1000764c 4   5    .text   ascii   u\b9>
252  0x00006a69 0x10007669 5   7    .text   utf8    ]\f3\tF
253  0x00006a7d 0x1000767d 4   5    .text   ascii   C\bSV
254  0x00006ad8 0x100076d8 6   7    .text   ascii   QRPhT/
255  0x00006bc0 0x100077c0 4   5    .text   ascii   F\fPh
256  0x00006bda 0x100077da 4   5    .text   ascii   Qh(0
257  0x00006be6 0x100077e6 6   7    .text   ascii   V\bRhh0
258  0x00006c0c 0x1000780c 4   6    .text   utf8    F\f3Ʌ blocks=Basic Latin,Latin Extended-B
259  0x00006c69 0x10007869 4   5    .text   ascii   u\bW3
260  0x00006c82 0x10007882 4   5    .text   ascii   C\bSV
261  0x00006cbe 0x100078be 4   5    .text   ascii   _^[]
262  0x00006cd9 0x100078d9 4   5    .text   ascii   M\fPh
263  0x00006d0b 0x1000790b 5   8    .text   utf8    G8VP謑 blocks=Basic Latin,CJK Unified Ideographs
264  0x00006d53 0x10007953 4   5    .text   ascii   \b_^]
265  0x00006d9d 0x1000799d 6   7    .text   ascii   t/Ht%-
266  0x00006dd7 0x100079d7 5   6    .text   ascii   PRh$1
267  0x00006df4 0x100079f4 6   7    .text   ascii   t/Ht%-
268  0x00006e2d 0x10007a2d 5   6    .text   ascii   PQhT1
269  0x00006e4b 0x10007a4b 6   7    .text   ascii   t/Ht%-
270  0x00006ea3 0x10007aa3 6   7    .text   ascii   t/Ht%-
271  0x00006f08 0x10007b08 6   7    .text   ascii   t/Ht%-
