ii 1168 64
[Strings]
nth  paddr      vaddr      len  size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000000d 42   43   seg_001 ascii   !This program cannot be run in DOS mode.\n$
1    0x000000d6 0x00000096 4    5    seg_001 ascii   Rich
2    0x000000fe 0x000000be 4    5    seg_001 ascii   iMGV
3    0x000001ee 0x000001ae 5    6    seg_001 ascii   .text
4    0x00000215 0x000001d5 7    8    seg_001 ascii   `.rdata
5    0x0000023d 0x000001fd 6    7    seg_001 ascii   @.data
6    0x00000266 0x00000226 5    6    seg_001 ascii   .rsrc
7    0x00000460 0x00000420 4    6    seg_001 utf8    3\tD$
8    0x00000480 0x00000440 4    5    seg_001 ascii   D$ P
9    0x00000586 0x00000546 4    6            utf8    3҉T$ blocks=Basic Latin,Cyrillic
10   0x000005af 0x0000056f 4    5            ascii   L$\f_
11   0x000005d2 0x00000592 5    6            ascii   +D$\b-
12   0x0000065a 0x0000061a 4    6            utf8    +ȍL1 blocks=Basic Latin,Latin Extended-B
13   0x00000663 0x00000623 4    5            ascii   C;\$
14   0x0000066a 0x0000062a 4    5            ascii   ^_][
15   0x0000068c 0x0000064c 4    5            ascii   E\bSV
16   0x00000813 0x000007d3 4    5            ascii   SSh"
17   0x000009a4 0x00000964 7    8            ascii   QSSSSSh
18   0x000009d6 0x00000996 8    9            ascii   SSSSSQVR
19   0x00000c78 0x00000c38 4    6            utf8    ~\nǅ< blocks=Basic Latin,Latin Extended-B
20   0x00000d24 0x00000ce4 4    6            utf8    ~\nǅl blocks=Basic Latin,Latin Extended-B
21   0x00000d40 0x00000d00 4    6            utf8    t\nǅt blocks=Basic Latin,Latin Extended-B
22   0x00000d96 0x00000d56 4    5            ascii   RVWS
23   0x00000efe 0x00000ebe 4    5            ascii   u29]
24   0x00001101 0x000010c1 4    5            ascii   <\n;=
25   0x0000130f 0x000012cf 8    9            ascii   SSWRPSSV
26   0x000013ea 0x000013aa 5    6            ascii   U\bSRV
27   0x0000141a 0x000013da 8    9            ascii   SSWQRSSV
28   0x0000150f 0x000014cf 5    9            utf8    E܋U苍\ blocks=Basic Latin,Syriac,CJK Unified Ideographs
29   0x0000158a 0x0000154a 4    5            ascii   t\f+u
30   0x000015dd 0x0000159d 4    7            utf8    E܋E܃ blocks=Basic Latin,Syriac
31   0x00001604 0x000015c4 4    7            utf8    UࡀlE blocks=Basic Latin,Mandaic
32   0x0000183c 0x000017fc 4    6            utf8    ƺD\aD blocks=Latin Extended-B,Basic Latin
33   0x000018fd 0x000018bd 4    5            ascii   Pj2Q
34   0x0000196c 0x0000192c 4    5            ascii   hL\bD
35   0x00001975 0x00001935 4    5            ascii   hX\bD
36   0x00001a44 0x00001a04 4    7            utf8    t\tV趝 blocks=Basic Latin,CJK Unified Ideographs
37   0x00001f31 0x00001ef1 4    5            ascii   t\bSP
38   0x00002049 0x00002009 4    7            utf8    SSV蝒 blocks=Basic Latin,CJK Unified Ideographs
39   0x00002158 0x00002118 4    5            ascii   t\bSP
40   0x00002529 0x000024e9 4    7            utf8    SSV轍 blocks=Basic Latin,CJK Unified Ideographs
41   0x00002759 0x00002719 4    7            utf8    SSV荋 blocks=Basic Latin,CJK Unified Ideographs
42   0x000028e2 0x000028a2 4    5            ascii   t\bSP
43   0x00002adc 0x00002a9c 4    5            ascii   t\bSP
44   0x00002bd6 0x00002b96 4    5            ascii   t\bSP
45   0x00002dc8 0x00002d88 4    5            ascii   t\bSP
46   0x00002e59 0x00002e19 4    7            utf8    SSV荄 blocks=Basic Latin,CJK Unified Ideographs
47   0x00002f68 0x00002f28 4    5            ascii   t\bSP
48   0x000031e8 0x000031a8 4    5            ascii   4\n)5
49   0x00003218 0x000031d8 4    5            ascii   t\bSP
50   0x00003259 0x00003219 4    7            utf8    SSV荀 blocks=Basic Latin,CJK Unified Ideographs
51   0x00003365 0x00003325 4    5            ascii   t\bSP
52   0x00003383 0x00003343 4    5            ascii   t\bSP
53   0x000034a5 0x00003465 4    5            ascii   t\bSP
54   0x0000380d 0x000037cd 4    5            ascii   t\bSP
55   0x000038f5 0x000038b5 4    5            ascii   t\bSP
56   0x00003ae8 0x00003aa8 4    5            ascii   t\bSP
57   0x00003ccc 0x00003c8c 4    5            ascii   t\bSP
58   0x00003d67 0x00003d27 4    5            ascii   t\bSP
59   0x000040f5 0x000040b5 4    5            ascii   t\bSP
60   0x00004163 0x00004123 4    5            ascii   t\bSP
61   0x0000437c 0x0000433c 4    5            ascii   t\bSP
62   0x000048d1 0x00004891 4    5            ascii   t\bSP
