[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x00000028 0x00000028 4   5            ascii   \v,g'
1     0x00000248 0x00000248 5   6            ascii   .rsrc
2     0x00000510 0x0043f110 12  13   sect_1  ascii   kernel32.dll
3     0x00000524 0x0043f124 16  17   sect_1  ascii   GetModuleHandleA
4     0x00000537 0x0043f137 10  11   sect_1  ascii   user32.dll
5     0x00000549 0x0043f149 10  11   sect_1  ascii   BlockInput
6     0x00000556 0x0043f156 12  13   sect_1  ascii   advapi32.dll
7     0x0000056a 0x0043f16a 20  21   sect_1  ascii   RegisterEventSourceA
8     0x00000581 0x0043f181 11  12   sect_1  ascii   shell32.dll
9     0x00000593 0x0043f193 19  20   sect_1  ascii   SHGetDiskFreeSpaceA
10    0x000005a8 0x0043f1a8 10  11   sect_1  ascii   msvcrt.dll
11    0x000005ba 0x0043f1ba 7   8    sect_1  ascii   _strdup
12    0x000005c3 0x0043f1c3 12  13   sect_1  ascii   comctl32.dll
13    0x000005d7 0x0043f1d7 13  14   sect_1  ascii   PropertySheet
14    0x000005e6 0x0043f1e6 10  11   sect_1  ascii   msvcrt.dll
15    0x000005f8 0x0043f1f8 8   9    sect_1  ascii   _isctype
16    0x000008c9 0x004400c9 5   6    .rsrc   ascii   PNG\r\n
17    0x000008d3 0x004400d3 5   6    .rsrc   ascii   \rIHDR
18    0x000008ed 0x004400ed 4   5    .rsrc   ascii   sRGB
19    0x000008fa 0x004400fa 4   5    .rsrc   ascii   gAMA
20    0x00000909 0x00440109 5   6    .rsrc   ascii   \tpHYs
21    0x0000091d 0x0044011d 7   9    .rsrc   utf8    ܪIDATx^ blocks=Syriac,Basic Latin
22    0x00000929 0x00440129 5   6    .rsrc   ascii   %Gq6\f
23    0x00000964 0x00440164 4   5    .rsrc   ascii   lccc
24    0x00000976 0x00440176 6   7    .rsrc   ascii   ?OOwOu
25    0x000009d3 0x004401d3 4   5    .rsrc   ascii   wP]?
26    0x000009ee 0x004401ee 4   7    .rsrc   utf8    TGa뤢 blocks=Basic Latin,Hangul Syllables
27    0x00000a08 0x00440208 4   5    .rsrc   ascii   r+"<
28    0x00000a18 0x00440218 4   6    .rsrc   utf8    Y\vϡy blocks=Basic Latin,Greek and Coptic
29    0x00000a25 0x00440225 4   5    .rsrc   ascii   7V]7
30    0x00000a5b 0x0044025b 5   6    .rsrc   ascii   RqCC>
31    0x00000a86 0x00440286 4   5    .rsrc   ascii   %Y/.
32    0x00000aa3 0x004402a3 4   5    .rsrc   ascii   y#7T
33    0x00000ab9 0x004402b9 8   11   .rsrc   utf8    r@J֩$A"4 blocks=Basic Latin,Hebrew
34    0x00000b1a 0x0044031a 5   6    .rsrc   ascii   rFS\vR
35    0x00000b47 0x00440347 4   6    .rsrc   utf8    ʗC(! blocks=IPA Extensions,Basic Latin
36    0x00000b62 0x00440362 4   5    .rsrc   ascii   x3zM
37    0x00000bb3 0x004403b3 4   5    .rsrc   ascii   {Mnq
38    0x00000c13 0x00440413 4   6    .rsrc   utf8    F'lϱ blocks=Basic Latin,Greek and Coptic
39    0x00000c2d 0x0044042d 6   8    .rsrc   utf8    '#X Ɗ\e blocks=Basic Latin,Latin Extended-B
40    0x00000c37 0x00440437 4   5    .rsrc   ascii   yGh9
41    0x00000c4b 0x0044044b 4   5    .rsrc   ascii   |\nzU
42    0x00000c54 0x00440454 4   5    .rsrc   ascii   \eE4/
43    0x00000ca0 0x004404a0 6   7    .rsrc   ascii   M`hOXh
44    0x00000cbc 0x004404bc 4   6    .rsrc   utf8    {\b_ʞ blocks=Basic Latin,IPA Extensions
45    0x00000cec 0x004404ec 7   8    .rsrc   ascii   F4:-QP>
46    0x00000d22 0x00440522 8   11   .rsrc   utf8    \r} KӒ* ܪ blocks=Basic Latin,Cyrillic,Syriac
47    0x00000d2d 0x0044052d 4   6    .rsrc   utf8    <N&ϛ blocks=Basic Latin,Greek and Coptic
48    0x00000d70 0x00440570 5   6    .rsrc   ascii   h~\rQ)
49    0x00000d81 0x00440581 7   9    .rsrc   utf8    /zɢB/$G blocks=Basic Latin,IPA Extensions
50    0x00000d93 0x00440593 5   6    .rsrc   ascii   I\n~H,
51    0x00000e0d 0x0044060d 6   7    .rsrc   ascii   ^OyD]Q
52    0x00000e30 0x00440630 4   5    .rsrc   ascii   A1k\f
53    0x00000e4d 0x0044064d 4   6    .rsrc   utf8    E\ţS blocks=Basic Latin,Combining Diacritical Marks
54    0x00000ead 0x004406ad 5   6    .rsrc   ascii   <GM4P
55    0x00000f49 0x00440749 4   5    .rsrc   ascii   }L_R
56    0x00000faa 0x004407aa 5   6    .rsrc   ascii   5Mi\rQ
57    0x0000100c 0x0044080c 4   5    .rsrc   ascii   ">B.
58    0x0000101c 0x0044081c 9   10   .rsrc   ascii   H\vmw}$#4N
59    0x00001036 0x00440836 4   5    .rsrc   ascii   :#U 
60    0x00001049 0x00440849 4   5    .rsrc   ascii   V-5\r
61    0x0000108c 0x0044088c 4   8    .rsrc   utf8    ◶!ŻN blocks=Geometric Shapes,Basic Latin,Latin Extended-A
62    0x00001099 0x00440899 5   6    .rsrc   ascii   T/Q@)
63    0x000010e5 0x004408e5 4   6    .rsrc   utf8    ФmD2 blocks=Cyrillic,Basic Latin
64    0x00001132 0x00440932 4   5    .rsrc   ascii   $\e.j
65    0x00001150 0x00440950 5   6    .rsrc   ascii   \f[Sae
66    0x0000116c 0x0044096c 4   6    .rsrc   utf8    9\n%я blocks=Basic Latin,Cyrillic
67    0x00001188 0x00440988 7   8    .rsrc   ascii   D\rN'CBV
68    0x000011bd 0x004409bd 4   7    .rsrc   utf8    hǾ^ϖ blocks=Basic Latin,Latin Extended-B,Greek and Coptic
69    0x000011f6 0x004409f6 5   7    .rsrc   utf8    ʓA6EW blocks=IPA Extensions,Basic Latin
70    0x0000120f 0x00440a0f 4   5    .rsrc   ascii   fbz7
71    0x00001265 0x00440a65 5   6    .rsrc   ascii   3mHK'
72    0x0000127a 0x00440a7a 4   5    .rsrc   ascii   SvBb
73    0x00001291 0x00440a91 4   5    .rsrc   ascii   0\r~h
74    0x0000129c 0x00440a9c 4   5    .rsrc   ascii   <B3q
75    0x000012a5 0x00440aa5 5   7    .rsrc   utf8    ʞ@V\by blocks=IPA Extensions,Basic Latin
76    0x000012c0 0x00440ac0 4   6    .rsrc   utf8    *\b¥0 blocks=Basic Latin,Latin-1 Supplement
77    0x000012d1 0x00440ad1 4   5    .rsrc   ascii   -dn)
78    0x00001306 0x00440b06 5   8    .rsrc   utf8    FT`5ܮ blocks=Basic Latin,Syriac
79    0x00001333 0x00440b33 8   9    .rsrc   ascii   rfC="Z/t
80    0x0000134d 0x00440b4d 8   10   .rsrc   utf8    3TCUڣ&\b- blocks=Basic Latin,Arabic
81    0x0000139e 0x00440b9e 5   8    .rsrc   utf8    <Tϵ.Д blocks=Basic Latin,Greek and Coptic,Cyrillic
82    0x000013ef 0x00440bef 4   5    .rsrc   ascii   L~\eB
83    0x0000142a 0x00440c2a 6   7    .rsrc   ascii   \r3\boWp
84    0x00001453 0x00440c53 6   7    .rsrc   ascii   [\bIU<4
85    0x00001491 0x00440c91 4   5    .rsrc   ascii   a/y/
86    0x000014bb 0x00440cbb 7   8    .rsrc   ascii   &"\n\aY8v
87    0x00001518 0x00440d18 8   9    .rsrc   ascii   94/*t+t\
88    0x0000152c 0x00440d2c 5   6    .rsrc   ascii   e?5B=
89    0x0000159e 0x00440d9e 4   5    .rsrc   ascii   :nb\v
90    0x000015c4 0x00440dc4 5   6    .rsrc   ascii   'fE'-
91    0x000015ca 0x00440dca 4   5    .rsrc   ascii   BtRR
92    0x000015da 0x00440dda 6   7    .rsrc   ascii   M'-%}U
93    0x000015e8 0x00440de8 7   9    .rsrc   utf8    pa{P-Tׇ blocks=Basic Latin,Hebrew
94    0x00001653 0x00440e53 4   5    .rsrc   ascii   N&I]
95    0x00001676 0x00440e76 7   9    .rsrc   utf8    { i\nƍBP blocks=Basic Latin,Latin Extended-B
96    0x0000168b 0x00440e8b 4   5    .rsrc   ascii   -+Pf
97    0x000016ab 0x00440eab 9   10   .rsrc   ascii   $YVIdmAh[
98    0x000016c4 0x00440ec4 4   5    .rsrc   ascii   Pm%/
99    0x000016fb 0x00440efb 4   5    .rsrc   ascii   \fF4j
100   0x00001742 0x00440f42 4   6    .rsrc   utf8    >e)k
101   0x00001788 0x00440f88 4   5    .rsrc   ascii   &B!@
102   0x000017b3 0x00440fb3 5   7    .rsrc   utf8    di2ڑ~ blocks=Basic Latin,Arabic
103   0x0000184f 0x0044104f 4   5    .rsrc   ascii   TRj}
104   0x00001876 0x00441076 4   6    .rsrc   utf8    RƯ # blocks=Basic Latin,Latin Extended-B
105   0x000018b0 0x004410b0 4   6    .rsrc   utf8    \S;؏ blocks=Basic Latin,Arabic
106   0x000018e3 0x004410e3 4   5    .rsrc   ascii   \n2|&
107   0x00001919 0x00441119 6   7    .rsrc   ascii   %\b^(Ma
108   0x00001948 0x00441148 7   10   .rsrc   utf8    y~aڨc2Ϲ blocks=Basic Latin,Arabic,Greek and Coptic
109   0x00001965 0x00441165 4   5    .rsrc   ascii   p?00
110   0x0000198d 0x0044118d 4   5    .rsrc   ascii   Jt&s
111   0x000019be 0x004411be 6   7    .rsrc   ascii   -0=}6B
112   0x000019d1 0x004411d1 5   6    .rsrc   ascii   $TfpG
113   0x000019dc 0x004411dc 4   6    .rsrc   utf8    aȼ X blocks=Basic Latin,Latin Extended-B
114   0x000019f3 0x004411f3 4   5    .rsrc   ascii   fnKC
115   0x00001a71 0x00441271 4   6    .rsrc   utf8    :YNØ blocks=Basic Latin,Latin-1 Supplement
116   0x00001a81 0x00441281 5   6    .rsrc   ascii   pZg><
117   0x00001a88 0x00441288 4   6    .rsrc   utf8    XȐh~ blocks=Basic Latin,Latin Extended-B
118   0x00001a9b 0x0044129b 5   6    .rsrc   ascii   MKrdM
119   0x00001aaa 0x004412aa 5   6    .rsrc   ascii   =}[8J
120   0x00001aec 0x004412ec 4   7    .rsrc   utf8    6Tu쾘 blocks=Basic Latin,Hangul Syllables
121   0x00001afa 0x004412fa 5   6    .rsrc   ascii   $XtY[
122   0x00001b16 0x00441316 4   5    .rsrc   ascii   3<,M
123   0x00001b1d 0x0044131d 11  13   .rsrc   utf8    ۳'R\a<26?m1u blocks=Arabic,Basic Latin
124   0x00001b3e 0x0044133e 8   10   .rsrc   utf8    e;ݨ:A\v>` blocks=Basic Latin,Arabic Supplement
125   0x00001b70 0x00441370 6   8    .rsrc   utf8    P\vȂa4! blocks=Basic Latin,Latin Extended-B
126   0x00001b78 0x00441378 4   5    .rsrc   ascii   j\a;?
127   0x00001c3b 0x0044143b 4   5    .rsrc   ascii   G:Q\r
128   0x00001c6f 0x0044146f 5   6    .rsrc   ascii   "o\f\r%
129   0x00001cb2 0x004414b2 6   8    .rsrc   utf8    tS2Lޘ} blocks=Basic Latin,Thaana
130   0x00001d48 0x00441548 5   7    .rsrc   utf8    Lώ.(~ blocks=Basic Latin,Greek and Coptic
131   0x00001dc1 0x004415c1 6   7    .rsrc   ascii   4YZnY>
132   0x00001df9 0x004415f9 6   10   .rsrc   utf8    𡘣HxX[" blocks=CJK Unified Ideographs Extension B,Basic Latin
133   0x00001e04 0x00441604 7   8    .rsrc   ascii   $AU"K%+
134   0x00001e0c 0x0044160c 6   8    .rsrc   utf8    C}FӠ{N blocks=Basic Latin,Cyrillic
135   0x00001e38 0x00441638 5   6    .rsrc   ascii   7\f\b\f/
136   0x00001e6e 0x0044166e 6   7    .rsrc   ascii   &\t}r~_
137   0x00001eb8 0x004416b8 6   7    .rsrc   ascii   @hZ:QH
138   0x00001ed3 0x004416d3 6   8    .rsrc   utf8    4TX;ҋj blocks=Basic Latin,Cyrillic
139   0x00001ede 0x004416de 4   6    .rsrc   utf8    ̓};\n blocks=Combining Diacritical Marks,Basic Latin
140   0x00001f92 0x00441792 4   5    .rsrc   ascii   _P?4
141   0x00001ff3 0x004417f3 4   5    .rsrc   ascii   JDu:
142   0x00001ff9 0x004417f9 8   10   .rsrc   utf8    S<ۄhs\n\e= blocks=Basic Latin,Arabic
143   0x00002015 0x00441815 4   5    .rsrc   ascii   FF0\f
144   0x0000207a 0x0044187a 5   6    .rsrc   ascii   Y!R@`
145   0x00002085 0x00441885 4   5    .rsrc   ascii   oaq;
146   0x0000208a 0x0044188a 4   5    .rsrc   ascii   (@tR
147   0x00002096 0x00441896 6   8    .rsrc   utf8    -\b0gF+
148   0x000020f7 0x004418f7 5   6    .rsrc   ascii   @ \a\a2
149   0x00002122 0x00441922 4   7    .rsrc   utf8    kĆRâ blocks=Basic Latin,Latin Extended-A,Latin-1 Supplement
150   0x000021aa 0x004419aa 5   6    .rsrc   ascii   }:dkV
151   0x000021b1 0x004419b1 9   11   .rsrc   utf8    &AlDh$(Ѵ` blocks=Basic Latin,Cyrillic
152   0x000021f2 0x004419f2 6   8    .rsrc   utf8    MݲLt,e blocks=Basic Latin,Arabic Supplement
153   0x00002209 0x00441a09 5   6    .rsrc   ascii   c#DEd
154   0x00002282 0x00441a82 5   6    .rsrc   ascii   \b<klj
155   0x000022ff 0x00441aff 4   5    .rsrc   ascii   #*xH
156   0x00002304 0x00441b04 4   5    .rsrc   ascii   \ebhP
157   0x0000230b 0x00441b0b 6   8    .rsrc   utf8    d3 \f~|
158   0x00002325 0x00441b25 8   11   .rsrc   utf8    8>疕@k2+W blocks=Basic Latin,CJK Unified Ideographs
159   0x0000233e 0x00441b3e 4   5    .rsrc   ascii   :zv{
160   0x00002346 0x00441b46 5   6    .rsrc   ascii   =yt|V
161   0x00002392 0x00441b92 4   6    .rsrc   utf8    N*bפ blocks=Basic Latin,Hebrew
162   0x0000239b 0x00441b9b 4   6    .rsrc   utf8    ͚?<^ blocks=Combining Diacritical Marks,Basic Latin
163   0x000023b8 0x00441bb8 6   8    .rsrc   utf8    =SJݪJx blocks=Basic Latin,Arabic Supplement
164   0x000023c0 0x00441bc0 4   5    .rsrc   ascii   $#[m
165   0x000023e1 0x00441be1 6   9    .rsrc   utf8    ߚۖa~[m blocks=NKo,Arabic,Basic Latin
166   0x00002471 0x00441c71 4   5    .rsrc   ascii   fy:w
167   0x000024a1 0x00441ca1 4   5    .rsrc   ascii    @6?
168   0x000024d0 0x00441cd0 5   6    .rsrc   ascii   {!Q4%
169   0x000024fa 0x00441cfa 4   5    .rsrc   ascii   4&Of
170   0x00002563 0x00441d63 4   5    .rsrc   ascii   wZ\e/
171   0x000025a3 0x00441da3 5   6    .rsrc   ascii   by6hM
172   0x000025ba 0x00441dba 5   7    .rsrc   utf8    xGlz|
173   0x000025d7 0x00441dd7 5   6    .rsrc   ascii   /\5:1
174   0x000025f5 0x00441df5 4   5    .rsrc   ascii   iO-X
175   0x000025fb 0x00441dfb 4   5    .rsrc   ascii   4EQ3
176   0x00002616 0x00441e16 6   9    .rsrc   utf8    ôTחX(q blocks=Latin-1 Supplement,Basic Latin,Hebrew
177   0x00002626 0x00441e26 4   5    .rsrc   ascii   Y;%#
178   0x0000262c 0x00441e2c 7   9    .rsrc   utf8    (qr$)6֯ blocks=Basic Latin,Hebrew
179   0x0000267b 0x00441e7b 5   6    .rsrc   ascii   =yntr
180   0x000026b9 0x00441eb9 6   8    .rsrc   utf8    /жWLY; blocks=Basic Latin,Cyrillic
181   0x000026fc 0x00441efc 5   6    .rsrc   ascii   c9C\v\e
182   0x00002744 0x00441f44 5   6    .rsrc   ascii   >:YHT
183   0x00002750 0x00441f50 4   5    .rsrc   ascii   ww\ek
184   0x00002785 0x00441f85 4   5    .rsrc   ascii   kF'g
185   0x000027e1 0x00441fe1 4   7    .rsrc   utf8    <0Ơ blocks=Basic Latin,Combining Diacritical Marks
186   0x000027ee 0x00441fee 5   6    .rsrc   ascii   QuZZ0
187   0x0000287b 0x0044207b 4   5    .rsrc   ascii   p.p=
188   0x00002883 0x00442083 4   5    .rsrc   ascii   }mt|
189   0x000028ab 0x004420ab 4   6    .rsrc   utf8    \b~ׇ9 blocks=Basic Latin,Hebrew
190   0x000028de 0x004420de 5   6    .rsrc   ascii   B5<>1
191   0x000028ed 0x004420ed 5   6    .rsrc   ascii   `H@C+
192   0x0000293e 0x0044213e 6   7    .rsrc   ascii   \e?CjHR
193   0x0000297f 0x0044217f 5   6    .rsrc   ascii   VeDcr
194   0x000029d9 0x004421d9 5   6    .rsrc   ascii   0yN\tV
195   0x000029e7 0x004421e7 4   5    .rsrc   ascii   &g;c
196   0x00002ac3 0x004422c3 5   6    .rsrc   ascii   hM\aZ\v
197   0x00002aed 0x004422ed 5   7    .rsrc   utf8    \b8+ڿ\e blocks=Basic Latin,Arabic
198   0x00002b02 0x00442302 8   12   .rsrc   utf8    FtyD{B'3
199   0x00002b8a 0x0044238a 4   5    .rsrc   ascii   S^9O
200   0x00002bb7 0x004423b7 5   7    .rsrc   utf8    ɅOR\b@ blocks=Latin Extended-B,Basic Latin
201   0x00002bdf 0x004423df 4   5    .rsrc   ascii   HGOS
202   0x00002bec 0x004423ec 4   5    .rsrc   ascii   4zwh
203   0x00002bf5 0x004423f5 5   6    .rsrc   ascii   &;eAq
204   0x00002c75 0x00442475 6   8    .rsrc   utf8    \v\a=BbІ blocks=Basic Latin,Cyrillic
205   0x00002cc2 0x004424c2 5   6    .rsrc   ascii   ]A0Q\a
206   0x00002cd6 0x004424d6 4   5    .rsrc   ascii   axLH
207   0x00002cec 0x004424ec 4   5    .rsrc   ascii   \eY71
208   0x00002cf5 0x004424f5 4   5    .rsrc   ascii   <il|
209   0x00002d26 0x00442526 4   6    .rsrc   utf8    \ϯ~0 blocks=Basic Latin,Greek and Coptic
210   0x00002d2d 0x0044252d 4   5    .rsrc   ascii   tF\rp
211   0x00002d4b 0x0044254b 4   6    .rsrc   utf8    g(fܶ blocks=Basic Latin,Syriac
212   0x00002d6b 0x0044256b 4   5    .rsrc   ascii   5B\v8
213   0x00002d78 0x00442578 4   5    .rsrc   ascii   OZ7=
214   0x00002d89 0x00442589 5   8    .rsrc   utf8    _bᓎ[S blocks=Basic Latin,Unified Canadian Aboriginal Syllabics
215   0x00002d99 0x00442599 6   7    .rsrc   ascii   &y\azC%
216   0x00002da8 0x004425a8 5   6    .rsrc   ascii   6yT:0
217   0x00002dbb 0x004425bb 4   5    .rsrc   ascii   z&90
218   0x00002e15 0x00442615 4   5    .rsrc   ascii   Fb\eh
219   0x00002e64 0x00442664 4   5    .rsrc   ascii   e$1:
220   0x00002e89 0x00442689 4   5    .rsrc   ascii   \a-`+
221   0x00002f03 0x00442703 5   6    .rsrc   ascii   ^7A*D
222   0x00002f1b 0x0044271b 4   8    .rsrc   utf8    S¶W犆 blocks=Basic Latin,Latin-1 Supplement,CJK Unified Ideographs
223   0x00002f30 0x00442730 7   8    .rsrc   ascii   1\b2c.H\r
224   0x00002f74 0x00442774 4   5    .rsrc   ascii   5.|(
225   0x00002f83 0x00442783 5   6    .rsrc   ascii   h\n|\n`
226   0x00002fcb 0x004427cb 4   5    .rsrc   ascii   x}\b7
227   0x00002fd9 0x004427d9 4   5    .rsrc   ascii   \t61m
228   0x00002fe1 0x004427e1 5   6    .rsrc   ascii   =E5H'
229   0x00002feb 0x004427eb 4   5    .rsrc   ascii   F\bYW
230   0x00003009 0x00442809 7   9    .rsrc   utf8    ǍMm}z{z blocks=Latin Extended-B,Basic Latin
231   0x00003025 0x00442825 4   5    .rsrc   ascii   \f?\t\a
232   0x00003051 0x00442851 5   7    .rsrc   utf8    p3&#>
233   0x000030c9 0x004428c9 5   6    .rsrc   ascii   ug_02
234   0x000030d2 0x004428d2 4   6    .rsrc   utf8    ܒ}us blocks=Syriac,Basic Latin
235   0x000030f4 0x004428f4 8   9    .rsrc   ascii   *U\r\njMn6
236   0x00003120 0x00442920 5   8    .rsrc   utf8    c^υFރ blocks=Basic Latin,Greek and Coptic,Thaana
237   0x0000314c 0x0044294c 4   5    .rsrc   ascii   2i]/
238   0x00003166 0x00442966 7   10   .rsrc   utf8    Yoޭ̑u0K blocks=Basic Latin,Thaana,Combining Diacritical Marks
239   0x00003182 0x00442982 4   5    .rsrc   ascii   u143
240   0x0000321f 0x00442a1f 5   6    .rsrc   ascii   el*;o
