Missing bin header dwarf
[Sections]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00001000  0x2000 0x00401000  0x2000 -r-x .text
1   0x00003000  0x1000 0x00403000  0x1000 -r-- .rdata
2   0x00004000  0x1000 0x00404000  0x1000 -rw- .data
3   0x00005000  0x6000 0x00405000  0x6000 -r-- .rsrc

[Segments]

nth paddr  size vaddr  vsize perm name
――――――――――――――――――――――――――――――――――――――

[Entrypoints]
vaddr=0x00402c0c paddr=0x00002c0c haddr=0x00000118 type=program

1 entrypoints
[Constructors]

0 entrypoints
[Main]
vaddr=0x00402394 paddr=0x00002394
[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x00403010 NONE FUNC KERNEL32.dll ExpandEnvironmentStringsA
2   0x00403014 NONE FUNC KERNEL32.dll LockResource
3   0x00403018 NONE FUNC KERNEL32.dll LoadResource
4   0x0040301c NONE FUNC KERNEL32.dll SizeofResource
5   0x00403020 NONE FUNC KERNEL32.dll FindResourceA
6   0x00403024 NONE FUNC KERNEL32.dll LoadLibraryA
7   0x00403028 NONE FUNC KERNEL32.dll WriteFile
8   0x0040302c NONE FUNC KERNEL32.dll lstrcpyA
9   0x00403030 NONE FUNC KERNEL32.dll ResumeThread
10  0x00403034 NONE FUNC KERNEL32.dll QueueUserAPC
11  0x00403038 NONE FUNC KERNEL32.dll GetLastError
12  0x0040303c NONE FUNC KERNEL32.dll CreateFileMappingA
13  0x00403040 NONE FUNC KERNEL32.dll Sleep
14  0x00403044 NONE FUNC KERNEL32.dll CloseHandle
15  0x00403048 NONE FUNC KERNEL32.dll GetModuleFileNameA
16  0x0040304c NONE FUNC KERNEL32.dll lstrcatA
17  0x00403050 NONE FUNC KERNEL32.dll MultiByteToWideChar
18  0x00403054 NONE FUNC KERNEL32.dll GetStartupInfoA
19  0x00403058 NONE FUNC KERNEL32.dll GetModuleHandleA
1   0x00403000 NONE FUNC ADVAPI32.dll RegQueryValueExA
2   0x00403004 NONE FUNC ADVAPI32.dll RegCloseKey
3   0x00403008 NONE FUNC ADVAPI32.dll RegOpenKeyExA
1   0x004030c8 NONE FUNC PSAPI.DLL    GetModuleFileNameExA
2   0x004030cc NONE FUNC PSAPI.DLL    EnumProcessModules
1   0x00403060 NONE FUNC MSVCRT.dll   _stricmp
2   0x00403064 NONE FUNC MSVCRT.dll   strlen
3   0x00403068 NONE FUNC MSVCRT.dll   strcat
4   0x0040306c NONE FUNC MSVCRT.dll   strstr
5   0x00403070 NONE FUNC MSVCRT.dll   strcpy
6   0x00403074 NONE FUNC MSVCRT.dll   memset
7   0x00403078 NONE FUNC MSVCRT.dll   sym.imp.void __cdecl operator delete(void *)
8   0x0040307c NONE FUNC MSVCRT.dll   sprintf
9   0x00403080 NONE FUNC MSVCRT.dll   sym.imp.void * __cdecl operator new(unsigned int)
10  0x00403084 NONE FUNC MSVCRT.dll   strchr
11  0x00403088 NONE FUNC MSVCRT.dll   strcmp
12  0x0040308c NONE FUNC MSVCRT.dll   _exit
13  0x00403090 NONE FUNC MSVCRT.dll   _XcptFilter
14  0x00403094 NONE FUNC MSVCRT.dll   exit
15  0x00403098 NONE FUNC MSVCRT.dll   _acmdln
16  0x0040309c NONE FUNC MSVCRT.dll   __getmainargs
17  0x004030a0 NONE FUNC MSVCRT.dll   _initterm
18  0x004030a4 NONE FUNC MSVCRT.dll   __setusermatherr
19  0x004030a8 NONE FUNC MSVCRT.dll   _adjust_fdiv
20  0x004030ac NONE FUNC MSVCRT.dll   __p__commode
21  0x004030b0 NONE FUNC MSVCRT.dll   __p__fmode
22  0x004030b4 NONE FUNC MSVCRT.dll   __set_app_type
23  0x004030b8 NONE FUNC MSVCRT.dll   _except_handler3
24  0x004030bc NONE FUNC MSVCRT.dll   _controlfp
25  0x004030c0 NONE FUNC MSVCRT.dll   _strupr

[Symbols]

nth paddr      vaddr      bind type size lib          name
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1   0x00003010 0x00403010 NONE FUNC 0    KERNEL32.dll imp.ExpandEnvironmentStringsA
2   0x00003014 0x00403014 NONE FUNC 0    KERNEL32.dll imp.LockResource
3   0x00003018 0x00403018 NONE FUNC 0    KERNEL32.dll imp.LoadResource
4   0x0000301c 0x0040301c NONE FUNC 0    KERNEL32.dll imp.SizeofResource
5   0x00003020 0x00403020 NONE FUNC 0    KERNEL32.dll imp.FindResourceA
6   0x00003024 0x00403024 NONE FUNC 0    KERNEL32.dll imp.LoadLibraryA
7   0x00003028 0x00403028 NONE FUNC 0    KERNEL32.dll imp.WriteFile
8   0x0000302c 0x0040302c NONE FUNC 0    KERNEL32.dll imp.lstrcpyA
9   0x00003030 0x00403030 NONE FUNC 0    KERNEL32.dll imp.ResumeThread
10  0x00003034 0x00403034 NONE FUNC 0    KERNEL32.dll imp.QueueUserAPC
11  0x00003038 0x00403038 NONE FUNC 0    KERNEL32.dll imp.GetLastError
12  0x0000303c 0x0040303c NONE FUNC 0    KERNEL32.dll imp.CreateFileMappingA
13  0x00003040 0x00403040 NONE FUNC 0    KERNEL32.dll imp.Sleep
14  0x00003044 0x00403044 NONE FUNC 0    KERNEL32.dll imp.CloseHandle
15  0x00003048 0x00403048 NONE FUNC 0    KERNEL32.dll imp.GetModuleFileNameA
16  0x0000304c 0x0040304c NONE FUNC 0    KERNEL32.dll imp.lstrcatA
17  0x00003050 0x00403050 NONE FUNC 0    KERNEL32.dll imp.MultiByteToWideChar
18  0x00003054 0x00403054 NONE FUNC 0    KERNEL32.dll imp.GetStartupInfoA
19  0x00003058 0x00403058 NONE FUNC 0    KERNEL32.dll imp.GetModuleHandleA
1   0x00003000 0x00403000 NONE FUNC 0    ADVAPI32.dll imp.RegQueryValueExA
2   0x00003004 0x00403004 NONE FUNC 0    ADVAPI32.dll imp.RegCloseKey
3   0x00003008 0x00403008 NONE FUNC 0    ADVAPI32.dll imp.RegOpenKeyExA
1   0x000030c8 0x004030c8 NONE FUNC 0    PSAPI.DLL    imp.GetModuleFileNameExA
2   0x000030cc 0x004030cc NONE FUNC 0    PSAPI.DLL    imp.EnumProcessModules
1   0x00003060 0x00403060 NONE FUNC 0    MSVCRT.dll   imp._stricmp
2   0x00003064 0x00403064 NONE FUNC 0    MSVCRT.dll   imp.strlen
3   0x00003068 0x00403068 NONE FUNC 0    MSVCRT.dll   imp.strcat
4   0x0000306c 0x0040306c NONE FUNC 0    MSVCRT.dll   imp.strstr
5   0x00003070 0x00403070 NONE FUNC 0    MSVCRT.dll   imp.strcpy
6   0x00003074 0x00403074 NONE FUNC 0    MSVCRT.dll   imp.memset
7   0x00003078 0x00403078 NONE FUNC 0    MSVCRT.dll   void __cdecl operator delete(void *)
8   0x0000307c 0x0040307c NONE FUNC 0    MSVCRT.dll   imp.sprintf
9   0x00003080 0x00403080 NONE FUNC 0    MSVCRT.dll   void * __cdecl operator new(unsigned int)
10  0x00003084 0x00403084 NONE FUNC 0    MSVCRT.dll   imp.strchr
11  0x00003088 0x00403088 NONE FUNC 0    MSVCRT.dll   imp.strcmp
12  0x0000308c 0x0040308c NONE FUNC 0    MSVCRT.dll   imp._exit
13  0x00003090 0x00403090 NONE FUNC 0    MSVCRT.dll   imp._XcptFilter
14  0x00003094 0x00403094 NONE FUNC 0    MSVCRT.dll   imp.exit
15  0x00003098 0x00403098 NONE FUNC 0    MSVCRT.dll   imp._acmdln
16  0x0000309c 0x0040309c NONE FUNC 0    MSVCRT.dll   imp.__getmainargs
17  0x000030a0 0x004030a0 NONE FUNC 0    MSVCRT.dll   imp._initterm
18  0x000030a4 0x004030a4 NONE FUNC 0    MSVCRT.dll   imp.__setusermatherr
19  0x000030a8 0x004030a8 NONE FUNC 0    MSVCRT.dll   imp._adjust_fdiv
20  0x000030ac 0x004030ac NONE FUNC 0    MSVCRT.dll   imp.__p__commode
