Metadata Signature: 0x6cfc 0x10001424a5342 12
.NET Version: v4.0.30319
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 758
Stream name: #~ 4
DirectoryAddress: 7c4 Size: b44
Stream name: #Strings 12
DirectoryAddress: 1308 Size: 10240
Stream name: #US 4
DirectoryAddress: 11548 Size: 10
Stream name: #GUID 8
DirectoryAddress: 11558 Size: 3a8
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len  size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1   0x00000178 0x00000178 5    6            ascii   .text
2   0x0000019f 0x0000019f 6    7            ascii   `.rsrc
3   0x000001c7 0x000001c7 7    8            ascii   @.reloc
4   0x00000282 0x00402082 4    5    .text   ascii   \n\v\a(
5   0x000003b9 0x004021b9 4    5    .text   ascii   \n\bo"
6   0x00000491 0x00402291 5    6    .text   ascii   \n\n*\e0
7   0x00000796 0x00402596 4    5    .text   ascii   \a\b\e0
8   0x000007b7 0x004025b7 4    5    .text   ascii   \n\vs2
9   0x00000821 0x00402621 4    5    .text   ascii   \b\to=
10  0x0000086f 0x0040266f 6    7    .text   ascii   \a-\a\toA
11  0x00000885 0x00402685 6    7    .text   ascii   \a-\a\boA
12  0x000008f2 0x004026f2 5    6    .text   ascii   \n\v\a(D
13  0x00000a0b 0x0040280b 4    5    .text   ascii   \n\f\a\b
14  0x00000a14 0x00402814 4    5    .text   ascii   \n\r(P
15  0x00000a1a 0x0040281a 4    5    .text   ascii   \n\toT
16  0x00000a41 0x00402841 5    6    .text   ascii   -\a\aoA
17  0x00000ae3 0x004028e3 4    5    .text   ascii   \v\a-;
18  0x00000b93 0x00402993 4    5    .text   ascii   \f\b-"
19  0x00000c28 0x00402a28 145  146  .text   ascii   lSystem.Resources.ResourceReader, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089#System.Resources.RuntimeResourceSet
20  0x00000cc5 0x00402ac5 113  114  .text   ascii   hSystem.Drawing.Bitmap, System.Drawing, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3aPADPAD8]
21  0x00000d41 0x00402b41 27   56   .text   utf16le background_wallpaper_blue_2
22  0x00000d92 0x00402b92 82   83   .text   ascii   QSystem.Drawing, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
23  0x00000dea 0x00402bea 21   22   .text   ascii   System.Drawing.Bitmap
24  0x00000e04 0x00402c04 5    6    .text   ascii   Data\a
25  0x00000e23 0x00402c23 4    5    .text   ascii   JFIF
26  0x00000e46 0x00402c46 5    6    .text   ascii   \n\n\t\t\n
27  0x00000e62 0x00402c62 9    10   .text   ascii    , #&')*)
28  0x00000e6d 0x00402c6d 9    10   .text   ascii   -0-(0%()(
29  0x00000e7b 0x00402c7b 6    7    .text   ascii   \a\a\a\n\b\n
30  0x00000e89 0x00402c89 50   51   .text   ascii   ((((((((((((((((((((((((((((((((((((((((((((((((((
31  0x00006cfb 0x00408afb 5    6    .text   ascii   \vBSJB
32  0x00006d0c 0x00408b0c 10   11   .text   ascii   v4.0.30319
33  0x00006d30 0x00408b30 8    9    .text   ascii   #Strings
34  0x00006d50 0x00408b50 5    6    .text   ascii   #GUID
35  0x00006d60 0x00408b60 5    6    .text   ascii   #Blob
36  0x00006f60 0x00408d60 4    5    .text   ascii   R\n:\n
37  0x000074c1 0x004092c1 8    9    .text   ascii   <Module>
38  0x000074ca 0x004092ca 30   31   .text   ascii   Chaos ransomware decrypter.exe
39  0x000074e9 0x004092e9 7    8    .text   ascii   Program
40  0x000074f1 0x004092f1 20   21   .text   ascii   ConsoleApplication15
41  0x00007506 0x00409306 9    10   .text   ascii   Resources
42  0x00007510 0x00409310 20   21   .text   ascii   decrypter.Properties
43  0x00007525 0x00409325 8    9    .text   ascii   mscorlib
44  0x0000752e 0x0040932e 6    7    .text   ascii   System
45  0x00007535 0x00409335 6    7    .text   ascii   Object
46  0x0000753c 0x0040933c 8    9    .text   ascii   userName
47  0x00007545 0x00409345 7    8    .text   ascii   userDir
48  0x0000754d 0x0040934d 11   12   .text   ascii   base64Image
49  0x00007559 0x00409359 16   17   .text   ascii   privateKeyString
50  0x0000756a 0x0040936a 14   15   .text   ascii   decryptedFiles
51  0x00007579 0x00409379 20   21   .text   ascii   SystemParametersInfo
52  0x0000758e 0x0040938e 4    5    .text   ascii   Main
53  0x00007593 0x00409393 10   11   .text   ascii   privateKey
54  0x0000759e 0x0040939e 16   17   .text   ascii   decryptDirectory
55  0x000075af 0x004093af 18   19   .text   ascii   lookForDirectories
56  0x000075c2 0x004093c2 11   12   .text   ascii   AES_Decrypt
57  0x000075ce 0x004093ce 11   12   .text   ascii   DecryptFile
58  0x000075da 0x004093da 7    8    .text   ascii   Decrypt
59  0x000075e2 0x004093e2 6    7    .text   ascii   Random
60  0x000075e9 0x004093e9 6    7    .text   ascii   random
61  0x000075f0 0x004093f0 12   13   .text   ascii   RandomString
62  0x000075fd 0x004093fd 12   13   .text   ascii   SetWallpaper
63  0x0000760a 0x0040940a 5    6    .text   ascii   .ctor
64  0x00007610 0x00409410 16   17   .text   ascii   System.Resources
65  0x00007621 0x00409421 15   16   .text   ascii   ResourceManager
66  0x00007631 0x00409431 11   12   .text   ascii   resourceMan
67  0x0000763d 0x0040943d 20   21   .text   ascii   System.Globalization
68  0x00007652 0x00409452 11   12   .text   ascii   CultureInfo
69  0x0000765e 0x0040945e 15   16   .text   ascii   resourceCulture
70  0x0000766e 0x0040946e 19   20   .text   ascii   get_ResourceManager
71  0x00007682 0x00409482 11   12   .text   ascii   get_Culture
72  0x0000768e 0x0040948e 11   12   .text   ascii   set_Culture
73  0x0000769a 0x0040949a 14   15   .text   ascii   System.Drawing
74  0x000076a9 0x004094a9 6    7    .text   ascii   Bitmap
75  0x000076b0 0x004094b0 31   32   .text   ascii   get_background_wallpaper_blue_2
76  0x000076d0 0x004094d0 7    8    .text   ascii   Culture
