ii 1168 64
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000000d 42  43   seg_001 ascii   !This program cannot be run in DOS mode.\n$
1    0x00000176 0x00000136 5   6    seg_001 ascii   .text
2    0x0000019d 0x0000015d 6   7    seg_001 ascii   `.rsrc
3    0x000001c5 0x00000185 7   8    seg_001 ascii   @.reloc
4    0x000002a2 0x00000262 5   6    seg_001 ascii   \n\f\bo?
5    0x000002e8 0x000002a8 4   5    seg_001 ascii   by~ 
6    0x000002fa 0x000002ba 4   5    seg_001 ascii   jaYZ
7    0x0000030c 0x000002cc 5   6    seg_001 ascii   Mn\r ~
8    0x00000312 0x000002d2 4   5    seg_001 ascii   n\ra_
9    0x00000322 0x000002e2 4   5    seg_001 ascii   \r+U\t
10   0x00000339 0x000002f9 4   5    seg_001 ascii   X \tN
11   0x00000342 0x00000302 5   6    seg_001 ascii   ZKa /
12   0x0000038d 0x0000034d 4   5    seg_001 ascii   \n\a("
13   0x000003ad 0x0000036d 4   5    seg_001 ascii    \nO>
14   0x000003cb 0x0000038b 5   6    seg_001 ascii   \faYaa
15   0x000003de 0x0000039e 4   5    seg_001 ascii   x?| 
16   0x000003e3 0x000003a3 5   6    seg_001 ascii   h?|Yo
17   0x0000047f 0x0000043f 4   5    seg_001 ascii   F 2(
18   0x00000490 0x00000450 4   5            ascii   !Yb`
19   0x000004c6 0x00000486 8   9            ascii   |XXYb`o&
20   0x000004d6 0x00000496 4   5            ascii   \r\to'
21   0x00000516 0x000004d6 6   7            ascii   \n-\r\to)
22   0x0000052a 0x000004ea 4   5            ascii   p\to)
23   0x00000547 0x00000507 4   5            ascii   p\to)
24   0x0000054f 0x0000050f 4   5            ascii   \t\to)
25   0x0000056f 0x0000052f 4   5            ascii   \n\bo/
26   0x00000588 0x00000548 4   5            ascii   \n\to1
27   0x0000058e 0x0000054e 4   5            ascii   \n\a~2
28   0x0000060a 0x000005ca 4   5            ascii   \r R_
29   0x0000060f 0x000005cf 5   6            ascii   \rYb`\r
30   0x00000639 0x000005f9 4   5            ascii   {YY 
31   0x00000654 0x00000614 10  11           ascii   caaaYab`o&
32   0x0000076e 0x0000072e 5   6            ascii   uD X\a
33   0x00000774 0x00000734 4   5            ascii   AYa 
34   0x0000077f 0x0000073f 4   5            ascii   -\a~?
35   0x000007b4 0x00000774 4   5            ascii   \n*\e0
36   0x000007e4 0x000007a4 5   6            ascii   \n\r\to?
37   0x000007fd 0x000007bd 5   6            ascii   \n& Mi
38   0x0000080b 0x000007cb 4   5            ascii   \v\vE 
39   0x00000811 0x000007d1 5   6            ascii   {#XXX
40   0x0000081a 0x000007da 4   5            ascii   \n+O\a
41   0x0000082b 0x000007eb 4   5            ascii   7\n^ 
42   0x00000836 0x000007f6 5   6            ascii   GQYY 
43   0x0000083d 0x000007fd 4   5            ascii   XV :
44   0x00000842 0x00000802 7   8            ascii   U>YYZ v
45   0x0000085e 0x0000081e 6   8            utf8    ѵwaaX] blocks=Cyrillic,Basic Latin
46   0x00000884 0x00000844 6   7            ascii   \n\f\b\boC
47   0x00000891 0x00000851 5   6            ascii   \n\v\a(E
48   0x0000091f 0x000008df 6   7            ascii    d@D{!
49   0x00000935 0x000008f5 5   6            ascii   c~!4f
50   0x00000972 0x00000932 5   6            ascii   ,N\b~K
51   0x00000988 0x00000948 4   5            ascii   \r\t~K
52   0x0000099d 0x0000095d 4   5            ascii   ,"~O
53   0x000009ae 0x0000096e 4   6            utf8    ڼ{I( blocks=Arabic,Basic Latin
54   0x000009f9 0x000009b9 6   7            ascii   5RI!$R
55   0x00000a16 0x000009d6 4   5            ascii   A"(\a
56   0x00000a29 0x000009e9 4   5            ascii   |:}\e
57   0x00000a34 0x000009f4 7   8            ascii   + wb:i!
58   0x00000a3e 0x000009fe 4   7            utf8    )䵥f( blocks=Basic Latin,CJK Unified Ideographs Extension A
59   0x00000a91 0x00000a51 4   5            ascii   \t&~K
60   0x00000ac6 0x00000a86 4   5            ascii   \v\a(v
61   0x00000ad9 0x00000a99 4   5            ascii   &\a `
62   0x00000b1e 0x00000ade 4   5            ascii   -J\b(
63   0x00000b2f 0x00000aef 7   10           utf8    C!\fi-ˏ\ blocks=Basic Latin,Spacing Modifier Letters
64   0x00000b43 0x00000b03 4   5            ascii   -%\b(
65   0x00000b68 0x00000b28 4   5            ascii   ,\v\b(
66   0x00000bba 0x00000b7a 4   5            ascii   kp1!
67   0x00000bec 0x00000bac 4   5            ascii   EvI!
68   0x00000c39 0x00000bf9 4   5            ascii   O\n!P
69   0x00000c5c 0x00000c1c 4   5            ascii   \t*AL
70   0x00000e57 0x00000e17 5   6            ascii    j]Yi
71   0x00001073 0x00001033 5   6            ascii    j]Yi
72   0x0000122b 0x000011eb 7   8            ascii    j]Yi\f+
73   0x000012d2 0x00001292 7   8            ascii    j]Yi\v+
74   0x00001329 0x000012e9 4   5            ascii   *.s#
75   0x0000136a 0x0000132a 4   5            ascii   \n+Q\a
76   0x00001540 0x00001500 5   6            ascii   ,6\b(\v
77   0x00001571 0x00001531 4   5            ascii   jX}\r
78   0x00001726 0x000016e6 4   5            ascii   \n\r+@
79   0x00001742 0x00001702 4   5            ascii   ;!S1
80   0x00001750 0x00001710 4   5            ascii   +\ao\r
81   0x000017ca 0x0000178a 4   5            ascii   \n\f+Z
82   0x000017d4 0x00001794 5   6            ascii   \n\v\ao\v
83   0x000017e6 0x000017a6 5   6            ascii   ,+\ao\r
84   0x000017f9 0x000017b9 4   5            ascii   O\a\a(
85   0x00001899 0x00001859 4   5            ascii   \n\f8y
86   0x000018a6 0x00001866 5   6            ascii   \n\v\ao\v
87   0x000018b8 0x00001878 5   6            ascii   ,$\ao\r
88   0x000019da 0x0000199a 4   5            ascii   \aH7X
89   0x000019f0 0x000019b0 5   6            ascii   !\tgXd
90   0x00001a72 0x00001a32 4   5            ascii   \n\v\a 
91   0x00001aa5 0x00001a65 4   5            ascii   \n\a}\b
92   0x00001ab1 0x00001a71 4   5            ascii   \n\f\b 
93   0x00001abf 0x00001a7f 5   6            ascii   N|:(\b
94   0x00001acf 0x00001a8f 5   6            ascii   SfF!6
95   0x00001aea 0x00001aaa 5   7            utf8    I!b<8
96   0x00001afd 0x00001abd 5   6            ascii   \n\b )j
97   0x00001b33 0x00001af3 4   5            ascii   @qY!
98   0x00001b48 0x00001b08 4   5            ascii   \n\b b
99   0x00001b7a 0x00001b3a 5   6            ascii   \n\b {1
100  0x00001b80 0x00001b40 5   7            utf8    D!<Tҙ blocks=Basic Latin,Cyrillic
101  0x00001b93 0x00001b53 4   5            ascii   \n\b -
102  0x00001b98 0x00001b58 4   5            ascii   a&!m
103  0x00001bac 0x00001b6c 4   5            ascii   \n\b ~
104  0x00001bb3 0x00001b73 4   5            ascii   !Tas
105  0x00001bde 0x00001b9e 4   5            ascii   \n\b M
106  0x00001c29 0x00001be9 4   5            ascii   \n\b W
107  0x00001c48 0x00001c08 4   5            ascii   B!r>
