[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000150 0x00000150 4   5            ascii   Rich
1    0x0000029c 0x0000029c 5   6            ascii   .text
2    0x000002c3 0x000002c3 7   8            ascii   `.rdata
3    0x000002eb 0x000002eb 5   6            ascii   @.crt
4    0x00000314 0x00000314 5   6            ascii   .rsrc
5    0x0000033b 0x0000033b 7   8            ascii   @.reloc
6    0x0000041f 0x1000101f 5   7    .text   utf8    \$pǄ$ blocks=Basic Latin,Latin Extended-B
7    0x0000043e 0x1000103e 5   6    .text   ascii   D$Hl#
8    0x00000456 0x10001056 4   5    .text   ascii   t$0f
9    0x0000045f 0x1000105f 4   5    .text   ascii   D$,5
10   0x0000046c 0x1000106c 8   10   .text   utf8    L$4\tȉ\$$ blocks=Basic Latin,Latin Extended-B
11   0x00000476 0x10001076 4   5    .text   ascii   T$ f
12   0x000004ac 0x100010ac 8   10   .text   utf8    [_^]ËD$8 blocks=Basic Latin,Latin-1 Supplement
13   0x000004fb 0x100010fb 5   7    .text   utf8    119\b:
14   0x00000520 0x10001120 4   6    .text   utf8    щD$\f blocks=Cyrillic,Basic Latin
15   0x00000528 0x10001128 4   5    .text   ascii   [_^]
16   0x0000054d 0x1000114d 7   9    .text   utf8    f!ҋt$Hf blocks=Basic Latin,Cyrillic
17   0x0000055a 0x1000115a 4   6    .text   utf8    ȉD$d blocks=Latin Extended-B,Basic Latin
18   0x000005ba 0x100011ba 8   10   .text   utf8    T$$)ЉD$p blocks=Basic Latin,Cyrillic
19   0x00000620 0x10001220 5   6    .text   ascii   \$2fi
20   0x00000636 0x10001236 5   6    .text   ascii   D$(!#
21   0x0000064e 0x1000124e 4   6    .text   utf8    ܈d$; blocks=Syriac,Basic Latin
22   0x0000065c 0x1000125c 7   9    .text   utf8    L$ 1ɉL$ blocks=Basic Latin,Latin Extended-B
23   0x00000669 0x10001269 5   7    .text   utf8    ')ىL$ blocks=Basic Latin,Arabic
24   0x000006a9 0x100012a9 4   6    .text   utf8    ýktN blocks=Latin-1 Supplement,Basic Latin
25   0x000006cf 0x100012cf 5   7    .text   utf8    ^[_]Ð blocks=Basic Latin,Latin-1 Supplement
26   0x0000071f 0x1000131f 4   5    .text   ascii   D$\bf
27   0x00000733 0x10001333 7   8    .text   ascii   *X+"iD$
28   0x0000074a 0x1000134a 6   7    .text   ascii   W|\nr`f
29   0x00000795 0x10001395 7   9    .text   utf8    _[^]ÊD$ blocks=Basic Latin,Latin-1 Supplement
30   0x0000080f 0x1000140f 8   9    .text   ascii   D$T-g7Vf
31   0x0000084b 0x1000144b 4   5    .text   ascii   |$@f
32   0x0000085a 0x1000145a 4   5    .text   ascii   L$$f
33   0x00000882 0x10001482 4   5    .text   ascii   =oCL
34   0x000008a0 0x100014a0 5   7    .text   utf8    ĉD$,f blocks=Latin Extended-A,Basic Latin
35   0x000008ab 0x100014ab 8   9    .text   ascii   T$Nf+L$l
36   0x000008bb 0x100014bb 4   5    .text   ascii   D$<f
37   0x000008c0 0x100014c0 5   6    .text   ascii   t$"fi
38   0x000008ca 0x100014ca 5   6    .text   ascii   |$nf9
39   0x00000901 0x10001501 4   5    .text   ascii   =oCL
40   0x0000091f 0x1000151f 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
41   0x00000929 0x10001529 4   6    .text   utf8    ыT$( blocks=Cyrillic,Basic Latin
42   0x0000092f 0x1000152f 4   6    .text   utf8    ҉T$p blocks=Cyrillic,Basic Latin
43   0x00000939 0x10001539 4   5    .text   ascii   L$,f
44   0x00000947 0x10001547 4   6    .text   utf8    D$nо blocks=Basic Latin,Cyrillic
45   0x00000989 0x10001589 4   5    .text   ascii   =oCL
46   0x000009a7 0x100015a7 5   7    .text   utf8    ĉD$,f blocks=Latin Extended-A,Basic Latin
47   0x000009df 0x100015df 4   5    .text   ascii   =oCL
48   0x000009fd 0x100015fd 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
49   0x00000a2f 0x1000162f 4   5    .text   ascii   =oCL
50   0x00000a4d 0x1000164d 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
51   0x00000a74 0x10001674 5   6    .text   ascii   D$"fi
52   0x00000a9e 0x1000169e 4   5    .text   ascii   D$pr
53   0x00000ab5 0x100016b5 4   5    .text   ascii   D$P\a
54   0x00000ad8 0x100016d8 4   5    .text   ascii   =oCL
55   0x00000af6 0x100016f6 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
56   0x00000b17 0x10001717 4   5    .text   ascii   =oCL
57   0x00000b35 0x10001735 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
58   0x00000b47 0x10001747 8   9    .text   ascii   T$d5-g7V
59   0x00000b60 0x10001760 5   6    .text   ascii   D$(%t
60   0x00000b92 0x10001792 5   6    .text   ascii   D$!4q
61   0x00000bac 0x100017ac 4   6    .text   utf8    ߃|$< blocks=NKo,Basic Latin
62   0x00000c1c 0x1000181c 4   5    .text   ascii   =oCL
63   0x00000c3a 0x1000183a 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
64   0x00000c64 0x10001864 4   5    .text   ascii   =oCL
65   0x00000c82 0x10001882 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
66   0x00000cc5 0x100018c5 4   5    .text   ascii   =oCL
67   0x00000ce3 0x100018e3 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
68   0x00000d03 0x10001903 5   6    .text   ascii   f;D$L
69   0x00000d18 0x10001918 4   6    .text   utf8    ЋL$( blocks=Cyrillic,Basic Latin
70   0x00000d1e 0x1000191e 4   6    .text   utf8    щL$p blocks=Cyrillic,Basic Latin
71   0x00000d43 0x10001943 4   5    .text   ascii   =oCL
72   0x00000d61 0x10001961 5   7    .text   utf8    ĉD$,f blocks=Latin Extended-A,Basic Latin
73   0x00000d68 0x10001968 4   5    .text   ascii   L$"f
74   0x00000d9c 0x1000199c 4   5    .text   ascii   =oCL
75   0x00000dba 0x100019ba 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
76   0x00000dc5 0x100019c5 8   9    .text   ascii   D$T5$g7V
77   0x00000de7 0x100019e7 4   5    .text   ascii   D$d\v
78   0x00000e12 0x10001a12 4   5    .text   ascii   =oCL
79   0x00000e30 0x10001a30 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
80   0x00000e5c 0x10001a5c 4   5    .text   ascii   =oCL
81   0x00000e7a 0x10001a7a 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
82   0x00000e8d 0x10001a8d 4   5    .text   ascii   D$d\a
83   0x00000eb0 0x10001ab0 4   5    .text   ascii   =oCL
84   0x00000ece 0x10001ace 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
85   0x00000ed8 0x10001ad8 5   6    .text   ascii   D$d\eY
86   0x00000ee5 0x10001ae5 9   11   .text   utf8    L$,!KD$(5
87   0x00000f24 0x10001b24 4   5    .text   ascii   =oCL
88   0x00000f42 0x10001b42 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
89   0x00000f48 0x10001b48 4   5    .text   ascii   -g7V
90   0x00000f65 0x10001b65 4   6    .text   utf8    ЊL$\e blocks=Cyrillic,Basic Latin
91   0x00000f8a 0x10001b8a 4   5    .text   ascii   D$P\t
92   0x00000fb7 0x10001bb7 4   5    .text   ascii   =oCL
93   0x00000fd5 0x10001bd5 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
94   0x00000ff4 0x10001bf4 5   7    .text   utf8    L$D1Ҿ blocks=Basic Latin,Cyrillic
95   0x00001016 0x10001c16 4   5    .text   ascii   D$PX
96   0x00001036 0x10001c36 4   5    .text   ascii   =oCL
97   0x00001054 0x10001c54 5   7    .text   utf8    ĉD$,f blocks=Latin Extended-A,Basic Latin
98   0x0000105b 0x10001c5b 5   6    .text   ascii   L$"fi
99   0x0000109e 0x10001c9e 4   5    .text   ascii   ^_[]
100  0x000010b6 0x10001cb6 4   6    .text   utf8    ȋT$\f blocks=Latin Extended-B,Basic Latin
101  0x000010be 0x10001cbe 4   5    .text   ascii   t$$i
102  0x000010cf 0x10001ccf 4   5    .text   ascii   )g7V
103  0x00001100 0x10001d00 8   9    .text   ascii   D$(%|`9a
104  0x00001132 0x10001d32 4   5    .text   ascii   =oCL
105  0x00001150 0x10001d50 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
106  0x0000115a 0x10001d5a 9   11   .text   utf8    L$!0ɈL$kf blocks=Basic Latin,Latin Extended-B
107  0x00001165 0x10001d65 4   5    .text   ascii   T$"f
108  0x0000119a 0x10001d9a 4   5    .text   ascii   =oCL
109  0x000011b8 0x10001db8 5   7    .text   utf8    ĉD$,f blocks=Latin Extended-A,Basic Latin
110  0x000011bf 0x10001dbf 4   5    .text   ascii   L$"f
111  0x000011e2 0x10001de2 6   7    .text   ascii   D$"f5 
112  0x00001206 0x10001e06 4   5    .text   ascii   =oCL
113  0x00001224 0x10001e24 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
114  0x0000122f 0x10001e2f 4   5    .text   ascii   D$d%
115  0x00001267 0x10001e67 4   5    .text   ascii   =oCL
116  0x00001285 0x10001e85 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
117  0x000012b9 0x10001eb9 6   8    .text   utf8    1ɾQ1\r\e blocks=Basic Latin,IPA Extensions
118  0x000012c1 0x10001ec1 4   5    .text   ascii   |$()
119  0x000012cb 0x10001ecb 4   6    .text   utf8    ىt$p blocks=Arabic,Basic Latin
120  0x000012d1 0x10001ed1 4   5    .text   ascii   L$t9
121  0x000012e2 0x10001ee2 8   9    .text   ascii   3g7V+D$T
122  0x0000130f 0x10001f0f 4   5    .text   ascii   =oCL
123  0x0000132d 0x10001f2d 6   9    .text   utf8    ĉD$,19 blocks=Latin Extended-A,Basic Latin
124  0x0000133a 0x10001f3a 8   10   .text   utf8    T$()ыt$$ blocks=Basic Latin,Cyrillic
125  0x00001353 0x10001f53 4   5    .text   ascii   D$P\a
126  0x0000135b 0x10001f5b 7   8    .text   ascii   D$d\vD$d
127  0x0000138f 0x10001f8f 4   5    .text   ascii   =oCL
128  0x000013ad 0x10001fad 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
129  0x000013b3 0x10001fb3 4   5    .text   ascii   D$d%
130  0x000013f0 0x10001ff0 4   5    .text   ascii   =oCL
131  0x0000140e 0x1000200e 5   7    .text   utf8    ĉD$,f blocks=Latin Extended-A,Basic Latin
132  0x00001415 0x10002015 4   5    .text   ascii   L$"f
133  0x00001422 0x10002022 5   6    .text   ascii   T$4-@
134  0x00001457 0x10002057 4   5    .text   ascii   =oCL
135  0x00001475 0x10002075 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
136  0x00001490 0x10002090 8   10   .text   utf8    D$!0\bD$k
137  0x000014cc 0x100020cc 5   6    .text   ascii   D$"f)
138  0x000014f3 0x100020f3 4   5    .text   ascii   =oCL
139  0x00001511 0x10002111 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
140  0x00001531 0x10002131 4   5    .text   ascii   \aJ^K
141  0x00001536 0x10002136 7   8    .text   ascii   D$8VRg\e
142  0x00001557 0x10002157 4   5    .text   ascii   t$t9
143  0x00001583 0x10002183 4   5    .text   ascii   =oCL
144  0x000015a1 0x100021a1 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
145  0x000015b0 0x100021b0 8   10   .text   utf8    T$,)ȉD$d blocks=Basic Latin,Latin Extended-B
146  0x000015de 0x100021de 4   5    .text   ascii   =oCL
