Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000001e0 0x000001e0 5   6            ascii   .text
2    0x00000207 0x00000207 6   7            ascii   `.data
3    0x00000230 0x00000230 5   6            ascii   .rsrc
4    0x00000660 0x00401260 14  15   .text   ascii   bad allocation
5    0x00000670 0x00401270 52  106  .text   utf16le Yamohinifo bowi nenukodabebive goyigavu sofusixuyogo
6    0x000006dc 0x004012dc 14  15   .text   ascii   Megotuzoteneri
7    0x000006ec 0x004012ec 8   9    .text   ascii   Kip sizu
8    0x000006f8 0x004012f8 18  38   .text   utf16le budesorozefabijicu
9    0x00000720 0x00401320 16  34   .text   utf16le kojizarowicamupu
10   0x00000744 0x00401344 46  47   .text   ascii   Tiholavogi babacose jeyevaxpewune romipereveju
11   0x00000778 0x00401378 35  72   .text   utf16le Cafefawotiweh rexic sulorabasekibak
12   0x000007c0 0x004013c0 10  22   .text   utf16le vanopihebi
13   0x000007d8 0x004013d8 12  13   .text   ascii   kernel32.dll
14   0x000007e8 0x004013e8 10  11   .text   ascii   LocalAlloc
15   0x000007f4 0x004013f4 14  15   .text   ascii   VirtualProtect
16   0x00000804 0x00401404 19  20   .text   ascii   Basiw cujadehocenis
17   0x00000818 0x00401418 7   8    .text   ascii   Yav fug
18   0x00000820 0x00401420 51  52   .text   ascii   Jab hilegogonanuvax kahudohozihuvuw nixovovivahapan
19   0x00000858 0x00401458 8   9    .text   ascii   %s %f %c
20   0x00000868 0x00401468 13  14   .text   ascii   EncodePointer
21   0x00000878 0x00401478 12  26   .text   utf16le KERNEL32.DLL
22   0x00000894 0x00401494 13  14   .text   ascii   DecodePointer
23   0x000008a4 0x004014a4 7   8    .text   ascii   FlsFree
24   0x000008ac 0x004014ac 11  12   .text   ascii   FlsSetValue
25   0x000008b8 0x004014b8 11  12   .text   ascii   FlsGetValue
26   0x000008c4 0x004014c4 8   9    .text   ascii   FlsAlloc
27   0x000008d0 0x004014d0 14  15   .text   ascii   CorExitProcess
28   0x000008e0 0x004014e0 11  24   .text   utf16le mscoree.dll
29   0x000008f8 0x004014f8 14  15   .text   ascii   runtime error 
30   0x0000090c 0x0040150c 13  14   .text   ascii   TLOSS error\r\n
31   0x0000091c 0x0040151c 12  13   .text   ascii   SING error\r\n
32   0x0000092c 0x0040152c 14  15   .text   ascii   DOMAIN error\r\n
33   0x00000940 0x00401540 154 155  .text   ascii   R6034\r\nAn application has made an attempt to load the C runtime library incorrectly.\nPlease contact the application's support team for more information.\r\n
34   0x000009e0 0x004015e0 246 247  .text   ascii   R6033\r\n- Attempt to use MSIL code from this assembly during native code initialization\nThis indicates a bug in your application. It is most likely the result of calling an MSIL-compiled (/clr) function from a native constructor or from DllMain.\r\n
35   0x00000ad8 0x004016d8 50  51   .text   ascii   R6032\r\n- not enough space for locale information\r\n
36   0x00000b10 0x00401710 98  99   .text   ascii   R6031\r\n- Attempt to initialize the CRT more than once.\nThis indicates a bug in your application.\r\n
37   0x00000b74 0x00401774 30  31   .text   ascii   R6030\r\n- CRT not initialized\r\n
38   0x00000b94 0x00401794 36  37   .text   ascii   R6028\r\n- unable to initialize heap\r\n
39   0x00000bbc 0x004017bc 52  53   .text   ascii   R6027\r\n- not enough space for lowio initialization\r\n
40   0x00000bf4 0x004017f4 52  53   .text   ascii   R6026\r\n- not enough space for stdio initialization\r\n
41   0x00000c2c 0x0040182c 37  38   .text   ascii   R6025\r\n- pure virtual function call\r\n
42   0x00000c54 0x00401854 52  53   .text   ascii   R6024\r\n- not enough space for _onexit/atexit table\r\n
43   0x00000c8c 0x0040188c 40  41   .text   ascii   R6019\r\n- unable to open console device\r\n
44   0x00000cb8 0x004018b8 32  33   .text   ascii   R6018\r\n- unexpected heap error\r\n
45   0x00000cdc 0x004018dc 44  45   .text   ascii   R6017\r\n- unexpected multithread lock error\r\n
46   0x00000d0c 0x0040190c 43  44   .text   ascii   R6016\r\n- not enough space for thread data\r\n
47   0x00000d38 0x00401938 149 150  .text   ascii   \r\nThis application has requested the Runtime to terminate it in an unusual way.\nPlease contact the application's support team for more information.\r\n
48   0x00000dd0 0x004019d0 43  44   .text   ascii   R6009\r\n- not enough space for environment\r\n
49   0x00000dfc 0x004019fc 41  42   .text   ascii   R6008\r\n- not enough space for arguments\r\n
50   0x00000e28 0x00401a28 44  45   .text   ascii   R6002\r\n- floating point support not loaded\r\n
51   0x00000e58 0x00401a58 36  37   .text   ascii   Microsoft Visual C++ Runtime Library
52   0x00000e88 0x00401a88 22  23   .text   ascii   <program name unknown>
53   0x00000ea0 0x00401aa0 25  26   .text   ascii   Runtime Error!\n\nProgram: 
54   0x00000f46 0x00401b46 7   8    .text   ascii   \a\b\t\n\v\f\r
55   0x00000f5f 0x00401b5f 95  96   .text   ascii    !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~
56   0x00000fc0 0x00401bc0 23  24   .text   ascii   GetProcessWindowStation
57   0x00000fd8 0x00401bd8 25  26   .text   ascii   GetUserObjectInformationA
58   0x00000ff4 0x00401bf4 18  19   .text   ascii   GetLastActivePopup
59   0x00001008 0x00401c08 15  16   .text   ascii   GetActiveWindow
60   0x00001018 0x00401c18 11  12   .text   ascii   MessageBoxA
61   0x00001024 0x00401c24 10  11   .text   ascii   USER32.DLL
62   0x00001138 0x00401d38 33  68   .text   utf16le          (((((                  H
63   0x0000133a 0x00401f3a 33  68   .text   utf16le          h((((                  H
64   0x00001438 0x00402038 34  70   .text   utf16le                                  H
65   0x000015c7 0x004021c7 7   8    .text   ascii   \a\b\t\n\v\f\r
66   0x000015e0 0x004021e0 95  96   .text   ascii    !"#$%&'()*+,-./0123456789:;<=>?@abcdefghijklmnopqrstuvwxyz[\]^_`abcdefghijklmnopqrstuvwxyz{|}~
67   0x00001747 0x00402347 7   8    .text   ascii   \a\b\t\n\v\f\r
68   0x00001760 0x00402360 95  96   .text   ascii    !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`ABCDEFGHIJKLMNOPQRSTUVWXYZ{|}~
69   0x00001840 0x00402440 8   9    .text   ascii   HH:mm:ss
70   0x0000184c 0x0040244c 19  20   .text   ascii   dddd, MMMM dd, yyyy
71   0x00001860 0x00402460 8   9    .text   ascii   MM/dd/yy
72   0x00001874 0x00402474 8   9    .text   ascii   December
73   0x00001880 0x00402480 8   9    .text   ascii   November
74   0x0000188c 0x0040248c 7   8    .text   ascii   October
75   0x00001894 0x00402494 9   10   .text   ascii   September
76   0x000018a0 0x004024a0 6   7    .text   ascii   August
77   0x000018a8 0x004024a8 4   5    .text   ascii   July
78   0x000018b0 0x004024b0 4   5    .text   ascii   June
79   0x000018b8 0x004024b8 5   6    .text   ascii   April
80   0x000018c0 0x004024c0 5   6    .text   ascii   March
81   0x000018c8 0x004024c8 8   9    .text   ascii   February
82   0x000018d4 0x004024d4 7   8    .text   ascii   January
83   0x0000190c 0x0040250c 8   9    .text   ascii   Saturday
84   0x00001918 0x00402518 6   7    .text   ascii   Friday
85   0x00001920 0x00402520 8   9    .text   ascii   Thursday
86   0x0000192c 0x0040252c 9   10   .text   ascii   Wednesday
87   0x00001938 0x00402538 7   8    .text   ascii   Tuesday
88   0x00001940 0x00402540 6   7    .text   ascii   Monday
89   0x00001948 0x00402548 6   7    .text   ascii   Sunday
90   0x00001970 0x00402570 21  22   .text   ascii   SunMonTueWedThuFriSat
91   0x00001988 0x00402588 36  37   .text   ascii   JanFebMarAprMayJunJulAugSepOctNovDec
92   0x000019b0 0x004025b0 7   8    .text   ascii   CONOUT$
93   0x00001a18 0x00402618 4   5    .text   ascii   RSDS
94   0x00001a30 0x00402630 29  30   .text   ascii   C:\tudenejuceru\vurerixaw.pdb
95   0x00001b28 0x00402728 9   11   .text   utf8    \!e UUߺV~ blocks=Basic Latin,NKo
96   0x00001b49 0x00402749 6   7    .text   ascii   Aa!b$&
97   0x00001b92 0x00402792 6   7    .text   ascii   x8!4fy
98   0x00001b9a 0x0040279a 4   5    .text   ascii   Rz\b&
99   0x00001bc1 0x004027c1 4   7    .text   utf8    (xܮѯ blocks=Basic Latin,Syriac,Cyrillic
100  0x00001bda 0x004027da 7   8    .text   ascii   vp2UHB}
101  0x00001c74 0x00402874 4   5    .text   ascii   VnGd
102  0x00001cc0 0x004028c0 4   5    .text   ascii   `U)E
103  0x00001cfc 0x004028fc 5   6    .text   ascii   hK0\n"
104  0x00001d12 0x00402912 4   5    .text   ascii   jt5C
105  0x00001d1e 0x0040291e 4   5    .text   ascii   %o<U
106  0x00001d92 0x00402992 7   8    .text   ascii   M4;`*QY
107  0x00001dba 0x004029ba 4   5    .text   ascii   (If8
108  0x00001dc6 0x004029c6 4   6    .text   utf8    N>Rۚ blocks=Basic Latin,Arabic
109  0x00001dee 0x004029ee 5   7    .text   utf8    N>8{Ȃ blocks=Basic Latin,Latin Extended-B
110  0x00001e20 0x00402a20 5   6    .text   ascii   XjJe=
111  0x00001e2e 0x00402a2e 4   6    .text   utf8    fȜdE blocks=Basic Latin,Latin Extended-B
112  0x00001e5e 0x00402a5e 6   8    .text   utf8    :݊7!u\b blocks=Basic Latin,Syriac
113  0x00001eba 0x00402aba 4   5    .text   ascii   jt5C
114  0x00001f03 0x00402b03 4   6    .text   utf8    ʄ2xI blocks=IPA Extensions,Basic Latin
115  0x00001f33 0x00402b33 4   6    .text   utf8    Laٍ\r blocks=Basic Latin,Arabic
116  0x00001f6e 0x00402b6e 4   5    .text   ascii   3w\b:
117  0x0000201e 0x00402c1e 4   6    .text   utf8    ћ]<1 blocks=Cyrillic,Basic Latin
118  0x00002024 0x00402c24 6   7    .text   ascii   :]A7h%
119  0x00002030 0x00402c30 5   6    .text   ascii   '<\aO|
120  0x00002053 0x00402c53 6   7    .text   ascii   *`&ZI\t
121  0x00002092 0x00402c92 4   5    .text   ascii   }IW|
122  0x000020aa 0x00402caa 4   5    .text   ascii   b9wS
123  0x000020c3 0x00402cc3 6   7    .text   ascii   *`&ZIM
124  0x00002153 0x00402d53 6   8    .text   utf8    ց~XvV_ blocks=Armenian,Basic Latin
125  0x000021c3 0x00402dc3 4   5    .text   ascii   g3h#
126  0x000021ce 0x00402dce 4   5    .text   ascii   9\e3P
127  0x000021ea 0x00402dea 5   6    .text   ascii   4wvVB
128  0x000021f0 0x00402df0 5   6    .text   ascii   D=`gV
129  0x0000225e 0x00402e5e 5   6    .text   ascii   H0!\bg
130  0x00002276 0x00402e76 5   6    .text   ascii   B;1W-
131  0x000022e5 0x00402ee5 7   8    .text   ascii   E!\vUKc*
132  0x0000230e 0x00402f0e 8   11   .text   utf8    ρxՖt[X@H blocks=Greek and Coptic,Basic Latin,Armenian
133  0x00002326 0x00402f26 4   5    .text   ascii   wu"-
134  0x0000236f 0x00402f6f 5   6    .text   ascii   ecp<L
135  0x00002377 0x00402f77 4   5    .text   ascii   M0E;
136  0x000023b8 0x00402fb8 4   5    .text   ascii   o6jr
137  0x000023c7 0x00402fc7 4   5    .text   ascii   rLvh
138  0x000023ea 0x00402fea 5   8    .text   utf8    ?8Pǯޣ blocks=Basic Latin,Latin Extended-B,Thaana
139  0x00002427 0x00403027 5   6    .text   ascii   f2~e<
140  0x00002448 0x00403048 5   6    .text   ascii   S(gp*
141  0x00002499 0x00403099 4   5    .text   ascii   %/.+
142  0x000024ed 0x004030ed 5   7    .text   utf8    \eNfiҐ blocks=Basic Latin,Cyrillic
143  0x000024f4 0x004030f4 4   5    .text   ascii   ;G)\r
144  0x000024fc 0x004030fc 4   5    .text   ascii   NR#a
145  0x00002579 0x00403179 5   7    .text   utf8    NYPŭS blocks=Basic Latin,Latin Extended-A
146  0x0000259b 0x0040319b 5   6    .text   ascii   m^r?6
147  0x000025a5 0x004031a5 8   10   .text   utf8    ;ZWՓ!!)R blocks=Basic Latin,Armenian
