[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000088 0x00000088 4   5            ascii   FJ'U
2    0x00000178 0x00000178 5   6            ascii   .text
3    0x0000019f 0x0000019f 7   8            ascii   `.rdata
4    0x000001c7 0x000001c7 6   7            ascii   @.data
5    0x00000783 0x00401583 4   5    .text   ascii   Pj\bh
6    0x000007d3 0x004015d3 4   5    .text   ascii   E\f\bj
7    0x00000963 0x00401763 4   6    .text   utf8    S+ۍE blocks=Basic Latin,Arabic
8    0x00000ab3 0x004018b3 4   6    .text   utf8    +\v}\f
9    0x00000acd 0x004018cd 4   5    .text   ascii   VWSh
10   0x00000ade 0x004018de 6   8    .text   utf8    }\bGG+ҹ blocks=Basic Latin,Cyrillic
11   0x00000af1 0x004018f1 4   5    .text   ascii   }\bGG
12   0x00000b1e 0x0040191e 4   5    .text   ascii   :A;M
13   0x00000bb8 0x004019b8 4   6    .text   utf8    S+ۍE blocks=Basic Latin,Arabic
14   0x00000d51 0x00401b51 4   6    .text   utf8    S+ۍE blocks=Basic Latin,Arabic
15   0x00000f65 0x00401d65 4   5    .text   ascii   \b2\a%
16   0x0000104e 0x00401e4e 4   5    .text   ascii   =B\eA
17   0x00001096 0x00401e96 4   5    .text   ascii   B\bPh
18   0x000010f3 0x00401ef3 5   8    .text   utf8    Ct\vS輹 blocks=Basic Latin,CJK Unified Ideographs
19   0x00001155 0x00401f55 4   5    .text   ascii   t*PP
20   0x000011ad 0x00401fad 4   5    .text   ascii   @t\j
21   0x000012cf 0x004020cf 4   9    .text   utf16le jjjj
22   0x00001396 0x00402196 4   5    .text   ascii   v;PP
23   0x000015d3 0x004023d3 4   5    .text   ascii   ?"u\b
24   0x0000166f 0x0040246f 5   6    .text   ascii   u\a_[^
25   0x0000169c 0x0040249c 5   6    .text   ascii   u\a_[^
26   0x000016c7 0x004024c7 4   5    .text   ascii   h\b\eA
27   0x000016e5 0x004024e5 4   5    .text   ascii   hB\eA
28   0x000016ea 0x004024ea 4   5    .text   ascii   h$\eA
29   0x00001721 0x00402521 4   5    .text   ascii   h \eA
30   0x00001753 0x00402553 4   5    .text   ascii   8/u\a
31   0x000017ba 0x004025ba 4   7    .text   utf8    3Ґ3ې blocks=Basic Latin,Cyrillic,Arabic
32   0x000017df 0x004025df 4   5    .text   ascii   |\n<9
33   0x000017ee 0x004025ee 4   5    .text   ascii   |\v<Z
34   0x000017fe 0x004025fe 4   5    .text   ascii   |\n<z
35   0x0000185c 0x0040265c 4   6    .text   utf8    Ð^_[ blocks=Latin-1 Supplement,Basic Latin
36   0x0000186e 0x0040266e 4   6    .text   utf8    S+ۍE blocks=Basic Latin,Arabic
37   0x00001ab0 0x004028b0 6   8    .text   utf8    ?\ttۋ}\b blocks=Basic Latin,Arabic
38   0x00001b3f 0x0040293f 4   5    .text   ascii   Pj R
39   0x00001bdc 0x004029dc 4   9    .text   utf16le jjjj
40   0x00001c7a 0x00402a7a 4   5    .text   ascii   E\f@P
41   0x00001d06 0x00402b06 7   8    .text   ascii   <0r\b<9w
42   0x00001d11 0x00402b11 8   9    .text   ascii   %<Ar\n<Fw
43   0x00001d20 0x00402b20 7   8    .text   ascii   <ar\n<fw
44   0x00001d3a 0x00402b3a 4   6    .text   utf8    \nĪKK blocks=Basic Latin,Latin Extended-A
45   0x00001db4 0x00402bb4 4   5    .text   ascii   Rj\bP
46   0x00001f60 0x00402d60 4   6    .text   utf8    t9Cǅ blocks=Basic Latin,Latin Extended-B
47   0x00001fe2 0x00402de2 6   7    .text   ascii   PSQRWV
48   0x0000203d 0x00402e3d 5   6    .text   ascii   F\fvT2
49   0x0000205d 0x00402e5d 6   7    .text   ascii   ^_ZY[X
50   0x0000206d 0x00402e6d 6   7    .text   ascii   VWPSQR
51   0x00002232 0x00403032 4   5    .text   ascii   QZ^&
52   0x000024c4 0x004032c4 4   5    .text   ascii   \aD")
53   0x00002670 0x00403470 6   7    .text   ascii   ZY[X_^
54   0x000026e3 0x004034e3 4   6    .text   utf8    @sދ] blocks=Basic Latin,Thaana
55   0x00002760 0x00403560 4   5    .text   ascii   \rxQA
56   0x0000276a 0x0040356a 4   6    .text   utf8    ɣpQA blocks=IPA Extensions,Basic Latin
57   0x00002777 0x00403577 4   5    .text   ascii   \rxQA
58   0x0000278a 0x0040358a 4   6    .text   utf8    ʣ|QA blocks=IPA Extensions,Basic Latin
59   0x0000279b 0x0040359b 4   5    .text   ascii   hpQA
60   0x00002810 0x00403610 4   5    .text   ascii   5tQA
61   0x00002816 0x00403616 4   5    .text   ascii   =xQA
62   0x0000281c 0x0040361c 4   5    .text   ascii   5|QA
63   0x00002911 0x00403711 4   5    .text   ascii   5tQA
64   0x00002917 0x00403717 4   5    .text   ascii   =xQA
65   0x00002a75 0x00403875 4   5    .text   ascii   tTjZ
66   0x00002aea 0x004038ea 4   5    .text   ascii   tgjZ
67   0x00002b8e 0x0040398e 6   7    .text   ascii   \r\n\r\nt\n
68   0x00002c6e 0x00403a6e 4   5    .text   ascii   \r_[h
69   0x00002f15 0x00403d15 5   7    .text   utf8    S+ۃ}\f blocks=Basic Latin,Arabic
70   0x000031b3 0x00403fb3 4   5    .text   ascii   B,Ph
71   0x000031d0 0x00403fd0 4   5    .text   ascii   B,Ph
72   0x00003212 0x00404012 4   5    .text   ascii   R,RP
73   0x00003256 0x00404056 4   5    .text   ascii   t=h\n
74   0x00003331 0x00404131 4   5    .text   ascii   u\fj#
75   0x0000335a 0x0040415a 7   9    .text   utf8    SVW+ۋE\f blocks=Basic Latin,Arabic
76   0x00003375 0x00404175 4   5    .text   ascii   =\b\eA
77   0x000033e8 0x004041e8 5   6    .text   ascii   SVWh\a
78   0x00003490 0x00404290 6   14   .text   utf16le jjjjjj
79   0x000037f9 0x004045f9 4   5    .text   ascii   h! A
80   0x000038c4 0x004046c4 4   9    .text   utf16le jjjj
81   0x00003915 0x00404715 4   5    .text   ascii   h\n A
82   0x00003b27 0x00404927 4   5    .text   ascii   B,Ph
83   0x00003b44 0x00404944 4   5    .text   ascii   B,Ph
84   0x00003b6e 0x0040496e 4   5    .text   ascii   R,RP
85   0x00003b94 0x00404994 4   5    .text   ascii   hQ A
86   0x00003ba6 0x004049a6 4   5    .text   ascii   tFh\n
87   0x00003bc7 0x004049c7 6   7    .text   ascii   t\rh0 A
88   0x00003caa 0x00404aaa 4   5    .text   ascii   hH A
89   0x00003cd8 0x00404ad8 4   5    .text   ascii   h] A
90   0x00003cdd 0x00404add 4   5    .text   ascii   hV A
91   0x00003d13 0x00404b13 4   5    .text   ascii   ha A
92   0x00003d18 0x00404b18 4   5    .text   ascii   hV A
93   0x00003d4d 0x00404b4d 4   5    .text   ascii   h7 A
94   0x00003d69 0x00404b69 4   5    .text   ascii   h& A
95   0x00003d78 0x00404b78 4   5    .text   ascii   h& A
96   0x00003d87 0x00404b87 4   5    .text   ascii   h& A
97   0x00003dcc 0x00404bcc 5   6    .text   ascii   Php A
98   0x00003e9c 0x00404c9c 4   5    .text   ascii   B,Ph
99   0x00003eb6 0x00404cb6 4   5    .text   ascii   B,Ph
100  0x00004005 0x00404e05 6   7    .text   ascii   t;hh A
101  0x0000406a 0x00404e6a 4   5    .text   ascii   hz A
102  0x00004091 0x00404e91 4   5    .text   ascii   h\f!A
103  0x0000409e 0x00404e9e 4   5    .text   ascii   hB!A
104  0x000040ab 0x00404eab 4   5    .text   ascii   hp!A
105  0x00004108 0x00404f08 4   5    .text   ascii   hh"A
106  0x00004123 0x00404f23 4   5    .text   ascii   hs"A
107  0x0000413e 0x00404f3e 4   5    .text   ascii   h~"A
108  0x000041ca 0x00404fca 4   5    .text   ascii   hh"A
109  0x000041df 0x00404fdf 4   5    .text   ascii   hs"A
110  0x000041f4 0x00404ff4 4   5    .text   ascii   h~"A
111  0x00004225 0x00405025 4   5    .text   ascii   h9"A
112  0x0000423d 0x0040503d 4   5    .text   ascii   hK"A
113  0x00004255 0x00405055 4   5    .text   ascii   hP"A
114  0x0000426d 0x0040506d 4   5    .text   ascii   h]"A
115  0x00004285 0x00405085 4   5    .text   ascii   h9"A
116  0x0000428a 0x0040508a 4   5    .text   ascii   h%"A
117  0x0000429d 0x0040509d 4   5    .text   ascii   hK"A
118  0x000042a2 0x004050a2 4   5    .text   ascii   h%"A
119  0x000042b5 0x004050b5 4   5    .text   ascii   hP"A
120  0x000042ba 0x004050ba 4   5    .text   ascii   h%"A
121  0x000042cd 0x004050cd 4   5    .text   ascii   h]"A
122  0x000042d2 0x004050d2 4   5    .text   ascii   h%"A
123  0x000042e5 0x004050e5 4   5    .text   ascii   h9"A
124  0x000042fc 0x004050fc 4   5    .text   ascii   hK"A
125  0x00004313 0x00405113 4   5    .text   ascii   hP"A
126  0x0000432a 0x0040512a 4   5    .text   ascii   h]"A
127  0x00004341 0x00405141 4   5    .text   ascii   h9"A
128  0x00004346 0x00405146 4   5    .text   ascii   h%"A
129  0x00004358 0x00405158 4   5    .text   ascii   hK"A
130  0x0000435d 0x0040515d 4   5    .text   ascii   h%"A
131  0x0000436f 0x0040516f 4   5    .text   ascii   hP"A
132  0x00004374 0x00405174 4   5    .text   ascii   h%"A
133  0x00004386 0x00405186 4   5    .text   ascii   h]"A
134  0x0000438b 0x0040518b 4   5    .text   ascii   h%"A
135  0x000045d5 0x004053d5 4   5    .text   ascii   h9#A
136  0x000045da 0x004053da 4   5    .text   ascii   h.#A
137  0x000045df 0x004053df 4   5    .text   ascii   h)#A
138  0x000045ee 0x004053ee 4   5    .text   ascii   h$#A
139  0x00004603 0x00405403 4   5    .text   ascii   hz#A
140  0x00004608 0x00405408 4   5    .text   ascii   hu#A
141  0x0000460d 0x0040540d 4   5    .text   ascii   hi#A
142  0x00004612 0x00405412 4   5    .text   ascii   hQ#A
143  0x00004617 0x00405417 4   5    .text   ascii   hE#A
144  0x0000461c 0x0040541c 4   5    .text   ascii   h]#A
145  0x0000467e 0x0040547e 4   9    .text   utf16le jjjj
146  0x00004826 0x00405626 4   5    .text   ascii   h\a$A
147  0x00004854 0x00405654 4   5    .text   ascii   h\a$A
148  0x00004897 0x00405697 4   5    .text   ascii   h)$A
149  0x000048ac 0x004056ac 4   5    .text   ascii   h.$A
150  0x00004909 0x00405709 4   5    .text   ascii   h3$A
151  0x00004938 0x00405738 4   5    .text   ascii   hX$A
152  0x00004a18 0x00405818 6   7    .text   ascii   tNh0%A
153  0x00004a25 0x00405825 4   5    .text   ascii   PPPh
154  0x00004a2d 0x0040582d 4   5    .text   ascii   h+%A
155  0x00004a41 0x00405841 4   5    .text   ascii   h:%A
156  0x00004a55 0x00405855 4   5    .text   ascii   hH%A
157  0x00004ab8 0x004058b8 4   5    .text   ascii   hs%A
158  0x00004ae8 0x004058e8 4   5    .text   ascii   hs%A
159  0x00004b14 0x00405914 6   7    .text   ascii   u\fhi%A
160  0x00004b41 0x00405941 4   5    .text   ascii   hT%A
161  0x00004b53 0x00405953 4   5    .text   ascii   h_%A
162  0x00004ba0 0x004059a0 4   9    .text   utf16le jjjj
163  0x00004e38 0x00405c38 4   9    .text   utf16le jjjj
164  0x00004e89 0x00405c89 4   5    .text   ascii   h!&A
165  0x00004ea7 0x00405ca7 4   5    .text   ascii   h\n&A
