ii 1168 64
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000000d 42  43   seg_001 ascii   !This program cannot be run in DOS mode.\n$
1    0x00000176 0x00000136 5   6    seg_001 ascii   .text
2    0x0000019d 0x0000015d 6   7    seg_001 ascii   `.rsrc
3    0x000001c5 0x00000185 7   8    seg_001 ascii   @.reloc
4    0x00000414 0x000003d4 4   5    seg_001 ascii   \a\bo$
5    0x0000058e 0x0000054e 4   5            ascii   \a\bo)
6    0x0000067e 0x0000063e 6   7            ascii   \n\n+ms\t
7    0x00000687 0x00000647 4   5            ascii   \f\b\ao
8    0x00000699 0x00000659 5   6            ascii   \n-\r\bo
9    0x000006a6 0x00000666 5   6            ascii   \n,F\bo
10   0x000006c0 0x00000680 6   7            ascii   \n\r+\f\bo
11   0x000006f4 0x000006b4 4   5            ascii   \n%\v-
12   0x00000778 0x00000738 4   5            ascii   \n*\e0
13   0x000008de 0x0000089e 4   5            ascii   \n\ns?
14   0x0000091a 0x000008da 4   5            ascii   \f\b\r\t
15   0x000009cd 0x0000098d 5   6            ascii   \n\v\aoD
16   0x000009d4 0x00000994 5   6            ascii   \n\f\boE
17   0x00000a71 0x00000a31 5   6            ascii   \n\v\aoD
18   0x00000a78 0x00000a38 5   6            ascii   \n\f\boE
19   0x00000b0c 0x00000acc 4   5            ascii   \n,`r
20   0x00000b29 0x00000ae9 4   5            ascii   \n,Cr
21   0x00000c82 0x00000c42 4   5            ascii   \n*.~
22   0x00000d4b 0x00000d0b 6   7            ascii   @w;AoO
23   0x00000e70 0x00000e30 4   5            ascii   &*\e0
24   0x00000e8c 0x00000e4c 4   5            ascii   \n\n~1
25   0x00000e94 0x00000e54 4   5            ascii   -\arK
26   0x00000eb8 0x00000e78 4   5            ascii   \n\v\ar
27   0x00000fcf 0x00000f8f 4   5            ascii   X\f\b\a
28   0x000010af 0x0000106f 5   6            ascii   \n&*~0
29   0x000011b9 0x00001179 4   5            ascii   +>~0
30   0x000011d7 0x00001197 4   5            ascii   \bl(l
31   0x000015c4 0x00001584 6   7            ascii   Y@Zi(=
32   0x00002639 0x000025f9 4   5            ascii   \n&~2
33   0x00002646 0x00002606 4   5            ascii   1\vs&
34   0x00002651 0x00002611 4   5            ascii   \n*(V
35   0x000026ab 0x0000266b 5   6            ascii   \n,W~1
36   0x00002716 0x000026d6 64  129          utf16le ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789-_
37   0x000027c7 0x00002787 5   6            ascii   \n\r\t\bo
38   0x0000280e 0x000027ce 4   5            ascii   prg\f
39   0x0000285a 0x0000281a 4   5            ascii   \nrs\f
40   0x00002991 0x00002951 5   6            ascii   \n,\a\b(
41   0x00002999 0x00002959 4   5            ascii   \n\v\a*
42   0x00002bad 0x00002b6d 7   8            ascii   \n\r\t,>\to
43   0x00002c82 0x00002c42 5   6            ascii   \n\f\br\r
44   0x00002c94 0x00002c54 4   5            ascii   \n\r\to
45   0x00002cdc 0x00002c9c 4   5            ascii   \n,\v\a
46   0x00002d23 0x00002ce3 4   5            ascii   \n\f\br
47   0x00002daa 0x00002d6a 4   5            ascii   \n\br1
48   0x00002db5 0x00002d75 4   5            ascii   \n\b\to
49   0x00002f8e 0x00002f4e 4   5            ascii   12~1
50   0x00002f9f 0x00002f5f 4   5            ascii   -\e~1
51   0x00002fef 0x00002faf 4   5            ascii   \n\v+%
52   0x00003070 0x00003030 4   5            ascii   \n\v+]
53   0x000031a1 0x00003161 4   5            ascii   \v\aoH
54   0x00003279 0x00003239 5   6            ascii   \n\f\bo-
55   0x00003290 0x00003250 4   5            ascii   \r\t\ao
56   0x000033ff 0x000033bf 5   6            ascii   \n\v\ar7
57   0x0000340b 0x000033cb 4   5            ascii   \n\arA
58   0x00003416 0x000033d6 4   5            ascii   \n\arK
59   0x00003421 0x000033e1 4   5            ascii   \n\arU
60   0x0000342c 0x000033ec 4   5            ascii   \n\ar_
61   0x00003437 0x000033f7 4   5            ascii   \n\ari
62   0x00003442 0x00003402 4   5            ascii   \n\ars
63   0x0000344d 0x0000340d 4   5            ascii   \n\ar}
64   0x000034e7 0x000034a7 4   5            ascii   \n\ar\e
65   0x000034f2 0x000034b2 4   5            ascii   \n\ar%
66   0x000034fd 0x000034bd 4   5            ascii   \n\ar/
67   0x00003508 0x000034c8 4   5            ascii   \n\ar9
68   0x00003513 0x000034d3 4   5            ascii   \n\arC
69   0x0000351e 0x000034de 4   5            ascii   \n\arM
70   0x00003529 0x000034e9 4   5            ascii   \n\arW
71   0x00003534 0x000034f4 4   5            ascii   \n\ara
72   0x0000353f 0x000034ff 4   5            ascii   \n\ark
73   0x0000354a 0x0000350a 4   5            ascii   \n\aru
74   0x000035ef 0x000035af 4   5            ascii   \n\ar\v
75   0x00003610 0x000035d0 4   5            ascii   \n\ar)
76   0x0000361b 0x000035db 4   5            ascii   \n\ar3
77   0x00003626 0x000035e6 4   5            ascii   \n\ar=
78   0x00003631 0x000035f1 4   5            ascii   \n\arG
79   0x0000363c 0x000035fc 4   5            ascii   \n\arQ
80   0x00003647 0x00003607 4   5            ascii   \n\ar[
81   0x00003652 0x00003612 4   5            ascii   \n\are
82   0x0000365d 0x0000361d 4   5            ascii   \n\aro
83   0x00003668 0x00003628 4   5            ascii   \n\ary
84   0x00003723 0x000036e3 4   5            ascii   \n\ar%
85   0x0000372e 0x000036ee 4   5            ascii   \n\ar1
86   0x00003739 0x000036f9 4   5            ascii   \n\ar;
87   0x00003744 0x00003704 4   5            ascii   \n\arE
88   0x0000374f 0x0000370f 4   5            ascii   \n\arQ
89   0x0000375a 0x0000371a 4   5            ascii   \n\a};
90   0x00003788 0x00003748 5   6            ascii   \n, r[
91   0x00003818 0x000037d8 4   5            ascii   *Vsu
92   0x0000384e 0x0000380e 145 146          ascii   lSystem.Resources.ResourceReader, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089#System.Resources.RuntimeResourceSet
93   0x000038eb 0x000038ab 7   8            ascii   PADPADP
94   0x00003906 0x000038c6 145 146          ascii   lSystem.Resources.ResourceReader, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089#System.Resources.RuntimeResourceSet
95   0x000039a3 0x00003963 216 220          utf8    hSystem.Drawing.Bitmap, System.Drawing, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3afSystem.Drawing.Icon, System.Drawing, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3aPADPADPZ
96   0x00003a8f 0x00003a4f 6   14           utf16le shield
97   0x00003aa0 0x00003a60 7   15           utf16le shield1
98   0x00003ac9 0x00003a89 82  83           ascii   QSystem.Drawing, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
99   0x00003b21 0x00003ae1 21  22           ascii   System.Drawing.Bitmap
100  0x00003b3b 0x00003afb 5   6            ascii   Data\a
