[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000e0 0x000000e0 4   5            ascii   Rich
2    0x00000100 0x00000100 4   5            ascii   woHY
3    0x000001f0 0x000001f0 4   5            ascii   UPX0
4    0x00000218 0x00000218 4   5            ascii   UPX1
5    0x00000240 0x00000240 5   6            ascii   .rsrc
6    0x000003db 0x000003db 4   5            ascii   3.91
7    0x000003e0 0x000003e0 9   10           ascii   UPX!\r\t\b\b@
8    0x00000437 0x00444037 4   5    UPX1    ascii   +i>\b
9    0x00000447 0x00444047 4   5    UPX1    ascii   P\fvo
10   0x00000467 0x00444067 7   8    UPX1    ascii   ;HZ\rE\fu
11   0x000004d3 0x004440d3 5   6    UPX1    ascii   0`\fVM
12   0x00000550 0x00444150 8   9    UPX1    ascii   SVWhN,y`
13   0x00000571 0x00444171 4   5    UPX1    ascii   h(8:
14   0x00000576 0x00444176 4   6    UPX1    utf8    (SPǅ blocks=Basic Latin,Latin Extended-B
15   0x00000591 0x00444191 4   5    UPX1    ascii   v_Pf
16   0x00000598 0x00444198 4   5    UPX1    ascii   $ASj
17   0x000005ab 0x004441ab 4   5    UPX1    ascii   V_^[
18   0x000005be 0x004441be 4   5    UPX1    ascii   :Pj 
19   0x00000651 0x00444251 4   5    UPX1    ascii   VRVh
20   0x000006d4 0x004442d4 4   5    UPX1    ascii   g|j8
21   0x000006ed 0x004442ed 5   8    UPX1    utf8    =R\fI blocks=Private Use Area,Basic Latin
22   0x000006f9 0x004442f9 4   5    UPX1    ascii   =^d8
23   0x00000735 0x00444335 5   6    UPX1    ascii   .tN#R
24   0x00000747 0x00444347 4   5    UPX1    ascii   1%bP
25   0x00000758 0x00444358 5   6    UPX1    ascii   F4L05
26   0x00000769 0x00444369 4   5    UPX1    ascii   l^[}
27   0x00000790 0x00444390 5   6    UPX1    ascii   cPG<\b
28   0x000007fe 0x004443fe 6   7    UPX1    ascii   lWin f
29   0x0000080a 0x0044440a 4   5    UPX1    ascii   NT$@
30   0x00000817 0x00444417 6   7    UPX1    ascii   LdhXP0
31   0x0000081f 0x0044441f 5   6    UPX1    ascii   6r43&
32   0x00000836 0x00444436 8   9    UPX1    ascii   i#8&$(12
33   0x0000086f 0x0044446f 6   8    UPX1    utf8    #.1Lt͟ blocks=Basic Latin,Combining Diacritical Marks
34   0x00000878 0x00444478 9   10   UPX1    ascii   x108|unko
35   0x00000885 0x00444485 5   6    UPX1    ascii   ?nw O
36   0x000008f7 0x004444f7 5   7    UPX1    utf8    }ʪ\b # blocks=Basic Latin,IPA Extensions
37   0x0000092e 0x0044452e 4   5    UPX1    ascii   A;Cr
38   0x00000967 0x00444567 4   5    UPX1    ascii   tx~~
39   0x000009a8 0x004445a8 4   5    UPX1    ascii   !^mw
40   0x000009e3 0x004445e3 6   7    UPX1    ascii   0+t\t\b/
41   0x00000a91 0x00444691 5   8    UPX1    utf8    A䧤:== blocks=Basic Latin,CJK Unified Ideographs Extension A
42   0x00000af0 0x004446f0 4   9    UPX1    utf8    䑅쉥]\v blocks=CJK Unified Ideographs Extension A,Hangul Syllables,Basic Latin
43   0x00000b65 0x00444765 8   12   UPX1    utf8    ѦSς̭\t#4\a blocks=Cyrillic,Basic Latin,Greek and Coptic,Combining Diacritical Marks
44   0x00000b81 0x00444781 5   6    UPX1    ascii   eltas
45   0x00000b8a 0x0044478a 5   6    UPX1    ascii   ktikf
46   0x00000b9e 0x0044479e 5   6    UPX1    ascii   P<B\b.
47   0x00000bba 0x004447ba 6   7    UPX1    ascii   OBd$?b
48   0x00000bca 0x004447ca 4   5    UPX1    ascii   4\atl
49   0x00000bde 0x004447de 5   6    UPX1    ascii   P3V1R
50   0x00000c27 0x00444827 4   5    UPX1    ascii   m;U]
51   0x00000ca1 0x004448a1 6   7    UPX1    ascii   $0$SNW
52   0x00000cb9 0x004448b9 4   5    UPX1    ascii   t$DW
53   0x00000cca 0x004448ca 4   5    UPX1    ascii   LlQ?
54   0x00000cee 0x004448ee 4   5    UPX1    ascii   $p@C
55   0x00000d0d 0x0044490d 4   5    UPX1    ascii   $l,S
56   0x00000d41 0x00444941 4   5    UPX1    ascii   )n<Q
57   0x00000d4d 0x0044494d 4   5    UPX1    ascii   QahQ
58   0x00000d58 0x00444958 5   7    UPX1    utf8    `JAzҏ blocks=Basic Latin,Cyrillic
59   0x00000d62 0x00444962 4   5    UPX1    ascii   V?j\n
60   0x00000d78 0x00444978 5   6    UPX1    ascii   -X@V&
