Metadata Signature: 0x1d50 0x10001424a5342 12
.NET Version: v4.0.30319
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: ac4
Stream name: #~ 4
DirectoryAddress: b30 Size: e5c
Stream name: #Strings 12
DirectoryAddress: 198c Size: 1408
Stream name: #US 4
DirectoryAddress: 2d94 Size: 10
Stream name: #GUID 8
DirectoryAddress: 2da4 Size: 35c
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1   0x00000178 0x00000178 5   6            ascii   .text
2   0x0000019f 0x0000019f 6   7            ascii   `.rsrc
3   0x000001c7 0x000001c7 7   8            ascii   @.reloc
4   0x00000282 0x00402082 4   5    .text   ascii   ,\f~\t
5   0x00000295 0x00402095 4   5    .text   ascii   ,\n~\t
6   0x000002e2 0x004020e2 4   5    .text   ascii   ,\n~\a
7   0x00000323 0x00402123 5   6    .text   ascii   \n*.s$
8   0x00000433 0x00402233 4   5    .text   ascii   \v+,r
9   0x0000048a 0x0040228a 5   6    .text   ascii   \n,As\e
10  0x00000494 0x00402294 4   5    .text   ascii   \v+,r
11  0x000005a1 0x004023a1 4   5    .text   ascii   \n\r~\e
12  0x000005eb 0x004023eb 5   6    .text   ascii   \n  N 
13  0x00000616 0x00402416 5   6    .text   ascii   \vj1Ys
14  0x00000670 0x00402470 5   6    .text   ascii   \n+I(!
15  0x000007ba 0x004025ba 4   5    .text   ascii   \n\v+!
16  0x000007f6 0x004025f6 4   5    .text   ascii   \a\b\e0
17  0x00000816 0x00402616 4   5    .text   ascii   \n\vs9
18  0x0000081c 0x0040261c 4   5    .text   ascii   \n\fs:
19  0x00000822 0x00402622 4   5    .text   ascii   \n\r\t 
20  0x00000878 0x00402678 5   6    .text   ascii   \n\b\toD
21  0x00000913 0x00402713 4   5    .text   ascii   \n\ao"
22  0x00000928 0x00402728 4   5    .text   ascii   p\a(\f
23  0x00000938 0x00402738 4   5    .text   ascii   p\t(#
24  0x0000099a 0x0040279a 5   6    .text   ascii   \n\f\b(#
25  0x00000b3f 0x0040293f 4   5    .text   ascii   \r\a(\v
26  0x00000c12 0x00402a12 4   5    .text   ascii   p\a(1
27  0x00000c3b 0x00402a3b 4   5    .text   ascii   \n-\r\b
28  0x00000c51 0x00402a51 4   5    .text   ascii   \n-9\a
29  0x00000cb5 0x00402ab5 4   5    .text   ascii   \a\toW
30  0x00000d1a 0x00402b1a 4   5    .text   ascii   p\a(1
31  0x00000d63 0x00402b63 4   5    .text   ascii   \t\toW
32  0x00000d84 0x00402b84 4   5    .text   ascii   \n-\n\b
33  0x00000d97 0x00402b97 4   5    .text   ascii   \n-0\a
34  0x00000e5f 0x00402c5f 4   5    .text   ascii   p\arR
35  0x00000e7a 0x00402c7a 5   6    .text   ascii   \n\r\br\
36  0x00000e8c 0x00402c8c 4   5    .text   ascii   p\t(S
37  0x00000f93 0x00402d93 5   6    .text   ascii   \f+M\a\b
38  0x00000fbc 0x00402dbc 4   5    .text   ascii   \n- (
39  0x00000fe1 0x00402de1 4   5    .text   ascii   X\f\b\a
40  0x0000100c 0x00402e0c 4   5    .text   ascii   \n\nsi
41  0x00001012 0x00402e12 5   6    .text   ascii   \n\v\arD
42  0x0000101e 0x00402e1e 4   5    .text   ascii   \n\arT
43  0x0000104a 0x00402e4a 5   6    .text   ascii   \n*.r\
44  0x00001086 0x00402e86 5   6    .text   ascii   \n,3(m
45  0x00001271 0x00403071 4   5    .text   ascii   \vr\r\v
46  0x0000135b 0x0040315b 4   5    .text   ascii   %r\r\f
47  0x0000136d 0x0040316d 4   5    .text   ascii   'r!\f
48  0x00001376 0x00403176 4   5    .text   ascii   (r+\f
49  0x0000137f 0x0040317f 4   5    .text   ascii   )r5\f
50  0x00001388 0x00403188 4   5    .text   ascii   *r?\f
51  0x00001391 0x00403191 4   5    .text   ascii   +rI\f
52  0x0000139a 0x0040319a 4   5    .text   ascii   ,rS\f
53  0x000013a3 0x004031a3 4   5    .text   ascii   -r]\f
54  0x000013ac 0x004031ac 4   5    .text   ascii   .rg\f
55  0x000013b5 0x004031b5 4   5    .text   ascii   /rq\f
56  0x000013be 0x004031be 4   5    .text   ascii   0r{\f
57  0x00001445 0x00403245 4   5    .text   ascii   ?r!\r
58  0x0000144e 0x0040324e 4   5    .text   ascii   @r+\r
59  0x00001457 0x00403257 4   5    .text   ascii   Ar7\r
60  0x00001460 0x00403260 4   5    .text   ascii   BrA\r
61  0x00001469 0x00403269 4   5    .text   ascii   CrK\r
62  0x00001472 0x00403272 4   5    .text   ascii   DrU\r
63  0x0000147b 0x0040327b 4   5    .text   ascii   Er]\r
64  0x00001484 0x00403284 4   5    .text   ascii   Frg\r
65  0x0000148d 0x0040328d 4   5    .text   ascii   Grq\r
66  0x00001496 0x00403296 4   5    .text   ascii   Hr{\r
67  0x00001bf6 0x004039f6 4   5    .text   ascii   ,g~ 
68  0x00001c06 0x00403a06 4   5    .text   ascii   \n-V~
69  0x00001c31 0x00403a31 4   5    .text   ascii   ,,~ 
70  0x00001c41 0x00403a41 4   5    .text   ascii   \n-\e~
71  0x00001c57 0x00403a57 5   6    .text   ascii   \n\v\a()
72  0x00001ce5 0x00403ae5 4   5    .text   ascii   \n\a{#
73  0x00001d41 0x00403b41 5   6    .text   ascii   \n*.((
74  0x00001d50 0x00403b50 4   5    .text   ascii   BSJB
75  0x00001d60 0x00403b60 10  11   .text   ascii   v4.0.30319
76  0x00001d84 0x00403b84 8   9    .text   ascii   #Strings
77  0x00001da4 0x00403ba4 5   6    .text   ascii   #GUID
78  0x00001db4 0x00403bb4 5   6    .text   ascii   #Blob
79  0x00001dd8 0x00403bd8 4   20   .text   utf32le A\t$0
80  0x00001eb0 0x00403cb0 4   5    .text   ascii   9\a&\a
81  0x00001eb6 0x00403cb6 4   5    .text   ascii   `\a&\a
82  0x00001f1c 0x00403d1c 4   5    .text   ascii   %\n\b\n
