[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000000 0x00000000 4   5            ascii   MZER
1    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
2    0x000000a7 0x000000a7 6   7            ascii   uRichY
3    0x000001b0 0x000001b0 5   6            ascii   .text
49   0x00001c1f 0x00401c1f 6   8    .text   utf8    G==zǅ  blocks=Basic Latin,Latin Extended-B
50   0x00001c79 0x00401c79 6   8    .text   utf8    f""DǅD blocks=Basic Latin,Latin Extended-B
51   0x00001c83 0x00401c83 6   8    .text   utf8    ~**TǅH blocks=Basic Latin,Latin Extended-B
52   0x00001cfb 0x00401cfb 6   8    .text   utf8    V22dǅx blocks=Basic Latin,Latin Extended-B
53   0x00001d05 0x00401d05 6   8    .text   utf8    N::tǅ| blocks=Basic Latin,Latin Extended-B
54   0x00001d2d 0x00401d2d 5   7    .text   utf8    l$$Hǅ blocks=Basic Latin,Latin Extended-B
55   0x00001da5 0x00401da5 5   7    .text   utf8    Y77nǅ blocks=Basic Latin,Latin Extended-B
56   0x00001e45 0x00401e45 5   7    .text   utf8    o%%Jǅ blocks=Basic Latin,Latin Extended-B
57   0x00001e4f 0x00401e4f 5   7    .text   utf8    r..\ǅ blocks=Basic Latin,Latin Extended-B
58   0x00001edb 0x00401edb 6   8    .text   utf8    B>>|ǅ8 blocks=Basic Latin,Latin Extended-B
59   0x00001f2b 0x00401f2b 6   8    .text   utf8    _55jǅX blocks=Basic Latin,Latin Extended-B
60   0x00001ffd 0x00401ffd 5   7    .text   utf8    x((Pǅ blocks=Basic Latin,Latin Extended-B
61   0x00002075 0x00402075 5   7    .text   utf8    w--Zǅ blocks=Basic Latin,Latin Extended-B
62   0x000020bb 0x004020bb 5   7    .text   utf8    SeA~ǅ blocks=Basic Latin,Latin Extended-B
63   0x000020d0 0x004020d0 4   6    .text   utf8    ^':ǅ blocks=Basic Latin,Latin Extended-B
64   0x0000213e 0x0040213e 5   7    .text   utf8    D5&ǅ, blocks=Basic Latin,Latin Extended-B
65   0x000021d4 0x004021d4 5   7    .text   utf8    !tXǅh blocks=Basic Latin,Latin Extended-B
66   0x00002291 0x00402291 5   7    .text   utf8    XhHpǅ blocks=Basic Latin,Latin Extended-B
67   0x00002382 0x00402382 4   6    .text   utf8    S.4ǅ blocks=Basic Latin,Latin Extended-B
68   0x000023b5 0x004023b5 4   6    .text   utf8    `@ǅ( blocks=Basic Latin,Latin Extended-B
69   0x000023bf 0x004023bf 4   6    .text   utf8    q^ǅ, blocks=Basic Latin,Latin Extended-B
70   0x000023d3 0x004023d3 4   6    .text   utf8    !>ǅ4 blocks=Basic Latin,Latin Extended-B
71   0x00002419 0x00402419 4   6    .text   utf8    P`ǅP blocks=Basic Latin,Latin Extended-B
72   0x0000247d 0x0040247d 4   6    .text   utf8    B|ǅx blocks=Basic Latin,Latin Extended-B
73   0x000024b7 0x004024b7 5   7    .text   utf8    NrZlǅ blocks=Basic Latin,Latin Extended-B
74   0x000024df 0x004024df 5   7    .text   utf8    '9-6ǅ blocks=Basic Latin,Latin Extended-B
75   0x00002507 0x00402507 5   7    .text   utf8    :.6$ǅ blocks=Basic Latin,Latin Extended-B
76   0x00002512 0x00402512 4   6    .text   utf8    g\n\fǅ blocks=Basic Latin,Latin Extended-B
77   0x0000254d 0x0040254d 5   7    .text   utf8    iKwZǅ blocks=Basic Latin,Latin Extended-B
78   0x000025e5 0x004025e5 4   6    .text   utf8    r\ǅ\b blocks=Basic Latin,Latin Extended-B
79   0x000025ee 0x004025ee 5   7    .text   utf8    ;fDǅ\f blocks=Basic Latin,Latin Extended-B
80   0x00002635 0x00402635 4   6    .text   utf8    cBǅ( blocks=Basic Latin,Latin Extended-B
81   0x000026de 0x004026de 5   7    .text   utf8    ,}Vǅl blocks=Basic Latin,Latin Extended-B
82   0x000026e9 0x004026e9 4   6    .text   utf8    3"ǅp blocks=Basic Latin,Latin Extended-B
83   0x0000270f 0x0040270f 4   7    .text   utf8    6\vԘǅ blocks=Basic Latin,Cyrillic Supplement,Latin Extended-B
84   0x0000275f 0x0040275f 5   7    .text   utf8    bF~Tǅ blocks=Basic Latin,Latin Extended-B
85   0x0000281d 0x0040281d 4   7    .text   utf8    \bϼ!ǅ blocks=Basic Latin,Greek and Coptic,Latin Extended-B
86   0x0000283c 0x0040283c 4   6    .text   utf8    6oJǅ blocks=Basic Latin,Latin Extended-B
87   0x00002863 0x00402863 6   8    .text   utf8    1#?*ǅ\b blocks=Basic Latin,Latin Extended-B
88   0x000028a0 0x004028a0 4   7    .text   utf8    ا3ǅ  blocks=Arabic,Basic Latin,Latin Extended-B
89   0x000028d3 0x004028d3 4   6    .text   utf8    Mvǅ4 blocks=Basic Latin,Latin Extended-B
90   0x00002905 0x00402905 4   6    .text   utf8    jLǅH blocks=Basic Latin,Latin Extended-B
91   0x00002918 0x00402918 5   7    .text   utf8    QeFǅP blocks=Basic Latin,Latin Extended-B
92   0x00002972 0x00402972 4   7    .text   utf8    aךǅt blocks=Basic Latin,Hebrew,Latin Extended-B
93   0x00002a25 0x00402a25 5   7    .text   utf8    ,4$8ǅ blocks=Basic Latin,Latin Extended-B
94   0x00002a4e 0x00402a4e 4   6    .text   utf8    I<(ǅ blocks=Basic Latin,Latin Extended-B
95   0x00002a9d 0x00402a9d 5   7    .text   utf8    t\lHǅ blocks=Basic Latin,Latin Extended-B
96   0x00002b0d 0x00402b0d 4   6    .text   utf8    #=ǅ( blocks=Basic Latin,Latin Extended-B
97   0x00002b79 0x00402b79 6   8    .text   utf8    lpHPǅT blocks=Basic Latin,Latin Extended-B
98   0x00002b8f 0x00402b8f 4   6    .text   utf8    FWǅ\ blocks=Basic Latin,Latin Extended-B
99   0x00002cde 0x00402cde 5   7    .text   utf8    U!\f}ǅ blocks=Basic Latin,Latin Extended-B
100  0x00002d99 0x00402d99 5   6    .text   ascii   U\fSVW
101  0x00002e8a 0x00402e8a 5   7    .text   utf8    u\b3ۉ] blocks=Basic Latin,Arabic
102  0x00002f03 0x00402f03 4   6    .text   utf8    3ʉP  blocks=Basic Latin,IPA Extensions
103  0x00002f09 0x00402f09 6   8    .text   utf8    P\b3щH$ blocks=Basic Latin,Cyrillic
104  0x00002f78 0x00402f78 4   6    .text   utf8    3щH, blocks=Basic Latin,Cyrillic
105  0x00002f80 0x00402f80 5   7    .text   utf8    3ʉH43 blocks=Basic Latin,IPA Extensions
106  0x00002fec 0x00402fec 6   8    .text   utf8    \vڋV\b3Y blocks=Basic Latin,Arabic
107  0x0000300e 0x0040300e 7   9    .text   utf8    \vڋV\f3Y\b blocks=Basic Latin,Arabic
108  0x00003068 0x00403068 4   6    .text   utf8    \b3։] blocks=Basic Latin,Armenian
109  0x000030fd 0x004030fd 4   6    .text   utf8    \b3ߋ} blocks=Basic Latin,NKo
110  0x00003250 0x00403250 4   6    .text   utf8    \b3ߋ} blocks=Basic Latin,NKo
111  0x00003268 0x00403268 4   5    .text   ascii   \b3Y\b
112  0x000033b9 0x004033b9 4   6    .text   utf8    \b3ߋ} blocks=Basic Latin,NKo
113  0x000033cb 0x004033cb 4   6    .text   utf8    \b3ߋ} blocks=Basic Latin,NKo
114  0x0000345d 0x0040345d 4   6    .text   utf8    \vߋ}\f blocks=Basic Latin,NKo
115  0x000034d2 0x004034d2 4   6    .text   utf8    \vߋ}\f blocks=Basic Latin,NKo
116  0x000035c8 0x004035c8 5   7    .text   utf8    a`ϳ#k blocks=Basic Latin,Greek and Coptic
117  0x000035e3 0x004035e3 4   6    .text   utf8    ^]ËM blocks=Basic Latin,Latin-1 Supplement
118  0x000035f1 0x004035f1 6   7    .text   ascii   M\fRQVP
119  0x00003658 0x00403658 4   5    .text   ascii   \aZjS
120  0x00003729 0x00403729 4   5    .text   ascii   WPQV
121  0x0000374b 0x0040374b 4   7    .text   utf8    PQV譠 blocks=Basic Latin,CJK Unified Ideographs
122  0x00003797 0x00403797 4   7    .text   utf8    \vRW葆 blocks=Basic Latin,CJK Unified Ideographs
123  0x00003801 0x00403801 4   5    .text   ascii   \b_^[
124  0x00003857 0x00403857 4   5    .text   ascii   RPQV
125  0x00003873 0x00403873 4   7    .text   utf8    RPQ蕆 blocks=Basic Latin,CJK Unified Ideographs
126  0x000038a5 0x004038a5 5   6    .text   ascii   u\fWV3
127  0x000038b9 0x004038b9 4   5    .text   ascii   <F\t
128  0x000038c1 0x004038c1 4   5    .text   ascii   Ht\vf
129  0x000038c6 0x004038c6 4   5    .text   ascii   <F\t
130  0x000038e0 0x004038e0 4   5    .text   ascii   E\bRP
131  0x000038eb 0x004038eb 4   5    .text   ascii   \f_^]
132  0x0000391d 0x0040391d 5   6    .text   ascii   2012f
133  0x0000392a 0x0040392a 5   6    .text   ascii   2016f
134  0x0000393e 0x0040393e 5   6    .text   ascii   2008f
135  0x00003a2e 0x00403a2e 5   6    .text   ascii   HTTPf
136  0x00003a39 0x00403a39 4   5    .text   ascii   200 
137  0x00003a95 0x00403a95 7   8    .text   ascii   <0\r\n\r\nt
138  0x00003aa9 0x00403aa9 4   6    .text   utf8    ]Ít0 blocks=Basic Latin,Latin-1 Supplement
139  0x00003ab4 0x00403ab4 4   6    .text   utf8    E\f+ƍ blocks=Basic Latin,Latin Extended-B
140  0x00003acd 0x00403acd 4   6    .text   utf8    tӋ}\b blocks=Basic Latin,Cyrillic
141  0x00003af5 0x00403af5 4   6    .text   utf8    3\rX\n
142  0x00003b01 0x00403b01 8   9    .text   ascii   <0\ru\n8\0
143  0x00003b14 0x00403b14 6   7    .text   ascii   \ru\n8\0
144  0x00003b25 0x00403b25 6   7    .text   ascii   \ru\n8\0
145  0x00003b36 0x00403b36 6   7    .text   ascii   \ru\n8\0
146  0x00003b47 0x00403b47 6   7    .text   ascii   \ru\n8\0
147  0x00003b58 0x00403b58 6   7    .text   ascii   \ru\n8\0
148  0x00003b78 0x00403b78 9   10   .text   ascii   \f2<\ru.8\2
149  0x00003b9a 0x00403b9a 4   5    .text   ascii   t\n@;
150  0x00003bad 0x00403bad 5   6    .text   ascii   \aGB;U
151  0x00003c49 0x00403c49 5   6    .text   ascii   8XLNG
152  0x00003c61 0x00403c61 4   6    .text   utf8    u\bVǃ blocks=Basic Latin,Latin Extended-B
153  0x00003c7d 0x00403c7d 4   5    .text   ascii   M\fQV
154  0x00003d33 0x00403d33 7   8    .text   ascii   <8XLNGu
155  0x00003d4c 0x00403d4c 5   6    .text   ascii   M\bPWQ
156  0x00003d58 0x00403d58 4   5    .text   ascii   \f_^[
157  0x00003d69 0x00403d69 4   5    .text   ascii   9t\n_
158  0x00003d7c 0x00403d7c 5   6    .text   ascii   U\bVWR
159  0x00003d88 0x00403d88 4   5    .text   ascii   \f_^[
160  0x00003dab 0x00403dab 5   6    .text   ascii   M\bVWQ
161  0x00003db7 0x00403db7 4   5    .text   ascii   \f_^[
162  0x00003dc9 0x00403dc9 5   6    .text   ascii   U\bVWR
163  0x00003dd5 0x00403dd5 4   5    .text   ascii   \f_^[
164  0x00003de9 0x00403de9 5   7    .text   utf8    0À\eF~ blocks=Basic Latin,Latin-1 Supplement
165  0x00003e77 0x00403e77 9   10   .text   ascii   U\bWj\aAQSR
166  0x00003ebc 0x00403ebc 9   10   .text   ascii   U\bWj\aAQSR
167  0x00003ee7 0x00403ee7 5   6    .text   ascii   e/>|u
168  0x00003eed 0x00403eed 4   5    .text   ascii   W:\U
169  0x00003ef8 0x00403ef8 4   5    .text   ascii   u\bWj
170  0x00004009 0x00404009 4   5    .text   ascii   SVW3
171  0x0000408b 0x0040408b 5   7    .text   utf8    QVfǅp blocks=Basic Latin,Latin Extended-B
172  0x000040e4 0x004040e4 5   6    .text   ascii   XLNGf
173  0x00004165 0x00404165 4   5    .text   ascii   N PQ
174  0x000041d1 0x004041d1 4   6    .text   utf8    jf3ҍ blocks=Basic Latin,Cyrillic
175  0x000041e2 0x004041e2 4   5    .text   ascii    x86
176  0x000041ec 0x004041ec 4   5    .text   ascii    x64
177  0x0000425b 0x0040425b 4   6    .text   utf8    SQǅ` blocks=Basic Latin,Latin Extended-B
178  0x00004380 0x00404380 4   5    .text   ascii   U\bRV
179  0x000044aa 0x004044aa 6   7    .text   ascii   1S9^ t
180  0x00004742 0x00404742 5   7    .text   utf8    [_^]Ù blocks=Basic Latin,Latin-1 Supplement
181  0x00004749 0x00404749 5   6    .text   ascii   0.S{o
182  0x000047f4 0x004047f4 5   7    .text   utf8    ^]ì&( blocks=Basic Latin,Latin-1 Supplement
183  0x0000483c 0x0040483c 4   5    .text   ascii   M\fVQ
184  0x00004857 0x00404857 4   5    .text   ascii   open
185  0x000048c5 0x004048c5 5   6    .text   ascii   @VWj?
186  0x0000492b 0x0040492b 5   7    .text   utf8    ̫{y"U blocks=Combining Diacritical Marks,Basic Latin
187  0x00004981 0x00404981 4   5    .text   ascii   SSPV
188  0x00004a42 0x00404a42 4   5    .text   ascii   u\b_3
189  0x00004a52 0x00404a52 5   7    .text   utf8    u\nǆt\v blocks=Basic Latin,Latin Extended-B
190  0x00004ab2 0x00404ab2 4   5    .text   ascii   M\bQV
191  0x00004ac3 0x00404ac3 4   5    .text   ascii   U\bWR
192  0x00004b54 0x00404b54 10  15   .text   utf8    u\b3\tEȉẺEЍ blocks=Basic Latin,Latin Extended-B,Combining Diacritical Marks,Cyrillic
193  0x00004bd8 0x00404bd8 7   15   .text   utf16le jjjjjjj
194  0x00004c46 0x00404c46 4   5    .text   ascii   -/[p
195  0x00004d78 0x00404d78 4   6    .text   utf8    \fǁ8  blocks=Basic Latin,Latin Extended-B
196  0x00004da6 0x00404da6 4   5    .text   ascii   u\bWj
197  0x00004dd8 0x00404dd8 4   5    .text   ascii   j\eWV
198  0x00004def 0x00404def 4   5    .text   ascii   j\bWV
199  0x00004e2d 0x00404e2d 4   5    .text   ascii   SVW3
200  0x00004f12 0x00404f12 4   5    .text   ascii   t\nSV
201  0x00004f28 0x00404f28 4   6    .text   utf8    ]ËU\f blocks=Basic Latin,Latin-1 Supplement
202  0x00004f52 0x00404f52 4   5    .text   ascii   tKj@
203  0x00004f6b 0x00404f6b 5   6    .text   ascii   RPPh\f
204  0x00004f72 0x00404f72 5   6    .text   ascii   \bPPPP
205  0x00004fb8 0x00404fb8 4   5    .text   ascii   t\nSV
206  0x00005084 0x00405084 5   7    .text   utf8    u\b3ɉE blocks=Basic Latin,Latin Extended-B
207  0x0000509c 0x0040509c 7   11   .text   utf8    E\tEĉE܉E blocks=Basic Latin,Latin Extended-A,Syriac
208  0x000052ca 0x004052ca 6   13   .text   utf16le jjjjjj
209  0x000053cc 0x004053cc 4   5    .text   ascii   81uh
210  0x000053d9 0x004053d9 6   7    .text   ascii   8.tGAH
211  0x00005418 0x00405418 5   6    .text   ascii   :t<@N
212  0x0000550b 0x0040550b 4   5    .text   ascii   u\f^_
213  0x0000552c 0x0040552c 4   5    .text   ascii   RWSV
214  0x000055c8 0x004055c8 4   6    .text   utf8    S01ҭ blocks=Basic Latin,Cyrillic
215  0x0000585e 0x0040585e 4   5    .text   ascii   vUW3
216  0x00005970 0x00405970 4   5    .text   ascii   t'VW
217  0x000059c5 0x004059c5 4   5    .text   ascii   \f^_]
218  0x00005a2a 0x00405a2a 9   10   .text   ascii   v'9_Pt"WV
219  0x00005a8d 0x00405a8d 5   6    .text   ascii   WhO\bu
220  0x00005ad9 0x00405ad9 5   6    .text   ascii   SVWj?
221  0x00005bcf 0x00405bcf 4   7    .text   utf8    UɆ(\r blocks=Basic Latin,Latin Extended-B
222  0x00005c5e 0x00405c5e 4   5    .text   ascii   8_^[
223  0x00005ce9 0x00405ce9 5   6    .text   ascii   RHWQP
224  0x00005d2b 0x00405d2b 4   5    .text   ascii   !9c@
225  0x00005fd8 0x00405fd8 4   6    .text   utf8    ҍE\bP blocks=Cyrillic,Basic Latin
226  0x00006122 0x00406122 4   5    .text   ascii   t\f[_
227  0x000061b2 0x004061b2 4   5    .text   ascii   G(WV
228  0x000061f8 0x004061f8 4   5    .text   ascii   tSj@
229  0x00006241 0x00406241 10  11   .text   ascii   RWWWWWWWSW
230  0x0000629d 0x0040629d 4   5    .text   ascii   H\bS3
231  0x000062eb 0x004062eb 4   5    .text   ascii   E\fPV
232  0x00006350 0x00406350 4   5    .text   ascii   M\fSQ
233  0x0000636b 0x0040636b 4   6    .text   utf8    Q3\rU
234  0x00006377 0x00406377 5   8    .text   utf8    E\tEĉE blocks=Basic Latin,Latin Extended-A
235  0x000063c3 0x004063c3 4   5    .text   ascii   SSRW
236  0x000063df 0x004063df 8   9    .text   ascii   RSSSSSSS
237  0x00006487 0x00406487 4   5    .text   ascii   _^[]
238  0x00006525 0x00406525 4   5    .text   ascii   u\bj4
239  0x0000652a 0x0040652a 4   5    .text   ascii   F4PV
240  0x0000653f 0x0040653f 4   5    .text   ascii   F\f^]
241  0x00006545 0x00406545 5   6    .text   ascii   ]\ac4B
242  0x0000654c 0x0040654c 5   6    .text   ascii   \vR[SU
243  0x00006581 0x00406581 10  11   .text   ascii   <0POSTt\t@;
244  0x00006617 0x00406617 5   6    .text   ascii   wMRQW
245  0x00006660 0x00406660 4   5    .text   ascii   Rj"S
246  0x00006691 0x00406691 4   5    .text   ascii   @tpW
247  0x000066aa 0x004066aa 4   6    .text   utf8    _]ËH blocks=Basic Latin,Latin-1 Supplement
248  0x00006708 0x00406708 4   5    .text   ascii   bjDU
249  0x00006848 0x00406848 4   5    .text   ascii   QjxS
250  0x00006891 0x00406891 4   5    .text   ascii   RjyS
251  0x000068c3 0x004068c3 4   5    .text   ascii   PjzS
252  0x000068f5 0x004068f5 4   5    .text   ascii   Qj{S
253  0x0000692a 0x0040692a 4   5    .text   ascii   Rj|S
254  0x00006a06 0x00406a06 4   5    .text   ascii   \f_^[
255  0x00006a0c 0x00406a0c 4   6    .text   utf8    ]Ëu\f blocks=Basic Latin,Latin-1 Supplement
256  0x00006a45 0x00406a45 5   7    .text   utf8    I\r&ǆ~ blocks=Basic Latin,Latin Extended-B
257  0x00006abd 0x00406abd 4   6    .text   utf8    r&<S
258  0x00006ace 0x00406ace 4   5    .text   ascii   W(Nv
259  0x00006add 0x00406add 4   5    .text   ascii   Y:jZ
260  0x00006b0f 0x00406b0f 4   5    .text   ascii   ){gp
261  0x00006b50 0x00406b50 5   7    .text   utf8    53k;Ɩ blocks=Basic Latin,Latin Extended-B
262  0x00006b70 0x00406b70 4   5    .text   ascii   -4B_
263  0x00006b75 0x00406b75 4   5    .text   ascii   "1<s
264  0x00006b8c 0x00406b8c 4   5    .text   ascii   1s-S
265  0x00006bd8 0x00406bd8 5   7    .text   utf8    Qfr1Ɣ blocks=Basic Latin,Latin Extended-B
266  0x00006bf3 0x00406bf3 4   5    .text   ascii   `0=~
267  0x00006bf8 0x00406bf8 5   6    .text   ascii   *DP\t?
268  0x00006c03 0x00406c03 5   6    .text   ascii   \ah``J
269  0x00006cae 0x00406cae 4   5    .text   ascii   cJ@D
270  0x00006cd1 0x00406cd1 4   5    .text   ascii   tLP.
271  0x00006cda 0x00406cda 5   6    .text   ascii   }U#R1
272  0x00006cf5 0x00406cf5 7   8    .text   ascii   I/7krgX
273  0x00006d70 0x00406d70 4   5    .text   ascii   }4&m
274  0x00006da1 0x00406da1 4   5    .text   ascii   -19,
275  0x00006da6 0x00406da6 5   6    .text   ascii   v7S6^
276  0x00006df2 0x00406df2 4   5    .text   ascii   i\t9B
277  0x00006e19 0x00406e19 6   8    .text   utf8    0ͣ"_L> blocks=Basic Latin,Combining Diacritical Marks
278  0x00006e2c 0x00406e2c 8   9    .text   ascii   5X[;\aUn<
279  0x00006e4c 0x00406e4c 6   8    .text   utf8    Qux܃); blocks=Basic Latin,Syriac
280  0x00006f0b 0x00406f0b 5   6    .text   ascii   M\fWSQ
281  0x00006f21 0x00406f21 5   6    .text   ascii   U\fWRS
282  0x00006f7b 0x00406f7b 5   8    .text   utf8    E؉EډE blocks=Basic Latin,Arabic
283  0x00006f94 0x00406f94 4   5    .text   ascii   @v\v3
284  0x0000704d 0x0040704d 4   5    .text   ascii   9D[U
285  0x0000713b 0x0040713b 4   5    .text   ascii   C,#Y
286  0x00007149 0x00407149 4   5    .text   ascii   SVWh
287  0x000071c9 0x004071c9 4   5    .text   ascii   t;WV
288  0x00007273 0x00407273 6   7    .text   ascii   U\fRVPW
289  0x000072ba 0x004072ba 6   7    .text   ascii   M\fQVRW
290  0x00007387 0x00407387 4   5    .text   ascii   D~$_
291  0x00007475 0x00407475 4   5    .text   ascii   @\fRP
292  0x00007488 0x00407488 4   6    .text   utf8    =ݖQ_ blocks=Basic Latin,Arabic Supplement
293  0x000074a6 0x004074a6 4   5    .text   ascii   A\b;B
294  0x000074be 0x004074be 4   5    .text   ascii   \f_^]
295  0x000074da 0x004074da 4   5    .text   ascii   u\fWh
296  0x000074e5 0x004074e5 4   5    .text   ascii   WVQP
297  0x00007575 0x00407575 4   5    .text   ascii   \t\ff
298  0x000075d5 0x004075d5 5   6    .text   ascii   9\t\v3
299  0x00007630 0x00407630 6   7    .text   ascii   3333t\t
300  0x00007644 0x00407644 4   6    .text   utf8    ۈ+tp blocks=Arabic,Basic Latin
301  0x0000764c 0x0040764c 7   8    .text   ascii   _wd-Vh^
302  0x00007674 0x00407674 5   8    .text   utf8    E\b]Òժ blocks=Basic Latin,Latin-1 Supplement,Armenian
303  0x00007685 0x00407685 4   5    .text   ascii   @Vj?
304  0x000076e0 0x004076e0 4   5    .text   ascii   Pj\bj
305  0x00007719 0x00407719 4   5    .text   ascii   SVW3
306  0x00007743 0x00407743 4   5    .text   ascii   }\bQW
307  0x0000778e 0x0040778e 4   5    .text   ascii   PSQW
308  0x000077d6 0x004077d6 4   5    .text   ascii   &_^3
309  0x000078fe 0x004078fe 4   6    .text   utf8    ؋C(P blocks=Arabic,Basic Latin
310  0x0000792a 0x0040792a 4   5    .text   ascii   (_^[
311  0x0000793d 0x0040793d 4   5    .text   ascii   lkyU
312  0x00007945 0x00407945 6   7    .text   ascii   XSVWj4
313  0x00007a4b 0x00407a4b 5   6    .text   ascii   H(WQS
314  0x00007a76 0x00407a76 8   9    .text   ascii   U\fjdVWRS
315  0x00007aaf 0x00407aaf 4   5    .text   ascii   QPRS
316  0x00007ad8 0x00407ad8 4   5    .text   ascii   \bQRS
317  0x00007b87 0x00407b87 4   5    .text   ascii   }\b^3
318  0x00007b91 0x00407b91 6   7    .text   ascii   W9^ ts
319  0x00007bf7 0x00407bf7 4   5    .text   ascii   PQWV
320  0x00007c38 0x00407c38 4   5    .text   ascii   \b_^3
321  0x00007cf0 0x00407cf0 4   5    .text   ascii   QRSV
322  0x00007cfb 0x00407cfb 4   5    .text   ascii   L_^[
323  0x00007d09 0x00407d09 5   6    .text   ascii   *X!yG
324  0x00007d2a 0x00407d2a 4   5    .text   ascii   t\b_3
325  0x00007d8a 0x00407d8a 4   5    .text   ascii   Ph!i
326  0x00007db1 0x00407db1 4   5    .text   ascii   RSPW
327  0x00007e1f 0x00407e1f 4   5    .text   ascii   u\bW3
328  0x00007e8a 0x00407e8a 4   5    .text   ascii   Ph!i
